ParlaMint-BE_2015-06-30-54-commissie-ic202x.u1	Mrs Claerhout is not here.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u92	Mr President, Minister, since 2011, income from stocks, fairs, book rentals and so on has been regarded as movable income by the tax authorities. The granting of concessions is also covered by that scheme. Since cities and municipalities are covered by the tax on legal persons, that income was subject to the withholding tax. It is interesting to note that the city of Turnhout has gotten right in a dispute with the tax authorities about the taxable value of market and fairground rights. Those stands are considered to be real estate. The income from certain concessions for cafeterias is also considered as real estate income, in so far as the main purpose of the agreements is the passive provision of immovable property. In that case, the federal government must repay the amounts collected, as well as any interest and court fees. There is no clear statement on or solution for the lending of books yet. An exception should actually be applied to this, in the sense that such income should be added to the exceptional list of income from products subject to withholding tax. It is important to consider what we can do as a result of the verdict. I have already prepared a legislative proposal on this subject and have already put forward questions about it. Minister, will the tax administration accept the court's ruling or, if necessary, appeal? Will a circular be developed in order to arrive at a clear interpretation? After all, the judgment is problematic for cities, municipalities and provinces that want legal certainty. What exactly is the withholding tax collected? Are we talking about peanuts or substantial amounts? Will the administration pay back or will it organise the cases in such a way that not everyone has to sue and that what has been wrongly collected or which is not in line with the interpretation that has been given in the judgment on the city of Turnhout will simply be repaid? I also have a political question. Are you considering an exception for local authorities or are you thinking of including this in a tax pact with the cities and municipalities? That is the essence of my question.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u93	Mr President, Mr Deseyn, I can tell you that my administration is currently examining whether the judgment of the Antwerp Court of First Instance of 10 December 2014 will be appealed. It therefore seems premature at present to draw up a circular which would show that the administration is in line with the position set out in the judgment. With regard to the introduction of an exemption from withholding tax for local authorities, it should be noted that, in accordance with Article 221, 2° of the Income Tax Code 1992, all legal persons subject to the tax are taxable on the income and income of movable property and capital. The income tax referred to in Article 221 2° shall, in accordance with paragraph 1 of Article 225, be equal to the withholding tax. These are both legal persons governed by public law who are unconditionally subject to legal personality tax and legal persons governed by private and public law who do not operate an undertaking or engage in profitable transactions or are not subject to corporation tax under Articles 181 and 182. The introduction of an exemption from withholding tax for local authorities in the case of non-profit-making transactions is therefore not evident, as this could lead to local authorities no longer being liable for withholding tax, whereas another private or public legal person who is also subject to the tax on legal persons is liable for withholding tax on such or similar transactions. However, I can tell you that the services of the General Administration of Taxation have set up a working group, together with representatives of the municipalities, where the problem of withholding tax mentioned will be discussed further and where it will be considered whether possible sustainable solutions can be developed. At present, it is therefore necessary to wait and see whether or not the FPS Finance will appeal against the judgment cited and what the outcome of the discussions in the above-mentioned working group will be.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u94	I note, Mr Minister, that the judgment of the Court of Justice, and not the judgment of the Court of Justice, as I have just said, must therefore be examined further. This issue, as you say, is not evident. The establishment of a working group is a very good thing. In this way the possibilities can already be explored, together with the municipalities. I look forward to the conclusions of that working party before further intervention.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u95	Mr President, this is a question that was tabled in early June. Maybe it's out of date. We learned from the press, Mr. Minister, that a circular would be being prepared to place Luxembourg on the list of tax havens. This circular is the result of a 2010 law which states that countries on the OECD list of tax havens must be recognized as such by Belgium. In concrete terms, all Belgian companies will now have to declare any transaction with this country in excess of 100 000 euros, if in fact you had to confirm the content of this circular. This concerns a large number of Belgian companies, Luxembourg being a privileged financial centre for Belgians. The objective of the law was very clear: it was necessary to have transparency in relation to the activities of Belgian companies established in Luxembourg. Minister, do you confirm the existence of this circular? Could you tell us exactly what it contains? Does this position follow the OECD decision in February 2015 to classify Luxembourg as "non-compliant"? If not, what are the motivations? Will this position be taken into account by your services in the context of the ongoing renegotiation of the Convention on the Prevention of Double Taxation with Luxembourg? This renegotiation seems to be moving towards a relaxation, which does not seem to be consistent with the categorisation of Luxembourg as a tax haven? Can you tell us how remittance returns are currently processed and how many officers (full-time equivalents) are still assigned to this follow-up? What follow-up will you order once the information is collected?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u96	Mr Laaouej, the circular mentioned by the press does exist and will be published very soon. With regard to your second question, this is an addendum to the circular of 30 November 2010. This circular concerns the obligation to report payments made to persons established in two categories of State and the tax deductibility of such payments. The addendum deals only with the category of States that do not effectively and substantially implement the international standard for transparency and exchange of information for tax purposes. In concrete terms, they are those States that have been assigned a non-compliant assessment by the global forum, which ensures the implementation of the international standard. In this regard, it is important to emphasize that these are not tax havens but cooperative States, i.e. States that have committed themselves to the international standard. Belgium is convinced that the vast majority of co-operative States which, at first stage, have not achieved a positive result, will make every effort to align themselves in the short term with the international standard. Third, the development of the addendum was already announced in the initial circular of 2010 and is a follow-up to the publication, as early as November 2013, of the ratings by the global forum. Last year, my predecessor had already informed Parliament of the consequences of the publication of these reports. This is not a new Belgian position but a confirmation, by means of a circular, of what had already been announced earlier. Fourthly, I would like once again to stress that neither Belgium nor the global forum regard co-operative countries, which are currently considered non-compliant, as tax havens. As far as Luxembourg is concerned, an amendment was signed on 16 July 2009 in order to bring the Belgian-Luxembourg double taxation convention into line with the international standard. Fifth, the FCA analyses the payments in question via Form 275F attached to the annual income tax return. After analysis, some files are submitted for pre-investigation or investigation to the operational department.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u97	Mr Minister, thank you for confirming that, in future, financial transactions to Luxembourg will have to be the subject of an ad hoc declaration. We will therefore await the publication of the circular.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u98	Question No 4764 by Mr Gilkinet is postponed.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u99	Mr President, Minister, in an answer to a written question published last May, you said that in 2010, the French tax authorities had given the ISI a cd-rom with information about 829 taxpayers, customers of the HSBC Bank. After analysing this information, the ISI selected 494 potential files for further investigation. The tax control of the selected files was distributed between the ISI and the tax authorities. A number of files selected by the ISI have not been subject to tax control due to lack of concrete evidence, prescription, spontaneous regularization by the taxpayer or for other reasons. According to the site of the consortium of journalists at the base of the SwissLeaks, Belgium is the tenth country in terms of capital present in the Swiss subsidiary of HSBC with an amount of $6.3 billion for 3,002 customers. Finally, the press relayed information that the ISI had completed 1,000 cases. Thus, the estimated revenue for the Federal State would be € 540 million. Minister, how many files are managed by the FPS Finances related to HSBC? What is the extent of the amounts hidden from the Belgian tax system that the SPF Finances has been able to identify? How many taxpayers are involved? How are the files divided between the ISI and the general tax administration? How many cases have been closed to date? What is the share of the $6.3 billion involved in the cases closed to date? Do you confirm the figure of 540 million additional revenues expected for the federal government budget? How is this figure broken down between the tax owing and the increase? How many files were reached by the prescription? How many files have been subject to spontaneous regularization? How many files have been closed for lack of concrete evidence? How many files will not be tracked for other reasons?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u100	Minister, I do not want to prolong the debate. My questions are similar to those of Mr. Dispa. Therefore, in order not to delay you, I would like to ask you how many unprocessed files remained and why they had not been examined at the same time as the others. Did the ISI take care of it alone? How many officers are assigned to this investigation?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u101	Mr President, ladies and gentlemen, the data received by the ISI AG in 2010 were not in all cases usable for a further tax investigation. A total of 829 potential files were retained. For files that were ultimately the subject of a further tax investigation by the ISI AG, the following results were obtained as of April 27, 2015. In total, 724 enlistments have already been made for a total of taxes to be enlisted, including tax increases, of just over 518 million euros, from 2011 to 2015. All files processed by the ISI are stored in the STIR-Fraude application. The processing of the results in this application shall be carried out immediately on the basis of the recruitment decision and shall therefore provide a statement of the situation which also concerns the cases in progress. The figure I have just quoted does not, therefore, concern only closed cases. A total of 335 cases were forwarded to the General Tax Administration. The total amount of tax supplements, including tax increases, is just over EUR 15 million. I can also confirm that in response to a request from the ISI dated 16 February 2015 following the publication in the press of the "722 new names", the competent service of the French tax administration transmitted, on 19 May 2015, a new cd-rom containing HSBC banking data. The data recorded on cd-rom are currently being reviewed by a specialized team within the ISI and compared with the data obtained in 2010.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u102	Mr President, I will not delay the minister any longer. I didn't get a precise answer to all my questions, but I can't blame him.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u103	Mr President, I thank the Minister for his answer.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u104	Mr. Secretary, you're leaving for your conference call now. We wish you every success. Question No 4843 and Question No 4844 by Mr Van de Velde Mr Dedecker's 4925 were converted into written questions. The first question on our agenda next Wednesday is Question No Mr Dispa. The next meeting will begin with questions No 4986 by Mr Benoît Dispa and No 5334 by Mrs Isabelle Poncelet. We will see each other on Monday for the examination of the Tax Programme Act and perhaps on Wednesday for the oral questions. However, it is possible that the Fiscal Programme Act will be on the agenda of the plenary on Wednesday if we can vote on it on Monday. However, this depends on the Conference of Presidents.
