ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u311	I have received from Mr Jean-Luc Mélenchon and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mrs Clementine Autain has the floor.
ParlaMint-FR_2018-08-01-E1044.u312	Madam President, Mr Minister, ladies and gentlemen, I heard yesterday, in our Chamber, the Prime Minister defending his record – your record – and, on this occasion, boasting the bill of asylum and immigration, supposedly balanced, combining humanity and firmness – this is the chorus that we have heard throughout the discussion of this terrible text. Mr.Minister of the Interior, I remember asking you at the end of first reading to tell us exactly where the elements of humanity are in this bill. You've remained impassive on your bench. And because of this: the advances, from the point of view of the rights and protections granted to immigrants and refugees, cannot be found. The text tightens reception conditions, undermines the right to asylum and introduces new legislative provisions dangerous to human rights and individual freedoms. When you are listened to, all of you – the President of the Republic in the lead – are deluging formulas on freedom, humanism, benevolence, "and at the same time," you are concocting a law that will brutally fall on human beings. Unacceptable thresholds from the point of view of the minimum duty of humanity have been crossed. What you are about to vote for is the harshest, most sinister law our country has known in this field for several decades. Even under Nicolas Sarkozy, France had not gone that far.
ParlaMint-FR_2018-08-01-E1044.u313	Without any caricature!
ParlaMint-FR_2018-08-01-E1044.u314	Since the beginning of the work on this text, which has been accompanied by infamous circulars, you have aroused indignation, anger, revolt in our country. Within your own majority – I would like to remind you – there have been voices against the detention of minors, the increase in the length of detention, increased to 90 days, or the rescheduling of the procedural guarantees surrounding the right to asylum. But these internal challenges remained a minority. Yet you could have, you should have heard, and realized the dangerousness of your text. More than 470 associations are standing up against your bill. France terre d'asile speaks of "inversion of priorities", Médecins sans frontières evokes a "will to amplify logics of repression", the Cimade judges this bill revulsant and calls for the withdrawal of this "dangerous text which enshrines a very clear setback for the rights of foreigners in France". Lawyers specializing in the right to asylum speak of a "burial" of the Geneva Convention. The Council of State, in its opinion on the draft law, denounces the inadvisability of a new text, just two years after the promulgation of the previous law on the subject. And I really wonder if tomorrow we will not be again in the sights of the United Nations, which has already submitted an alarming pre-report on your law introducing a state of emergency into common law. The UN, in fact – this has been little recalled – warned France, this great country of human and citizen rights, about its shortcomings in terms of public freedoms and human rights. The UN Special Rapporteur detailed her concerns in a pre-report in the spring, after a working visit to France, and invited our country to take more effective and democratic paths to combat terrorism. But you have no cure for it: you are about to give water to its mill and submit to a new flock of green wood. No matter, indeed, all these criticisms; You prefer to take back well-known elements of language to the far right: submersion, so-called realpolitik, the "one cannot accommodate all the misery of the world", and I pass by. In a recent tweet, Emmanuel Macron believes that Spain is "confronted" with the arrival of migrants and bears witness to his solidarity, which allowed the Aquarius to sink, patiently waiting for the Spanish proposal after the shameful refusal to accomodate Italy, now governed with xenophobia. "Confronted", as if arriving migrants were a major danger to this country. As you presented yourself a year ago as the bulwark against the far right, you take back its presuppositions and offer it on a plateau, by this law, the realization of part of its dreams and our nightmares. But there are still people in France and elsewhere who dare to speak, such as the UN High Commissioner for Human Rights, who points out, in an interview with the World, the danger posed by the rise of authoritarian leaders. As he says so well, "the advance for human progress has always been a struggle." To cede to xenophobic discourses to push back the far right: here we are in 1984 from Orwell, of which I inform everyone that a new edition has just been published...
ParlaMint-FR_2018-08-01-E1044.u315	Very interesting!
ParlaMint-FR_2018-08-01-E1044.u316	... and sells well – it is, in my opinion, a sign of the times.
ParlaMint-FR_2018-08-01-E1044.u317	1984, it was gulag time!
ParlaMint-FR_2018-08-01-E1044.u318	One would forget the reality: over the last thirty years, the net migration in France is zero. As Jacques Toubon, the Defender of Rights, and not a leftist official, pointed out, the idea of migratory submersion is simply false. On the other hand, the number of non-admissions of migrants in France is increasing considerably. For example, there were 85,408 people not admitted in 2017, an increase of 34% in one year. In 2016, almost 64,000 people were denied their application, compared to less than 16,000 in 2015. So your record is already dismaying, overwhelming. It gives me the feeling that the doors close as the Mediterranean becomes a cemetery. And, honestly, that's really not my idea of the French spirit. But this is clearly not enough for you, since the law that you submit to us today at last reading is the promise of a hell even worse for migrants. Let us first mention the doubling of the length of detention, increased to 90 days, I said, and even 135 days in some cases, as against 45 days at present. With you, detention will simply become detention. It is as if, from now on, the prefects become judges, who condemn foreigners considered criminals to prison, since it is the prefects who ask for the extension of the detention, which is then validated or not by a judge of freedoms and detention. Your bill also seeks to allow visual inspection and baggage searches, and to automate fingerprinting and photographing of a foreigner. Refusal may result in criminal sanctions and a ban on return to French territory during a detention for checking the right to stay, the duration of which is increased from sixteen to twenty-four hours. Thus, any Frenchman who does not have his national identity card on him will be able, because he would look like a stranger, to see his luggage searched and will then have to leave his fingerprints and be photographed. If he refuses, he may be subject to criminal prosecution and have to pay a fine of EUR 3750. Another liberticide effect of your law: take the example of an asylum-seeker ill-treated in Hungary and came to France to find his cousin there; when he is returned to Hungary – "dublinated", as it is said – for this country to examine his asylum application, he will no longer be able to see his family in France for three years. In Article 4, again, you create the possibility of withdrawing asylum from an alien who has been convicted in a country of the European Union – previously it only concerned France – "as a last resort" "either for a crime, or for an offence constituting an act of terrorism or punishable by 10 years' imprisonment", and whose presence "constitutes a serious threat to society". The wording is particularly vague and the consequences can be incredible in the case of crimes that are not recognized in French law. As you know, there is no criminal harmonisation in Europe. So imagine some cases, absurd but that can become reality. For example, a refugee convicted of having an abortion in Malta – where abortion is a crime that can be punished by 18 months to 3 years in prison – or a refugee who has committed the offence of blasphemy in Germany, where "insulting religious beliefs", condemned by article 166 of the Criminal Code, can be punished by three years in prison. Another example is house arrest in a place designated by the administration for an alien who is the subject of an obligation to leave French territory – OQTF – but – this is a novelty – with a voluntary departure period. It's probably not constitutional, and it's almost modelled on the 2017 Internal Security Act and its famous house arrest. The logic is always the same: basically, the foreigner is supposed to want to escape and fraud; So we have to track him down. In your imagination, tax escapees, they optimize and run! You are attacking the right of asylum – we discussed it in the Committee on Foreign Affairs – against the right to appeal contained in the Declaration of Human and Citizens' Rights and the requirement for serious processing of the application. You want to reduce the appeal deadlines to an average of six months, including all appeals. For example, the bill reduces the time limits for asylum applications from 120 to 90 days, and even 60 days in Guyana. Hearings and physical appointments before the French Office for the Protection of Refugees and Stateless Persons, the National Court of Asylum and the judges can all take place automatically by tele-hearing, for example by Skype. You're inventing tele-asylum. Kafka was finally right. From now on, an asylum seeker may be alone in a room facing a screen. With your law, we are going to the census and sorting of asylum seekers. Your project thus provides for the exchange of information between the integrated reception and guidance services responsible for emergency accommodation under ordinary law and the French Office for Immigration and Integration concerning asylum seekers and refugees. We recognize here the perfume of the famous circular Collomb of 12 December 2017, strongly denounced by the associations. According to a liberal and utilitarian vision of immigration, however, talent and young start-ups will see the doors of France open to them. Undocumented workers are not given any attention, but targeted profiles for multinationals will have new reception opportunities. There are 200000 to 400,000 undocumented workers in France; The Government prefers to sweep them aside to deal with the situation of large multinational groups and high-tech and luxury workers represented by high-voltage students and researchers for companies, particularly start-ups. Another notable point is that a denial of asylum can no longer have the automatic right to apply for a residence permit. A foreigner who is ill, for example, with cancer that he cannot have treated in his country, and whose application for asylum has been rejected in six months, without having been able to apply – or even to think of doing so – for a residence permit "ill foreigner", will therefore be returned to death in his country, since he will be denied the possibility of applying after this rejection. Finally, let us mention the order you have made to create a single residence permit that merges those of employees and temporary workers. The list is unfortunately in the Prévert, but it has its consistency, and its consistency is firmness; That's all. The hunt is open, and it will be ruthless. You will tell us that it is always better than the milling out of the Senate; It's true: we could walk even further in the footsteps of extreme straights. You can also tell us that you have released a few hundred thousand euros and accommodation places. But it is a joke about the legitimate attack on migrants and refugees that this law represents. I will conclude by quoting the "Declaration of Poets" which concludes the migrant brothers of Patrick Chamoiseau: "not to welcome [...] the one who comes who passes who suffers and who calls is a criminal act". Patrick Chamoiseau also said: "We can't let this pass! » [[Applause on the benches of groups FI, GDR and NG]] We will not let that pass. We propose in conscience that each and every Member present in this House should review the copy in its entirety and, to this end, adopt our motion to reject it in advance, the most sinister text that has been before us for a long time.
ParlaMint-FR_2018-08-01-E1044.u319	The next speaker is the Minister of State.
ParlaMint-FR_2018-08-01-E1044.u320	[[Applause on the benches of the LaREM and MODEM groups]] Mrs. Autain, you're finished with one quote, I'll start with another. The great Greek wisdom said: "Mêdèn agan", "nothing too much", to define the search for balance. The excess of your words completely ruins it. You said that the law strengthening internal security and the fight against terrorism, known as SILT law, was a violation of freedoms. Who, today, will participate in a great demonstration without thinking that, on the contrary, SILT law protects its freedom to live, to go to a great show or to the Champs Elysées when there is a crowd? Who can think today that deploying security does not guarantee freedom? The same applies to this law. We're looking for a balance. If tomorrow there were no further border barriers, as you wish, the right of asylum would be called into question very quickly. Because we are taking the decisions we are taking, we are protecting the right of asylum and we are defending essential freedom.
ParlaMint-FR_2018-08-01-E1044.u321	In the explanations of vote, Mr Remy Rebeyrotte has the floor, for the La République group on the move.
ParlaMint-FR_2018-08-01-E1044.u322	[[Exclaims on the benches of the LR group]] Mrs. Autain, we will not vote on your motion of rejection. Yet you are always as moderate, objective and nuanced!
ParlaMint-FR_2018-08-01-E1044.u323	Professor!
ParlaMint-FR_2018-08-01-E1044.u324	I assure you, I'm kidding...
ParlaMint-FR_2018-08-01-E1044.u325	Not me!
ParlaMint-FR_2018-08-01-E1044.u326	With regard to the work undertaken, the hours of debate, the richness of the exchanges, it is a motion that is absolutely not explained. This text is important because, for the first time, we have the right to asylum, the speed of the response to those who cannot claim it and the means to succeed in the integration of those who join us are strengthened. The text will help to combat illegality, trafficking and insecurity. It promotes the clarity of the situations of migrants and those who help them, to facilitate their reception and their journey. It will be complemented by investments in administrative detention centres, work to try to turn the page on the detention of minors, as we all want, and strengthened and redesigned resources for development aid in the countries of origin, in very strong connection with the European Union.
ParlaMint-FR_2018-08-01-E1044.u327	You're reducing the envelopes! That's a lie!
ParlaMint-FR_2018-08-01-E1044.u328	[[Applause on the benches of the LaREM and MODEM groups]] These are prospects that will enrich our work. This text is a key text in order to maintain the right to asylum in our country in good conditions, while avoiding the excesses that we have been able to experience, and to allow people to integrate in the best conditions. It'll be a date. But I understand that he can attract your cartoons.
ParlaMint-FR_2018-08-01-E1044.u329	Mrs Isabelle Florennes, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2018-08-01-E1044.u330	This bill is a courageous piece of legislation that forms part of a comprehensive policy to reform a right of asylum that is not being exercised optimally today. This is indeed its primary objective: to ensure, at the same time, a better reception and better integration of asylum seekers. By reducing the processing time for asylum applications, by strengthening the means to combat irregular immigration and by improving the conditions for the integration and reception of foreigners in a regular situation, this bill creates a subtle, simple but necessary balance between an effective regulation of migration flows in our territory and a humanist approach towards first-come foreigners, in accordance with one of our oldest republican traditions. In that regard, fundamental progress should be made to the credit of the text. I am thinking in particular of the easing of the solidarity offence, by excluding aid for circulation from the provisions penalised under Article L. 622-4 of the CESEDA or the extension of the time limit for appeal to the CNDA to one month. I would also like to mention the work done on the status of community hosting and solidarity organisations – the OACAS. The various discussions, both in the Assembly and in the Senate, made it possible to find a compromise opening the way for a regulated regularization of Emmaus's companions and companions. These three examples are significant and illustrate perfectly the fundamental values that guided the work of the MODEM and related group on this bill: solidarity, protection and integration. [[Applause on the benches of the MODEM and LaREM groups]] These contributions, which are part of a bill that is the result of long consultation, I would remind you, can only strengthen our appreciation of this text: that of a balanced text that is consistent with our principles and our values. That is why we will vote against this motion of rejection.
ParlaMint-FR_2018-08-01-E1044.u331	Mrs Agnès Firmin Le Bodo, for the IDU Group, spoke on behalf of the Group of the European People's Party.
ParlaMint-FR_2018-08-01-E1044.u332	[[Applause on the benches of the UDI-Agir group and on several benches of the LaREM group]] The IUD, Agir and Independent Group will oppose this motion for a preliminary rejection put forward by the group La France insoumée. Our group does not consider it appropriate to impede the passage of this bill, especially since it is a bill that has been debated many times. We believe that it has reached a sufficient degree of maturity. In substance, we do not share many of the arguments put forward by our colleague and are rather in favour of this bill finally being passed to substantially improve our migration policy. At a time when long and passionate debates are coming to an end, we believe that national representation has finally found the right balance between responsibility and humanism. This balance has been established in favour of a text that will enable our country to fight illegal immigration more effectively, while improving the reception and integration of refugees.
ParlaMint-FR_2018-08-01-E1044.u333	Mr Alain David, for the New Left Group, has the floor.
ParlaMint-FR_2018-08-01-E1044.u334	In a tense European migration context, where refugee flows are increasingly being used for domestic policy purposes, this bill contributes, despite good intentions, to a deterioration of the rights of asylum seekers in favour of an objective of efficiency. This is, in fact, to subject respect for rights to a policy of the figure. How can we fail to see that the shortening of procedural deadlines will mean that asylum seekers will not even be able to effectively assert their rights? How can we fail to see that non-compliance by the administration of time limits can contribute to de facto depriving these applicants of the most essential rights recognized by law? How can we fail to see that the increase in the powers of detention and house arrest is, in many cases, unnecessary and punitive and directly violates the freedom to come and go and the individual freedom of these persons? How can we fail to see that all these procedural biases, coupled with the increased use of video-audience, will dehumanize the processing of asylum applications, inevitably leading the administration, which will no longer have time to properly investigate applications, not to deal with individual cases, but to select stereotypes and migratory profiles? Each individual must have his or her own chance and be able to assert his or her own rights. It is because this bill does not allow us to vote on the motion to reject it beforehand.
ParlaMint-FR_2018-08-01-E1044.u335	The union of the left!
ParlaMint-FR_2018-08-01-E1044.u336	The next speaker is Mr Eric Coquerel, for the Group of the European People's Party.
ParlaMint-FR_2018-08-01-E1044.u337	In fact, this law, which claims to be a law of balance, will not solve anything and will aggravate everything. You mean to dissociate the right refugees, who would be eligible for asylum, from the wrong migrants, who would not. For the former, you will complicate everything, if not worse, between shorter recourse times, tele-audience, the increased ease of sending "dubbed" people to detention centres, even though they have been "dubbed" on criteria that are unrelated to those of OFPRA, for example for an identity photo and fingerprint taken in another country. You will also complicate their admission by pushing them back more quickly to the borders. You want to tighten the law and the reception conditions to prevent migrants from coming. But when people risk their lives on the Mediterranean or on snow-covered alpine passes, do you really think that it is the increase in the number of days in the detention centre that will deter them from coming? [[Exclaims on the banks of the LaREM Group]] [[Applause on the benches of the FI group]] Until we have resolved the cause of forced migration, we will have to assume a greater share of the consequences. There is no fair, effective and balanced policy other than this one. Your bill is moving away from it at all levels. On the contrary, we should create a new status of humanitarian distress on climate and economic issues. We should regularize those who work and those who study in France. Instead, you will sow chaos, disorder and marginality. Your text will only strengthen the far right, because people will eventually prefer the original rather than the copy. Your text is a bad action, in every sense of the word.
ParlaMint-FR_2018-08-01-E1044.u338	In the general debate, Mr Stéphane Peu has the floor.
ParlaMint-FR_2018-08-01-E1044.u339	Madam Chair, Minister of State, the Chair of the Law Committee, the rapporteur, we will vote resolutely against this bill, which increases the control of asylum seekers and weakens the rights and guarantees of foreigners. It is a communication text, which tends to flatter the fears of public opinion. It is an unnecessary and ineffective bill, which complicates the law of asylum and foreigners. The Government's haste and its lack of strategy to respond to a major challenge were highlighted, in particular by the Council of State in its opinion of 15 February. Secondly, this bill reduces the rights and guarantees granted to asylum seekers and strengthens their control, with a logic of suspicion towards them. It reduces the time required for the investigation and impedes the right to an effective remedy, both before OFPRA and the CNDA. It strengthens the control of asylum seekers and reduces their procedural guarantees. In addition, detention and expulsion are facilitated to the detriment of the rights of foreigners. The length of detention increases from 45 days to 90 days. The duration of administrative detention for verification of the right to stay is aligned with that of police custody. The duration of the house arrest of aliens who have been banned from the territory may be fixed for a period of five years. To sum up, this law is neither balanced nor effective. It offers twice as much time for rights and twice as much time for retention. [[Applause on the benches of the FI group]] In addition, the Government and the majority persisted in their refusal to prohibit the detention of minor children, whether accompanied or not. On the contrary, they have strengthened their control, in particular by creating a register of foreign minors present on French territory. In the end, we reject this drift of increasing barriers and controls to the access of foreigners to their fundamental rights. We believe that France must be faithful to its tradition of asylum in Europe and take its full part in the reception of refugees. It is a moral requirement in relation to the history and values of our Republic; It is a legal obligation under international law and the treaties and conventions that we have signed. However, contrary to Emmanuel Macron's first statements of humanism, during the election campaign or in June 2017, and to the rapporteur's assertions, the policy towards asylum seekers is an increasingly repressive policy, which leads to the weakening of their rights and guarantees. So we can only vote against this bill.
ParlaMint-FR_2018-08-01-E1044.u340	Mr Florent Boudié has the floor.
ParlaMint-FR_2018-08-01-E1044.u341	Madam President, the Minister of State, the Minister of the Interior, the Chair of the Committee on the Rules of Procedure, the rapporteur, dear Elise, ladies and gentlemen, I want to use this final intervention, on behalf of the Group of the European People's Party, to say the spirit of responsibility and calm that will always be ours in the approach to migration issues. Indeed, we are extremely concerned, extremely concerned that migration-related issues in France and Europe are being exploited and hijacked with endless cynicism in the public debate, in the democratic debate. They are poisonously exploited and hijacked by sensitivities of all kinds, which consider that the phenomena of economic exile and the flight of refugees, coming from the African continent or elsewhere, are above all a political paste that must constantly be mixed up, returned and kneaded; a political subject that is conducive to all postures, whether it is to brandish the illusion of unconditioned generosity – I am thinking of Mrs Autain – or to plead an abrasive retreat behind national borders. Ladies and gentlemen, populism is not repelled by populism; We do not reject lies by lying, nor demagogy by demagogy. And with regard to immigration, a balanced, humane solution, initiated, as we have done, with the concern for efficiency, with the desire to face reality as it is and not as it is fantasized, sometimes has less scope for minds than a posture adopted in a theatre of difficulty. We have continually measured it at every stage of the parliamentary debate on this bill, where so many Members of Parliament, on so many benches, have sought above all the fuss and disorder rather than the reason and appeasement that I said a few moments ago that they guide our action. It took, in order to carry out this work, to carry out the law on which we are going to speak in a few moments, to act wisely, to adopt positions of balance on all subjects in order to achieve solutions that were not always self-evident. Ladies and gentlemen, what have we been looking for? To make the voice of France heard, taking a narrow and demanding path: to fight against illegal immigration but to secure legal immigration; giving our country the capacity to better and faster welcome those who seek refuge there, in accordance with our conventional and constitutional commitments, to reinforce the sacred right of asylum; and finally relaunch a policy of integration, each of which has been able to measure the stalemate and inadequacies over the last twenty years. At the end of our discussions, I say this to the Members of my group, as well as to those of the MODEM Group, with whom we have worked a lot: we have not solved everything, of course – how could it be otherwise when the migration issue is by nature moving and changing and even when the migration challenge remains an issue for the future and for Europe as a whole? But we can be proud of the collective work accomplished, proud of the small revolution of the reform of the crime of solidarity and this "humanitarian goal" that will finally be enshrined in the law, proud of a law that has found its balance between respect for the law and respect for rights. [[Applause on the benches of the LaREM and MODEM groups]] We have made sure, ladies and gentlemen, that this bill is a good text, useful for fraternity, useful for solidarity, useful for tolerance and useful for the sense of responsibility that must never leave us, because that is what the French expect.
ParlaMint-FR_2018-08-01-E1044.u342	Mr Pierre-Henri Dumont has the floor.
ParlaMint-FR_2018-08-01-E1044.u343	Madam President, the Minister of State, the rapporteur, ladies and gentlemen, we have before us on final reading the bill for controlled immigration, effective asylum and successful integration. This final examination is part of a particularly worrying context, marked by immigration, both legal and illegal, which has become out of control. You have, Mr Minister of State, referred very clearly to a migratory submersion. Your text, unfortunately, does not respond to the urgency of the situation or to the concrete expectations of our fellow citizens. You can continue to spread in the media to explain how your policy is firm: the reality is quite different, since this bill is marked only by the seal of laxism, permissiveness and the abandonment of any desire to control migratory flows towards our country, France. Every month, new roads are opened by smugglers. The Spanish coasts become the main landing place for illegal migrants in Europe and our Iberian neighbour has recently faced violent attacks in Ceuta. Tunisia sees its youth drift away, in search of another future, on makeshift rafiots. Italy closes its ports and France, more isolated than ever in the concert of European nations, observes the ships passing off Corsica to better welcome the occupants once they have docked elsewhere. Every day, the hard points of illegal immigration in France remember us as much evidence of your guilty inaction. The day before yesterday, in Calais, four CRSs were injured, one of them seriously, during a stone-throwing watch run by alcoholic migrants.
ParlaMint-FR_2018-08-01-E1044.u344	This is deeply outrageous!
ParlaMint-FR_2018-08-01-E1044.u345	In Mayotte, 12,000 illegal immigrants have arrived in the last four months. In Menton, nationalists and populists, on both sides of the Alps, unite on the rubble of your lethargy to carry out punched actions. In the face of the rise of armed conflicts, persistent poverty and political instability in developing countries, in the face of climate disruptions, in the face of the demographic explosion of the African continent, you had an immense responsibility: to find the right balance between the protection of the French and the reception of the displaced.
ParlaMint-FR_2018-08-01-E1044.u346	That's what we did!
ParlaMint-FR_2018-08-01-E1044.u347	And you failed. You have failed because, instead of proposing a political text giving a clear and precise vision to our country, you have preferred to align procedural adjustments that will have no impact on either entry flows or exit flows. You failed because you refuse to make expulsion the norm, preferring permissiveness and illegality. You have failed because, by expanding family reunification, by refusing to send back those registered for radicalisation and by allowing asylum seekers to work from six months of presence, you condemn yourself to keeping individuals in our territory who have nothing to do with it. You have failed because, as they only deliver them to the dropper, you do not even bother to ask our international partners for consular passes, while they gladly accept French development aid, but refuse to take back their nationals: it is they, it is the networks, it is the smugglers, it is the mafias who ultimately choose who remains in the territory of the French Republic or not. You have failed because, in your internal majority struggle to find a balance that cannot exist, you have acted that the number of illegals present in France and that the budget for state medical aid will remain, under your government, out of control. You have failed because you always postpone to tomorrow, the day after tomorrow, forever, in reality, the possibilities of accompanying the departments in the reception of unaccompanied minors, thus creating a gigantic air call. Mr Minister of State, ladies and gentlemen, you have wiped out each of our proposals with one turn of the hand, yet one that will allow us to envisage a common destiny. Deputies The Republicans, we want to take over our migration policy, choose instead of suffering, expel instead of amnesty, and in this we pursue a clear objective: to reduce immigration to France. In many ways, this text will aggravate existing dysfunctions,...
ParlaMint-FR_2018-08-01-E1044.u348	Absolutely!
ParlaMint-FR_2018-08-01-E1044.u349	[[Applause on the benches of the LR group]] ... in particular by opening the gates of legal immigration, transforming your so-called policy of firmness by pretending to be false, completely ignoring the real structural reforms of our migration policy. For all these reasons, the Republican Group will vote resolutely against this text.
ParlaMint-FR_2018-08-01-E1044.u350	Mrs Isabelle Florennes has the floor.
ParlaMint-FR_2018-08-01-E1044.u351	Madam President, the Minister of State, Minister of the Interior, the Chair of the Law Committee, the rapporteur, ladies and gentlemen, after several weeks of a thorough examination, both in the National Assembly and in the Senate, after the failure of a joint committee, followed by a new reading in the inconclusive Senate, we are faced with a collective responsibility: that of voting a fair and courageous text, aimed at establishing a simple but necessary balance between a more effective apprehension of the regulation of migratory flows in our territory and a principle of humanity specific to the values of our Republic. The lengthy debates that led to the consideration of this bill have allowed us to shed light on a balanced, prompt text for the better integration of the first-time aliens, thus giving them the means to free themselves from a fate that seemed to them, a few months ago, of the darkest. While this text is not intended to resolve the migration crisis in the European Union, the latter calls for a collective response from the Member States, which now seems to be delicate, no one can dispute that this text, by renewing and improving the functioning of OFPRA and CNDA, will speed up the processing of asylum applications and improve the reception conditions for foreigners enjoying international protection, in accordance with one of our oldest republican traditions. The objectives and balance of this text will not have allowed us to agree on all the proposals put forward by the Senate. However, we would like to welcome the retention of the one-month deadline for appeal to the CNDA, in accordance with a proposal which we defended at first reading in this House in the name of the right to an effective remedy, which is so essential in a rule of law such as ours. The very spirit of this bill has also made it impossible to replace the current state medical aid scheme with an emergency medical aid scheme with an annual fee for foreign nationals and their dependants, which we welcome as part of our most fundamental values. Nevertheless, the MODEM and related group will remain vigilant on certain points of the text, such as the maximum period of detention of accompanied minors, the presence in principle of the interpreter alongside the complainant before the CNDA when using the video-hearing or the prior consent of the alien to the use of the video-hearing, cardinal principles of a proper administration of justice. Finally, and this is perhaps one of the most emblematic points of this bill, we were able to acknowledge together the relaxation of the regime enshrined in Article 622-4 of the CESEDA – the code of entry and residence of foreigners and the right of asylum –, commonly referred to as the "offence of solidarity". The MODEM and related group had defended, from the first reading, an amendment excluding any aid for the circulation of criminally sanctioned principles even before the publication of the Constitutional Council's decision to this effect. In order to comply strictly with the decisions of the Constitutional Council, we decided, on a further reading, to table an amendment to include in the scope of criminal exemptions from aid for irregular residence any act carried out exclusively for humanitarian purposes, thereby transcribing a reservation of interpretation formulated by the Constitutional Council. [[Applause on the benches of the MODEM and LaREM groups]] Ladies and gentlemen, remaining true to our values and principles is the best way to address the migration challenges we face. With a courageous and humane text, providing concrete solutions, organising a better reception of foreigners and showing common sense, we demonstrate that we can address the issues of asylum and immigration with respect for the dignity of everyone. The objectives and balance of this bill, as it is being put to our vote, seem to us to be binding: that is why we will vote for it.
ParlaMint-FR_2018-08-01-E1044.u352	Mrs Agnès Firmin Le Bodo has the floor.
ParlaMint-FR_2018-08-01-E1044.u353	Madam President, the Minister of State, Minister of the Interior, the Chair of the Law Committee, the rapporteur, ladies and gentlemen, our Assembly is again meeting today to consider, for final reading, a bill that aims to provide a concrete and adapted response to the migration challenge, a challenge that many countries face, whether they are countries of arrival, transit or departure. The news constantly reminds us of both the pregnancy and importance of this phenomenon, as well as our impreparation. Although the case of the ship Aquarius was finally able to find a solution, it did not fail to reveal once again the European divisions on the subject of migration and to highlight again the situation of distress in which thousands of migrants find themselves. For we are not mistaken: if the most recent figures suggest that we are the last peak of the migration crisis, we are more in the middle of a wave of a phenomenon that emerges from structural causes, particularly demographic and climatic ones, which will increase in the years to come. Undoubtedly, we are facing an evolving, multifaceted and therefore complex challenge, which will continue to mobilize legislators in the years to come. So there was an emergency here! Urgency to carry on our long-term thinking! Urgency to reach a balanced text, which allows France to have a better control of migratory flows! It is urgent to have a legislative arsenal in place so that our country can combat illegal immigration, make its right to asylum more effective and improve the reception and integration of foreigners on its territory. The bill has the merit of bringing together interrelated and complementary issues in a single text. Promoting the reception and integration of refugees, adapting our right to operational realities, and from a broader perspective, bringing our legislative framework into line with European law are all actions that contribute to the balance of this bill and to a substantial improvement in our migration policy. Balance: this was the main objective of our discussions. As we come to the conclusion of our examination of this text, it must be noted that the pursuit of this objective has not been simple, as the migration problem leads to passionate debates. As such, we regret that the interference of personal judgment in our discussions has too often tended to oppose laxism with repression, to the detriment of seeking the balance between humanism and responsibility. In this context, disagreements between the Assembly and the Senate majority were predictable. While we regret the failure of the Joint Joint Committee which met in early July and failed to bring together the conditions for a compromise, the debates which took place during the time of the parliamentary shuttle have enriched the text. In the National Assembly, while the philosophy and direction of the bill as a whole had been approved, our discussions allowed for the adoption of some welcome additions and corrections, such as the generalization of reception and situational centres, the CAES, the improvement of mechanisms relating to the situation of vulnerable persons and women victims of domestic violence, and the redefinition of the sequencing of administrative detention. As for the review of the text by our honourable senators, it has also made significant progress, such as the establishment of a law specific to Mayotte or the re-establishment of the 30-day time limit for recourse to the CNDA. The measures adopted by the upper chamber which were likely to call into question the overall balance of the text have been abolished by our assembly. Finally, we are all aware that this law, however complete and successful it may be, will not alone address such a vast issue for our national territory. The IUD, Action and Independent Group therefore takes advantage of this forum to draw the Government's attention once again to the need to include this text in a broader reflection, which encompasses both European and international responses. Throughout the discussions in this House, our group has repeatedly stressed the importance of investing this debate at European level and of stopping opposing Community actions to Franco-French actions. Without disregarding our sovereignty and defeating our obligations, the Community level remains the most relevant for the development of a truly comprehensive and therefore effective strategy. [[Applause on the benches of the UDI-Agir group and on some benches of the LaREM and MODEM groups]] In view of these elements, the IUD Group, Action and Independents will support the adoption of this bill, which, after our discussions, seems to have reached maturity by finding the much sought-after balance between the fight against illegal immigration and the better effectiveness of our right to asylum.
ParlaMint-FR_2018-08-01-E1044.u354	On the bill as a whole, I have a request for a public vote before me by the La République en marche group and the Les Républicaines group. The vote is announced in the National Assembly. Mr Alain David has the floor.
