ParlaMint-FR_2018-01-16-O1111.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-16-O1111.u239	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u240	[[Smile]] Mr President, we are not going to oppose the old and the new world! We need both! The "City Action" must enable more traditional structures to develop and must also, of course, facilitate the realization and implementation of what you have just mentioned, which is, fortunately, already the case. There are a lot of small businesses and small areas that sell via the internet and start in digital. This must exist, as it allows for development and living in the city centres. Third-places, Fab Labs, coworking and nurseries are in full development. This movement is useful, and even indispensable, for medium-sized cities, and fortunately, many communities have begun. Don't worry, the "City-City Action" will allow, thanks to the arrowed funding, to develop these kinds of initiatives that we particularly need in the medium-sized cities. In addition, we have the project, which is very close to our heart, to organise national meetings on the subject, in order to articulate all the actions carried out by the State in this field.
ParlaMint-FR_2018-01-16-O1111.u241	Mr Christophe Arend has the floor.
ParlaMint-FR_2018-01-16-O1111.u242	Mr Minister for Territorial Cohesion, the issue of the disappearance of local public services is of paramount importance in the light of the loss of confidence in the state, which is only increasing among our fellow citizens. Left behind, they feel physically excluded. This subject, which concerns both rural and urban areas, has its share of responsibility in the rise of populism. In my constituency, in Moselle East, the closure of post offices, for example, is very poorly lived. Their public service missions so far, but also the meeting place they represented, are sorely lacking. How can this desertification be overcome? Over the past several years, the issue of accessibility of services to the public has been recognized as one of the key territorial equality issues. After the "Public Services Relay" label, created in 2006, the "Services to the Public" experimental protocol, set up in 2010, the generalisation of the creation of shared spaces since 2013, with the establishment of public service houses – MSAP – and the confirmation, at the end of 2014, of the objective of improving access to public services; After that, the NOTRE law of 7 August 2015 accelerated the process of multiplication of service houses to the public. We welcome this movement, but we would like it to accelerate. This is the commitment of our President of the Republic, and you yourself, Minister, have recently reaffirmed this will. These public service houses provide an opportunity to respond to the difficulties I mentioned earlier, as they make an interlocutor available to all citizens. This well-identified interlocutor is able to provide answers, on a daily basis, according to the specifics of the territory. All too often, however, this interlocutor is absent. Today, there are 1,150 service houses for the public. Minister, can you present to us your action plan, in the short and medium term, for the multiplication of these service houses to the public?
ParlaMint-FR_2018-01-16-O1111.u243	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u244	Mr. Member of Parliament, the Prime Minister and I have indicated our intention to develop service houses to the public in a meaningful way during this quinquennium. However, they should not be the corollary of the withdrawal of deconcentrated services from the State. That wouldn't be a good thing. The territorial grid must be of quality, since, as noted in a report by the Defender of Rights, 20 per cent of the population is likely to be excluded from access to essential services as a result of their digitization. We need digital infrastructure, of course – the announcements we have just made in this area are important – but we also need our citizens to be able to use it! We still have a lot of work to do in this vital area, including in medium-sized cities, as a recent report by the Office of the Commissioner-General for Territorial Equality shows. The State supports the proliferation of these service houses to the public until 2020: many MSAPs will be deployed in the country, especially in medium-sized cities and in priority neighbourhoods of the city's policy. In addition, we are thinking about redefining the generalization of service houses to the public. The latter must be, I recall, a privileged place for the digital transition, because a large part of our citizens need to become familiar with the use of digital technology, which must go hand in hand with the development of service houses for the public.
ParlaMint-FR_2018-01-16-O1111.u245	We come to the questions of the Republican Group. Mr Jean-Marie Sermier has the floor.
ParlaMint-FR_2018-01-16-O1111.u246	The inhabitants of the rural departments have felt, for several years, that the State has concentrated its action on the major cities and their difficult neighbourhoods, particularly in the context of the city's policy. While this work was essential, balanced land use planning also requires support for medium-sized cities. A medium town is "the city of the side" for all the villages around it. Sometimes sub-prefecture, sometimes cantonal capital, it radiates on a basin of life. It brings together the provision of care, the offer of mobility, the high school, the post office, shops and services essential to the entire population. With the saturation of metropolises, the high price of housing, the complexity of travel and the many problems caused by urban congestion, I am convinced, along with many others, that medium-sized cities can attract new inhabitants and spread over the surrounding countryside. You have taken note of this issue, Minister, to which the work of the Second National Conference of Territories, held in Cahors, has been largely devoted. Shortly after, you presented Rodez with the "Action coeur de ville" device. Elected from a town in the Jura, Dole, with 24,000 inhabitants, I know well the world of local public enterprises, more and more responsible for piloting the development actions of the city centres. So I know you're just aiming. Yes, we must support independent businesses, which are unfairly competed by peripheral shopping centres and e-commerce! Yes, there is a need to increase the number of inhabitants of city centres, which means that old buildings must be rehabilitated! Yes, it is necessary to strengthen the attractiveness of the city's cores by developing wifi as well as commercial locomotives and cultural animations! The plan "Action coeur de ville" gives rise to many hopes. I would therefore like you to specify the terms and the timetable, Minister.
ParlaMint-FR_2018-01-16-O1111.u247	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u248	Your question, MP, is about the use of local public enterprises to facilitate the "City-City Action" approach. It is not the former rapporteur of the law for the development of local public companies that I am who will go in the opposite direction. We now have some instruments that need to be used to facilitate these operations. I had the opportunity earlier to recall the essential features of the scheme, targeting most of our medium-sized cities and proceeding from the will – I repeat, because it is important – to take as a starting point projects that come from these cities. [[Smile]] It is not a question of laying down provisions very intelligently drawn up by our excellent collaborators of the ministerial offices, who all know very well the medium cities and our local authorities! It is a question of asking the medium-sized cities with projects to include them in a vision for the years to come and to define restructuring projects – because that is often what this is about, I know it well to live it in my territory. Why do our fellow citizens, at least some of them, leave the city centre to settle on the outskirts of medium-sized cities? For several reasons. Local taxation is one of them. This problem will have to be solved: when a city-centre has a 22 per cent housing tax rate while it is 6 per cent in a nearby municipality, there are some problems! Similarly, the absence of the possibility of restructuring certain islands, depending on the light, so that our fellow citizens can live in them according to their desires poses certain problems. We will therefore rely on projects, which will be transmitted by the prefects in association with the local authorities. We will set up a steering committee, under the auspices of the Department of Territorial Cohesion, with local elected representatives. Of course, this action is planned over five years: not all projects will spend the first year! We will take stock according to their state of progress.
ParlaMint-FR_2018-01-16-O1111.u249	Mr Julien Dive has the floor.
ParlaMint-FR_2018-01-16-O1111.u250	Empty windows, lowered iron curtains, "For Rent" and "For Sale" signs: these images have integrated the daily lives of many French people, especially those living in medium-sized cities. In the words of Olivier Razemon, "France has killed its cities". She killed them by allowing the territorial divide to increase day after day, especially since the 1960s. Degraded access to public services, transport and training, medical desertification is growing every year, even in the city, white areas are insulating vulnerable audiences, the closure of shops in town centres... Some territories combine the handicaps while the cities manage to maintain the living conditions of their inhabitants at a good level. Twenty-seven French cities are now considered "very deserted". The vacancy rate in the city centre is more than 15 per cent. In addition to this, I would like above all to recall the daily struggle of the craftsman, the merchant or the restorer to maintain his activity and his jobs. It is necessary to rethink the city centre as a company project by supporting the complementarity of the offer, which means moving away from the mass-market to the mix-product and promoting a logic that the city centre and the commercial area are not competitive, but complementary. We must also reflect on the fierce competition of e-commerce, which the Government is still not tackling. Minister, you have announced a national plan, "Action coeur de ville", to contribute to the revitalization of the city centres. Medium-sized municipalities are preparing their applications. This is also the case for my city of Saint-Quentin, in Aisne, which presents all the criteria for eligibility and whose candidacy I support Mrs. In order to open the debate and complete your process, Minister, I ask you two simple questions. Are you prepared to reform the functioning of departmental commercial development commissions, whose arbitrations are too often unfavourable to the mayor of the city concerned? Are you in favour of a multi-month moratorium on the expansion of peripheral commercial areas?
ParlaMint-FR_2018-01-16-O1111.u251	Bravo!
ParlaMint-FR_2018-01-16-O1111.u252	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u253	I have noted your city's candidacy, Mr. Member of Parliament, and I take note of it. It will be examined in a completely objective way, be assured!
ParlaMint-FR_2018-01-16-O1111.u254	[[Smile]] Of course!
ParlaMint-FR_2018-01-16-O1111.u255	I will answer your second question that I am not in favour of a general moratorium, because the situation varies by territory and by city. On the other hand, the debate on commercial planning must take place, in particular when the housing bill is considered by Parliament. I will defend the idea that local elected officials should be given sufficient power to block the settlements they believe are in conflict with the economic development of their city. On this point, we must be absolutely clear. I recalled earlier that the situation with regard to commercial planning has changed considerably since the 1970s and 1980s, during which some outbursts and wanderings had covered the chronicle. Now we are all aware of the need to rebalance trade. On the other hand, it is essential to value all the territories in difficulty, whatever they may be. Reiterating that rural areas are going badly, that suburbs are going badly and that medium-sized cities are going badly, we will hardly encourage our fellow citizens to stay or return! We must use certain instruments, including the capacity of local executive bodies and the will of the State, regions and departments, to develop these territories and, instead of encouraging our fellow citizens to leave them by saying that they do not perform well, to encourage them to stay there or to return to them.
ParlaMint-FR_2018-01-16-O1111.u256	Mrs Josiane Corneloup has the floor.
ParlaMint-FR_2018-01-16-O1111.u257	Minister, I am elected from a rural area with 145 communes, 90% of which do not exceed the threshold of 1000 inhabitants. The maintenance of activities in the centre of the city is of concern to the mayors and the inhabitants, who are committed to their environment and to their way of life. The presence of services to the public is the primary concern of the actors in this territory. If the time of one room per service is likely to be over, the development of mutualised permanences, such as public service houses and multi-service information and mediation points, must be stepped up as part of a genuine network of the territory. Public services such as CAF, La Poste, SNCF and Veolia can coexist. This works very well, in both urban and rural areas, and creates activity. Yet they must be given the means to function properly! The abolition of aided contracts is a definite blow to them. Can you tell us, minister, how these structures can continue to exist tomorrow? The feasibility of such projects depends on ensuring good digital coverage. Rural departments are doing remarkable work by launching large-scale high-speed deployment sites. More needs to be done, prioritizing public intervention not only at the level of living areas and strategic sites, but also in rural areas undergoing desertification. The State takes all its part, alongside the departments and the regions. It is up to him to also initiate specific actions in rural areas. We are awaiting clarification on this point, Minister. I mean, no downtown life without shops. However, the establishment of shops is not decreed. It is the responsibility of the public authorities to remove administrative and tax barriers in order to encourage enthusiastic traders, who naturally reflect on the financial viability of their installation. The Assistance Fund for Services, Crafts and Commerce can facilitate projects, but their inclusion in the duration necessarily implies a relaxation of administrative burdens and constraints.
ParlaMint-FR_2018-01-16-O1111.u258	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u259	Madam Member, I will not argue about the aided contracts and will refrain from mentioning the programmes of the candidates in the last presidential elections. That would be awkward of me.
ParlaMint-FR_2018-01-16-O1111.u260	You do, though!
ParlaMint-FR_2018-01-16-O1111.u261	[[Smile]] I dare say there's no harm in enjoying yourself from time to time!
ParlaMint-FR_2018-01-16-O1111.u262	We'll be happy on other topics!
ParlaMint-FR_2018-01-16-O1111.u263	More seriously, you have seen that the Government is planning 200,000 assisted contracts, with objectives focused on the priority areas of city policy and rural areas. These provisions have been very clearly influenced by the Government. On the subject you have just mentioned, which is at the heart of this afternoon's debate, the development of public service houses, we fully agree with you. We are also working on this development. It is necessary, I have not yet had the opportunity to say so, to involve several structures which are not there enough today, and to ensure that local authorities are increasingly present there. Indeed, it is not a question of opening service houses to the public without close consultation and cooperation with the municipalities. This coordination, which must be exemplary, can facilitate the work of our local communities: it is essential that it takes place. On the other hand, my answers to the previous questions will provide you with much of the necessary information, Madam Member.
ParlaMint-FR_2018-01-16-O1111.u264	Mrs Duby-Muller has the floor.
ParlaMint-FR_2018-01-16-O1111.u265	We are currently experiencing an unprecedented rural crisis, which is setting up a two-speed France. Our territories are often left behind. They are being asked more and more with fewer resources. Our rural territories are fighting against medical, digital and economic deserts; they lack help and support. Rural elected representatives, 95 per cent of whom are volunteers, socio-economic actors and the entire population, are out of breath. In Haute-Savoie, an interesting device has been used to respond to certain threats to our crafts and local businesses. This is FISAC, which is an effective tool to support developments in the trade, craft and services sectors, with a view to preserving or developing a fabric of local businesses, which are mainly small enterprises. For example, the previous FISAC grants allowed the creation of a bakery-pastry shop in Jonzier-Épagny, the development of the centre-bourg of Frangy and an urban development and revitalization operation in certain towns, notably in Annemasse and Saint-Julien-en-Genevois. The problem is that the Fund's resources have steadily declined, and requests often remain unanswered. During the consideration of the draft finance law for 2018, the rapporteur-general passed an extensive amendment to FISAC of an additional €2 million. That's good, but unfortunately not enough. The device can be improved, lasting at the service of our craft and local shops. At present, our local authorities are very much in demand for these local projects, but they must also respond to many other demands. With their budgetary constraints, they could no longer bear the demands of the territories alone. Minister, local projects and businesses are not only creating local jobs; they are also essential tools for maintaining the social link and strengthening the attractiveness of the territory. What do you intend to put in place, and according to what timetable, to encourage them and restore attractiveness to all rural areas?
ParlaMint-FR_2018-01-16-O1111.u266	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u267	Madam Member, fortunately, there are many communities in Haute-Savoie that are doing well, and I welcome that. You know as well as I do, you who are brilliantly representing this territory. You recalled the situation of FISAC: it was abounded by 2 million euros compared to the previous budget after the adoption of an amendment by the National Assembly, while its resources had been gradually reduced in previous years. This measure decided in the context of the 2018 budget is therefore positive. Taking into account this increase, the Fund has therefore been allocated EUR 16 million in commitment authorisations and EUR 13 million in payment appropriations. Compared to all State, ANAH, Action Logement and Caisse des dépôts appropriations, those allocated to core city operations are not minor, but very targeted. What is important is that they are directed towards the projects that will be selected. As I said, if 200 medium- and small-sized cities can benefit from it in the course of a quinquennium, it will be significant enough to counter the drift we are seeing in a number of these communities. Reference was also made to areas of rural revitalization. If we maintain the rural contracts, I insist on the importance of keeping a positive language on these rural territories, these medium-sized cities: by telling the people who live there that their territory is going wrong, they will eventually believe us!
ParlaMint-FR_2018-01-16-O1111.u268	That's right!
ParlaMint-FR_2018-01-16-O1111.u269	There are difficulties, of course, but we must work together – commons, intercommunalities, departments, regions, state – to improve the situation, whether for downtown trade, housing or accessibility, which are also the object of the plan on medium-sized cities.
ParlaMint-FR_2018-01-16-O1111.u270	Mrs Emmanuelle Ménard has the floor, in the name of the non-attached Members.
ParlaMint-FR_2018-01-16-O1111.u271	Minister, I will only remind you of three figures, because they are sufficiently eloquent. The commercial vacancy rate in city centres has increased by 63 per cent over four years. At equal turnover, large distribution creates three times less jobs than local commerce. Finally, 2.5 million square metres of new commercial space are planned by 2021. Yes, 2.5 million square meters, you heard me! Our city centres suffer and the increase in the number of permits for openings in the periphery is one of the major causes. The desertion of the city centres by the shops is both the cause and the consequence of a mechanism of impoverishment which has negative effects not only in terms of employment and activity, but also in terms of ecology, public finances – one invests in the city centres by allowing the development of commercial urbanisation of the periphery – tourism and attractiveness of the city centres, housing, and even social ties. In Béziers, the commercial vacancy rate rose from 27 per cent three years ago to 17 per cent today. It's still too much, but we're on the right track. We still need to be helped. I will rely on one example: the free zones. Minister, has any record been made of this? In Béziers, failure is total. They have emptied the city centre of liberal professions and small businesses. They have accelerated the impoverishment of the heart of the city without solving, far from it, neither the problem of unemployment nor the problem of the integration of the inhabitants of these districts. This did not prevent the state from returning them in 2016, against the opinion of the mayor and local economic actors and even when our city centre is a priority area of national interest. The observation is the same in Montpellier: in the district of La Paillade, for example, we find all the studies of usher of the city, barricaded behind fences and video surveillance systems, attracted by the effect of a tax advantage without any result on the neighborhood. Minister, are you ready to adopt a moratorium on the installation of large areas beyond a certain percentage of commercial vacancies? Can you take stock of the effectiveness of the free zones? Finally, are you ready to fully involve the mayors concerned in the measures to be adopted to save our city hearts?
ParlaMint-FR_2018-01-16-O1111.u272	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u273	Madam Member, I am concerned about the question of medium-sized towns, and I am well aware of the situation in Béziers. You have already mentioned this, and I know that you rightly consider the situation to be a matter of concern. As far as local authorities are concerned, I would like to point out, because I have already had the opportunity to say so, that we are drawing up the action plan for medium-sized cities in close cooperation with the association of elected representatives. We have therefore largely taken into account the wishes and findings of the elected associations. You have just said that the free zone system is not working. Many elected officials consider that it is necessary to create them everywhere. It is essential that an assessment be made, because in some cases the benefits of these areas are not as important as expected. There would certainly be a mission on the subject. On the possibility of a moratorium, I have already said to myself: rather than imposing one for a few months, as some people here or elsewhere ask, which would not change the situation, it is preferable to amend the legislation to strengthen the role of local executives. Some of them are tired of being forced into settlements that they do not want.
ParlaMint-FR_2018-01-16-O1111.u274	We have completed the questions on land use planning and the revitalization of city centres and town centres.
ParlaMint-FR_2018-01-16-O1111.u275	The meeting was suspended for a few moments.
ParlaMint-FR_2018-01-16-O1111.u276	The meeting was resumed.
ParlaMint-FR_2018-01-16-O1111.u277	The next item is the questions on national housing policy. I would remind you that the Conference of Presidents has set a maximum of two minutes for each question and each answer, without the right to reply. We begin with the four questions of the IDU, Action and Independent Group. Mr. Francis Vercamer has the floor.
ParlaMint-FR_2018-01-16-O1111.u278	Mr. Secretary of State to the Minister for Cohesion of the Territories, on 14 November last, in Roubaix-Tourcoing, the President of the Republic declared that it was "indispensible to regain the strength, the mobilization of the first generation of urban renewal plans", while promising that the State would be at the rendezvous of budgetary commitments to restore an ambition to the ANRU – National Agency for Urban Renewal – with a mobilization of the State, Action Housing and social donors. My question therefore concerns the implementation of urban renewal projects, within the framework of what is now called the NPNRU – the new national urban renewal programme. Over the past three and a half years, they have been slow to materialize, hampered by the complexity of their implementation at the intercommunal level and hampered by difficult negotiations between the State and social donors. The finance law we have recently passed is not such as to encourage social donors and seems to announce a further brake on urban renewal projects. While they are, alongside the ANRU, the first financiers of urban renewal projects, social donors, in particular public donors, deprived of 1.5 billion euros by the provisions of the Finance Act for 2018, have already announced that they are suspending most of their projects for the construction of new housing and the rehabilitation of the existing park. Some also announced that they would reduce their costs for building maintenance. However, the social donors most exposed to the consequences of the finance law are usually those who intervene in neighbourhoods in great difficulty. In other words, the mayors and local elected representatives who have embarked on an urban renewal project are concerned because without the social donors, there is no urban renewal. Therefore, Mr Secretary of State, can you reassure us about the involvement of donors in major projects, on the understanding that their intervention on housing and housing is essential if we are to improve the quality of life in priority neighbourhoods? What guarantees can you give to social donors to motivate them and encourage them to invest calmly in these neighbourhoods?
ParlaMint-FR_2018-01-16-O1111.u279	The Secretary of State to the Minister for Territorial Cohesion has the floor.
ParlaMint-FR_2018-01-16-O1111.u280	Mr President, thank you for your question, to which I will give several points of answer. Your question concerns the NPNRU, the new program of the ANRU, and the guarantees that we can bring to ensure that it is a success for those who live in the priority neighbourhoods of the city – QPV – or, as they are called, the identified geographic neighbourhoods. The first element of the response is the financial commitment. In order to meet the commitments made, the amount allocated to NPNRU had to be doubled from EUR 5 billion to EUR 10 billion. That is the case: an amendment was adopted in the Finance Act to provide the programme with EUR 10 billion; the State will itself pay EUR 1 billion over the period concerned. You also rightly refer to the modalities of involvement and management of the ANRU. In fact, new processes have emerged in recent years. We are doing community-related work to identify what needs to be simplified or not and potential problems: for example, demolitions, operations that have become more difficult than in the past. Finally, you asked me about the guarantees given to social donors as to the means we offer them to invest. First, since the park located in the neighbourhoods concerned belongs to them, they have every interest in engaging with us in its renovation; Secondly – I am sure we will have the opportunity to come back to it with other issues – the reform of social housing that we are defending is not, contrary to what we have heard, to raise funds from donors, but to improve their financing conditions through a considerable financial package, particularly abundant by the Caisse des dépôts.
ParlaMint-FR_2018-01-16-O1111.u281	Mr Thierry Benoit has the floor.
ParlaMint-FR_2018-01-16-O1111.u282	I want to ask you, Mr. Secretary of State, about a subject that is very important to our group but also to others: the accession, especially social, to the property of young people, first-time graduates and French people with low incomes. A few months ago, you made announcements that destabilized the sector and disconcerted all the housing operators. In particular, they have destabilized those who, young like you, wish to become owners. On this point, we want to draw your attention to two tools, which are neither of the tax niches, a subject of vigilance in our group, since Charles de Courson is one of the most resolute of them.
ParlaMint-FR_2018-01-16-O1111.u283	[[Smile]] Indeed, except when it comes to niches for champagne!
ParlaMint-FR_2018-01-16-O1111.u284	In fact, on the niches, there's something to think about. The first topic I want to question you about is the zero-rate loan, the PTZ, on which you made announcements regarding new and old housing. We would like to see the granting of this mechanism expanded regardless of the areas – tense or not. However, you have tightened it since, under the last finance law, the PTZ for the nine in the relaxed area was extended for only two years, compared to four years earlier, with the maximum share of the cost of the operation covered by the loan being reduced to 20%, compared with 40% in the tense areas. This is, in the end, like a zero-rate shutdown of the loan. The second topic is the accession LPA, which concerned some 50,000 modest households per year, at a limited cost. It is removed, except in the old zone C for two years. Here, too, the extinction is looming. The original text, moreover, provided for a dry deletion as of 1 January 2018. My question, therefore, is simple: what does the Government propose with regard to ownership, especially social ownership?
ParlaMint-FR_2018-01-16-O1111.u285	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u286	Homeownership, MP, is a fundamental element of the "residential path" that we must propose to our fellow citizens, from the status of tenant to the status of owner, or from this springboard of social housing to intermediate housing – too little developed sector, we will return to it – and then the private park. I cannot allow you to say that the Government is extinguishing the zero-rate loan, of which I recall that the previous financial laws had scheduled the disappearance by 31 December 2017. For the first time, this scheme has therefore been extended, not only in a very broad way, but also and above all for a very long period, in this case for four years, except in zones B2 and C where it is extended for only two years in the nine – but for four years in the old. This long-term renewal is essential, as it provides visibility to promoters, owners and purchasers in the implementation of their projects. The zero-rate loan, therefore, is extended everywhere, the only exception being the amount of financing in zones B2 and C, which is reduced from 40 per cent to 20 per cent. This rate, we did not take it out of our hat but defined it with the professionals, who considered it relevant. Promoting construction between tense and relaxed areas is also an element of spatial planning policy that we must take into account. Finally, the LPA accession is sometimes a complement to the zero-rate loan. Priority was given to the extension of the latter, the accession LPA having been renewed only in Zone 3, as you recalled.
ParlaMint-FR_2018-01-16-O1111.u287	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-01-16-O1111.u288	I would like to draw your attention, Secretary of State, to the contribution of the continuous increase in standards of all kinds over the past fifteen years to the rise in the cost price of housing. The Federation of Real Estate Developers estimates that the accumulation of new standards between 2000 and 2016 now results in an additional cost per square metre of 425 euros excluding tax, or 27.5% of the current cost of building a dwelling, which is around 1,600 euros per square metre. I will take a few examples. For thermal regulation – thickening of insulations, thermal bridge breakers, insulation from the outside, solar panels, collective heating plant or suppression of heating by Joule effect, in plain light of the electric radiators – the extra cost is estimated at 200 euros excluding tax per square metre; for the regulation of accessibility for persons with disabilities, the additional cost, of 45 euros, includes for example the deterioration of the performance of the plans – i.e. of the ratio between the living space and the built-up surface – the increase of the surfaces of damp rooms, the open kitchens in the living rooms, the additional power outlets or the raising of the thresholds to access the terraces; For various regulations, it is 170 euros and results, for example, from the compulsory installation of fibre optics – 200 euros without tax per dwelling – and from the charging of electric vehicles – 200 euros without tax per dwelling – and I pass it.
ParlaMint-FR_2018-01-16-O1111.u289	He's right!
ParlaMint-FR_2018-01-16-O1111.u290	So my question is simple. What measures do you intend to implement to reduce the number of standards – and especially their content – in order to moderate the cost of housing construction?
ParlaMint-FR_2018-01-16-O1111.u291	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u292	I'm not going by four paths, Congressman. What you just said is more than fair, and I fully share your concerns about the rise in real estate prices induced by normative inflation. I would like to recall a single figure: over the past five years, more than sixty normative decrees relating to construction have been signed. The Government is therefore making three commitments. The first is not to create any additional standards, unless of course it is security or standards already voted – which parliamentarians can only welcome. Secondly, we need to continue to simplify standards that sometimes seem totally upuesque: when you have an electrically heated house built, for example, you are required to install a chimney, in case, one day, perhaps, you want to switch to wood energy or gas energy that requires this installation. This represents an additional 3000 euros for construction. The third point is that we have discussed at length how to proceed differently. It has been years since the committees devoted to simplification were piled up. So we made a clear decision to rewrite the construction code, which is now thicker than the civil code. I invite you to read it: you will see that, if it sets goals, it also describes the means to achieve them. On the soundproofing of a corridor, for example, it not only sets the final target in terms of decibels, but also specifies the amount of "placo" needed to achieve it! The terms are not those, of course, but you will allow me that language of Beotian. We therefore propose a rewriting of the construction code, so that it only indicates the objectives, which are the responsibility of the professionals, of the skilled, to define the means of achieving them. Our job is to ensure that the objectives are achieved; to find the most innovative, cheap and competitive ways to achieve this. This will be included in the housing bill that the Government will present to you in the coming weeks.
ParlaMint-FR_2018-01-16-O1111.u293	Mr Guy Bricout has the floor.
ParlaMint-FR_2018-01-16-O1111.u294	Mr Secretary of State, the Assembly adopted, at last reading, the finance bill for 2018, which includes a substantial reduction of the LPA for tenants in HLM Park, more than offset by a reduction in solidarity rent – RLS – by social donors. By an agreement with part of the industry, you have mitigated the shock of this measure on donors' finances for 2018 and 2019, but the allocation of €1.5 billion will have its full effect in 2020. By the same agreement, you have provided for a support scheme, via the Caisse des dépôts, for the profit account of social housing organisations which, housing the most beneficiaries of the APL, are the most affected – in other words the most virtuous organizations, since this practice is precisely that which is expected of them. You also wanted a restructuring of the donor base, which has made a commitment to implement it. I know you're working on it. Secretary of State, we need on the ground these development tools that ensure the cohesion of the territories in many places. We need a proximity between place of decision and place of action. Can you therefore give us the guarantee that our territories will retain the HLM tools they have? How can we guarantee that the Caisse des dépôts will secure the finances of the donors? What proportion of the outstanding debt will be increased by ten or fifteen years? Will the Fund's significant margin rate on HLM outstanding debt be maintained or lowered? Will rules be set, or will each case be studied flexibly? Is there a parliamentary mechanism to monitor this implementation? In short, can you assure us that the Caisse des dépôts will restore the intervention capabilities of our HLM tools to house our fellow citizens, implement urban projects and ensure the cohesion of our territories?
ParlaMint-FR_2018-01-16-O1111.u295	The Secretary of State has the floor.
ParlaMint-FR_2018-01-16-O1111.u296	To the fundamental question that you have just asked, honourable Member, I will give a very precise answer. The reform that we are defending, in order to simplify it, is based on a finding: forty years ago, we decided to stop the aid for construction in favour of aid to the person. This decision, which was justified at the time, was made by Raymond Barre.
ParlaMint-FR_2018-01-16-O1111.u297	Excellent reference!
ParlaMint-FR_2018-01-16-O1111.u298	It is therefore now more than €20 billion a year that is spent on APLs. This system, we discussed in the last finance bill, is not sustainable in the long run. The opposition groups have also proposed efforts, through the application of rates, to reduce the level of these allowances. The reform that we have voted for with the finance law has a first objective: to make no losers among the beneficiaries. As for the second objective, I shall mention it very schematically. Social donors receive money twice: at the entrance, through the Caisse des dépôts, and at the exit, with the APLs – which, as you know, are not in the social park paid to the beneficiaries but to the donors, offices and companies. In order to reduce, on exit, the envelope devolved to the APLs, our reform therefore consists in significantly strengthening the financing at entry, via an increase in the stock of debt with the Caisse des dépôts. The average amount outstanding today is around EUR 150 billion, of which EUR 30 to 50 billion can be extended by the Fund's commitment – and to answer your question – over time. The effort is therefore significant. The second commitment relates to "almost capital" financing through high-balance-sheet loans amounting to €2 billion. Third commitment: 4 billion loans in fine, with specific provision, the application of a fixed rate. The fourth commitment relates to the granting of 3 billion loans for energy renovation aid, and the fifth to a somewhat specific, energy-efficient loan of 600 million euros. All these commitments are part of the agreement that we have signed with a large part of the social donors, in particular the social housing companies – ESH – and the public limited companies of collective interest – SACICAP – which are two members of their families. They are binding on the State and will therefore be bound.
ParlaMint-FR_2018-01-16-O1111.u299	We come to the questions of the New Left Group. Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-01-16-O1111.u300	We spent the fall trying, in vain, to convince the Government of the usefulness of the Pinel and PTZ devices for all territories. These devices work very well, especially in a relaxed area. You have made a few small concessions by delaying the restrictions to access them a little and, with your new plan "Action coeur de ville", you announce that, finally, the PTZ must take into account the needs of medium-sized cities located in relaxed areas, so B2 and C. All this still appears confused and paralyses all the operators, who prefer to postpone or sometimes cancel their projects until they see it more clearly. The Bank of France's figures in this regard are already alarming. I also fear that, in doubt, our fellow citizens will give up these mechanisms, which have proved their worth. I dare not imagine that this is the objective pursued through incomprehensible communication. In a while, your bill says ELAN – housing development and digital development – which is currently in concert, may come back to the cards again. At this stage, on 1 January 2020, there will indeed be two categories of territory, the metropolises and the rest of the country, and two categories of French, those that will be able to build new ones in the metropolis, including those assisted by the public authorities, and all the others. By always trying to increase the population where it is already the largest, and by increasing the current difficulties, both in terms of pollution and safety and in terms of mobility or mix, you will accentuate the divide not only between territories, but also between populations. It is not my conception of harmonious land-use planning. So my question is twofold. Mr Secretary of State, when will you finally stabilize the Government's position on access to housing, in order to prevent this cacophony from completely breaking the momentum of recovery that has been taking place over the last two years? Will you finally hear the associations of elected representatives to allow all our fellow citizens and all our territories to have access to these devices in order to allow a fair and balanced development?
ParlaMint-FR_2018-01-16-O1111.u301	The Secretary of State has the floor.
