ParlaMint-NO_2011-12-02.ana.ud1812e24	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2011-12-02.ana.ud1812e688	It opens for line chord shifts.
ParlaMint-NO_2011-12-02.ana.ud1812e691	We have heard today that representatives from a party representing the government, the Central Party, are provoked – powerfully provoked, because some police officers operate and reorganize and shut down the Länsmannskontoret and change the county structure. State Secretary Moland Pedersen earlier suggested that perhaps further structural changes should now be awaited until the outcome reform comes to Stortinget. Does the Council of State share the provocation expressed by the Central Party? And does the Council have any intention of notifying the police officers that now all restructuring will stop until the results reform is achieved?
ParlaMint-NO_2011-12-02.ana.ud1812e698	There is a great deal of freedom in the individual police districts, individual police officers, to use resources as they see fits best in relation to the priorities given by the central government. However, the issue has been addressed in the governance dialogue with the Police Directorate, with a view to ensuring that police officers do not go beyond these frameworks, and that account is also taken of the fact that within a reasonably short period of time a communication on the reform of results will be presented which will also address the necessary structural issues. So on this question, it's suggested that we take the important questions in the right turn and order.
ParlaMint-NO_2011-12-02.ana.ud1812e705	Thanks for the answer. I'm not going to challenge the Council of State to give any guarantees, as the former Minister of Justice did, and as the Prime Minister has actually done: to guarantee the police students jobs when they're done. This has been a major part of today's debate: how are you to ensure that those who have graduated have a safe job to do, and that they do not choose alternative careers once they have received the education that is so important and that is a resource that we all need? As we all agree, towards 2020, we are going to have two police operatives and women per 1,000 inhabitants. That means we have to have at least 6,500 new ones. Measured against population trends and the new forecasts here: Do you think you can do what you want to do?
ParlaMint-NO_2011-12-02.ana.ud1812e717	I am well acquainted with the report Police against 2020, and I am also well aware that this government has worked well for many years to ensure that the objectives that lie there are met. I think it is important to stress that there is a large aftermath from the former Bondevik governments that has been quite demanding to refill. So once we've doubled the student intake at the Police College and employed several civilians, and also made a separate special agreement with the civil servants' organisations, it's not only been to fill the gap that the bourgeois governments actually made bigger, but also to provide the best possible basis for the future with a view to meeting the objective set out in that report.
ParlaMint-NO_2011-12-02.ana.ud1812e724	This is due, inter alia, to: that the previous government – not the Bondevik government, but its own government – took a two-year break with regard to the increase in the admission to the Police College that then Minister of Justice Dørum started. For two years, a rest break was taken. The question to Bøhler and Chaudhry remained unanswered. Then perhaps the Council of State can answer that: what will the police coverage be in 2012, based on the budget adopted later today? Question two: Can the Council explain why she is in principle against the partial private use of GENA being able to analyse DNA, while in principle she is in order for the whole private ownership of Ibas to be able to analyse the content of PCs and cell phones for the police, which is much more incriminating and more personal use than leaving DNA analyses to a partial private time company?
ParlaMint-NO_2011-12-02.ana.ud1812e739	There were many questions in a short time. In terms of DNA analyses, I'm happy to say that the residues are degraded and that the capacity is good. I think it is special to take a supplier discussion from this pulpit, and I realize that from being a question of capacity, it is now a question of whether you have to check the quality of the system you have already used and had confidence in. As far as the budget for next year is concerned, it provides the basis for a greater number of new police posts, and it is also important to look at how we can have a better impact on the funds already in the establishment. There is also some background to our intention to present the Communication on the reform of results.
ParlaMint-NO_2011-12-02.ana.ud1812e748	I want to go back to where we started this round, with the local restructuring in the police districts. Based on geography – given where the Council of State comes from – there is at least a very good foundation for healthy peasant wealth, she should be occupied by visible police in the districts. In reply to the representative Sandberg in the city, the Council of State was clear that matters are now pending in the Police Director's office. But the challenge is that both the police districts and the POD have quite a lot of freedom today, and pending the reform of the results, many of the proposals to the police officers are being put on hold, and then the process of economic savings in the police district is actually being carried out because they need to re-prioritize resources. And then it's going to be very difficult in the next round to stop the reorganisation politically, because much of it is actually carried out in the economic, at least a tendency. [[President clubs]] [[The President Clubs Again]] How big politically, or...
ParlaMint-NO_2011-12-02.ana.ud1812e753	I wish myself the best possible police work out of every single penny, and I also want a visible police force, both in cities and districts. I think it is necessary to review the work process. I think it's necessary to see if the problems are solved as efficiently as possible, whether we have administrative arrangements that we can change and thus actually convert into more visible police. I think there are opportunities for conversion that can be difficult to implement in the short run, but that in the long run will ensure better police services. We need to go through this widely, and that is something of the background for notifying the reform of results. I think that can provide better police services, both in the Setes Valley and in our cities, and that must be the goal.
ParlaMint-NO_2011-12-02.ana.ud1812e758	The words Jens Stoltenberg chose after July 22 are very important: «More democracy, more openness, but never naivety.» I am concerned about whether this is followed up in practice, and have a concrete challenge for the Minister of Justice: In VG 22 November we could read that the PST sent a secret letter to the Minister of Justice, where they are asking for new terrorist laws. The communication director of the PST confirms to the VG that the PST has sent letters proposing changes to legislation and methodology, and the communication director also confirms that they have sent a letter on the barriers between the PST and the Defence E-service. We in the Left would like to debate the home of the PST, the methodology, the resources and the priorities, but the debate must be open, not through secret letters. My question to the Minister of Justice is therefore: Will the Minister of Justice publish the letters from the PST, or is she behind the PST leader who is now acting in violation of Jens Stoltenberg's promises of more transparency?
ParlaMint-NO_2011-12-02.ana.ud1812e764	I believe that the question can be answered very briefly, if that is the letter I am thinking of. I think it's already published and that it was confirmed by the PST a few days ago.
ParlaMint-NO_2011-12-02.ana.ud1812e769	The cord shift is over.
ParlaMint-NO_2011-12-02.ana.ud1812e772	The government has submitted a good government budget for 2012. It is a budget for security and well-being. The budget has been characterised as a tight budget. This is necessary given the times of economic unrest around us. Especially important is a tight budget for our export-oriented business that will have problems with large increases in interest rates and exchange rates. It goes without saying that a tight government budget means that there are not large increases in operating budgets in the various sectors, either in the justice sector. So the government is putting forward a government budget that provides security for jobs and thus for our common well-being. At the same time, the government is presenting a budget for justice for common security and well-being. The Justice Budget has many and important stakes. I can mention new emergency networks, continued record high admission at the Police College, escalation of the number of children's homes – this time in Ålesund – strengthening the system of compensation for victims of violence, strengthening the PST and the police's preparedness, new activity building in Oslo prison, and extending the system of electronic compensation. These are all initiatives that will contribute to more security and well-being. In the Committee on Legal Affairs, I am so fortunate to have the responsibility of the rapporteur for criminal matters in budgetary terms. Over the course of these good and well two years, I have gained a relatively good understanding of how the criminal justice system works. After many visits around the criminal community, I would say that I am impressed by all the good and targeted work done in our long-term country. The size has been granted over 2 billion. kr to the Criminal Service since we got a new government in 2005. The appropriations have mainly been used to expand settlement capacity and improve the content of the implementation of penalties. The capacity of 870 places has been a huge lift. The provision of training for convicted offenders has improved, the health services in prison offer a good deal, the Nav in prison has delivered good results, and 25 repatriation coordinators are now being recruited to coordinate the work done under the responsibility of the criminal services of the other institution. These are the government parties very pleased with. The Rusmes in several prisons, drug programmes with judicial control and electronic redress are new measures that we in the government parties are proud to have implemented. And we have faith that all these measures will help to improve the content of compensation for those convicted, so that they are better brought back to a life without crime. Suffering if it has happened very well in criminal care, there is still much that can get better. I have registered through my visits that the engaged and competent employees could have done more if the operating budgets had been more liberal. The signals from the employees, after many years of high coverage in prison, are that they are getting worn out. Next week the members of the Norwegian Fengsels- und Friåmorgsorgsförbund will conduct a political strike. They require better staffing of criminal services, both in the interests of their own security and in order to be able to follow-up on the criminal health notification Penalties that work best. In order to plan and meet the challenges of criminal justice, overall planning is very important. I am therefore pleased that it now appears that this crew analysis – and the crew plan, together with the capacity plan – is soon to be completed, so that we can get this overall picture and think in the long term. Then we know what it takes to succeed. I will end by taking the opportunity to thank former Minister of Justice Storberget for his genuine commitment and great heart for the very care of the criminal justice system. I hope and believe that our new Minister of Justice, Grete Faremo, will follow up on this in the same track.
ParlaMint-NO_2011-12-02.ana.ud1812e789	In the financial debate last week, I had a broader article on the totality of the Judicial Budget of the Advance Party. I am now going to carefully link some comments to the budget of the courts. Earlier in the debate today, we have heard the representative Jan Bøhler of the Workers' Party say that the courts are getting a lot of pressure after the increased investigation efforts of the police. We have also heard State Council Faremo say that it is a wish of the government that we should have effective courts. It is strange, then, that the government in the budget for 2012 — and also in the budget for 2013 — signals cutbacks in the budgets of the courts. This is remarkable in comparison with the fact that, after quite considerable pressure from both the courts and the opposition in the revised 2010 report, we had added 15 million. kr in the budget, and then in the 2011 budget for a further 40 million. Just in order to recruit several judicial jurisprudences, so that after the increase in particular civil cases, we could get things off faster – and get efficiency throughout the criminal justice chain after the police budget had been significantly increased in recent years. That is why I hope that someone from the government parties in this debate can explain the logic of this policy. I think there are very few who understand the logic of this kind of budgetary policy. During the hearing of the Judicial Committee earlier in the autumn of 2012, with regard to the 2012 budget, the Court of Justice gave clear signals that, if this budget is adopted, we are faced with a quite significant downturn in the courts, not least among judicial bodies. When we get such clear signals from a department, and yet we choose to move on with this in the Stortinget, we can ask ourselves what is really the point of the Stortingen budget hearings – when the government's representatives are obviously not willing to take this up. Dwellings in 2012–2013 are very unfortunate, while the Court of Justice has now presented its financial plan for 2013–2016, where they signal a significant resource need in the coming years. Among other things, 191 million are signalled for the district courts. kr in additional need for 2013. It is clear that if these wishes are to be fulfilled, the government will have to make a significant appeal to the courts in the future. We need to get rid of the cases that are pending in the courts in order for us to have an effective criminal chain – and not least because we have to get civil cases away quickly. The courts are not just justice policy. I would argue that an effective court is also important industrial policy. It is important for business and civil parties in a country that we have a court system that takes care of matters, so that cases should not lie in the courts in dispute longer than necessary. There is a need for significant investment in ICT and technical solutions, for the construction of new premises in some of our cities, for ensuring the recruitment situation of the land change courts and, not least, for the implementation of the new law on land change.
ParlaMint-NO_2011-12-02.ana.ud1812e804	This is an economic concern in Europe. Many people experience increasing uncertainty for work, for homes and for homes. Therefore, it is important that we have a government budget in Norway that provides the basis for mitigating this uncertainty. For this reason, the Right has provided an alternative budget that is more secure through knowledge and competitiveness than the government. That is why justice policy is also important. And not least, that's why the Right is concerned that the police coverage has gone down to 21 out of 27 police districts under this government, and that we are now seeing signs that the settlement queues are growing. I can also add that the Council of State can't answer if the police coverage goes up next year. I can also see that the Council of State cannot draw the ideological dividing line here either: private companies are used to disperse computers and mobile phones, while private, partial privacy, DNA laboratories are not allowed to use them to make DNA analyses. The financial turmoil in Europe can quickly result in increased crime and extremism. With today's open borders we must be prepared that this can also reach us here faster and to a greater extent than before. In this perspective, Right is pleased that the Storting is gathered behind Meldning.St. 7 for 2010–2011, Fight against organised crime. Crime is evolving towards becoming more frontierless, organized, advanced and brutal. With this big message, we have jointly provided a good basis for meeting developments. But we must not believe that this is what we are doing. This is a continuously changing landscape. Therefore, the Right has proposed to strengthen the police operating budget by 400 million. kr, of which strengthen efforts against organised crime by 10 million. kr. This is, on our part, part of the strengthening of the coordinating body, which has as its main task the coordination of police action in this important area. Feedback from the police underlines the important role that this body plays in the overall fight against organised crime. Another area of borderless crime is the growing threat of cybercrime and cyberattacks. This type of digital threat affects both individuals, businesses, organisations and nation states. In the Right’s view, efforts in prevention, detection and incident management, information sharing, intelligence and investigation of incidents in this area need to be facilitated. In addition, the Right will point to the increasing importance of securing critical infrastructure. The right requires a stronger government commitment to combat the ever-increasing threats of this crime. I would also like to address another topic on which the Right attaches great importance to its policy of preventing crime. Voluntary organisations are making a very social contribution to criminal justice in their efforts to prevent new crime and reduce the level of crime committed by former convicted offenders. Voluntary organisations represent a very important addition to the work done by the state and the municipalities with the return of former criminals to a non-crime-free life. The right will therefore increase the appropriations for this work by 5 million. kr. There are many former criminals who can thank these voluntary organizations for coming out of a vicious circle of crime and intoxication. It is the Right's hope that ideological allergy to private solutions will not prevent the important contribution of these voluntary organisations to re-establishing vulnerable individuals after settlement.
ParlaMint-NO_2011-12-02.ana.ud1812e823	I would also like to include myself in the range of representatives who have thanked the Ministry of Justice and the staff there for the efforts they have put into the work since 22 July. The budget we are discussing today provides the framework for an active and comprehensive fight against crime. We will continue to strengthen and improve efforts for more security and less crime. Crimes shall be promptly resolved and offenders punished and rehabilitated. Providing security in society is an important welfare issue and a major public responsibility. After the summer events, probably many have felt that the sense of security was weakened. Many children in particular think that Norway is no longer as safe as they thought. We know that after the attacks on 11 September 2001, there was a marked increase in the number of anxious children in the United States. We might have to assume that this is happening in Norway too. NRK's Super New Team a few weeks ago, one thing about this. There they visit a 5th grade from the Drama that has spent a school hour drawing something they were afraid of. Most of the drawings were attached to the events on July 22. A guy said he couldn't sleep at night because he was thinking about the terrorist. We politicians have an important responsibility for making children – and adults, for that matter – feel secure. I believe that the government is taking this seriously by proposing to increase the overall appropriations for police and preparedness by 2.2 billion. kr. The budget for the police and prosecution will be increased by 104 million. kr for the purpose of investigating and handling the terrorist attacks against the Government Quartet and the Utøya. In order for us to feel safe, it is important to have rapid reactions and punishments that work, for those who commit criminal acts. Then it's essential that we have a legal system that works well, an independent legal system. The courts in Norway are among the most effective in Europe, and for most types of cases in the courts, the average duration of proceedings is reduced. The Government proposes to increase the appropriation to the courts by 21.9 million. to enhance legal certainty in the implementation of the Data Storage Directive, to enhance the operation of the Supreme Court and to increase the remuneration of the Land Change Judges. From 2006 to 2011, the appropriations allocated to the courts and the conflict councils have increased by approximately EUR 15 billion. Two hundred and thirty-five million. kr. We know that the situation in some courts has been tough, and there is every reason to give credit to them who every day do an important job in the administration of the courts and in the various courts. We see that the number of cases has continued to increase this year, and that was also the reason why the court administration asked for an additional grant over two years, which they also received. This grant is of 40 million. kr over two years, with full-year effect. This has produced results. It is important that we also look at this allocation further. As I said, the budget for the Land Change Judgments is also increased by 10 million. kr. It is intended to increase the pay of the land change courts, and this is particularly important in order to invest in the recruitment of this profession. In conclusion, I want to say something about what I think is the crime that creates the most insecurity for most people – violence in close relationships. This is not a private matter, but a significant social problem. A study carried out by the Norwegian Women’s Sanitation Association shows that out of 1 000 respondents answered 84 pst. that they do not believe that anyone they know or anyone in their circle has been subjected to violence. However, a 2005 survey shows that one in four women will experience sexual violence during their lifetime. That means that we all know someone who is subjected to violence by someone close to them. Research shows that women seeking the emergency centre offer have a much lower quality of life than other women of the same age and that violence poses a significant health risk. Children who grow up with violence in close relationships experience insecurity and suffering and are affected in different ways. Therefore, it is particularly important that we put in place the eighth children’s home in Ålesund during the next year. Violence in close relationships takes in its ultimate consequence life. All use of violence is contrary to Norwegian law and an attack on fundamental human rights, such as the right to rule over their own lives. I am very pleased that there has been a big message about violence in close relations over the next year.
ParlaMint-NO_2011-12-02.ana.ud1812e853	Now I could have made a five-minute post by standard arrangement in relation to the budget, but I don't want to do that. I have walked a little in myself and thought: what has my party done in terms of prevention in the years that have been? What has my party promoted by proposals that have been voted down, that might have made a difference? I am perfectly aware that in the light of the afternoon after what happened this summer, it is very easy to point out things that one should have adopted, but at least I want to know for my own part that we have tried. In connection with the Vulnerability message, we had, among other things: the following proposal: ‘The Government requests the establishment of the National Security Directorate under the Office of the Prime Minister.’ And on the other hand, ‘The Government is asking for a thorough investigation into the appropriateness of the command relations between the police and the defence in relation to the various serious situations facing society.’ In the setting for the police role message: ‘The decision asked the Government to establish a model based on a response time of 15, 30, 45 minutes and one hour, respectively. Including costs and organisational consequences of the use of the different response times.’» And in the same setting: ‘The Government asks the Government to put in place a mechanism for the approval by Stortinget of the appointment of the Head of Police Security Service and National Attorney.’ [[PST]] I mean, budget-inner. S. No 4 for 2003-2004: ‘The Government, in cooperation with the Police Directorate, is asked to draw up a plan to equip police cars with modern communication equipment in the near future. Experience must be gained in such a plan from our neighbouring country.’ I mean, budget-inner. S. No 4 for 2007-2008: ‘The Government asks the Government to consider launching a police study based on the model of the Defence Study. A wide-ranging sample should be set up mandated to carry out a thorough analysis of key national and international developments affecting the tasks and future needs of the Norwegian police.’» I mean, budget-inner. S. No 4 for 2008-2009: ‘The government is asking for a separate case in which the total need for staff in the justice sector is assessed.’ Int. 6 S for 2010–2011: ‘The government is asked to provide a timetable for the 2011 revised national budget for the time when the needs of civil protection will be met in line with the St.meld. [[2007-2008]] No This And in the same setting: ‘The government is asking the government to intensify the process of joint location of police special services, helicopter services and police high school in the Oslo area.’ I mean, budget-inner. S No 4 for 2008-2009: ‘The government is asking the government to consider launching a police study based on the model of the Defence Study’ – in line with the proposal we have made in the past. Int. 6 S for 2010–2011: ‘These members find it irresponsible that the police helicopter has been put on the ground for periods of this year due to the withdrawal of funds that have gone to ICT.’ This was said in 2010. And on the other hand, ‘This damages the operation of the police and is unnecessary resource savings in the Norwegian police. These members believe that at least one helicopter must be available at all times and thus allocate 8 million. extra dollars to the police in Oslo in their alternate budget. These members want to establish an investment budget for the police in Oslo and refer to the reasons given under the corresponding chapter. [[new post]] 440.’» In the light of the after-clock, I am aware that it may seem terribly easy for me to point this out. It's not supposed to point your nose or ask why you didn't do what we said. But it is a question of the budget and the issues that we have in the Committee on Legal Affairs and Citizens' Rights, that what we vote for, or what we vote for, actually has consequences. Have we learned anything from the story? This gives cause for reflection.
ParlaMint-NO_2011-12-02.ana.ud1812e928	If you have done something wrong, you must be punished for it. Of course, the punishment should be preventative – it should be a punishment – that is, doing something wrong has a consequence. But there's also going to be a chance to make up for yourself. After the sentence is completed, you have to get another chance. It's very central in Right Policy that everyone should have a real new chance of moving on in life. Nevertheless, we know that for very many people who have served a punishment, there is no chance of getting on real. There is a combination of addiction, violence problems, mental illness, lack of schooling, lack of work experience, poor finances, lack of social networks and housing problems that together make the repetition rate high, and that many who have started on a criminal track never get out of it. In many ways, many — at least too many — end up on a barbed hill getting out of prison. Unfortunately, there is a great deal of review between the Nav offices in Norway and Norwegian prisons. Still, we know very little about this relationship. I want to encourage the Council of State to provide better figures and to strengthen the insight and research on how many people are looking for Nav, how many former criminals are in the Nav system, and how they get help. What we know about is what actually works. As in very many other areas, the workline is worth highlighting. In a survey that took place a few years ago, the Central Statistical Office showed that the sentence that gets a job after the penalty has been imposed has 63 pst. less likely to commit new crimes than those who do not get a job. The study was the first of its kind in the country to illustrate, of course, both the problem of relapse crime — that about every four who are released, go to prison again within three years — and that work is a possible way out. But it assumes that the systems are talking. Too often in the public sector, there is no communication between our major systems such as prison, criminal services, the Nav offices, municipalities and health services. It helps very little to be told to ‘stand up in the morning’ if you do not get help with your trouble. It helps very little to be informed that you have made up for prison sentences if you do not get a new chance to get back into work. Therefore, it is important to do as right: to strengthen the voluntary forces. It is also important to strengthen criminal justice. I note with concern, as a member of the Labour and Social Committee, that the government cuts in number of places, for example. on CRUS, even if the challenges increase. As in many other areas, the government has introduced a guarantee – a return guarantee. We also know this technique from other fields, such as the Youth Guarantee and the long-term unemployment guarantee. For all of them, the word ‘guarantee’ does not in itself guarantee political follow-up or results. The use of the word ‘guarantee’ in this context would hardly stand in the meeting of the Marketing Act, to put it that way. I also want to take a little visit to the police situation. In Telemark, where I come from, we've been so lucky that we imported a State Secretary and made her a police officer. But it hasn't done anything for the police situation. If you look at the police situation in Telemark, it is still this way, especially in Grenland where most people live, that there are fewer policemen per capita today than there were three to four years ago. One summer ago, there was a situation in which the city area of Grenland, where there are 100,000 people, had one police patrol at work during the weekends – one police patrol! This means that if someone was killed in Langesund at the same time as an invasion of Porsground, it was not possible to be both places at the same time. Then, not only on behalf of a former State Secretary, who is now the police chief, but on behalf of people in Telemark, I will ask the Minister of Justice why she can't say anything clear and clear about the police crew next year. One thing is to point to macro figures in the budget, but it must also be said that an increased budget will lead to more policemen and not a decrease in police per capita, as we have seen up to now.
ParlaMint-NO_2011-12-02.ana.ud1812e950	The Council of State indicated in its statement that the government is taking responsibility for making major necessary investments in social security and preparedness, such as the development of new emergency networks and the acquisition of new rescue helicopters. One and a half billion. kr in allocation for 2012 means that the deployment of emergency networks can now start domestically. Everyone is coming, as is the case here, and now the trip has come to the police districts of Hedmark, Gudbrandsdalen and West Uppland. Until recently, I was on the Health and Care Committee and was involved in the work on the framework for the new Cooperation Reform. Also new emergency networks are so absolutely about better interaction, and in this case, within and between the three emergency services police, fire services and health services. That's how we ensure that people who are affected by accidents and crises get help faster, and when needed, better coordinated help. The new equipment, which is guaranteed against snooping, is also important in the fight against organised crime and terrorism. New emergency networks make Norway safer. A unanimous Judicial Committee also calls for solutions to be found which also allow voluntary emergency services operators access to the new emergency network. We all agree on the great importance of the efforts of the many volunteers in the rescue work, and therefore there is a need to work differently to improve the framework conditions of volunteering in the future. This spirit of virtue is gold worth and must be stimulated. And not least, it is important to maintain and further develop the good competence of these organisations. I am therefore very pleased that next year, NGOs in the rescue services will receive an increase of 5 million. kr. Here we really get a lot left for the money. The acquisition of new rescue helicopters with everything that belongs to them is to be dealt with here in Stortinget on Tuesday of the week. 16 new, modern all-weather search and rescue helicopters to mainland Norway represent a very important lift for better rescue services related to several important societal tasks. Social security and preparedness are issues of cross-sectoral action and close partnership with volunteering. In the summer of 2011, there were real challenges to the horrific events on the Utja and the government quarter, but also to floods and associated races and problems when the mobile network failed. Thorough processes are in place for us to learn and improve where necessary. The risk and threat picture is complex and demanding, but we have to master it as far as possible. Once again, we have seen the importance of civil protection for crisis management and our preparedness. It is very good that the civil defense now gets 30 million. through an additional allocation to the current year's budget for investment in equipment, in particular input clothing. I register that the Right Party and the Advance Party agree to say that this is too little money, but at the same time I register that the Right Party does not grant five cents more than what we add up to. I would also like to mention the important role of Homeland Protection in our preparedness, and I believe that the response time of Homeland Protection in order to be able to set up when it is necessary needs to be emphasised when setting up future structures related to HV districts. One of the very first things our new Minister of Justice did was to visit the Kripos data-crime department. She announced an increased investment in information security, and it was accompanied by money. This is a very important and correct signal from the Council of State. My soul is well aware of the Norwegian Information Security Centre, NorSIS, in my own home town of Gjøvik, which is carrying out a comprehensive preventive information security work. NorSIS will now also be given responsibility for the service slettmeg.no. The University of Gjøvik, together with NorSIS, and in cooperation with the Defence Department at Jørstadmoen at Lillehammer, today has one of Europe's top knowledge environments in information security with learning forces and students from almost every corner of the world. Neither NorSIS nor the College is going down the road to undertake several important tasks in this field. As individuals or employees, as well as in private businesses as in public administration, we need to be aware of and understand the risk of what we can face from malicious software and attacks. It is important that we coordinate state intervention in this area as best we can, and here, as elsewhere, prevention is smart. 85 pst. Norwegian enterprises employ fewer than five people, many of whom have a lot of interesting knowledge and information and are therefore vulnerable to attack. Information security is an essential part of our preparedness and social security work. In conclusion, I will give homage to all good forces that every day make an effort to prevent crises, and when that happens, to deal with crises and events in our country as best as possible.
ParlaMint-NO_2011-12-02.ana.ud1812e976	First, I would like to say that I have followed the debate and that it has been an interesting debate. But I find reason to question why in the world there is so much difference in reality between the police officers and the police in the districts and what it may seem like you're in the hands of central authorities. This is particularly true when the Minister of Justice in his speech earlier today showed how many new police positions you could have – not that you should, but that you could – under the budget. But the feedback from the districts doesn't depend on how many posts we're going to set up in our police district, but how many more jobs we have to keep up to meet the actual costs. It has unfortunately become so that it looks like this has become a gap between what has to do with understanding centrally, also at the Police Directorate, and the reality that meets the local policeman and woman in the districts. I'm going to use an example from my own area, which is Sunnmore Police District. Sunnmore police districts have a police coverage of approx. 1 per 1 000 — far, far from the target set — related to the average number of police officers per 1 000 inhabitants. When you look at the size of the district – you look at fjord crossings, opportunities for closed roads because of race, opportunities for the fact that the ferries stop going to a given time – and also look at how low the police coverage actually is, there is reason to ask whether the government has taken this up. In addition, when you see that some people out in the district are actually told to do their own thing when they're attacked, because you're out on a prisoner's transport, this says a little about how it's out in District Norway. In my own area, there are very large distances, a lot of ferries, that I've been in. It is even the case that if the police are going to check on the islands, the population knows, long before the police are there, that there is control, because the alert takes place long in advance. In addition, you can look at the cover attached to the police boat. At least one should think that Norway, with its coast, was well prepared in terms of boats, especially where you have lobsters, islands, prunes and large traffic. In this respect, I have repeatedly asked questions to the previous Minister of Justice, and I will now also challenge the current Minister of Justice. A short time ago, I asked how many police boats are operating on the Bergen-Trondheim section. The current Minister of Justice Knut Storberget could state the following: it is one. But it's only operational from the end of May to 1 September. In addition to that, it's zero -- I repeat zero -- operational police boats. Then it is easy to do this service in the district. Fortunately, the then Minister of Justice, on behalf of the government, said that this would be followed up in the mission paper, or the letter of assignment, to the Police Directorate. I expect the current Minister of Justice on behalf of the government to accept what has been said in the past, and that these things are now coming into place. The main challenge in this budget is that there are no funds linked to investments that adequately capture the needs of local police offices. This means that these posts are not becoming jobs, but they are vigilant to cover ICT expenditure, new police cars and other equipment. This is a cross of thought.
ParlaMint-NO_2011-12-02.ana.ud1812e987	Today we are debating a budget that is largely concerned with security, security in a broad sense, namely security for individuals, but also security for the nation. One of the safety factors concerns the safety of vulnerable groups. The government has an undisputed solid commitment to violence in close relationships. I'm proud of that. But today I want to talk about some of the groups that experience hate-motivated violence, including immigrants and homosexuals. Hat crime that targets people or groups based on who they are, or what they look like, does not only affect the individual victim. This type of crime also creates fear and insecurity for all with the same background and must therefore be handled with great seriousness by the police. This is why the government has, among other things, ensuring that the police record hate-motivated violence and that penalties for this type of crime are increased. But let me underline that hate-motivated violence should be prevented to a much greater extent rather than taking good, but repairing measures. The attitudes of Norwegian kindergartens and schools shape the adults of tomorrow. This has been taken seriously by the government and the Stortinge for example. manifest against bullying and increased appropriations for anti-discrimination organisations, precisely to help adults to develop tolerance, equivalency and respect for their fellow human beings. So it's important for me to say that we all have a responsibility for the tone in the Norwegian language, whether it's about the most used Norwegian shells in Norwegian school, or it's about generalising a whole group of people in their practice of politics. One is no better than the other. As a politician and a fellow human being, we have a responsibility for the agenda and the use of languages, whether they are debates in the Stortinget, good dinner parties or media. I will, perhaps untraditionally, quote Michael Jackson from Stortinget's pulpit – with the song "Man In The Mirror": ‘I’m Starting With The Man In The Mirror I’m Asking Him To Change His Ways And No Message Could Have Bone Any Clearer If You Wanna Make The World A Better Place Take A Look At Yourself, And Then Make A Change’ We have to start with ourselves. The hours after the attack on July 22, before the perpetrator was known, were used to spread hate propaganda against Muslim environments and individuals. That's when some of our attitudes come to the surface, attitudes that we, from the extreme blue to the extreme red, must stand together against. Storing and government can put in place good and offensive instruments in the fight against violence and the fight for an inclusive society, as we do. But at the end of the day, it will be each of us's duty to put the tone of the debate and take responsibility for how we affect our environment, the media and society. The fight against hate crime is not just about law paragraphs and investigations. It's about values. It's all about people being equally valuable, regardless of their skin color or sexual orientation. And it's about putting this very fundamental democratic principle high. Therefore, we will continue to have a high priority on matters that deal with this. Yesterday we had a similar debate, namely on rape; in yesterday's case on rape. I want to sum up that debate with one sentence: our responsibility is to learn a new generation of guys about bordering. There — and several other good measures against sexual abuse, such as a permanent rape group at Kripos — are under way by the current government and are also priorities in the budget. But I can't let myself say that this issue is also about attitudes that grow, and not just about law paragraphs and police resources. In a much-discussed report from Amnesty in 2007, every other man in Norway says that women who flirt openly are themselves responsible if they are sexually assaulted. The result is also supported by prominent policy makers. Let's be clear: it's never the victim's fault that an infringement is committed. To put it another way, it's always the perpetrator's fault when a sexual assault is perpetrated. Finally, I would like to say that the budget for justice is a forward-looking budget, which promotes the security of individuals and the nation. Then I hope that each of us will take responsibility for the language and attitudes beyond that, just so that we, as individuals, too, will promote security.
