ParlaMint-NO_2017-01-18.ana.ud525e28	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2017-01-18.ana.ud525e792	First of all, I can confirm that I have been planning to be the Council of State for many years. So the only way Rommetveit can be in opposition only in this period, is by notifying transition to a bourgeois party before the next elections. He's very welcome to that. Then he had at least fulfilled his dreams of building much more road and railway in this country than he ever got to when he was in position. Welcome! As regards the Kristiansand-Sandnes route, it is in the portfolio that Nye Veier has a part of the route, but when you start to get up to Ålgård, it remains at Vegvesenet. So there's no gap here that no one covers. The road service is now working with Sandved-Hove. In the Vegvesen portfolio, Hove–Ålgård remains, but it was decided in the national transport plan. Now therefore, to the Archipelago and down to Kristiansand is the New Roads. It is a bit of what has been the matter, and as I was so happy to see Stavanger Aftenblad mention a year ago – where the Vegvesen itself said that we are now sitting and planning 20 miles at a time where we previously sat and planned five and five kilometers.
ParlaMint-NO_2017-01-18.ana.ud525e801	Unfortunately, I can't give the same guarantee back to Solvik-Olsen, that he will continue as a state council if he changes parties, but neither he nor I decide this, there are many more people. I want to thank you for your answer. It's good that you look at how things can be done cheaper without going on chords with the necessary quality. Nevertheless, the follow-up of costs and project management totals 130 billion. kr a task which was to be central to the Council of State, but also to us in the Stortinget. My question is whether the Council of State thinks it's an independent point to orientate the Size of this kind of information in the budget proposal – and then don't assume that in order to get such information, we have to go on the New Roads homepage or read the Evening Post all the time. I also see the project leadership position in Nye Veger: «Project Director E39 Kristiansand–Sandnes/Stavanger». So that project crawls slowly, but probably northwards. Maybe we'll get it up to Hordaland also eventually.
ParlaMint-NO_2017-01-18.ana.ud525e808	At least it's certain that a building thing up to Hordaland is the greater chance of getting to it by a bourgeois majority than by a socialist majority. It's Erna who's my boss, so she's the one who'll be able to decide whether or not I'm the Council of State or not, and not the Workers' Party. But, as I said, Rommets are welcome to those who will also lead forward. With regard to the Nye Veier itself, I record what is being said now, but I still note that when the government presented this reform, the Workers' Party was opposed. The Labour Party warned that we would have a "road-bonanza" with New Veier. There was a look-up in the class fight in April 2015. Now, on the other hand, other things are being problematized. It is good that the opposition is on the verge of trying to poke in detail here, but the important thing is that we have to build more roads, get more money back, make sure that traffic safety increases, and that travel time goes down. That's what we're about to do now. That one gets cost changes based on inflation adjustments and stuff is part of everyday life, but the Storting will be oriented when the Storing is about to make its decisions.
ParlaMint-NO_2017-01-18.ana.ud525e824	This question, from the representative of Liv Signe Navarsete to the Minister for Foreign Affairs, will be answered by the Minister for Health and Welfare on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2017-01-18.ana.ud525e829	‘Washington Trade Daily wrote on 22 November that the negotiations on the TISA agreements have been suspended. On the Foreign Ministry's pages, the government wrote on 20 December that the parties to the TISA negotiations ‘ met in Geneva on 6 and 7 December to establish the status of the Tisa negotiations so far’. Is the Foreign Minister able to do well for why the negotiations seem to be temporarily settled and is there any indication from the negotiating parties as to when the negotiations may be resumed?’
ParlaMint-NO_2017-01-18.ana.ud525e834	On behalf of the Minister for Foreign Affairs, I will reply as follows: Norway has a very open economy, which depends on trade. It is in our interest to have a trading system based on clear, equal and fair rules. The service sector is also important and is becoming increasingly important for Norway. If oil and gas exports are excluded, about half of Norwegian exports are services and this proportion is expected to increase in the years to come. For this reason, the government is engaged in the framework conditions and conditions of competition of the service industry internationally. Negotiations on trade in services – TISA, which will be based on the WTO agreement on trade in services – have been ongoing since spring 2013. There are 23 parties to the negotiations, including the EU, representing 28 countries, so that there are 50 WTO members in total. If successful, TISA will ensure greater predictability in the service market in a number of countries. Trade in predictability and non-discrimination is important, both nationally and internationally. The negotiating parties agreed in June 2016 to set the goal of concluding the negotiations by the end of the year. Although there is still a lot of work to be done, including solving the most difficult questions, this goal was seen as realistic. However, in retrospect, it turns out that the target of closing in 2016 was too optimistic. The 23 negotiators failed to find solutions to all the issues outstanding during the round of negotiations in December. The December round was used for a thorough review of progress and status in all areas of negotiation. It also agreed on the areas of negotiation which require continuing work at technical level. The negotiating parties agreed to meet again later this year. It's too early now to say something more about how the TISA process goes on. For Norway, our starting point is clear: exports of services are important for Norwegian employment and value creation. We want more transparent, non-discriminatory and predictable trade in services. We therefore want TISA and will work to ensure that the agreement is as good as possible for Norway. We are ready to continue negotiations as soon as the parties are ready.
ParlaMint-NO_2017-01-18.ana.ud525e855	In the autumn of 2015, the government published a Norwegian-Icelandic chapter proposal for the TISA energy-related services agreement. The autumn of 2016 showed a leak from Greenpeace that the proposal now supports the EU and Australia. The United States has previously made similar proposals in the WTO, but has been rejected. Can the Council of State do something good for what is the United States' attitude to the Norwegian proposal, and will the government continue to give priority to the work on a chapter on energy-related services in the TISA agreement?
ParlaMint-NO_2017-01-18.ana.ud525e860	TISA has not been mentioned in the U.S. election campaign, but it is also too early to say something certain about when American positions will be clarified or what they will go on. Norway has chosen to have a very open process related to our positions in these negotiations, to which the representative also refers, there is a separate website where a continuous recent publication of the Norwegian positions and assessments provided.
ParlaMint-NO_2017-01-18.ana.ud525e865	I record that I did not get an answer to that question. I may not be able to wait for that either from the Minister of Health, so it is a pity that the Minister of Foreign Affairs does not respond. But I'm still trying to ask myself another question. In October, the government organised a WTO summit at the Minister for Foreign Affairs in Oslo. A key issue for the WTO Development Group and a key issue for an agreement at the WTO Ministerial Meeting in Buenos Aires in December 2017 is a solution to the WTO food security and food storage issues. Without success here, it is haunted by other WTO agreements. A solution to this situation will allow developing countries to set a fixed price for the purchase of agricultural products from their farmers and to sell them to subsidized prices for food security nationally. How should the government work against the ministerial meeting to find a solution to this question?
ParlaMint-NO_2017-01-18.ana.ud525e872	It's a question that concerns the WTO, and when I now answer on behalf of the Minister for Foreign Affairs, I don't think I'm going to go into that kind of assessment. To the previous question: I felt it as two-part. One was about the positions of the United States, and I answered that. It is also the case that the main emphasis of the work done by Norway and Iceland in 2014 is to ensure open markets for energy-related services and equal treatment for foreign service providers. It is now in the direction of a common understanding in TISA that there should be no rules on market access in annexes, and it will be the final offer of the parties that also defines the level of ambition.
ParlaMint-NO_2017-01-18.ana.ud525e897	These questions are postponed to the next Question Time. Question 5 has been moved and will be answered before question 10.
ParlaMint-NO_2017-01-18.ana.ud525e907	Question no. 6, from the representative Freddy de Ruiter to the Minister of Health and Welfare, has been transferred to the Minister of Labour and Social Affairs Anniken Hauglie, who directs him.
ParlaMint-NO_2017-01-18.ana.ud525e912	‘The Supreme Court judgment stating that a private reliever is to be regarded as a municipal employee has resulted in several notifications of changes in its relief offer. Bærum municipality must be praised to await the situation. What does the government do to its municipalities to ensure the best for the child and to prevent good relief schemes from disappearing as a result of municipal responsibilities for employers?’»
ParlaMint-NO_2017-01-18.ana.ud525e919	Relieving measures are an offer to people and families with particularly burdensome care where the aim is to prevent congestion, provide caregivers with the necessary leisure time and holidays and the opportunity to participate in normal community activities. Municipalities are obliged to offer such relief measures. The Supreme Court, which was also the subject of the representative, ruled in June 2016 that shippers, whom the municipalities have traditionally engaged as contractors, would now normally be regarded as employees, with the consequence that labour law law applies. Uncertainty about the relief offer has arisen several times after the Supreme Court decision. I have received several signals that the legal situation makes it challenging to organise a good and sound service offer in the municipalities. This is serious. Discharge is an important offer for many people and families, and municipalities must have a framework to ensure that they can organise a good service offer. At the same time, consideration must be given to the protection of those who work as relievers. As the ministry now assesses, there will nevertheless be a need to make adjustments to the organisation of the scheme, either in the form of an agreement between the parties or in the form of regulatory changes. To ensure progress in the matter, I have had a meeting with the KS and will meet the trade union later this week. Contact with those who know this best is important to understand what are the concrete challenges of the Supreme Court decision, and to find the best way to deal with this in the future. I aim to be able to find a good solution to this matter before the summer, but it depends on the parties being able to contribute constructively to it. I understand that this is difficult for them. Changes in agreements and regulations will take some time, but I can promise that we will try to find good solutions for both parties as quickly as possible.
ParlaMint-NO_2017-01-18.ana.ud525e934	I think it's good. I am pleased that the Council of State signals that solutions are being worked on, and that there is a desire to involve both the Minister of Health, the Minister of Municipal Affairs and the Minister of Children, Equality and Inclusion, for this is a field that is quite wide. I hope that user organisations, users and others will also be involved, so that we can get that perspective into the work on any new arrangements. Some of the background to this was a look in the fatherland friend of Leah in 5 years with Down's syndrome and autism, who was told just before Christmas that her safe and predictable relief offer would stop. Just over the New Year, I visited Leah and her mother, and it was a strong meeting. What does the government council think you can signal to both Leah and her parents and other parents who are now worried about the relief offer?
ParlaMint-NO_2017-01-18.ana.ud525e941	There are many who are in the same situation as Leah. There are several thousand who receive relief offers across the country. There have been many signs of how the consequences of the Supreme Court judgment affect the offer made to those receiving it, i.e. the children and users of the offer. So I can promise Leah's family and all the other families that we're really working on a blast to find a good solution that will take care of those who need relief, but who also take care of the employees, for all the time the Supreme Court has now decided that the charges are to be regarded as employees, we need to find solutions also within the legislation that applies to the employees. Here, as I said, I've had a meeting with KS. They're busy with this. I'm meeting the Trade Union this week. They're also busy with this. So I hope we can find a good solution. It is likely that changes will have to be made to the agreement between employees and employers, but we also look at the possibility of doing something more appropriate to meet the needs of those receiving relief measures, because this is important for those concerned.
ParlaMint-NO_2017-01-18.ana.ud525e946	There is no doubt that there must of course be some things purely labour law here – I understand that process. But I think I will repeat the call to be on with the user organisations and the relatives here to make good new arrangements that are at least as good as today's arrangements. I never thought I would say that, but I want to brag a bit of the municipality of Bærum, the right-hand municipality of Bærum. They addressed this issue. There were a number of redundancies from the administration and from the administration of the municipality. Then the politicians went in and took an 'time out'. There should be several municipalities in this situation. This is an inconspicuous, difficult situation that requires a focus on the best of the child. My closing question to the Council of State, which obviously has a good process on this, is: can the Council of State signal to the municipalities that they should do as Bærum: draw the breath, have ice in their stomachs, take a small ‘time out’ to get the necessary overview – without hassling so that vulnerable children and their families lose a completely necessary offer?
ParlaMint-NO_2017-01-18.ana.ud525e955	There are many reasons to boast of the municipality of Bærum, in many areas other than this as well. Here, the municipality of Bærum has been offensive. At the same time, Bærum stands municipality in the same situation as all other municipalities, that they must make sure that their legislation is within the law. What we are working on now is to see if it is possible to change the agreements between employees and employers. It is the responsibility of the parties. Then we look at whether it is possible to change the regulation, which will give us more room for action within the law and the directives to which we are subject. That's what the goal is now, that we should be able to get good solutions that provide good care for users. If we can do it the same way it is today, we'll see. But at least we're very concerned that we're going to be able to find solutions that take care of users in a better way than the consequences of the Supreme Court, as it stands now, might do.
ParlaMint-NO_2017-01-18.ana.ud525e963	This question, from the representative Ketil Kjenseth to the Minister for Health and Health Bent Höie, will be raised by the representative Dag Helge Frøisland.
ParlaMint-NO_2017-01-18.ana.ud525e968	‘New ways of measuring blood sugar which improves diabetes control and improves quality of life are available. An example of this is blood sugar measurement called Libre-Freedom! Children must stick in their fingers because the government has not yet taken action to assess and approve this type of new device for the blue-receptor system quickly. Today's approval procedures seem heavy and bureaucratic. The right promised to streamline red tape. What will the Council of State do to streamline approval for this type of equipment?’
ParlaMint-NO_2017-01-18.ana.ud525e975	Many medical consumables are covered by the BIP, while the specialist healthcare service is responsible for financing treatment aids and consumables for a variety of treatment courses. HELFO assesses ongoing applications from suppliers for the inclusion of new products in the product and price lists for medical consumables under the Blue Recipe System. New products may be included in the price and product lists only if they fall under one or more of the items of the blue recipe § 5. This provision contains a list of medical consumables covered by the BIP and the diseases and conditions to which it applies. Where processing is the responsibility of the specialist healthcare service, the treatment aid may be assessed in the system of new methods. Such a methodology assesses, inter alia, the safety, utility and resource use of a methodology. Decisions to adopt new methods in the specialist healthcare service are based on these methodological assessments. Use, resource use and seriousness are the key criteria for priority in healthcare, to which an aggregate increase has joined. These criteria are central to the introduction of new methods and medicinal products in healthcare. A methodological assessment will contribute to their knowledge before a decision is made on the method or medicinal product to be introduced into the healthcare system or not. In the case of FreeStyle Libre, there is uncertainty about which patients the product is most relevant to. I have explained this in an earlier question-time response. There is a need for a technical decision-making basis to assess whether the product can replace blood sugar strips covered by the bladder prescription system or whether the product should be included as part of the treatment offer for diabetic patients in the specialist healthcare system, in line with insulin pumps and other diabetes treatment devices. In June 2016, the Order Forum ordered a rapid method assessment of FreeStyle Libre and related products. This is in order to identify patients who benefit most from the product and who should be responsible for treatment and funding. It is the Knowledge Centre of the Institute for Public Health that is to carry out the methodological assessment, with a period of 180 days from receipt of documentation from the manufacturer. The company that is behind FreeStyle Libre delivered documentation just before Christmas, and the method assessment is started.
ParlaMint-NO_2017-01-18.ana.ud525e988	The Knowledge Centre of the Public Health Institute is preparing for only the RHFs, i.e. the specialist health service. This will then be sent to the decision-making forum, which cannot decide for HELFO. We know that this system can be compared to 8 to 9 fingertips with disposable equipment and strips, which are currently covered by the blue prescription system. Will the Council of State ensure that HELFO assesses this type of equipment for approval in parallel with the RHF process?
ParlaMint-NO_2017-01-18.ana.ud525e995	One of the reasons why this is to be assessed by the Knowledge Centre is that the representative will answer the question: Is this a product that belongs to the BIP and is therefore to be financed by HELFO, or is it a product that is more in line with, for example, the BIP. Diabetes pumps, which are part of the specialist health service? Once that assessment has been carried out, it is possible to reach a rapid conclusion — either that it goes to the Decision Forum, and that decisions are taken on it relating to the specialist healthcare service, or that HELFO uses this investigation as a basis for taking its decision. What has unfortunately delayed the process is that the company that delivers this has not provided the documentation to the Public Health Institute until just before Christmas.
ParlaMint-NO_2017-01-18.ana.ud525e1002	We both agree that it is sad that it took three months after the assignment was given, until the manufacturer provided his documentation. However, I work as a pediatrician with this particular group, and we clearly see that this improves both the blood sugar regulation and the quality of life of children and young people. In Denmark, the Minister of Health cut through and approved this without the cumbersome bureaucratic process we are using here in Norway now. Could the Council of State, pending the processes now underway, at least cut through and approve this aid on a blue prescription for children and young people diagnosed with E10.9, type 1 diabetes?
ParlaMint-NO_2017-01-18.ana.ud525e1009	There is a big and significant difference between the representative of Frøisland and me, namely that I am not a pediatrician. That means that the kind of professional questions aren't things that I can just cut through. I am dependent on having good judgements. With regard to issues related to specialist healthcare, the Stortinge has joined the scheme we have in Norway, which is that the type of decision is not taken by politicians – they are taken by health regions. As regards the question of what should be included in the prescription scheme in this area, a decision is taken by HELFO, not by the Minister for Health. In Denmark, a non-standard system, but in Norway, there has been a broad political consensus – including the Frøisland Party – that we should have principles and systems to make health care priorities based on professional judgements, because all decisions will have consequences for other patients as well. But the time has taken, I am sorry, but it is mainly the company's own responsibility.
ParlaMint-NO_2017-01-18.ana.ud525e1021	‘Budget 2017 for the Hospital Telemark HF is understood to remove radiologist, ear-nose-neck specialist and eye-catching from Rjukan Hospital and Cytostatika. Can the Council of State respond to the 2017 budget of Rjukan Hospital and for those functions in particular, and how this is consistent with the development plan of the Hospital Telemark HF, approved by the Council of State at the Enterprise Meeting on 5 June 2014?’.»
ParlaMint-NO_2017-01-18.ana.ud525e1026	The Management Board of the Hospital Telemark discussed the 2017 budget on 15 December 2016. The health company has prepared an operating budget for 2017 with an operating surplus of minus 20 million. kr. Improvement of productivity, reduction in the number of outpatient controls and treatment of patients at the right level of healthcare are important to achieve the objectives. Special attention will be given to the reporting and follow-up of planned manning reductions. The Hospital Telemark informs that patients in the area around Rjukan start with cytotoxic drugs at the Ski Department and are now being followed up at Notodden. Support treatment is offered on Rjukan. The experts for the treatment of cytostatics in Telemark have assessed competence and soundness, and they consider that it is not advisable to provide such treatment at Rjukan Hospital. The ear-nose-neck offer on the Rjukan has been covered by a private ear-nose-neck doctor without an agreement. This arrangement has been terminated, inter alia: because it was a disproportionate animal. Patients are now referred to Skien. The hospital Telemark wants to establish contract specialists' homes within the ear-nose neck and gynaecology at Rjukan and has been in contact with Health South-East about this. The eyepiece function is covered by a contract specialist and this function is stable. Ordinary radiological studies, such as: fractures of the bones, carried out at Rjukan hospital. Heart ultrasound is done on Rjukan, while other ultrasound examinations are offered on Notodden. The board of Health South-East dealt with development plan 2030 for the Hospital Telemark in December. The plan assumes that there will be day and outpatient activity on Rjukan and that Telemark will continue to have a decentralised hospital structure with acute hospitals in both the Ski and the Notodden. There shall be decentralised services at the district psychiatric centres and decentralised, somatic outpatients and day care in close cooperation with the municipalities. Today's emergency response continues, and the outpatient outpatient services are developed decentralisedly in cooperation with the municipalities. I confirmed the decision to terminate the emergency functions at Rjukan at the corporate meeting on 5 June 2014. The new development plan for the Hospital Telemark by 2030 still suggests that we should have day- and outpatient activity in Rjukan.
ParlaMint-NO_2017-01-18.ana.ud525e1043	The development plan 2014–2016 for the Hospital Telemark is a rather specific one on which one will have planned hospital provision on the Rjukan in the future. It also says that there is an ambition to: ‘decentralise as many treatment services as possible. It is therefore planned to continue a wide range of hospital services during the day; dialysis, cell toxicity treatment and specialist outpatient clinics, X-rays and laboratory services. The establishment of further decentralised services will be assessed on an ongoing basis in the light of patient needs and technical possibilities’. There is a protocol entry for the examination of the budget of the Hospital Telemark where a question arises as to how the enterprise can decide to cut out what has been adopted by the Minister of Health in the Business Meeting for the Rest Supply of the Rjukan.
ParlaMint-NO_2017-01-18.ana.ud525e1053	I don't realize that's what's going on. What is important is that the Hospital Telemark has updated its 2014-2016 development plan by 2030, which was reviewed by the Management Board on 14 September 2016. There were no changes to the service offer at Rjukan in the plan, but it was suggested that a person move the somatic activity in Pors Grund to Skien. It is, as I also said in my first answer, stated that there should still be good decentralised specialist health services at Rjukan. But it is also true that, as a point 1, the Hospital Telemark is always responsible for assessing the soundness of the offer made. They experience, for example: that recruitment challenges and other challenges to soundness of mind are the responsibility of the hospital’s management and management for the proper conduct of other matters. It is also true that even if you want to maintain an offer, it does not mean that you do not want, for example, as is the case here, to have an agreement with a contract specialist to make an offer.
ParlaMint-NO_2017-01-18.ana.ud525e1062	I fully agree with the Minister of Health and Health that this is about hospital leasing, and it is perhaps a matter of one sheep for good decentralised services at Ringerijk Hospital up against Ål, and that it is very difficult at the Hospital Telemark to get the same thing up against the users. Many people feel that what was used as an argument to reduce the daily crew on Rjukan, that a now should get a good outpatient offer and a good day’s offer, is being removed – one after another – and that one gets a reduction. There are many people who feel like a promise break, not only from the Hospital Telemark, but also from the Council of State, who took responsibility for that conversion. Can the Council of State understand that people in Telemark are responding to what is now happening around the Rjukan Hospital and the offer provided by specialist health services?
ParlaMint-NO_2017-01-18.ana.ud525e1067	Yes, I understand that, and it's always like this kind of process that there's a lot of uncertainty, and changes that have good reasons are often seen as justified in other ways, or as part of a different strategy. However, it is therefore so important that the 2030 development plan confirms the developments that were also the basis for the decision in 2014. Then you have experience from other hospitals, which the representative was also involved in. Ring-rich hospitals also had many years of great unrest. Now it feels like a very good and forward-looking offer. We had the same thing at Nordfjord Hospital – years of conflicts about the different elements of the hospital's services. Now there's peace of mind about it, and people are experiencing a positive development. I hope that we will also get into such a situation with regard to the offer of Rjukan.
ParlaMint-NO_2017-01-18.ana.ud525e1077	This question, from the representative Kjersti Toppe to the Minister of Knowledge, will be answered by the Minister of Health and Care on behalf of the Minister of Knowledge.
ParlaMint-NO_2017-01-18.ana.ud525e1082	‘According to NOU 2015: 14 the interest compensation scheme for school buildings and symmetry facilities is a scheme that provides this area with a protected position on the State budget. The selection suggests that no new such schemes should be created or new ones granted within the existing schemes after 2016. In the 2017 government budget, the Ministry of Finance states that they will follow up on this recommendation. Can the Council of State confirm that they will phase out the scheme of interest compensation for school buildings and swimming facilities?’
ParlaMint-NO_2017-01-18.ana.ud525e1089	In the 2017 state budget, 223 million have been allocated. kr to interest compensation for school and swimming facilities. The allocation shall compensate municipalities and county councils for interest expenditure on investments in the framework of a total of 30 billion. kr that has been committed by the State for the period 2002 to 2016. The government has phased in the last 4 billion. of the investment framework through the budget submitted. The State has committed itself to paying grants 20 years in advance through the commitments given. There is a good basis for saying that the municipalities have not prioritised current maintenance sufficiently as an operational task, and over time this will result in an increasing accumulation of maintenance kits. At the same time, we see that municipalities have a historically high level of investment. State measures should therefore be aimed at contributing to the priority of local authorities for maintenance as an operational task. The key prerequisites for good quality school construction are a balanced local economy and an adequate local priority for property management in municipalities. The government has given priority to a strong local economy. The municipalities have gained more real growth in their income under this government than in the last period of the previous government. In 2017, the free revenues of municipalities are strengthened by 3.8 billion. kr, which gives municipalities a good space for action to give priority to school and school construction.
ParlaMint-NO_2017-01-18.ana.ud525e1100	My question was whether the Council of State could confirm that they would phase out the scheme of interest compensation for school buildings and sewing facilities. And I have to ask again if the Council of State can confirm that they are now in the process of phasing out, and that there have not been any new funds for 2017. And what time will it be for municipalities to apply for interest compensation when they are going to do an extra maintenance work for their schools? I just want to ask again if the Council of State can be very clear that this system is now going to go away.
ParlaMint-NO_2017-01-18.ana.ud525e1105	It has been presented in the State budget, and the Stortinget has also addressed this issue. The representative is also fully aware that what has been included in the 2017 budget is the 223 million. kr that has been allocated to the scheme. The commitments entered into by this scheme from 2002 to 2016 are within the framework of 30 billion. kr, and this government has phased in the last 4 billion. of the investment framework through the budget submitted. It is the money that has been allocated to the scheme. What is crucial is that the municipalities take on what is a municipal responsibility, namely to have ongoing maintenance of the buildings in which they have invested. The most important thing to ensure it is a good municipal economy.
ParlaMint-NO_2017-01-18.ana.ud525e1112	I still ask for a clear response as to whether the scheme should be discontinued. Can the Council of State give a very clear answer to that? When it comes to the setting up of the Committee and the treatment of the State budget, there was no comment on this. I have been asked a question from the municipality of Bergen, where a question arises in the administration about how to plan to get rid of all the schools that are not indoor climate-approved, etc. A clear signal from the government about how they evaluate it now. There are over 300 school elephants in Norway who go to schools that are not indoor climate-approved. It's actually also a major health challenge. We have been in charge of health protection since 1998, and it has not helped. But it doesn't help to create bad financial arrangements for the municipalities that actually want to do something about it.
ParlaMint-NO_2017-01-18.ana.ud525e1119	The most important municipalities can do to maintain the buildings in which they have invested is to maintain a level playing field. It is also important that the State does not contribute to various schemes that reward municipalities that do not operate in an even manner of maintenance. This will probably only lead us to remain in a situation where municipalities allow important social investment to lapse over time, without keeping them up. Of course, it's bad for those kids who go to school, and for those who are going to use sports facilities, but it's also very bad social economy. The representative is fully aware that what comes into the future state budget cannot be answered at this time. What I have responded to is what is in the current budget. There is no funding for the continuation of this scheme. It's very clear from the budget.
ParlaMint-NO_2017-01-18.ana.ud525e1126	Then we go back to question 5.
ParlaMint-NO_2017-01-18.ana.ud525e1134	This question, from Jan Bøhler to the Minister for Children and Gender Equality, will be answered by the Minister for Culture who directs him.
ParlaMint-NO_2017-01-18.ana.ud525e1139	I allow myself to ask the following questions to the Minister of Culture: «In our country on 21 August 2016, only 3 out of 248 members of the board of Norwegian mosques were women. The study section of the Grand Duchy writes in a mandate from the undersigned that the UN Convention on Women’s Discrimination should take precedence and that ‘KDK gives the State a clear duty to work for gender equality also within religious communities’. [[KDK]] It is concluded that ‘it will not be a disproportionate requirement’ to require a certain proportion of women in mosque governance. Will the government follow up on this in the granting of State grants?’.»
ParlaMint-NO_2017-01-18.ana.ud525e1146	Gender equality is a core value in our society and an important political goal. The protection against sex discrimination is a fundamental right. Freedom of belief and life is also a fundamental value and right in Norwegian society. It's a prerequisite for a free society. It implies that the State should initially not be involved in internal relations in the religious and life views. The state's foremost task in the field of faith and life's vision shall be to safeguard and protect freedom of belief and life. As the representative of Bøhler is probably familiar with, the grant schemes for religious communities other than the Norwegian Church are governed by Law 13 June 1969 No. 25 on trudom and talk about others. In the management of the arrangements, the State may not impose stricter requirements than those laid down in or in accordance with the Religious Society Act. Any requirement for a certain proportion of one sex in the governing bodies of religious communities cannot be introduced without legislative change and must also apply in a non-discriminatory manner to all religious communities – not only to mosques or Muslim religious communities. Freedom of belief and life does not exempt religious communities from complying with Norwegian law, it is important to clarify. Religious communities are bound by the Equality Act, in line with other organisations and businesses in Norway. In order for religious communities to treat gender differently, the general conditions of Section 6 of the Equality Act on Legal Discrimination must be met. This implies that discrimination must have an objective in substance, must be necessary to achieve its objective – and that there is a reasonable relationship between what one wants to achieve and the extent to which discrimination is discriminated against the one or more disadvantaged. At present, the government is working on proposals for a new, comprehensive law on religious and life views. Financial instruments, including questions as to the conditions that may and should be imposed on government grants to the civil society of faith and life, are part of the investigation process. It is a matter for consultation to be sent to spring. Then we also work by the government with a big message about belief and life views. I am committed to stimulating a wide-ranging debate on different issues of faith and life's vision as part of that work. A question that the representative now asks, how we can strengthen women's representation in the governing bodies of the religious and life-vision organisations, I think is a natural part of that work. I also believe that we should look at the different instruments that we can point to in such a big message, in order to achieve the target that the representative of Bohemia points to.
ParlaMint-NO_2017-01-18.ana.ud525e1163	I thank the Council of State for the answer. I think the top point in the answer is what the Council of State said that no stricter requirements can be imposed than those laid down in the Creeding Society Act. In response to this question, on page 8 of the UK Investigation Section, it is considered that the provisions of the UN Convention on Women’s Discrimination, made into Norwegian domestic law, state that they take precedence over other legislation – to ‘predominate in other legislation’ – if it conflicts. One cannot just say that one has to deal with the religion law – this is why the Women's Discrimination Convention takes precedence over other legislation. I would like to ask the Council of State whether she also has that understanding, and that it is an obligation for the State to follow up its own legislation – that is, the Women's Discrimination Convention, which is in our legislation – and not to support those who discriminate against gender.
ParlaMint-NO_2017-01-18.ana.ud525e1172	I think we see it a little different here. It's going to be 40 pst. women in the boards, but if we are required to make demands on it, I think that the representative Boehler and I have two slightly different opinions about it. I think we can do a lot by using other means than resorting to the law or withholding financial subsidies. Intervention in religious freedom I think we should be very careful with. I therefore believe that the Women's Convention and the primacy to which the representative refers will be interpreted slightly differently.
ParlaMint-NO_2017-01-18.ana.ud525e1177	I thank you for the additional response from the Council of State. I just want to stress what's my point here, that the state has an active obligation to promote equality and follow up KDK, the convention I've mentioned. It also says, on page 13, in the investigation that I am based on: ‘We see that the Parties to the Convention’ – i.e. the Norwegian State –’ is obliged by KDK not to sponsor practices which mean that women and men are treated differently, that States are to take active steps to prevent discrimination.’ So it's not a question of just showing that you want to use other tools, encouraging change, etc. There is also an obligation not to sponsor practices involving the treatment of women and men differently. I believe that at this point the situation has remained silent for too many years. We saw it in the appointment of a new government in the Islamic Council, and we see it in the count that our country did, that there are only 3 out of 248 board members who are women, and the three are in the same mosque. So there's a need to follow up on this in a stronger way.
ParlaMint-NO_2017-01-18.ana.ud525e1189	I fully agree with the representative, Mr Bøhler, that gender equality is a fundamental value in Norway that we are going to fence around. Let it be quite clear: of course, it should be an objective that women are well represented in the governing bodies of the religious and life-view society. But I see that we interpret the Women's Convention differently. I believe that there is no obligation for us on the part of the authorities to make a claim for 40 pst. representation. I believe that we need to look at other instruments than holding back financial subsidies or using the law. The NRK had just one case from Arendal where there was a woman's uprising to get women into the regimes in the mosques. There's in one of the mosques two places in the board plus one item that's going to go to women. The head of that mosque, Josef Heier, says that he is happy that the women are going to get away with it, and that it is right and natural for women to be in the government. This shows that we can make a lot of changes using other instruments. We have made that clear in Norway, and I hope the representative agrees that we will discuss this in the future and look at what can have the most impact.
ParlaMint-NO_2017-01-18.ana.ud525e1202	I allow myself to ask the following questions to the Minister of Culture: «Tuesday, 10 January 2017 The Festival Committee presented its position for the award of Norwegian film festivals. The Norwegian film festival in Haugesund and the Barnefilmfestival in Kristiansand get cut in their appropriations. How does the Council of State view this with regard to the film comparison and predictability of the Storting as well as the commitment to film dissemination?’
