ParlaMint-NO_2013-11-27.ana.ud280e26	The representative, Gunvor Eldegard, who has been licensed, has once again taken the seat.
ParlaMint-NO_2013-11-27.ana.ud280e868	I thank you for your answer. I think it's important when dealing with the looting game deal, that the license hunt actually becomes the main instrument for taking out the bear, because there's no doubt that after the looting game agreement point 2.2.9, the license hunt is the main instrument. If you don't get those bears that decide that you should trap, that means that it's easy to get a billet that gives negative consequences especially for those who have pasturage interests in the areas. I see that one adds that one to the spring can consider felling bears in the affected pastures. I think it's positive, but at the same time it's important that it happens to such an extent that it actually corresponds to the goal that license hunting is the main means of taking out bears, and that we don't get one or two bears and we're left with a total withdrawal that's still well below 20 pst. of the particular case to be licensed during the autumn.
ParlaMint-NO_2013-11-27.ana.ud280e877	The extent of harm caused by the bear in some priority pastures has been higher this year compared to the last few years. In particular, this applies to Uppland and the Trøndelagsfolken. That is why the Environment Directorate has signalled that exceptional withdrawals of bears in priority pastures will be assessed for spring. I want to focus on having as effective abstinence as possible, but of course within the framework of the predatory game agreement and the nature diversity law.
ParlaMint-NO_2013-11-27.ana.ud280e884	When you look at what can be done in the framework of the predatory game deal, I also think it is important that you look at what measures you can take to make the license hunt in the harvest more effective than it is today. In this context, I ask the Council of State to consider both the issue of extending the hunting period in line with the other Nordic countries, i.e. from 15 October and from October, and to remove pointless rules on the time within which the hunt is to be completed, at 1 p.m. 15 in the afternoon, and also to allow hunting for snow during the fall. Is the Council of State committed to taking these issues with it in order to get a more effective licence hunt in the coming years?
ParlaMint-NO_2013-11-27.ana.ud280e891	It is difficult to meet the two-part objective of having large predators and a sustainable grazing industry in Norway; it is a difficult balancing process. However, I take the input from the representative with me.
ParlaMint-NO_2013-11-27.ana.ud280e900	I will ask the Minister for Health the following questions: ‘Private medical X-ray activity in Norway is driven by an increasing number of legal units. The association of the X-ray institutes' three members accounts for about 90 p.m. of the publicly funded image services in Norway. Will the Council of State change its supply legislation to help bring up several legal units of the private X-ray institute that can secure long-term, real-life competition and a qualitatively good and decentralised supply?’
ParlaMint-NO_2013-11-27.ana.ud280e909	I have a great deal of understanding for the representative Toppe's concern that monopolistic situations should arise in the radiology market, and that this could give the population a poorer offer. But fortunately we haven't come that far. First, for the sake of order, I would like to make it clear that questions relating to changes in the rules of public procurement lie with the Minister of Industry. Having said that, I believe that the issues raised by the representative are of a more professional nature than procurement law. This means that it is important to keep an eye on future market developments in the planning of an acquisition and to reflect on the competitive situation prior to the disclosure of competition. There are no legal barriers for purchasers to split volumes into smaller parts. Nor is there any obstacle to requiring accessibility in geographically defined areas or to imposing quality requirements on services. Transferred to the representative Toppe's question, for example: to avoid a monopoly situation at the time of the next acquisition by setting a ceiling on the volume at which individual operators can obtain contracts. I expect regional health companies to be aware of these issues in their acquisition of radiology services. Provider-side restructuring is, of course, a matter for which regional health businesses, for which purchasers, must be vigilant. I believe that the restructuring has positive aspects for the overall service provision. Prices have fallen, while the quality of services for the population has improved and improved. The question of market developments through restructuring, buying-in, etc. is, of course, also a theme for Competition Surveillance when assessing concentrations. I expect regional health companies, such as professional purchasers, to have a conscious and active view of the issues that the representative Toppe is dealing with here.
ParlaMint-NO_2013-11-27.ana.ud280e926	First, I want to thank you for the answer. I mean, this isn't just about a purchasing position, it also has to do with the patient supply. We know that in 2012, the private X-ray institute examined 600,000 patients, two-thirds of all MR studies, so that's not a small offer. I am also concerned when there are only three major actors in Norway as a whole. We also know that the government has granted 45 million to the private, which will then go to these three companies. I'm going to believe that Right agrees with me that what might be worse than a public monopoly must be a private health monopoly. Can the Council of State say that there are several real providers of radiographic services in Norway?
ParlaMint-NO_2013-11-27.ana.ud280e937	Now I am no expert in competition, fortunately we have a competition authority that assesses, but I agree with the representative Toppe that to fewer players there are, of course, there is a monopoly situation. And a monopoly situation in this area, with private monopolists, will not be a good situation to come into. I was also concerned about this issue as a staging representative. Then, in an interpellation debate in November 2010, I raised with the Minister for Health Anne-Grete Stroem-Erichsen the challenges associated with the offer in Health South-East on radiology, which I thought could lead to the kind of effect that the representative Toppe is having. In the light of this, the tender was cancelled and the previous Minister for Health launched an evaluation of the tendering procedures in enterprises, precisely in order to obtain a more conscious purchasing policy in the health regions. That is what I am concerned about still being followed up.
ParlaMint-NO_2013-11-27.ana.ud280e944	I have been told that Health House Kongsberg is one example of a local private radiographic company – it affects the Kongsberg region, Numedal, the Middle State in the West Viken etc. – which has lost an offer for the benefit of the big ones on the market. I believe that the Minister of Health is concerned that the offer must enable us to have a decentralised offer, and that one can split up in different ways in the supply regulations. But it is also the case that Health South-East is creating this code of supply. My question is whether the Minister of Health will go in and instruct Health South East to look at this, and to get offers that focus on accessibility, which can ensure more small service providers also in the bidding round.
ParlaMint-NO_2013-11-27.ana.ud280e953	In the tendering rounds relating to radiology, three conditions are used. It's price, it's quality, and it's availability. So this is already in the bids. What was a problem was that one actually decided to make a standard of quality that made the most satisfied quality. Then made a standard of availability that made most people approved for availability, and thus one again stood with only price as an instrument. When one then had no volume limitation for the individual actor, one contributed to ruining the competitive situation. That was precisely the evaluation I took the initiative to show. Therefore, it is extremely important, as the representative points out, that regional health businesses have a procurement policy, a awareness that they are a major buyer in this area, so that they do not face a situation in which they have to deal at some point with a private monopolist. I'm going to follow up on that.
ParlaMint-NO_2013-11-27.ana.ud280e966	I would like to ask the Minister of Justice and Defence the following questions: «Inside. S. No 169 provided the Storting House with the main objective of preventing young people under the age of 18 from being sent to prison, to set up youth centres for those for whom society needs protection. [[2008-2009]] First of all, there was to be one in Bergen and one in Oslo. Unfortunately, it is not yet established in Oslo, but in the first half of the year there were some concrete alternatives to localisation in municipalities in the eastern part of the country. When will the Council of State decide on the location and construction of this youth unit?’
ParlaMint-NO_2013-11-27.ana.ud280e975	The red-green government, led by the party representing the representative of Bohemia, did not in its 417 weeks be able to establish youth places, in addition to two youth places in Bergen that meet the requirements, and two that do not meet the requirements. I recognise that the Right-Fremskritsparti government has not been able to establish such youth places in the Eastern region during the six weeks we have been in government. As the representative knows, I am busy putting in such youth places as soon as possible, but unfortunately the government of Bohemia has been so little concerned about this that there are no potter projects that can be carried out in a very short time. I understand that the representative, Mr Bøhler, now has great expectations that we have received a new government with an executive role. I agree. It is good to be impatient, although I had hoped that this impatience had also been present when the Workers' Party itself put 417 weeks in government. It creates some challenges with the credibility of some of the Workers' Party's representatives that this impatience has developed very strongly over the past six weeks. But then I know that representative Bohemia's commitment in this area is very real. It is an engagement shared by the representative and the Council of State. In order to contribute to very strong clarity in this – because I have recorded in the media that Bøhler believes that the Council of State has been unclear about the establishment of youth places in the Eastern region – I would say that this government has a great deal of pressure to deliver youth places in the Eastern region as quickly as possible, and in a much shorter time than the previous government has been able – or, to say the least, failed.
ParlaMint-NO_2013-11-27.ana.ud280e988	Thanks for the answer. I wish we could also discuss issues that are under work, and in which we want progress, without suggesting that I criticise that it has not been fast enough progress once the Council of State has sat so short. We have to be able to take care of things, move on. I can definitely report that my impatience has been present to the greatest extent in the previous period in this case, so this is a question I have tried to push for a long time. My concern leaped out of the wording of articles and the Minister of Justice came up with questions about this youth unit, where he writes that he will ‘examine the possibilities of establishing youth places in the East to get young people out of circulation immediately’. What I'm familiar with is that there were four alternatives to localization in different municipalities in the eastern region at the hearing now on the summer, with a deadline this summer. So what I'm excited about, the process is further linked to taking a stand for the localization options and a construction project. I have not indicated any criticism that you have been evasive here.
ParlaMint-NO_2013-11-27.ana.ud280e999	I am pleased with that clarification of the lack of criticism. This Council of State would like to accept criticism, but it is very good that the representative also makes it clear that impatience has been there over time. I think it's a pity we haven't come any further than what we've done. The four options that have been consulted are part of the picture we are now looking at to see which projects can be implemented as quickly as possible. I am not prepared to give any date for when this may be completed. The challenge with some of the four locations has been that one then not get it in time. We have to look at this in a whole way to solve the challenge that I think is quite acute. We need to get these youth places quickly in place. We have full pressure to get it done, without which I can give a concrete date for when it will be resolved. But I can assure the representative that it is a powerful government that has now taken over the departments.
ParlaMint-NO_2013-11-27.ana.ud280e1006	Thank you for that answer too. In the wave we now see, and which is much discussed in the media, we learn that immediate reactions are important. Unfortunately, there are also people between the age of 18 and those who are criminals who need to get out of the environments in which they operate, because there is a great risk of recurrence. Society needs protection, and the victims need respect. They also need to feel that the situation does not get upsetting to them by the fact that those who have done rough work are quickly out on the street again. There has been a very high threshold now to get through cases where prisoning of them in that age group is necessary. You had to go to the Supreme Court now with a case from the Stovner Police Station, where they received assistance. My final question is: is there now a separate area within the eastern part of the country, Oslo Police District, Oslo Prison, which is under the control of that group, where there is an organisation pending this youth unit?
ParlaMint-NO_2013-11-27.ana.ud280e1017	I want to answer that question in two rounds. One is that I agree that the threshold in the custody courts for children under 18 years of age seems to be high. There are some movements in the court's treatment of what I think is positive. I fully agree that it is important that people who commit serious crime should quickly feel on their bodies that that is what they have done, by getting them out of circulation. The second is that immediate action has been taken in Oslo prison to strengthen the offer of those under 18 who are still in prison, or are being held in custody. It's an offer that at least helps solve one of the acute challenges we face, but it doesn't really solve the problem, either in the short or long term. This is why it is essential that we be able to put youth places in the eastern region as quickly as possible.
ParlaMint-NO_2013-11-27.ana.ud280e1028	‘The safety of agricultural food products in each country depends on the country’s overall plant production. Plant production is the result of agricultural land and crop level. [[inline and outline]] Do the Councils of State agree that less agricultural land and lower yield levels weaken the Norwegian food security of agricultural food?’
ParlaMint-NO_2013-11-27.ana.ud280e1035	National food production from land and sea is an important basis for our food security, and plant production plays an important role. But at the same time, we import several important food products as well as input products and machines and equipment. Therefore, well-functioning trade systems, including international standards on plant and animal health, are also of great importance to our food safety in order to ensure that food is safe. I believe it would be wrong, as the representative Lundtägen does in the question, to link food security to Norwegian-produced agricultural food alone. We're in the lucky situation that we also have a large seafood sector. So, along with import opportunities, we have more sources of food supply for the population. The fact that we have more sources of food supply for the population reduces the risk of failure in one of the supply lines and thus increases food safety. An illustration of this is that Norwegian imports of food grain have been high in recent years — due to poor summers in Norway, which has given lower yields and poorer quality. The government wants Norwegian plant production to continue to play an important role in our food safety work. We want to set up the tools to contribute to increased production and through this work for the highest possible self-sufficiency of food, as we say in our policy platform.
ParlaMint-NO_2013-11-27.ana.ud280e1048	I thank you for the answer, which unfortunately was not an answer in relation to the professional precision that the question gave. My question was related to agricultural food. I am fully aware that we also eat fish, but agricultural food was the question. Furthermore, the question concerned the agricultural food produced in Norwegian plant products. Either humans eat the plants directly or the animals eat them, and then humans eat the animals, the plants are the basis for food safety. I understand that the Council of State does not agree with the question I asked, or how it stands. I ask for an answer to the specific question.
ParlaMint-NO_2013-11-27.ana.ud280e1057	As I said, this is an important part of Norwegian food safety, but there are also other elements that are important. One of the things that is pointed out around the country when I'm traveling – at the latest yesterday I was in Lofoten – is that there's a big problem with land renting. An increasingly large part of what is produced is produced on tenure land. It's just that it's normal not to wash the rental car – you don't take care of what you don't own. Therefore, I believe that in order to improve the quality of the soil we have, we need to do something about the legislation, for example. as regards the de-allocation provisions of the Soil Law. It is important to take care of as much food as possible and at the same time look at the possibility that the soil that actually exists becomes of better quality. Then we have to do something about the structure of property relationships in agriculture.
ParlaMint-NO_2013-11-27.ana.ud280e1064	This has nothing to do with the matter – excuse the obvious speech. My question was: do the Council of State agree that less agricultural land and lower yield levels weaken the Norwegian food security of agricultural products? The Government Platform states that ‘to work for the highest possible self-sufficiency in food for emergency reasons’ — the highest possible in relation to what? What is the reference? I have tried here to have a precise question about the area and the crops that give the quantity of plant production, and that there is a quantity of plant production that says something about the supply of agricultural food based on Norwegian feed – Norwegian food. Does the Council of State agree with that clarification?
ParlaMint-NO_2013-11-27.ana.ud280e1075	In recent years, we have produced more agricultural products in Norway on a smaller area. For example, in the period 2005 to 2012, the area under vines and cereals in Norway has fallen by 370,000 deer – or 14 pst. This has been the case over a long period of time in which there will be fewer covers in active operation. That's why I am concerned about saying that we have to take care of the food soil as well as it can be done. Of course, we need to balance against the interests of the big society, but at the same time it is important to renovate the earth that is in operation and that today does not have the quality that it can have. Therefore, it is relevant to talk about decentralisation provisions and soil law. I travel around the country – I have been in many counties – and in all states they point out the same thing, namely that the high proportion of land rented is a challenge to get production up.
ParlaMint-NO_2013-11-27.ana.ud280e1086	‘In recent years, the decline in cultivated land has declined. This is the result of conscious work in a number of areas to avoid the consumption of cultivated land. Conflicts between cultivated land and development purposes are particularly high in the vicinity of large cities. The government has now given a clear signal for the construction of nearly 1,000 targets of land cultivated near Trondheim. What signal does the Council of State think this gives about the value of cultivated land, and what is the government's ambition in soil protection policy?’
ParlaMint-NO_2013-11-27.ana.ud280e1093	This government has clear ambitions for soil protection policy. We also have this programmed in our policy platform from Sundvolden: We want to take care of good food soil. We are concerned about preparedness and will work for the highest possible self-sufficiency. We have clear objectives to facilitate cost-effective food production, as well as societal needs. This suggests that each soil protection issue must be addressed separately because one has to balance with other societal needs. Therefore, the municipality plan for Trondheim is a challenging matter. There is no doubt that the earth we are talking about here is both great and good. However, as I see it, there will always be conflicts of objectives in land policy. Food soil protection must be balanced against the needs of the big society. In this difficult case, this is put to the head. This is a matter both for the Advance Party and for the Right before the election was clear that we wanted to give green light as to whether there was a government change. The voters have given a new government, and I therefore implement the Advance Party promised the voters in the election campaign. The government is occupied by the big cities as a driving force for development throughout the country. We want to facilitate the strengthening of metropolitan regions with investment in infrastructure, and we want to facilitate development where there is pressure. Trondheim is such a big city. Here, there is already a significant pressure for expansion. Housing prices have increased sharply in recent years. We have clearly stated in our political platform that in such areas we will facilitate development, and we will make it easier for the builders to build in line with the need. I also think that it's local you know your challenges best. In the Trondheims case, almost a collective municipal government is behind the municipal plan. I am also aware that Trondheim has worked well for a long time with fortification and transformation, among other things. of old industrial areas. In addition, the city has provided good facilities for public transport. This is good, and it is in line with professional recommendations. However, new housing in Trondheim will be difficult to achieve without coming into conflict with food land or with the land. The areas that the municipality is now planning to develop are building on the densification and further development of existing housing. I therefore believe that it is not right to review the municipality in this case. I have been very clear on signalling that this is not a blank mandate for Norwegian municipalities to build good food soil. Rather, on the contrary, I have made it clear that the municipalities need to improve their use of the land by building higher and denser. We are facing further population growth in Norway in the coming years, which means that the pressure on the food soil will continue. This makes it absolutely necessary to make better use of the land.
ParlaMint-NO_2013-11-27.ana.ud280e1124	It's still a little bit difficult to get completely clear of what concrete ambitions the government has in terms of soil protection, and the South-Trunde Team is a very good example, because it's right in the middle of the food barrel. It's the best food soil north of Dovre. They have already built up a lot of cultivated land in the southern Tributes – apart from Rogaland, they are at the top of the country. The councilman in Trondheim recommended a solution without degradation of food soil. The municipality already has a large land reserve, and they are now spending time with neighbouring municipalities, which have large regulated areas for non-cultivated housing. I think it's a bit serious that the minister responsible for food production is recommending the degradation of the food soil. Dwellings are important, but this food soil never comes back once it's built up. What does it say about the value of the food soil with the food minister's recommendation on this type of food soil, and what precedent can it create for other municipalities in densely populated areas that are also facing difficult balances in the construction of food soils?
ParlaMint-NO_2013-11-27.ana.ud280e1133	As I was in the past, I have been very clear that this is a matter that has been dealt with, and that does not give a blank authorisation to Norwegian municipalities to reduce the area and the food soil. But what I am concerned about and stress is that this is a matter on which we were clear before the election, and it is also a matter of 89 pst. By the city council in Trondheim is behind. They want to have a development in their city where they can offer more homes, because they have a population increase of 3 pst. Every year. It is that we must also take local democracy seriously. It's the Center Party that's very busy in many ways, and in some cases I think it's also right to give it the opportunity to develop one's own municipality further. That's why we thought it was right to give Trondheim the opportunity to develop these areas further.
ParlaMint-NO_2013-11-27.ana.ud280e1140	Now, when the Council of State places so much emphasis on local and local democracy, it is natural to wonder whether she still believes it is important that there should be a national goal for soil protection policy, which both the Bondevik II government and the Red-Green government had. This is the basis for the most conscious work that has taken place in recent years, which has led to less developed land being built in 2012 than has been done in many years. It's tempting to ask about it, but I'd rather ask the Council of State what she didn't answer to Per Olaf Lundtigen, who is related to the exact same thing. Does the Council of State think that building down and reducing the number of deer crops in this country will weaken Norwegian food security?
ParlaMint-NO_2013-11-27.ana.ud280e1147	As I was in the past, there's no direct relationship between what we produce, and how many decaves we have. In the last few years, the area has fallen, and in the period 2005-2012 – i.e. when the Senterpartiet was in and out – there was a decrease of 450,000 dean, or 4 pst. Of these, 50,000 covered food soils were built up, and 400,000 deacons went out of operation. We've had that situation for many years. What I'm concerned about is that we're going to keep all the food we can. But at the same time, the big community will occasionally need a local development that means that we also need to listen to local politicians. This government has said very clearly in the platform we have, that soil protection is important, and that there is something we're going to take seriously in the future. But there always has to be a balance.
ParlaMint-NO_2013-11-27.ana.ud280e1158	‘The objective paragraph of the Training Act states that both the basic ball and the continuing training shall cooperate with the home. Research-based knowledge of parents’ significance for school performance gives good arguments that the school should work closely with parents in initial training. The government has opened a 7th step rating test. Will the Council of State allow parents to refuse to participate in a pilot scheme contrary to national school policy, if parents think it is the best thing for the child?’
ParlaMint-NO_2013-11-27.ana.ud280e1165	Paragraphs 1 to 4 of the Training Act provide that municipalities and county councils may be allowed to derogate from the law and the corresponding regulations in connection with time-limited trials. If a municipality wishes to carry out such tests, the municipality must apply to the Directorate of Education for this purpose. It must then be stated in the application whether or not the school staff and other groups concerned support the application. The application shall also be discussed with teacher organisations, both at school and at local level. Information on local views will be some of the views taken into account by the Directorate of Education when considering whether or not to allow testing. Municipalities must ensure that parents and students are informed about the consequences of participating in trials. It has been possible on several occasions for individual students or their parents to refuse participation in previous trials. The requirement for parental consent before carrying out a test is one that must be considered in the context of the application procedure. In this context, it is important to stress that trials are never granted which may involve interference with individual life's fundamental rights and obligations. The representative believes that a 7th-year trial would run counter to national school policy. To this it is worth stressing that all tests under the Training Act § 1-4 imply that some of the provisions of the Training Act have been allowed to be waived for a certain period of time. In this way, it can be said that all attempts are contrary to the legislation and that this is precisely why there is a testing scheme. The aim of the pilot scheme has been to provide municipalities and county municipalities with the opportunity to test new educational and organisational solutions and thus facilitate school development. Well-implemented trials, followed by a thorough evaluation, will provide us with a better basis for assessing the desirability of amending the legislation.
ParlaMint-NO_2013-11-27.ana.ud280e1178	I am aware that municipalities can submit an application for permission to derogate from the training law. A condition when assessing the application is — in addition to the State Council — that there should be a reasonable reason to assume that the overall test could lead to a training that is better for students. The latest edition of the magazine Education refers to national and international researchers, where six out of eight think characters are negative for learning and motivation, and to a study from Sweden that was neutral and thought it was not harmful. Does the Council of State mean, with such a massive amount of research evidence, that an experiment can be accepted by saying that there is reasonable reason to believe that this would lead to better training for the students involved?
ParlaMint-NO_2013-11-27.ana.ud280e1187	It's important to clarify two things. Firstly, the government has not said that we are going to approve all the applications for trials. We – and I – have said that we will not initially say no. And point 2: I think it's a bad idea to pre-sort trials based on political or ideological considerations. It was a practice that one could sometimes suspect previous governments to have, but it is not this government's practice. This government practice is that we are positive to the trial scheme. We have no plans to change it, and we will be open to trials that provide a real opportunity to examine whether different educational and organisational solutions can provide better learning. In terms of grades specifically, it is true that international research on it is cracking. Very familiar we have not had a thorough test of this in Norwegian school. So I repeat that I want to be positive for applications, but I do not guarantee that they will receive a yes.
ParlaMint-NO_2013-11-27.ana.ud280e1194	In the first answer, the Council of State pointed out that it was important — or at least he should pay attention — if the training organisations were involved locally. I know that right-wing Bergen at least has a message that they want to submit such an application. There are educational organisations against this. I would also like to mention that it is important for parents – I myself am a parent in the base school in Bergen – to be heard in such a matter. So once again, I want to ask the Council of State: how strongly will the Council of State focus on what teachers' organisations think locally, and how should parents be heard before the attempt is, if necessary, granted or not?
ParlaMint-NO_2013-11-27.ana.ud280e1199	What I referred to was today's legislation. The application shall also be discussed with teacher organisations, both at school and at local level. It is also natural for the municipality to ensure that parents and students are informed about the consequences of participating in trials. Then I am absolutely sure that a party that has as much respect for local democracy as the Central Party has does not believe that a minister of knowledge should go into the details of how a municipality formulates a possible application to the Education Directorate. I believe that, in the pact with what is common in Norway, the municipalities decide the best for themselves. I believe it is important that decisions are taken almost as closely as possible to the citizens, and I know that the centre party is also concerned about that. So that discussion I will leave to the municipality of Bergen, even if there is an application. The Education Directorate will, of course, take a decision on it if it comes.
ParlaMint-NO_2013-11-27.ana.ud280e1217	This question lapses, as the questioner has a history of disease.
ParlaMint-NO_2013-11-27.ana.ud280e1225	I allow myself to ask the following questions to the Minister of Knowledge: ‘After signals from the Minister of Knowledge on attempts at grades in high school, a number of municipalities are now considering applying for trials. This despite international research showing that numbers in high school do not promote learning and that there is a majority in the United Kingdom against the use of numbers in primary school. Does the Council of State consider that it is reasonable to use time and resources to carry out scattered tests with numerical characters in Norwegian primary schools, and that this will add new knowledge that international research does not demonstrate today?’
ParlaMint-NO_2013-11-27.ana.ud280e1234	Let me first stress again that I am familiar with a broad majority of the Grand Duchy for access to the application for a trial, and that is the starting point here, namely that there is access to the training law to apply for a trial. I have not heard that any parties believe that that access should lapse. There is little research specifically on grades in primary school. So we don't have clear points of view to say what kind of effect numbers will have on pupils' learning outcomes. What we know is that research shows that professional feedback is a very effective tool for students' learning outcomes. Specially high effects have feedback that contains information about what is needed to better master a given subject. Information about what the student can do is effective, but it's a little less. However, there is no research that says anything about the effect of a combination of numerical characters and professional feedback as an assessment for the pupils at the nursery, and I want to stress very clearly that the fact that you have grades is not a substitute for good, thorough feedback from the teacher, such as that. works in high school. I believe it is important that we work continuously for the best possible assessment practice in the school. We're going to give assessments that promote students' learning outcomes. Trials with other forms of assessment in primary school can be a good approach when we cannot look at other research. The intention is to learn, i.e. generate knowledge that is important for future practice and school development. If we are to learn from the tests, the effect must be investigated. The Ministry may provide guidance for tests on childhood grades, both for method, device and scale. If it becomes appropriate to grant trials, I will consider the possibilities we have for providing qualitatively good trials that are suitable for giving us new knowledge of the use of grades in high school.
ParlaMint-NO_2013-11-27.ana.ud280e1245	I didn't ask if there was a majority of attempts in this room. It's not about it at all – it was the Toppe who asked about it. State councils say there's little research on grades in high school. I just want to refer to, among other things. Hattie, a well-known, great scientist, Stadler, Black & William. The OECD does not recommend numbers at primary school, if the Right has previously said that they do. We read in the magazine Education that a number of researchers, from Denmark, London, Switzerland, Gothenburg and Bergen, are opposed to grades in high school, because they say it doesn't seem to be encouraging, but it's anti-learning. Characters are basically a way you can get ranked, but it doesn't work that way that you learn more. I know that the Council of State has said in the past that he has not been in favour of introducing grades in high school. Will the Council of State continue to stand at its primary position?
ParlaMint-NO_2013-11-27.ana.ud280e1254	Governments have exactly the same position as government. The government platform does not say that we should introduce grades from the 5th grade, and that is why I have also said that this is not government policy. The starting point is that we have a test scheme, and I am familiar with the fact that there have been no systematic, thorough trials in Norway — based on Norwegian school days — with grades in primary school. So I believe that the point of this experimental system is not to say yes or no in advance on an ideological basis. This means that we will also consider applications that are ‘in conflict’ with the adopted school policy of the Right Party and the Progressive Party if there are good and thorough trials. I give no guarantee that anyone who applies will receive a yes, and I also give no guarantee that anyone who applies will receive a yes. But I have said that we will meet such trials with an open mind, and that there will be good, thorough trials that can also be scientifically investigated.
ParlaMint-NO_2013-11-27.ana.ud280e1266	The Council of State says he's not concerned with the ideological, but I know that the Council of State is probably concerned with the research. And when we have so much, and so wide, research into this using grades -- whether it's in high school or in high school -- what's the point that we're going to have our own research on whether it works for our students? Because we want the students to be motivated by grades, and the research shows that the most attractive are motivated by grades, while those who are not so good are being discouraged. And the nicest don't make an extra effort, and they don't take the most difficult tasks either because they're afraid not to achieve the characters they have. This is what the research already says today, and therefore I don't understand why we're going to spend time and resources on this – as the Council of State Truers is very concerned that we're not going to do in the public sector; he says we have to take the time thieves, avoid long meetings, reporting requirements, etc. Can the Council of State explain to me why we're going to have an experiment, as it stands here?
ParlaMint-NO_2013-11-27.ana.ud280e1273	It's not the ministry that says we should have a try. The Ministry — or the Directorate of Education — may say yes or no to applications for tests. So the representative draws up what's really a kind of research philosopher discussion, because if I understand the representative right, it's that because we have thorough research in one area, research should stop and stop. I fundamentally disagree with that. I believe that one of the dynamics of free research is that you have new research all the time, that you keep driving a field. And although I fully agree that Hattie's overview and book, which is, of course, the largest meta-study done on research in the field of education, is a very good point of reference and gives very good insights – for example. in the case of betting on the teacher, as this government does – this does not mean that research will stop with this book. This government is in favour of experimentation, and we are also open to attempts in areas that are not government's explicit policy.
ParlaMint-NO_2013-11-27.ana.ud280e1286	‘The Minister of Knowledge has expressed a desire for more transparency about the results of national tests at school, so that they can be used by municipalities, school leaders, municipal politicians and parents. National Councils will provide for the ranking of schools at municipal level but not at national level. The right has also programmed that parents should be able to choose school for their children, even across municipal borders. The Christian People's Party fears that this will increase the difference between schools, and create A and B schools in the municipalities. Does the Council share this concern?’
ParlaMint-NO_2013-11-27.ana.ud280e1293	I would like to thank the representative for the question, because it gives me a very good opportunity to correct a misunderstanding that is often repeated, but not more true just because it is repeated often, namely that this government wants to facilitate the ranking of schools. That's not right. What this government wants to accomplish is the same principle that had been applied when the Right Party and the Christian People's Party were set up in 2001–2005, namely that the public results of the national tests are available. Now those results are available today; it's just that they're not posted on the websites, i.e. on the school portal.no. What we want is for school-level results to be posted to the School Gate, but the Education Directorate is not going to make any rankings, either at national or municipal level. So I share the concern that this is going to be rankings, and that's why I've also said very clearly that the kind of national rankings that I've seen in the press sometimes don't make any sense.
ParlaMint-NO_2013-11-27.ana.ud280e1300	I thank you for your answer. It is reassuring to hear that the Department and the Council themselves will not produce a ranking, but there may be others who are interested in it if there is greater transparency about the results. This could be done, for example, by: be journalists. We can see that the press, the local authority, takes hold of this and ranks the schools in a municipality. As I see it, there is already transparency around the results that those who need this in order to use national tests as a tool have transparency. So then I don't quite understand why we need further openness. I would like the Council of State to be a little concrete about who needs transparency, who does not have it today, and what does he think we can do to prevent journalists and local authorities from making municipal rankings?
ParlaMint-NO_2013-11-27.ana.ud280e1307	By virtue of the Public Health Act, everyone who wishes to have access to the results of the national tests is now entitled to have access to it, i.e. the right to obtain the results. It is not the case today that the results of the national tests are given only to politicians, teachers or others who may be interested. Anyone can contact the Education Directorate and ask for these results. What we're going to add up to from the fall of 2014, is that you don't have to ask for the results, but that the results, even at school level, are going to be available at the school portal.no. I think that makes sense. The representative Tyvand asks about who might think of having an interest in it. The answer is parents, grandparents, uncles and aunts – all who are interested in improving the school. The representative of Tyvand asks a question about what we can do to prevent journalists from using the information as journalists editorially assess it. The answer to that is that in a democracy: luckily nothing.
ParlaMint-NO_2013-11-27.ana.ud280e1316	Thank you for that answer. There are many things that can be the reason a school does well in a municipality, while another school doesn't do well. National tests give an answer to the question of which schools achieve what score, but they say very little about the background. This could be done, for example, by: be demographic differences within a municipality, the main cause of which is that of it. This isn't going to happen. I myself am the father of a 1st grade, and I think it's so nice to see that my girl is so incredibly proud of her school. It is also seen on May 17th, when the children go on trains and lift the tab for their school: there is a pride. Is the Minister of Knowledge afraid that it might turn out negative if any children learn that their school is actually the worst in the city? Isn't it that if we make this information more accessible, we're going to increase the possibility of it?
ParlaMint-NO_2013-11-27.ana.ud280e1327	I fully agree that there may be many reasons why a school does less well in the national trials for a year, and one of the things we're also going to try to do is to provide results that are corrected for socio-economic background variables – in other words, that you also get what the result is, corrected for, for example. the background of parents and pupils. It is also worth saying that there are just different reasons — for example, We know that the situation of parents is related to the way children do it at school – making it pointless with these national rankings. I agree that there may be negative things out of openness, but what I mean is very bad for a six-year-old, seven-year-old or twelve-year-old, is if you go to a school where you don't learn what you need. Openness about school outcomes doesn't make school either better or worse, but it gives us a chance to address the problems, so that the school can get better for everyone.
ParlaMint-NO_2013-11-27.ana.ud280e1340	«The County Council of Troms, formed by the Right, Labour Party and the Christian People's Party, proposes extensive closures and centralisation of lines and schools in the county. It is feared that closures will weaken communities, educational diversity, increase non-response and fewer opt for higher education. In the Government Declaration, the Government is committed to combating non-response. Centralisation of offers will lead to more hybel-dwelling students, who are a vulnerable group for non-response. What does the Council of State think of this development?’
