ParlaMint-HR_2018-04-25-0.u78151	The next will be an independent representative of the respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u80751	I would like to thank the esteemed Vice President, the esteemed secretary of state with his associates, respected colleagues and colleagues. For two days, we are divided into 2 years from the adoption of a general regulation on the protection of personal data known to the general public under its own acronym of the European Parliament and which, within exactly one month from today, is being applied directly in all EU Member States. Perhaps in some ways we could say that this is 5 to 12, but it's important that we get there in time, even if I believe it might be easier for all business entities who are obliged to follow the regulation to prepare and be safer with the regulation itself. What the regulation provides is a uniform treatment of data protection supervisors across the EU, which will result in simpler, more equal protection of the rights of all individuals in the EU. If we needed uniform legislation on the protection of personal data, it is best to be seen on the recent Facebook case and Cambridge analysts who collected and kept data on us that were not really necessary and were not even allowed to collect and store them. I believe that many times, when we applied to various applications, various web sites on the Internet, those statements of denial of responsibility and just clicked next, next, next, because it was actually impossible to read all those huge amounts of fine letters, but the most common language those statements were written was extremely complicated and sometimes totally incomprehensible to citizens. What I am pleased with is that the general regulation prescribes that in the future any information intended for the public or the subject must be summarised, that it must be easily available and understandable and that a clear and simple language must be used. And, of course, it also allows for visualisation if necessary. It used to happen several times to me when I wanted to change some of my settings either on Facebook or on another social network, sometimes it took me literally half an hour and more to actually find out which one of these information is and that I can change it, now they will have to point it out in places that are easily available and understandable to everyone. Article 52 of the Regulation provides that each Member State shall ensure that the supervisory authority in a Member State has human, technical and financial resources. Let's say in some way I followed the work of our Personal Data Protection Agency, and if I'm not mistaken according to their latest report, they had 28 employees, and systematicization allowed them to have 34 employees. Whether this will be enough to comply with the regulation and for the very application of the regulation, I doubt it. I looked around the internet a little bit, and just for comparison as much as possible, the Slovenian Supervisory Authority, which will follow the regulation on protection under the general regulation, has 41 employees, and we all know that almost half of them are less than our Croats, so I definitely think that we need to shape the agency in a way that is ready and able to carry out the tasks assigned to it under the regulations. I would look further at Article 9 of the general Regulation itself, determine specific categories of data which determines that each Member State has the right to introduce additional conditions and restrictions and related to the processing of genetic, biometric or health-related data. In our law in Chapter 4, we have prescribed everything except health data, and we know that the processing of health data has been increasing lately and is a key element in life insurance contracts, so here I suggest and we have submitted one day of amendment to put in an article that will define the data relating to health. Also, I just believe that this was a failure, and in the same chapter there was no subtitle to the processing of genetic data above Article 20 that defines it, so we also submitted an amendment to make the law more technically correct and legible. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. I believe that in our law, we should also put in place one provision to determine that the right to seek certificates of impunity is subject only to those institutions and those employers who are specifically prescribed to have the right to do so. We all know that in our constitution, we have a presummation of innocence that everyone is innocent of until a judicial verdict finds him guilty. This would be if some employers asked their employees to give them a statement that they were not prosecuted, that no proceedings were being conducted, if any proceedings were under way, they would not be able to obtain that confirmation and there would be a question of the employment of those citizens. And what's left of me in the air reading both the Law and the Law itself, I haven't noticed a mention of old age. Do we perhaps need to define in our law a statute of limitations for procedures that are not in accordance with the law, perhaps we should consider a reasonable limitation period that we should put into the Law? Thank you.
ParlaMint-HR_2018-04-25-0.u80752	Thank you very much. We move to an individual debate and the first to appear is Honored Representative Miro Bulj. Here you go.
ParlaMint-HR_2018-04-25-0.u80753	Thank you very much. I'll just say it for a second. So we're talking about the Personal Data Regulation. So we can vote for her, we have no rights, except this part of the implementation, we give amendments. So what was written and prescribed for us in this way about data protection can be voted on, which came from the EU. So, every debate about something, when we talk about personal data in this way, where we don't have to influence the amendment is superfluous because it's simply those directives that we have to accept or don't accept, even though the Law on residence and the Law, so here, the banks, all of them have our data that they're dealing with whatever they want, so I doubt that in the implementation, I'm sorry, but I doubt it, I'd like to have protected data and a number of other data coming out to whom they fit and how it suits them. So here we are, I am giving up further debate on why we are talking here about a Regulation that we cannot amend, except that we can change this part of the law where we are talking about the implementation of this Regulation. So, when we are in pre-accession negotiations like all the directives that are coming to us, we can change very little, everything they have agreed because there is a Parliament in fact, at this point very little can contribute to something so that this should not have been the government's proposal at all, this could have been the Proposer and the Committee. In short, if it can explain how much we can influence the Regulation itself and how much this debate is aimed at, and how much this debate is about, that we can change something in the regulation itself. I'm not talking about implementation, and otherwise in Croatia, how many laws are prescribed... , here, I would just like to explain to the motionor on behalf of the Government how much we as parliamentary representatives, as this largest body in the Republic of Croatia can influence this Regulation in data protection. [[The speaker doesn't understand.]] Thank you.
ParlaMint-HR_2018-04-25-0.u80754	Thank you. We have one replica of the respected representative of Peja Grbin.
ParlaMint-HR_2018-04-25-0.u80755	Dear Mr. MP, as a representative in the Croatian Parliament, I would expect you to have studied the Rules of Procedure on the work of the Croatian Parliament and that you know then that there is something called parliamentary oversight of the work of the Government of the Republic of Croatia in the bodies of the EU. Any EU act adopted by the Council and the European Parliament comes to the Croatian Parliament and we, MPs, so you and I, are assessing whether we will discuss it, whether we will refer it to a reasoned opinion, and I must remind you that two years ago it was the Croatian Parliament who stopped the adoption of one EU act by reason of opinion. So, I ask you not to refer matters concerning parliamentary procedures and the work of the Croatian Parliament to representatives of the Government, but to take the Rules of Procedure of the Croatian Parliament into your hands and to learn how we act. Thank you.
ParlaMint-HR_2018-04-25-0.u80756	Thank you very much. The answer of the esteemed representative Mira Bulj.
ParlaMint-HR_2018-04-25-0.u80757	Comrade coat of arms, I'm clear here on what you want to say. I can only tell you my position. So we have a regulation ahead of us, and I've made that clear, and you can't influence it either, you can accept it or you can't accept it. You can only influence the bill where the implementing part is, and otherwise we know what kind of implementation in Croatia, you will now explain it when it comes to the Executive Act because when we were giving amendments that you accepted it by hand. So it's clear here. We are talking about directives and, of course, when we entered the EU that we entered the pre-accession negotiations that we have signed a number of directives that have simply come to this Parliament and because of such a policy, Parliament has lost the power to be parliamentary representatives, the people's representatives who decide, and this is how others decide for us, and we are left here to accept or not accept. With the amendment to the Regulation we can't influence it, you know it well, you just wanted your legal domination to prove it. Thank you.
ParlaMint-HR_2018-04-25-0.u80758	The next individual debate is the respected representative of Gordan Maras.
ParlaMint-HR_2018-04-25-0.u80759	Thank you very much. My colleagues and colleagues, Mr. Vice President. Of course, in this debate the previous one fully agrees with his colleague, the coat of arms. It can be influenced and we proved it in countless, or in several cases, not exactly in... in several cases we have proven and I think that we will prove it in the future, but what we should say is, in this Regulation and although some things Croatia is a small country in the EU, if it is proposed it does not have to be accepted and not accepted in some things, it can protect its national interest, but this is one of the regulations that shows how good it is, that the Republic of Croatia is part of the EU, or how good it is that we are part of a large market, because, for example, the Republic of Croatia is making such a law only in the field of its territory, then probably world technological giants such as Google, Microsoft, Twitter and others would not even blink or be particularly interested in what is there in some of our legislation writing and not being prepared for the implementation of that regulation, and therefore I think that Mr Neelic in his introductory presentation, has not been a good influence and not at all this punishment of companies with a certain amount, which, if companies live and work with personal data of our citizens, and must protect them. [[The speaker doesn't understand.]] And that applies not only to companies that are on the market, but also to the state and to all those who deal with these data. And if Croatia were not part of the EU, certainly Google, Microsoft, Twitter and other companies, Facebook would not invest so much now in preventing, eventually leaving or eradicating these personal data from our citizens from their platforms. Because now, by adopting this regulation and by implementing it, our fellow citizens and all our partners and other EU citizens will be able to request, for example, the permanent erasure of personal data, which these companies have collected and which they may also trade in the open market within their relations with other technology companies. So this is one big step forward, because, for example, the EU market, of 600 million people, accounts for around 1/3 of all incomes, such as Google. Imagine how powerful that is. So the US market and the EU market are the main markets of Google, Facebook and all other major technology companies from the silicon valley, which have developed their data, i.e. their jobs and their business activities, except that a large amount of people are collected on their social networks using their social services and they have a large amount of data available to people in one virtual place, where they can then monetize their business. And that's why it's not harmless at all and these penalties aren't too high, because when we talk about 20 million euros, then we always have to have in our head, for example one Facebook that makes billions and billions of dollars at an annual level or Google, etc. etc. Which means that these companies will safely invert to security for the storage of our data, they will surely react in a way that allows people to trust more and more what is being solved with their data. But what's important and I'm not satisfied with, although there are such companies of course in Croatia, which, in this way, also have access to specific data on the market, probably, never one aspect of this type has been made. So we have technology companies, we have companies that produce software all kinds of different games that are used on androids and on iPhone systems, etc. who also have very many users and who work in the area of the Republic of Croatia. Now I ask the question, is it ever and perhaps Mr. Nejdić can answer me, whether one such surveillance by the agency or any other relevant state institutions, that people who use these services can be sure that their personal data are properly protected. For example, in telecoms and banking systems. Because I'm sure someone wouldn't be happy to have certain data, someone in the banking system, except, of course, it doesn't refer to the data of our official, who we publicly publish, but the citizens have the right to that kind of privacy. And then I wonder, has one control ever been made? And for this reason, the announcement of such a regulation with such penalties, which will not remain indifferent to either banks or telecom systems, gives me a certain guarantee that they, without that control, which has not been carried out so far, will invest in personal data security officers, who will have to be present in their systems, in that they are not illegally trading, etc., etc. What also concerns me, which Mr. Nekic, also told me, in the introduction, when I said, on the replica of my opinion, is that it is evident from that answer, that the agency is not even aware of the width of the business that will now receive and control it will have to carry out, and the personal capacitated human, i.e., human, or humane, I think it is still beyond any radar of the thinking, head or leadership of that organization. Because it won't be, let's be honest, possible easy to find. So now you should get educated people quality in the agency, which will be informative, not only informative but technologically written, to control those who are four times more paid than they are in the IT company, either in the bank or in the telecoms. So how's that, I mean, I really want to know how it's going to be regulated? And I'm not even indisposed to try to do it with exorcism. It means that companies that are able to pay so many of these experts who will then have quality oversight for the state, that is, the agency that will be able to do so. So we have a lot of stuff to do. That's certainly necessary, because that market, virtually, that exists, is not yet normized at all, trust me with the data is doing everything, it's being monetized anyway, each of us gets certain ads on his mobile devices, on preferences that are collected one way or the other. So that market should be regulated and monitored, because it is not the point of profit of these large corporations, but the security and trust of our citizens in protecting their fundamental human rights, and that is certainly the right to privacy, or that they can be sure that someone will not abuse the data, which is collected, when using certain social networks etc. So we've seen what this can lead to and I'm going to say once again, here, Mr. Vice President, you've been quite active here when hearings are being held at the U.S. Congress and the Senate, and then it's being followed by the whole world, and there's no question of whether or not they should be asked whether or not they should be asked whether or not, or about Facebook that's been committed to criminal proceedings and reconnaissance of certain American institutions, there was no problem for the public to hear what they're interested in. And we around Agrokor must not hear or ask anything, and that is something that also ruins the confidence of Croatian citizens because they feel that something is hiding, rather than being all transparent and accessible to the public. If a leader of a corporation who probably has the wealth and power that several people in the world have to answer to elected citizens' representatives, I don't see why it was impossible for us when there was a question of Agrokor, no matter what investigative actions are being carried out there, are opening processes for the abuse of data use, etc. etc. And then maybe, Mr. Vice President, teach us a little bit about democracy, or what we're here for, and that's not to hide, but to be completely open to our fellow citizens. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80760	Thank you very much. And I want you to know that the president doesn't need to be half-limed, so the president won't be in the semi-liminal position with you, even though you've now broken the Rules of Procedure's speech, that's what you're hoping for. But good. Now, on behalf of the promoter, the word will be taken by the secretary of state, the respected Darko Nekic. Here you go.
ParlaMint-HR_2018-04-25-0.u80761	Thank you, Mr. Vice President. Here I am writing down everything that's been going on in all the clubs and in these individual debates. I think all these statements can be summed up into two basic objections. One is connected to the very structure of the agency, i.e. the way the Director and Deputy Director of the Agency will be elected. The second is related to Article 47, i.e. to the matter of penalties, i.e. the implementation of these penalties referred to in the very text of the Regulation in Article 83(6). Let me just say a few words about it, and I'll try to answer all those questions that were asked here in the debate. First, Article 53 of the Regulation lays down general conditions for members of the supervisory authority. It is therefore said in this article that Member States shall ensure that each member of their supervisory authority, in the context of a transparent procedure, appoints, be careful now, either Parliament or the Government or the Head of State or an independent body entrusted with that designation by a Member State. That's why I don't think I can and can't accept this argument that says this is a non-transparent election procedure or half-transparent, as the esteemed representative Grbin said. If we wanted to create a non-transparent system in the proposal, then we would certainly not have included the Croatian Parliament, or our Parliament in this whole story, because the regulation itself offers us the opportunity to be both the Government and the Head of State and even the independent body as stated here in this 4th paragraph. I think that the proposal is quite transparent, namely the Ministry of Administration calls a public call, that public call can be answered by anyone who meets the conditions and the Ministry of Administration is actually the first filter that, when the complete documentation is examined, will see who meets the conditions and who does not meet the conditions. Afterwards, these materials are sent to the Government of the Republic of Croatia and are not written here in the law, or in the final proposal, it is not said that the Government will propose only one candidate to the Croatian Parliament. And in the end, it is this esteemed House that makes the final decision on who will be the director, or deputy director of this agency. The second concept that you have presented, which means practically complete changes in the structure of the agency, we will certainly study and this amendment here, which I received a few minutes ago, I will study and we will manifest ourselves on that amendment. As for one of the arguments, it is said, I think Mr. Podolnjak said that a rather late law comes to the Croatian Parliament. So he comes late because, as I said in my initial presentation, the regulation has been in effect since 24.5.2016. One year, the ministry, unfortunately, did not prepare itself for this implementation of the regulation until 5 months last year. What I can, as the oldest employee at the Ministry of Administration, say that we found a working group that held only one meeting on 10 April 2017 and that practically when Minister Kuščević came, re-organised the task force, included in that working group a number of experts from the economy and independent analysts who worked in it and joined this final bill proposal, and you know well that all opinions would come out and satisfy the whole procedure that includes certain time-consultation, opinions from all ministries needed somewhere between 100 and 120, 130 and even 150 days. The moment we started working on this regulation, we did everything possible to get her to the Croatian Parliament as soon as possible. However, the emergency procedure goes solely for the reason that by 255 we must, of course, determine which supervisory authority and which accreditation body it is, because it would be a question of the implementation of the regulation itself if we did not do so. The second part of your question was about punishment. I think that me and the distinguished representative Maras didn't understand very well, when I was talking about the penalties that were really under Article 83 paragraph 6 of the Regulation up to 20 million euros, or up to 4% of the total last year's income, I didn't mean Facebook, Google and all these giants of America, I was thinking about one condition that caused it, which means the very knowledge that the penalties are so great for Croatian entrepreneurs who are not as big as Google, Facebook and all of these others that you mentioned. So, as far as the punishment itself is concerned, we have indeed foreseen in Article 47 that in the proceedings carried out against the public authorities, no administrative penalty can be imposed on the public authority. However, this does not mean that all these other types of penalties provided for in Article 58 of the Regulation cannot apply to it. So it's exclusively about fines because we were in a position not to have any purpose of being transferred from one body financed from the state budget to the state budget again that amount of money that will be provided for penalties. This does not mean that the responsible persons, in this case in Article 50 or 51, will not pay fines. It will be the heads of the processing and processing processors who have prevented the fines of up to 50,000 kuna. In the event of a breach of all these provisions referred to in Article 51, and also in Article 50, a penalty for the duties of the Director and the Deputy Director of the Agency shall also be provided for to pay fines in the event of infringement of all these provisions referred to in this final proposal of the Law. As for the presentation and the amendments that we have received today, so I think about the issue of limitations, we will be manifested within an appropriate period of time until this law is voted on. And as for here at the end, I think you might agree with one statement that you said, Mr. Maras, which is that this is a big step forward in protecting personal data. So the implementation of this regulation and the adoption of this final bill will certainly contribute much, much better protection of personal data than it has ever been, even though it has been the Agency until now, you have referred this question and some of these supervisions are currently in the judicial process. Here I am today talking to the representatives of the agency who assure me that it is indeed so and that they have so far had no authority but to refer it to a court case, of course it is the courts that will ultimately make the decision. Here I hope that all that has been through this debate has answered all the questions, and all your amendments will be very carefully studied, thanks to all the clubs and everyone who has individually made these proposals and we will manifest ourselves to these amendments. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80762	Thank you very much. We have two replicas, the first respected representative of Peja Grbin.
ParlaMint-HR_2018-04-25-0.u80763	Thank you, Mr. Vice President. I'll start from the end of your presentation, Your Honor, Secretary of State. No one questions that the protection of individuals' rights will increase with this. However, we are all complicated about this, and there are no doubts there except for some colleagues who are bothered by the way decision-making is taken at EU level, but that is another issue. Let's go to the part where you say about the punishment. Why are we going to a fine? Because fines are the most effective means. All of these other sanctions are methods that may be able to force those who have sinned to create something but the fine is most effective. And to conclude, yes, it is true that the regulation provides for the possibility of various bodies to name the leadership of an agency or an independent state body but we have the Constitution of the Republic of Croatia which then defines within our legal order who will propose it or who will appoint it. The Croatian Parliament must appoint in any case, we are only changing the way we propose.
ParlaMint-HR_2018-04-25-0.u80764	Thank you. The next replica is the esteemed representative of Gordan Maras.
ParlaMint-HR_2018-04-25-0.u80765	Thank you very much. A fellow secretary of state mentioned, he's compromised the amount of fines and certain global companies, but I'll remind you that we in Croatia have a safe 50 and more companies that will think carefully about how they will treat personal data because these penalties will be motivated by them. This is what my colleague Grbin said. So for example, let's take the HPB that the bank has an income of 800 million kuna, so their maximum penalty can be at 32 million kuna per year. Now she will do everything in their power and must be more rewarding to invest in that security. It means they're investing a million, 2.5 million kuna instead of risking a fine of 32 million kuna. These are not only, so it is Internet companies, providers, telecoms, and there are many of them, and it is important that these penalties are at that level in order to further protect this market, or to invest those companies in their security or in the security of our personal data. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80766	Thank you very much. That concludes the debate on this point, we'll vote when you get the conditions.
ParlaMint-HR_2018-04-25-0.u80767	Final proposal of the Law on the implementation of the General Data Protection Regulation, emergency procedure, first and second reading, P.Z.E. Number 329. The proposer is the Government of the Republic of Croatia. The debate is closed. After the debate was concluded, the government submitted amendments. In accordance with Article 5(1) of Regulation The Rules of Procedure on amendments submitted must be agreed by the majority of the representatives present. I therefore propose to vote to hold a debate on the amendments of the Government of the Republic of Croatia. Please, let's vote. I find that, unanimously with 109 votes, we have decided to conduct a debate on the amendments of the Government of the Republic of Croatia. I would now like to ask the applicant's representative to explain the amendments submitted. With us is a respected Darko Nekic, State Secretary at the Ministry of Administration. Here you go, Secretary of State.
ParlaMint-HR_2018-04-25-0.u80768	Thank you, Mr. President.
ParlaMint-HR_2018-04-25-0.u80769	You can explain all four amendments, then we'll open the debate, and then then vote for each individual.
ParlaMint-HR_2018-04-25-0.u80770	Thank you. Amendment 1 to the Art. 26, Article 2 is amended as follows: video surveillance may include premises, parts of premises, outer surface of the facility, as well as internal space in means of public transport, whose supervision is necessary for the purpose of achieving the purpose referred to in paragraph 1 of this Article. In the case of a Member State of the European Union, the Commission shall adopt delegated acts in accordance with the procedure laid down in this Article and shall adopt delegated acts in accordance with the procedure laid down in this Article. 26th century 2 added the words: as well as the internal space in public transport means with the intention to cover public transport funds carried out by public transport of passengers, for the safety and protection of passengers and property, as well as by train staff themselves. Amendment 2 to the Art. 30. century 1. is amended as follows: The processing of personal data of employees through a video surveillance system may be carried out only if the conditions laid down in this Act are met and the conditions laid down by the regulations governing protection at work and if employees have been appropriately informed of such a measure and if the employer has informed employees prior to the decision to set up a video surveillance system. Explanation. in Article 1, paragraph 2 is replaced by the following: Article 1(1) of the word is replaced individually by words in an appropriate manner for reasons which could lead to possible different interpretations due to the existence of different business processes requiring different means of notification sent to employees. Amendment 3, Art. 56. is amended as follows: The entry into force of this Act ceases to apply the Personal Data Protection Act, the Regulation on the method of management and the form of the personal data collections and the Regulation on the method of storage and the specific technical protection measures of the specific categories of personal data. Explanation. In the interests of the fact of the significantly shorter period between the adoption of this Act and its entry into force on 25 May 2018 from the original expectation and for the purpose of simplifying the complex legal situation which would result from the adoption of transitional and final provisions in the proposed form, it is necessary to prescribe the entry into force of the Law in full on 25 May 2018. On that day, it would cease to apply now the applicable Personal Data Protection Act and sublegal regulations adopted by the basis of that law. Amendment 4 to Article 57 is also amended and reads. The older version said: "This law will be published in the national newspapers, effective on 25 May 2018." For reasons of fact, a much shorter period between the adoption of this law and its entry into force on 25 May 2018 than originally expected, and for the purpose of simplifying the complex legal situation which would result from the adoption of transitional and final provisions in the proposed form, it is necessary to prescribe the entry into force of the law in full on 25 May 2018.
ParlaMint-HR_2018-04-25-0.u80771	I thank the Secretary of State. I'm opening a debate now on the government's amendments. You're welcome to sit down, if anyone's answering for a word. If we don't, then we're going to vote. So I'm voting on the 1st amendment of the government, please let's vote. I find that most of the votes are 101 for, 0 abstentions and 4 against the 1st amendment of the Government and it becomes an integral part of the final proposal of the Law. I am voting on the second amendment of the Government. Please, let's vote. I find that most of the votes 82 for and 21 against the 2nd amendment of the Government and it becomes an integral part of the final proposal of the Law. Let's go to Amendment No. 3. Likewise, Government. Please, let's vote. And this amendment got most of the vote 100 for, 2 against. So it is accepted and becomes an integral part of the final proposal of the Law. And the last Fourth Amendment of the Government. Please, let's vote. I also find that we have accepted this amendment by majority vote, 99 for, 2 for and 4 for the government's amendment becomes an integral part of the final draft of the law. We are now moving to a decision on the other amendments tabled by the Committee on Legislatives, the SDP Representatives' Club, the HNS Liberal Democrats' Club, the Most Representatives' Club of Independent Lists, MP Ivana Ninčević-Lesandirdić, GLAS and HSU's Club of Representatives. The review of the amendment has been sent to you by electronic means. I would like again the representative of the proponent of the respected Darko Nekic State Secretary at the Ministry of Administration to be shown about the amendments submitted. 1st Amendment is MP Ivana Ninčević-Lesandric. Here you go.
ParlaMint-HR_2018-04-25-0.u80772	Thank you. The government doesn't accept the amendment. Article 83(7) of the General Data Protection Regulation provides that each Member State may determine whether and to what extent public authorities in that Member State may impose administrative fines. In accordance with that Article of the General Regulation, this law exempts the public authorities from imposing administrative fines but not from the obligation to implement the General Data Protection Regulation as well as from any other measures prescribed by this Regulation.
ParlaMint-HR_2018-04-25-0.u80773	It's obvious you're welcome, MPs.
ParlaMint-HR_2018-04-25-0.u80774	Therefore, in your reasoning of the rejection of the amendment, you have read paragraph 7. The General Data Protection Regulation of Article 83 which truthfully states that each Member State may determine whether and to what extent public authorities in that Member State may impose administrative fines. And you decided to exclude them from it and punish the entrepreneurs. We believe that there should be no exception because this decision to reject this amendment is actually giving the citizens a message that there are still persons in this country, or functions that will not be punished if they abuse data, personal data that should actually be protected by this law. I also believe that I must mention that, as you have said, the fine has been pronounced against a legal person with public authority or against a legal person who carries out a public service imposed administrative fine must not jeopardise the exercise of such public authority or public service. Well tell me why, then, such a situation did not have small and medium-sized enterprises, associations and other legal entities whose fine could also endanger their business. It's just not right and it's not right of you as a representative of the government that you don't equate entrepreneurs and bodies of public authorities that you won't punish if they abuse information and entrepreneurs you will. I believe that we had meaning as it says in Article 83, you had the opportunity to even them out and you refused and it's simply not right for entrepreneurs and all the others who fill the state budget. Thank you. I'm looking for a vote.
ParlaMint-HR_2018-04-25-0.u80775	Let's vote on an amendment the government doesn't accept. I find that the amendment has not received the required number of votes. So let's go to Amendment No. 2. The club of the representatives of the Independent Lists.
ParlaMint-HR_2018-04-25-0.u80776	The Government does not accept that amendment. The proposed way of selecting the Director and Deputy Director is sufficiently transparent and does not in any way question the independence and independence of the Agency as a supervisory body as well as the powers of the Croatian Parliament to decide on the selection of the Director and Deputy Director.
ParlaMint-HR_2018-04-25-0.u80777	A fellow Downhill. Here you go.
ParlaMint-HR_2018-04-25-0.u80778	Thank you. By our amendment to Article 7(3), we have proposed that the Director and Deputy Director of the Croatian Assembly be elected on the proposal of the competent working body of the Croatian Parliament. And that the whole selection process of the director and his deputy takes place within the Croatian Parliament. Given that it is an independent and independent body, it makes no sense that the government is involved in the process and that it is the one that proposes the Director and Deputy. Based on the example of some other independent and independent institutions, so we also have the Commission to decide on a conflict of interest, we have the Commissioner for Information, in all cases the procedure is carried out within the Croatian Parliament and that is what we propose with the amendment, so we are asking for a vote on the amendment.
ParlaMint-HR_2018-04-25-0.u80779	Let's also vote on this amendment that the government does not accept. I find that the amendment does not require a number of votes. The third amendment is that club of representatives of GLAS and HSU.
ParlaMint-HR_2018-04-25-0.u80780	The Government does not accept that amendment. The proposer proposes an amendment so that the appointment of the Director and the Deputy Director of the Agency would be independent of the cycle of parliamentary elections. However, given that the last parliamentary elections were held in 2016 and the selection of directors and deputy directors is to be made in 2018, there is no link between the moment of parliamentary elections and the election of directors and deputy directors. The general regulation says it cannot be a shorter term than 4 years. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80781	The obvious, fellow Dark-Taritash, here you go.
ParlaMint-HR_2018-04-25-0.u80782	Thank you very much, President-in-Office of the Parliament. So, this is about an amendment expected by a government's good will, and I would say not only good will but good practice for the EU. So this law that we're going to decide on today, we're not doing it for one term. And it is a common practice in EU countries that directors of such agencies are indeed appointed for 5 years. And it seemed that some good practice of other EU members should really be accepted, to show a step, but obviously there is no willingness to do so yet, so I would like to ask the vote on this amendment.
ParlaMint-HR_2018-04-25-0.u80783	Let's vote on an amendment the government doesn't accept. The amendment did not receive the required number of votes. Now it's amendment number four, the SDP Representatives Club.
ParlaMint-HR_2018-04-25-0.u80784	The Government does not accept that amendment. The proposed amendment proposes that the management of the supervisory body be entrusted with a college body of 5 members or a council of which one is the President of the Council and that the selection of members of that college body be prescribed for the duration of the term of office and the possibility of re-election. In the light of the reasons for the submission of this amendment, the example of other similar bodies shall be pointed out by the Competition Agency and the Electronic Media Agency. However, the listed agencies are legal persons with public authority while under this law the Agency for the Protection of Personal Data changes its status, from a legal person with public authority becoming an independent state body. Independently and independently in his work. In addition, and in accordance with the usual practice in the Republic of Croatia, the state body is managed by the head of the body appointed as an individual and not by a collegiate body. We cite the example of the occupier and the Commissioner for Information. Thank you.
ParlaMint-HR_2018-04-25-0.u80785	My fellow coat of arms, here you go.
ParlaMint-HR_2018-04-25-0.u80786	Thank you, Mr. President. Dear Secretary of State, from your explanation, it is precisely the need for this new agency to be run by a collective body. Namely, the Agency for the Protection of Personal Data will have more powers than the Agency for the Protection of Competition or the Agency for Electronic Media has. So there we decided on a collective body just to protect the rights of citizens under whose rights in their work, and the two agencies decide. I must remind you, though I'm sure you know this well, that this agency will be able to impose fines of 20,000 million euros. I'll repeat once again to make it clear to everyone, 20 million euros. I don't know if there's another agency in Croatia who can impose such punishment or if such punishment has ever been imposed in Croatia. And we place such punishment on one person. For me, it is personally unacceptable and also this amendment, given the importance of this body, we have predicted another, in our opinion a much better way of choosing, which is why, of course, we insist on voting on this amendment. Thank you.
ParlaMint-HR_2018-04-25-0.u80787	Then let us approach the vote on this amendment that the government does not accept. The amendment did not receive the required number of votes. Here you go, buddy coat of arms.
ParlaMint-HR_2018-04-25-0.u80788	Thank you, Mr. President. Since we had amendments directly related to this one, we withdraw amendments 2 to 8 and 10 to 12. SDP counseling club. Thank you.
ParlaMint-HR_2018-04-25-0.u80789	5, 7, 10, 11 and 12. Thank you. Then let's go to Amendment 6 of the Legislative Committee.
ParlaMint-HR_2018-04-25-0.u80790	The government accepts this amendment. The adoption of the amendments is proposed due to an additional provision which generally calls for a certain...
ParlaMint-HR_2018-04-25-0.u80791	You don't have to explain if you accept the amendment. Thank you, that amendment becomes an integral part of the law. We're going to the 8th Amendment of the Club of Representatives of the Independent Lists, please.
ParlaMint-HR_2018-04-25-0.u80792	The government does not accept this amendment. The proposed procedure for the resolution of the Director and the Deputy Director is sufficiently transparent and does not in any way question the independence and independence of the Agency as a supervisory body as well as the powers of the Croatian Parliament to decide on the resolution of the Director and Deputy Director.
ParlaMint-HR_2018-04-25-0.u80793	Thank you. Comrade Downhill, here you go.
ParlaMint-HR_2018-04-25-0.u80794	Thank you, Mr. President. In accordance with the earlier amendment that we have submitted to Article 7, this amendment is also going towards preserving the independence and independence of the Director of the Agency. It is logical that the process of appointment and procedure of resolution takes place within the Croatian Parliament. Finally, the Agency's report is also submitted to the Croatian Assembly. According to our proposal, the procedure for the discharge of the Director and his deputy would be launched on the proposal of the home working body of the Croatian Parliament. Therefore, what will discuss the report, if it would assess the report as unfavourable, could then initiate the resolution procedure. Why the government? Why the government? If the report is accepted or not accepted in the Croatian Parliament, why the Government of the Republic of Croatia? How would this help to strengthen the independence and independence of that body? In our opinion, not at all. The government should be removed from the process right now. Why call on the competent working body to discuss it as the parent working body on the Director's report, why not have that authority to initiate the discharge procedure? This is a much more logical solution for us than for the government of the Republic of Croatia to initiate the procedure, and therefore we ask that the proposed amendment be voted on. Thank you.
ParlaMint-HR_2018-04-25-0.u80795	Let us then vote on a proposed amendment that the government does not accept. I find that the amendment has not received the required number of votes. Amendment 9 to the Legislative Committee.
ParlaMint-HR_2018-04-25-0.u80796	The government accepts this amendment, but with the correction of one mistake because it mentions the Law on State officials, and the Law does not stand anywhere, but the Law on civil servants.
ParlaMint-HR_2018-04-25-0.u80797	An indication of the Legislative Committee.
ParlaMint-HR_2018-04-25-0.u80798	We accept this argument and we give up.
