ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u170	Mrs. Carcedo...
ParlaMint-ES_2015-06-17-CD150617.u171	It can't be. We have to manage in another way, thinking of the general interest. I'm done, Madam President. This is what I would like to move you, because your ministry has a very important responsibility, but the responsibility lies with the Government as a whole. The consequences for child poverty are not only from his ministry, which could only cover a little, but from all the blush that all these measures that I have just mentioned are producing on inequality and poverty. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u172	Thank you, Mrs. Carcedo. Minister for Health, Social Services and Equality.
ParlaMint-ES_2015-06-17-CD150617.u173	Thank you, Madam President. Mrs Carcedo, it seems that you are now very impressed by the effects of the economic crisis that have left us. [[Applauds]] It is what there is; I do not think it is a thing to throw it at others, but to try to turn the situation around and maintain a certain coherence in the discourse so that we can understand each other, not mix it all up that way, because then it is very difficult to separate one from the other. It criticizes the labor reform and tax reform, and to do the X-ray of the situation of child poverty in Spain offers the data of the survey of living conditions, conducted in 2014 and which reflects the situation in 2013, after five years of continuous destruction of employment, when we definitely touched bottom and before the economy began the recovery of its positive numbers in 2014 and 2015. It's the worst time, it's the worst situation, and the data offered by the X-ray are really scary, it's bad. It is also clear what the causes are, and I would like to talk about that, but it is also clear that the cause of the 2013 situation cannot be the fiscal reform that came into force in 2015; it is very difficult that that is the cause or the reason, therefore, it is appropriate not to mix things up. You say that this tax reform does not favor families. If it favours families; families with children because it has introduced such a negative tax, these family checks; it favours families with dependents under their responsibility; it now also favours - because this extension was made - single-parent families with family responsibilities, who have dependent children, who in most cases are women who are alone with children. Therefore, it cannot be one thing cause of the other. Indeed, in Spain there is a serious and difficult situation, but what we now know is the image of 2013. Surely this has been corrected, because from there the employment data have gone to better and because already the first trimester EPA informs us that there are 185,000 households in which one of its members has found work; that is, we have about 185,000 fewer households in which no one works. We are therefore influencing the root cause of this increase in poverty. When one sees the survey of living conditions, he warns that it is the increase in the number of low-employment households; that is the fundamental change that occurred during those years and, therefore, that is also the root cause of the increase in the poverty rate as a result of the economic crisis. I want to mean that the rates of child poverty in Spain have been rising since 2005, before the beginning of the crisis, and I want to say this not to reproach you for anything, but because there is an increase in poverty that is very linked to the economic situation and to the unemployment situation that particularly affected those families that were in a situation of greater vulnerability and that therefore have to be given greater attention and protection - those who went to unemployment, who lost their jobs as a result of the collapse of the economic situation -; now there is a poverty for which there is no crisis or recovery because it is always there and feeds on itself. It is a structural poverty, families that are permanently at that exclusionary risk station. There was this before and there will be after we get out of the crisis and we are at employment rates like the ones we want to have. There may then be one, and I therefore believe that action must be taken on the basis of families, people who are constantly at risk of exclusion and who are a problem that needs to be thoroughly reformed, structural reforms in Spain. It seems to me very important to renew how the economic situation has been renewed, to put the country in competition, to create opportunities, to create employment and to encourage such employment to reach not only those who are better prepared or better prepared, but also groups who need support because their employment is more difficult; that it can reach many families so that, by regaining their jobs, they can regain their capacity, regain their autonomy and improve the situation of their children. But, in addition to that, we have to do a thorough study of what is happening, what is below and how we can change things in the future so that this situation of inequality, which is always latent in Spain, does not occur. I do not share some of his observations on educational reform, with the efforts made by the Ministry of Education during this legislature. A key objective has been sought, which is to reduce one of the root causes of inequality in Spain, which is early school leaving, that children do not drop out of their studies, that they can continue there and that they have other options. There has also been a significant increase in the number of boys and girls who wish to study vocational training, and that is significant. We must focus on the importance of deep structural reforms and not conform to the system that existed before, which led to a high rate of abandonment. If you compare this early school drop-out rate with the data linking the level of education to the level of unemployment, which are very clear, the link is very direct; to lower training, less chance of having a job, crisis or no economic crisis; if there is an economic crisis there is no employment for anyone, but when there is growth there is also often no employment for the less educated. In some sectors such as construction or hospitality, there were easy jobs, low-skilled jobs that were accessible to very young boys who left school and went to work there. We have begun that transformation, that change focused on the formation of the younger ones, on their qualification. This is a bottom-up prevention measure for those who may be in an exclusion situation in the future that will determine lack of income, lack of work intensity and, therefore, households with children at risk of poverty. We must combine, on the one hand, that economic policy which wants to create opportunities and jobs so that many people can regain their full autonomy and, on the other hand, reforms that go to the bottom of a poverty that is always latent. In the meantime, you have to help people have a bad time. Every euro that is invested - I agree with you - in a child who is in a difficult situation or to strengthen the situation of a family has an extraordinary impact and profitability in the future. Mrs Carcedo, I believe that things have begun to change and that an effort has been made in difficult times, in which we have fought against this economic crisis and the situation of collapse described earlier, to introduce some measures that can help people, especially those who have been left behind for a long time, who are suffering the most from difficulties, and who have been suffering the most from difficulties. You have launched the Preparation Plan and we have extended it and given it security. This measure has benefited 525,000 people and is an important measure. It also seemed to us that the field of dialogue with social actors was important to look for measures that could help the long-term unemployed, which is often where these poverty situations are concentrated. That is why we launched the special activation programme for employment, which is progressing - the Minister of Employment informed us in this House last week that there are more than ninety-four thousand applications -. And I'm gonna give you something new this week. One of the measures we have introduced in the Family Plan is an analysis of something that is not the competence of the State but that is of great concern and concern to all, and is our system of minimum income for inclusion. We have already secured funds in the European Union. We will participate in a programme to analyse, together with the European Union, the whole system of minimum income for integration in Spain, which comes under the responsibility of the autonomous communities, not only from a quantitative but also qualitative point of view. The programme will be implemented jointly with two other countries, Belgium and the United Kingdom. I believe that this will give us a good view of a situation which produces serious inequality in Spain according to the autonomous community in which you live, a situation which you know perfectly well, Mrs Carcedo, and which does not make it the same in one community as in another, because the resources available are not the same. This worries me extraordinarily. However, in view of what is said, the autonomous communities have made an extraordinary effort; they have been able to do so because they have been financially supported by the State at the most difficult times, when they had all the doors closed to financing and when public resources had collapsed. He recalled that between 2008 and 2013, the number of total minimum income earners increased by 81.53 per cent. Of course, this is not good news. I wish the number of people in need of minimum income would drop. But there is also a response from the various state administrations, and this has meant 280,000 new collectors. We need to see who gets to, how it covers, what the amount is, how it is managed; on this we need to make a serious study because behind this detailed analysis of something that, it is true, is not the competence of the State, we can have the keys to promote equal care, equal opportunities and equal fight against poverty in one place in Spain or another. I look forward to your cooperation in this work. I do not want to tell you very much about all the measures and programmes because I have told you many times. Many times we have come up to the rostrum to say that we have put one or other programme in motion. We have set up poverty funds and we have very important programmes for the prevention of this issue, for example, through the support provided under 0.7 of the IRPF. I want to say here, as this debate will continue, that I am deeply concerned about the situation in which third-sector entities may remain as a result, in my opinion, of somewhat irresponsible resources - it is not a responsibility of your group - which now determine the cancellation of aid for the maintenance and maintenance of third-sector social action entities. It is extraordinarily serious, like all those who want to destroy the possibility of 0.7. Every euro of 0.7 is targeting the prevention of inequality and enhancing that great social action network and I think we should have joint action to try to protect a system of social initiative participation in protection in Spain and in the fight against poverty, which is an excellent level and which we need to maintain in order to fight it all together. These were some reflections. This is what brought us the crisis. When the waters came down we saw how things were going, but I tell you one thing, Mrs Carcedo, there is a latent poverty that needs profound structural changes and reforms, which are what we need to discuss. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u174	Thank you, Minister. Mrs. Carcedo.
ParlaMint-ES_2015-06-17-CD150617.u175	Thank you, Madam President. I couldn't resist it; I had brought it but I had left it in my seat. [[Show a chart]] The green color, the low rows, represents those who neither win nor lose; those who win are in the blues, the rich. [[Rumors]] Minister, Zapatero is not at the origin of the crisis. There is someone sitting in their seats who was managing one of the entities that was the source of the global financial crisis that led to all of this. Nor were we socialists amending the Soil Law, which triggered expectations of soil value and everything else that came after it, as well as the collapse of a productive system. It is true that the strategy for the activation of employment was approved with the social partners. Can anyone explain with mathematics, arithmetic, why unemployment protection continues to fall, why we are in 54.5% protection, so that one in two unemployed people does not have unemployment protection? And if the reference is not the registered unemployment but the EPA, we are in 30% protection, that is, only one in three unemployed has unemployment protection. That's family poverty and that's child poverty. Go to the latest data on the recorded unemployment and you will see how the percentage of the budget and the percentage of people protected by unemployment continues to fall by 17%, when in the previous year Mr Montoro put 5 billion in the budget for unemployment protection that Mrs Báñez did not implement. That's poverty; that's simple. We will talk about education and school drop-out; how this law is avoiding school drop-out and who stays in the education system. You'll see that, too. As for the minimum incomes, I agree with you that they are a very weak last network, but ask some of your autonomous presidents - some outside, although some still have a high responsibility in your party - why they have 3 per thousand coverage when the average is 13.7 per thousand, and Asturias has almost 30%, ten times more. Ask the future president of the Community of Madrid why it does not reach 10 per thousand coverage. You said that it depends on the autonomous community; no, on the political will of the governments of the autonomous communities. That's the thing. [[Applauds]] Soon I will focus on the affairs of your ministry. We have repeatedly pointed out here the terrible effect on the classic pillars of the welfare state of the three royal decrees of 2012. It is an imperative question to reverse that situation, because they defined criteria of universality that were eliminated and that are the key to equity and universal services, citizenship rights, and do not come to us here with stories. The law said that every person living in Spain has the right to health care, and now it is necessary to explain it with eighty thousand cases in an inexplicable question, since now Social Security has nothing to do with the financing of health care. These are general taxes, therefore, of general and universal services. As a result, structural changes in the welfare state are fundamental, because part of families with children are excluded; there are 800,000 people without papers who are excluded. I know that you have will and that you are working on this issue, which I think is very good, but the problem is there. As far as social services are concerned, the State cannot have reduced the concerted social services plan by 70% with the poverty figures we have.
ParlaMint-ES_2015-06-17-CD150617.u176	Mrs. Carcedo.
ParlaMint-ES_2015-06-17-CD150617.u177	Or that Mr Montoro has been captivated by the fact that social services are not municipal competence and lead to a situation of total uncertainty. I am surprised that you have not told me about the 32 million of the plan, which is only one euro per month for children below the poverty line.
ParlaMint-ES_2015-06-17-CD150617.u178	Mrs. Carcedo.
ParlaMint-ES_2015-06-17-CD150617.u179	I'm done. Minister, we will continue to discuss this issue in the motion, but I insist that this is not just a matter of your ministry; it is a question of political model, of all policies. I insist on that because I think it is a serious country problem. We cannot afford the situation of our childhood, because it is the key to the future. As I always say, this country should not continue to be a country that is not for children; this country should be for children, a country that looks at children and the future. Thank you very much, Madam President. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u180	Thank you, Mrs. Carcedo. Minister.
ParlaMint-ES_2015-06-17-CD150617.u181	Thank you, Madam President. You must have in a pawn to Zapatero, who had never heard of anything, nor of what had happened, nor of the crisis that was coming, and the guilt of what was happening then was of the next minister of economics. Really, you guys have a skill... But it takes a lot of imagination for someone to believe that. And no one believes it. To fight poverty is to fight for people to have opportunities and the country to have the capacity to grow and create jobs, which is what the People's Party Government does. As the economic situation has been turned around, all that growth and the ability that Spain now has to gain opportunities is what it has to turn from a social point of view for many people to move forward. The goal is that there will be 20 million jobs at the end of the next parliamentary term; with 20 million jobs there will not only be many people who no longer have that income shortfall situation in their homes because they do not have jobs or have low employment intensity - which is what the living conditions survey tells us - because that guarantees a solid level of income for the public administrations that consolidate the major programmes to be made in the future and that, as you will understand, they cannot permanently depend on the deficit or on indebtedness because that is what puts at risk the major public services. Therefore, that is the largest, it is the most important thing to do, but from there we must also make policies and programmes. It seems a little 32 million, but it is more, a little bit more than zero euros, which is what you used to allocate to the poverty fund, because it did not exist; we believe it. The Government, from the first minute on, took a social option; the revenues had collapsed and the previous Government had fled unchecked because it knew that the situation no longer controlled it, that it had left its hands. The first decision taken by the Government in the coming week was to raise taxes to guarantee pensions and unemployment benefits, which were the two most important items in the budget, in addition to paying interest on the debt, which continues to weigh heavily - these were the three most important items in the budget -. Who did the taxes go to that first week? The ones who had the most, the richest. And when we did the reform of the income tax it was not to return what was raised; that reform has considered that the priority was middle income, low income and families who have responsibilities, who have children or who are caring for older dependents. That is to act with justice, that is to consider that the greatest effort in the crisis must be asked to the one who has the most, and that the greatest support in recovery must be given to the one who has the least opportunity to benefit from that recovery. That is what we have to do and that is how we have to focus the debate now so that it can reach each of the houses, especially those houses where no more euro comes in than the aid that the State can put in place, the Plan Prepares, the Plan of support for long-term unemployed, and even the income of the insertion of the autonomous communities, and sometimes the assistance of the organizations of the third sector, of the municipal or autonomous social services. That's where the priority has to be now. The approach of the Ministry of Employment, which we have put into the Family Plan, what has it incorporated? Active employment policies must be targeted especially at those who are unemployed and have family responsibilities, on whom a family depends, i.e. women and men who have to take a wage home. Active policies must be guided there, because that will make us more effective in combating the inequality of opportunities that many children have in our country. As you click on the topics I like best, I will tell you about the universality of health care in Spain. I would like to give this debate a final say. We have the largest universal care system in Europe, with certainty, and I am sure that with the latest improvements it will be the best organised. First, in Spain, all those who have legal residence are entitled to health care, except those who have an income of 100,000 euros. Whoever has more than 100,000 euros, we make him pay. I don't know if that sounds bad to you; I thought there was no discussion in that. [[Ms. Carcedo Roces utters words that are not perceived]] Those who do not have a legal residence status in our country but live in Spain, if they are minors or are pregnant women, have care on the same terms as a person with legal residence. [[Mrs. Cediel Martínez: No, no]] On the same terms. [[Mrs. Cediel Martínez: No, no]] Yes, ma'am. [[Mrs. Cediel Martínez: They are being denied]]
ParlaMint-ES_2015-06-17-CD150617.u182	One moment, please. Madam Member, the debate is not with you. Okay? [[Mrs Cediel Martínez utters words that are not perceived]] No, Congresswoman. Go on, Minister.
ParlaMint-ES_2015-06-17-CD150617.u183	Yeah, I'm finishing up. On the same terms. This is what laws and what is done. With regard to people who are in a non-legal situation, I anticipate that we have already made much progress in the programme with the Autonomous Communities. Of course, they will be required to be registered for a period of time, although of course they will be treated equally in primary care and will have access to specialized care or community pharmacy, but the programme must necessarily be temporary and temporary. There are criteria that will set full-guarantee care for all, that will satisfy all public health requirements or any doubts in this regard, thinking especially about people, which is the most important thing. [[Applauds]] We do all this - bring the country out of ruin, put it to grow and create jobs - thinking about people, who are our families and the people we are with every day in each of our streets and squares. This is what worries the People's Party, the party I believe in, the party - always was - of humanism and the defence of the dignity of the person, and that is the most important thing. [[Applauds.-A honourable Member: Very well!]]
ParlaMint-ES_2015-06-17-CD150617.u184	Thank you, Minister. - OF IU'S PARLIAMENTARY GROUP, ICV-EUIA, CHA: THE PLURAL INVESTIGATION, ON THE NEED FOR A PARLIAMENTAL DEBATE ON POLITICAL CORRUPTION CASES DURING THIS LEGISLATION AND THE FINANCING OF POLITICAL PARTICULARS IN THE LAST 20 YEARS. [[File number 172/000322]]
ParlaMint-ES_2015-06-17-CD150617.u185	We turn to the urgent appeal of the Parliamentary Group of the Plural Left on the need to hold a parliamentary debate on the cases of political corruption known during the current legislature and the financing of political parties over the past twenty years. For your defense and presentation, Mr. Centella.
ParlaMint-ES_2015-06-17-CD150617.u186	Madam President, the intention, the reason for this question is clear and we have been repeating it for a long time: to use an instrument that allows us the Rules of Procedure so that this House can discuss the possible setting up of a committee to investigate parliamentaryly how political parties in this country have been financed. It is a little painful to have to use an instrument that would not be normal to provoke this debate; it would normally have been months ago if the Rules of Procedure allowed one or two groups to raise directly in plenary the possibility of setting up a commission of inquiry, but as the Rules of Procedure do not allow and the People's Party has used its absolute majority on the Board of Spokesmen to block this debate week after week, we have used this instrument to speak not only of the People's Party. Our proposal is not to investigate only the People's Party - it is not a cause of the People's Party - but how the parties have worked, how the parties in this country have been financed in recent years. We do so because we are not afraid and, as we are not afraid, we are not worried that we and everyone else will be investigated. The one who fears something is because something must. We propose that drawers, files and hard drives of computers be opened. For what? For citizens to know what they want to know, what they need to know, which is what has happened in this country so that at this time there are cases of corruption that arise daily. It is unusual that in this legislature, where more cases of corruption have been reported, not a single commission of inquiry has been set up. It is really unheard of that you have wanted to put forward a final point law without clarifying the past, and, as we have told you over and over again, that is not credible. It is not possible to look to the future if we do not clarify to people what has happened in this country. We can't bury a past that pops up day by day if we don't clear it up. In this case, I repeat, we cannot fail to apply the fact that if someone fears something it is because something must, and those who do not fear to facilitate this commission. It is true that you are somewhat frightened - even I would say that something panics - of a parliamentary investigation - no longer judicial, which has another way - to the extent that you have preferred to endanger the credibility of the House itself rather than allow a committee of inquiry to be set up, rather than allow the parliamentary debate to take place. At this point I am not going to be deluded, I am not going to think that you are going to give us the approval today, that you are going to approve this Commission, but I am sure that your position makes you more and more complicit than what is happening, makes you more and more complicit than what the courts are investigating. You will be able to say again that not next week and reject a proposal, but more and more will be shown than what happens is not that there are black sheep in the People's Party as there may be in any other party, it is not that there is already a flock of black sheep, but that you try not to investigate the relationship between corruption and financing. That is the key element: that there is increasing evidence that there has been a correlation between corruption and the financing of the People's Party. So what we want is to put the magnifying glass, focus on the relationship between corruption and how political parties are financed. The truth is that not a single day goes by without a new case of corruption, with the aggravating fact that they are known in times when tough policies are applied against the majority of the population, in times when citizens are asked for sacrifices, when they are asked for cuts and, yet, in parallel, cases of corruption are known that show that there is a double measuring rod for the internal and the external. They are not isolated cases, because they affect practically not only the whole of Spanish geography but, as I told them, also the party's own funding. Making a brief review of Spanish geography we can talk about Valencia, where - you know it better than I do - there are around 130 leaders of the People's Party who are being investigated, who have had judicial proceedings in which they are from former councillors to the president of a deputy or ex-mayor. The management that has been done in the Valencian Community has had a reflection in the ballot boxes and it is no coincidence that you are going to lose that community. But it has also had an impact on people's lives, on the management and looting of public television, on the construction of airports without planes. Cases such as the Brugal case or the Gürtel case show that you have not been able not to stop corruption but even to talk about it. We can talk about Galicia where there is the Pokemon case, which also affects another group in this House and which shows how the People's Party has been structurally linked to corruption in Galicia. What are we going to tell you about Madrid, where the Gürtel plot surrounds its widths, as in Valencia. [[A Member of Parliament: We can talk about Rivas...]] Yes, sir, we can talk about anything you want. If the problem is that you don't want to talk; the problem, and hence your screams, is that you don't want to talk. We don't care because we don't have anything to hide in Rivas or anywhere else. We want everyone to be investigated; we also want to be investigated because we fear nothing. The one who fears is the one who's blocking the investigation. We can also talk about Castile and León, we can talk about what happened in Burgos, what happened in Navas del Marqués, what happened in many other places. We can talk about the Palma Arena case, the Scala case, the Bitel case; we can talk about many more. All this, to be serious, is not the most serious. The most serious thing is what Judge Ruz, who is not exactly a militant of our political formation, has pointed out in relation to the roles of Bárcenas and who has put in writing in a car, and is that there is a B box of the People's Party and that he considers the People's Party to be responsible civil subsidiary. Therefore, the existence of a B box of a political party linked to cases of corruption is what we are really concerned about, which really puts the magnifying glass and the need for it to be investigated, to be clarified. If you have nothing to fear, if you have no problem, what problem is there to investigate? Because we can't talk about court cases. One thing may not be illegal and not be ethical; one thing may have no problem in the judiciary, among other things - as is also said - because at that time it may not be criminalized, and it may be morally deplorable. Citizenship has the right to know what has happened. Democracy is strengthened to the extent that there is trust and it must be recognized that there is no such trust today, that it must be restored and that it must be done with transparency, clarifying what has happened and, from there, obviously, that which has made it pay, wherever it is. There you will always find us, it is we who do not find you, who day after day block the debates and the committees of inquiry. I repeat, a single commission of inquiry, not one every week, not one every month, but a single commission where it passes from the General Coordinator of the United Left to the President of the People's Party. And not only the old parties, but also the newly created parties would have to give explanations; everyone would have to give explanations, because from there it is when the situation could be recovered. When a judge points out 1.5 million euros as the black money that the People's Party could pay for the works of its headquarters, that has to be investigated legally and politically. We put the magnifying glass in political corruption, but there is something obvious and it is that behind someone who buys there is an interest; nobody sells it if nobody buys it and, therefore, when someone has sold themselves, from the People's Party or from another political group, it is because someone has bought it to get something. In this country there are many people who have lost the house, the job; there is a country that has been ruined and, behind that ruin, there is a lot of corruption and people have to know who has ruined them, people have to know who has bought the politician, because behind a politician who sells himself there must always be someone who buys him, and you want to cover not only political research, perhaps because you are afraid that you will know who the buyers are before you even know who the corrupt are; perhaps you owe more to those who buy than even those who have sold themselves. That is why our group is going to present a very simple motion next week proposing that a committee of inquiry be set up, that parliamentary investigations be carried out, that justice should do its work, that it should reach as far as possible, according to the laws that exist, but that citizens should know from this house how the political parties have been financed, that citizens should know from this house what has happened in this country with public accounts and, from there, I repeat, that every stick should hold its candle. Our group is willing to endure its candle, but it is clear that the People's Party, to this day, has not been able to endure its own. For something it will be, ladies and gentlemen. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u187	Thank you, Mr. Centella. Minister for Justice.
ParlaMint-ES_2015-06-17-CD150617.u188	Thank you, President. Mr Centella, you are proposing at this time the holding of a parliamentary debate on the cases of political corruption known during this parliamentary term and on the financing of political parties in the last twenty years and, being the relevant subject, being an issue that impacts on the whole of Spanish society and that is genuine evidence, I think you know, Your Honor, that along with economic policy, economic affairs, that has been precisely the most important backbone of government action during this parliamentary term and of parliamentary activity. There have been many initiatives in this House that have had to do with the development of anti-corruption measures. I am sure that we all want to see these changes materialized and that they do not remain in words or commitments but in real realities. That is why I believe, Your Honor, that your inquiry comes rather late and goes far behind what the Government has been pushing for over the past three and a half years. The president of the government - you said he wanted to discuss the financing of the political parties and the People's Party - in this legislature he has appeared twice in Congress to deal precisely with these matters and to this he referred very clearly in the monographic intervention that there was on corruption on November 27, 2014. Remember, Your Honor, that at that time two bills of great importance were presented: that of control of economic and financial activity of political parties and the regulator of the activity of high offices. Then the president said something like that we were not in the presence of another reform, a reform of the many that the government is doing in this legislature, but it is the most important, the most complete and the one that is called to exert greater influence. Indeed, that is the case, no matter, except perhaps that of overcoming the crisis and unemployment, has involved more dedication in the Government and in the People's Parliamentary Group than the fight against corruption. And of all the reforms that we have carried out during this time: financial reform, energy, labour reform, public administration reform, none, in my opinion, will mark both the future of our country and the reforms carried out to ensure a healthy public life, a transparent public life and institutions that are regenerated and fully representative of what is today a real citizen demand. This has also been, Your Honor, out of conviction, not only out of demand, but out of conviction, the objective of the government's policy since the first Council of Ministers, which, on 30 December 2011, already proposed a reform of the Organic Law on the Financing of Political Parties by reducing the State subsidy they received and the allocation of its amount to Parliament. Control measures on the financing of political parties were also incorporated by restricting who could make donations and prohibiting the cancellation of bank debts above 100,000 euros. This was only the first of a series of initiatives that have evolved towards an institutional and political model consistent with citizens' demands for greater transparency and greater rigour in the management of public resources. In the first hundred days of government, the transparency bill was introduced, which affected, as you know, political parties, trade union organizations, business organizations, including the House of His Majesty the King, an absolutely pioneering rule, and also the first documents of the reform of the Criminal Code, which created new types to punish the concealment, simulation and falsification of public accounts. It also restored the criminal responsibility of political parties, something that had surprisingly been eliminated in the 2010 reform. In addition to the commitment expressed by the President of the Government in his inaugural session and in the session held on 1 August 2012, there have been permanent offers of dialogue in all the debates of the nation on this subject, in the debates of 2013 and 2014. In that search for consensus born of the conviction that we should be able to work together in this area, we have tried to recover and welcome contributions from your ladies and gentlemen and from the various groups. I do not think that this exercise of dialogue and this exercise of seeking consensus has been in vain; it is true that some groups have denied their radical collaboration with the Government, but in any case the initiatives have been put forward, they have been dealt with in this House, they have been debated and they have been adopted. The result of all this is a much more demanding regulatory framework, which I am convinced guarantees far better than the previous one that certain conduct will not occur again than justice, even with the previously imperfect tools, is currently prosecuting, knowing and sentencing. There are many changes that we have made in this Parliament in this area, Your Honor, and I will mention them even if it is very succinctly. First, the Organic Law 3/2015, on control of the activity and financing of political parties, because it improves the regulation of the channel through which donations can be made to political parties. It clarifies what a donation to a political party is; it clearly establishes the prohibition of donations to parties from legal persons, companies, and also prohibits debt forgiveness by credit institutions. It considerably broadens - and you have mentioned this, Your Honor - the economic and accounting information which, in accordance with the principle of transparency, political parties must make public; it regulates the figure of the person responsible for the economic and financial management of the parties and the appearance of this person before the Joint Committee of the Court of Auditors. The introduction in financial matters of serious, very serious and minor offences and the appropriate sanctions for such offences seem to me to be very relevant. Therefore, under Organic Law 3/2015, all information on the financing of political parties will be provided, and this has been done by this Government and has been done by the People's Parliamentary Group in support of the adoption of this law. He was also told that the reform of the Organic Law 1/2015 of the Criminal Code has once again brought on the table the criminal responsibility of legal persons and, in particular, political parties, incorporating in articles 304 bis and a new specific criminal type that criminalizes the conduct of illegal financing of political parties. Therefore, this reform promoted by this Government and the People's Parliamentary Group will punish those who accept, receive or deliver donations or contributions to a political party in violation of the law on the financing of political parties, and penalties of up to four years' imprisonment and fines of up to five times the value of the defendant or the person received may be imposed. Ladies and gentlemen, this is only a small sample of the many actions that have taken place in the area of corruption in this legislature: greater control, greater demands, greater transparency and more information on the accounts of all political parties, and not only political parties but also senior management officials because they also undoubtedly constitute a relevant professional stratum that makes important decisions with economic content and that must be monitored and monitored. That is why the Law on the Statute of the High Commissioner establishes a systematized regulation of the requirements, conditions, characteristics, controls and guarantees that must be applied in the exercise of the function of high office in the General Administration of the State. That is why the Penal Code, to which I referred earlier, also incorporates special disqualification for public office in the case of the commission of crimes by officials. In short, ladies and gentlemen, there is a clear increase in penalties in all these offences, with the punishment of corruption offences being reinforced in the public administration. Secondly, I want to highlight the strengthening of the institution of confiscation, so that we can confidently say to the citizens that until the last euro of the stolen money is returned, the convicted person does not return to the street, because there will be no application of prison benefits if all the financial liabilities have not been fulfilled or the economic damage caused has not been repaired. It could continue with many more initiatives that demonstrate what I am saying here, the firm commitment of the Government and the People's Parliamentary Group to constitute a legal regime that prevents the commission of corruption crimes. For example, the upcoming creation of the asset recovery agency, the new confiscation regulation and some other measures. Finally, ladies and gentlemen, if you want to raise a debate on these issues, they are all on the table here, all of which have already been adopted and are beginning to bear fruit. If what you are asking us is to supplant the action of justice, to condition it with pronouncements of this House or to confine ourselves to a specific case of the many you have mentioned, then I really believe, Your Honor, that we would be doing the wrong service to society. There have been many debates in that legislature; legislative and governmental actions, much more. I therefore hope that this debate today will not be a superfluous gesture, but that it will allow us to recognise the whole path that we have taken over the past three and a half years in this area and to convey to all the citizens that from Parliament and from the Government we are taking steps to make the margins of impunity for the commission of these corruption crimes ever smaller and we will not have to know, as we have certainly known, so many cases in recent times. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u189	Thank you, Minister. Mr. Centella.
ParlaMint-ES_2015-06-17-CD150617.u190	Thank you very much, Madam President. Mr Minister, starting with what we agree with, I agree with you that this debate is late and bad. It is late because this issue should have been resolved months ago and the committee should have been set up months ago. Moreover, it is bad because it would not have to be an inquiry, but simply an ordinary item on the agenda. From there, with everything else you've said I can't agree. We have not presented an inquiry into measures to be taken against corruption. We have not raised that question, but we want to discuss what measures can be taken to counter political corruption. We have a debate with the Government on two very specific issues, one of which is corruption. You tell me that the president has already come in November 2014, but do you know how he came? He came to introduce some laws and took the opportunity to talk about something else. The President of the Government, who may appear in the House whenever and in whatever format he wishes, chooses the format of the presentation of laws to speak of something else because he did not dare to hold a debate on corruption. And it wasn't a monographic debate, as you said; it was a debate to present two laws. That was the debate and the way the Government chose to talk about corruption. Is the government willing to come and talk about corruption without caps? That's the first question we ask him. And the second one refers to why the Government, in accordance with Rule 52 of the Rules of Procedure of this Congress, has not proposed the creation of a commission of inquiry. These are the two questions we ask you, and that is the debate. The People's Party government has been able to do many or few things, but it lacks the main thing: to gain credibility, not its own, but that of the whole House. You haven't won it because you can't talk about the future without looking to the past and clarifying it. They can't tell the Spaniards that we've been through the past, no matter how much I come back, and look to the future, because people aren't about the work. To talk about the future - we have talked and we will talk - we need to clarify the past. There are many people who are unemployed, without housing, who are having a very bad time because of a crisis that, among others, has been caused by the corrupt and has a right to know what has happened. You say we want to supplant the action of justice, but then, Your Honor, there would be no commissions of inquiry. I have made it clear that we do not want to judge crimes, but rather to clarify, to investigate politically what has happened and to ensure that justice follows its path. A commission of inquiry does not judge, investigate, so we do not want to supplant anyone, but you do want to supplant the government's control work that this House has to do and you want to do it for a no on the Board of Spokesmen. What we briefly propose - and you can reply - is why the Government, in accordance with Rule 52 of the Rules of Procedure, has not promoted the creation of a commission of inquiry in this House. Why hasn't the government done it? It is their political obligation, something that requires a lot of people in this country. And if they don't, they're on the side of political complicity; if they don't, it's because they're afraid, because if they don't, they wouldn't be afraid of anything and they'd be the first to set up that commission. The debate is on the street and it is a debate that is made with half truths, half lies. Would it not be better for us to do so in the House, with light and stenographers, and not in the media, in the context of defamation? Secondly, do not force us to ask the President about corruption in the next debate in Europe. Let the president come and hold a clear debate and not like that of 2014, which - I repeat - was not a debate on corruption, but to present two laws that the president did not introduce and use that time for something else. If a president of the government at this stage, with an absolute majority, has to stretch the Rules of Procedure to talk about corruption, something fails. Indeed, what has failed has been the will of the Government to look at its past, perhaps because if it looks at the past something very dark can happen. I repeat that our question is simply whether you, the Government, are prepared to push a commission of inquiry and appear before the House to talk about corruption. That is the debate and it is certainly not superfluous, because what you say below will not be superfluous, it will be a yes or a no to what millions of Spaniards are asking for. Thank you very much. [[Applauds]]
