ParlaMint-IS_2017-05-24-71.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2017-05-24-71.u173	A respectable president. We're gonna go for a second. A senator obviously agrees there. I would like to continue with the review of the Industrial Association, which speaks of innovation and such research. In his speech, a member of the body spoke about the exact subject. On page 18. 3 says, with the permission of the president: A major interest in the industry and the competitiveness of Iceland is the better working conditions for innovation. It is not only a matter of looking forward to mental studies but it also requires research, evolution, and innovation based on more advanced articles. In addition, financial programmes have little effort to address the need for specific practical research and innovation activities to increase production in national production and services. The last words of the review are: ▪ The importance of building trust in long-growing, competitive working conditions must not be lost. It seems that people say one thing in a campaign for innovation, education, training, engineering, and all of this. But there is no national financial program that suggests that governments are actually going that way. I'd like to hear a point of view. Senator on this.
ParlaMint-IS_2017-05-24-71.u174	President. I thank you for your answer. I mentioned in my speech that between years of increase - there are hundreds of billions of people, I am determined to say, research, development, and innovation in Iceland. It's achieved tremendous success. I'm not talking about by the New World Translation Centre of Iceland. I'll tell you, when I was doing a TV show a few years ago, 500 people were working in a 50-sized innovation company, like a giant elf, so it means a hell of a lot to us. But when governments are unable to add a year from this demanding environment, only 120 million a year, that is, in effect, the best word for it. I agree completely with what. A senator who has to record a different procedure. This budget is critical not only for small amounts but also for not having a clearer objective compared with the amount given.
ParlaMint-IS_2017-05-24-71.u175	A respectable president. Thank you. paritaprevir Ari Guðmundsson for his speech. Hv. A member of the Environment and Transport Committee, spending some of his time talking about that topic, I would be interested in talking to him about, i.e. ... ofexplanmentalcontractions toward the city line. I also know what to do. A senator has given much attention to climate change in general and to concern about what is happening with the environment. I have so far been more positive about the city line, but I've had more thoughts about the past few days in which there have been indications that there may be a mistake in going into the tens of billions of investments, we're talking about 50 to 100 billion investments in the city line at the same time that we're now going to see a revolution in the production of self-employing cars, which could be used in other ways. Instead of spending long periods in parking lots waiting for their owners, they could be added to others, which is comparable to what we see being done in a new form of tourism for disabled persons. Hv. A senator or his party has a place in both Reykjavík and Mosfellsville, which are one of the rural areas that highlight the city line. Has a what? A senator himself is wondering if it is proper to look forward to enormous investments when we expect that the next technological revolution will change the use of cars when it comes to our daily lives?
ParlaMint-IS_2017-05-24-71.u176	Madam President. Thank you. A senator's inquiry. Yes, the city line is said to be somewhere between 70 billion and 150 billion. Depending on whether a person uses a light train, a trolley, a car, or a bus. Self-sustaining cars? I'm not well at home with that kind of stuff, but I'm comfortable at home with what turns to the fuel. It is of utmost importance if we are talking about the environmental properties of these self - driving vehicles. And whether it's electric, I don't think it's gonna be necessary. It's just that there are self-driving cars that are of the generation of cars we use, so I don't think that there's much to do in the environment. Besides, we must not forget that private cars take a lot of space, and the street is a heavy catch, so I've been limping under the city line from now on. In time, if you are actually going to make an informed decision, you must show the person the account holder, you must create models that are drawn into the shapes I am talking about, maintenance the roads, changes in them, the cost of the city line itself, space costs, and countless such items that may be made up of three to four models with three to four price targets, and then you can make a more informed decision about the city's benefits. Although I haven't had a meeting about the city line, I've been trying to read about it. But it's such a first attempt to make a comment, huh? Senator.
ParlaMint-IS_2017-05-24-71.u177	A respectable president. Thank you so much for this. I think it's exactly what the senator points out, about the importance of where the power comes from to drive the cars, and I guess it's also the city line. This is one of the points that have been made. If we look at Norway, which has been very likely to introduce electrical vehicles, we are not sufficiently concerned with encouraging Icelanders to buy electrical cars even if we have very cheap energy. But one of the things I've been really worried about - and the reason I mention it here is that a pack of whales. A candidate is in the majority of the unit's level, and as a result can be expected to have some effect on it - the emphasis is on using the deposit on land sales, which would mean even higher housing prices, which I don't think we need, in order to finance this project. I have not seen this since the evidence that has been submitted to the city line, since people look to this vision of changing transport. [[The president calls.]] I'm really worried that there may be some information here that we're going to be in front of in 10 to 15 years and that we've made the wrong decisions.
ParlaMint-IS_2017-05-24-71.u178	Madam President. Thank you again for the question. Only about Norway. A comparison of Oslo/Regavik is not realistic because of the fact that both of them have underground metros, a very good bus system, and they are actively inducting electric cars, certainly. We can learn something from it. But the main issue is that if a city line is created, it is, of course, electric, whether it is a vehicle with a bicycle or some kind of light train. With the wood and funding of this whole thing, that's exactly what I was talking about when I was talking about the models. Well, it's going to have to come into all the city's walls, how it's gonna be financed. Well, I haven't seen it implemented. If we're going to do this on an environmentally good deal, we're going to have to pull into this probably 101⁄215 variables, including the financing itself. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u179	Madam President. I wanted to come into something that, in a way, has something to do with electrical cars and electrical vehicles and automation of electric cars but in a way that you wouldn't expect. It is obvious that when computers are increasing driving systems in the same way that computers operate in hospitals and water - power activations, and more, their security is becoming more important national security to us. This was shown in the case of a man. paritaprevir In the early days of the day of Haraldsdóttir's daughter, however, the ideas of Internet security had not been financed. I understand this has been discussed only on the environment and transport committee, but I'm afraid it has not been able to monitor the Committee adequately. I've studied the reviews given to the committee, but I don't feel that it's done enough there. I'd love to, if anything. A senator could only explain how the management of Internet security and information has been received in the Committee, especially in the case of funding and why they were suspended. In the past few weeks, we have seen massive attacks on computer systems in many parts of the world that seem to have even happened to some extent by our allies, so it is clear that we cannot trust anyone in this context. The talk was discussed, and to what extent? What Is to Do? Why isn't this financed? Well, maybe. A senator told me?
ParlaMint-IS_2017-05-24-71.u180	Madam President. I appreciate that question. This is quick. Yes, we know from the media, and our limited knowledge that computer systems in general, whether cellular or electrical, are threatened. However, we haven't discussed this in any way I know about the Environment and Transport Committee. I've been gone for a week, but I don't know it. I think we've been busy with a lot of things I call big cases, now I don't belittle it, but cases that have established an assembly range from the government. and try to take care of them, and we're not even getting to a frame plan, let alone. We just haven't found out. But I simply take this as a positive criticism, thinking that a environmental and transport committee needs to be turned over. Of course, this does not take place in a national financial program. I can't see in my head that computer security or anything like that is being handled to some degree, though it can't be helped. But I would like to use a few seconds to remind you that electric vehicles will probably never be the only solution in Iceland's private vehicles or electric vehicles. It's meth and alcohol and hydrogen and spirit, all of this is going to happen. There will always be fire machines that can use these environmental fuels. We can make it more or less ourselves. And the assessment, both of garbage dumps and of the same, simply by making appreciated. In itself, with the support of the state and the assistance of our private partners, we can be completely self-sustained when it comes to fuel, I would say, both ships and cars, and even some aircraft.
ParlaMint-IS_2017-05-24-71.u181	Madam President. I appreciate that answer. True, this may not be done too much by considering these psalms on the Internet security issues in general. I've experienced a bit of a feeling that members of Congress are a little bit afraid of this matter, that's a big and complicated thing. Now I don't mean it as a criticism of a problem. paritaprevir Ari Trausti Guðmundsson believes that I believe that members in general are in a situation similar to that of the complex financial and such ones before a collapse. Now no one else dares but take a good look at that matter. But now we also have a program called the energy exchange that has been discussed here. The plan assumes that there will be a state aid, subsidies of a value tax, on a total of 9 insignificance. Cars. When I told our Norwegian colleagues back in the day, they responded by a slight giggle over our shortsightedness. But is this not something that we could try to take better care of in just such a financial program? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u182	Madam President. Thanks for the reaction. Yes, you're right, we should take care of this better. Then perhaps it is that at the General Assembly, we have come to the conclusion that we don't have a special service. This is a typical case in which expert services would be useful. I don't like security or computer. I suppose this applies to most members of the Environment and Transport Committee. We'd have to make it right. But as with the energy exchange program, there is a great need for money, as was shown in the minority of our members on the committee when energy exchange programs were scheduled. The little things there are even. Emphasis on still another 201 million electric cars, which is designed to help build up the small country in a country that is too small. But the rest of the fuel is really missing; the methadone, the hydrogen, and the biodisil. [[The president calls.]] It holds our big interests, just like the electricity.
ParlaMint-IS_2017-05-24-71.u183	A respectable president. It should not be surprising that the head of the welfare committee, the one being present, has been learning new practices and priorities, but this project is not necessarily very simple and often busy. One of the projects assigned to the Commission was to evaluate the government's financial plans prior to 2018,2022. As we have seen in the discussions about the plan, members of the Synod Committees were given this assignment, and later they wrote to members of the committee. The plan is, in fact, a total of 34 causes of heartburn, which contains 100 case categories and indicates the development of that frame for the next five years. It provides a goal for us members of Congress to assess from measures proposed in this document. The plan says, with President's permission: The programme provides goals for all topics. This programme aims to create a clearer context between professional objectives and the resources spent on individual topics. On the committee, I suggested that I study the goals set to determine if they were measurable. The role of the members of this review was - and I'd like to review some of the corneas from a meeting that we sat down, many members of the council, about our role, on the issues involved, and on how this strategy should be viewed as policy. Then I started my job. Our mission was to support the debate on the future vision of the party, to explain the objectives and standards, to determine whether the object of the seminar supports future vision and the main objective of the topic matter, and to determine whether priorities are correct. We were also allowed to see if the timing of action was practical, whether the criteria support the objectives, and whether the criteria were practical for daily work and government. So the assignment was quite large. I have been wondering, by listening to all the discussion that we had taken these goals and standards deeply, if I were not still in this work for an important and many topics that will be discussed with a welfare committee. I had a feeling I wouldn't talk about NPA today, I would still be diving in these cases. In view of the short time we had for work, the assignment was quite big. However, this food could not be held, and the committee was contacted by as many guests - we had 35 visitors to our home and four at a telephone meeting, I went over the meeting afterward - and it was extremely possible, but we would have had much more time. I know that we've learned a lot from this process and will give us more time and change the behavior of various factors in a year. I'm aware this wasn't the law. I was always reminding myself, since conversations often broke down, and I had to review my goals and actions again. This was merely a review to the budget board. I viewed it as my job to direct comments on them and to view it as a prework, because the work with budget would begin in the fall, and there I would not want to be as unprepared as I have been in this role. I began to realize that the work being done here would be very effective in our work on the budget in the fall. I saw my knowledge improved in these language fields and lawsuits, and in the institutions that hear them, things would change in my career as the chairman of this committee and the senator. However, some of the factors that we have seen to be needed are due to the unique circumstances that existed today after the years, with vast numbers of new governments looking for and a short period of time. I then adopt a criticism of the development of financial programmes in terms of dissociation and definition of the information presented there. Many of the visitors whom the committee received to meet with them during the process had much more detailed information and analysis of their own language groups. This made it harder for the committee to take sides with them. I would like to review some of the committee's opinions from a greater part of a welfare committee that I have heard a variety of viewpoints and would like to share our views. I'm gonna read it up and talk for a while. The review of a large part of the welfare committee: Since April 7 it is up to the petition of a legal committee. Consider the matter. The strategy is based on the government's adherence to the government's financial budget for the 2018◯22022, which is based on an existing financial policy for the 2017◯22022 and its conditions. - It's a pastry again. I'm gonna split it down a little bit and tell you what subject we were up to. There was hospital services, community health services, nursing and rehabilitation services, medicine and medical products, disability and the affairs of disabled people, affairs of the elderly, family matters, employment markets and unemployment, housing support and public health and welfare management. We discussed the matter with 35 people and four of us at a telephone meeting. And to mention that, we got members of the Ministry, both health ministers and social and equal ministers. We took the time to look closely at what they stated. We received numerous visitors from the Ministry of Health, both health and welfare. We had guests from Iceland's Medical Insurance, the National Institutes of Health, Development, the National Association of older Citizens, the National Association of older Citizens, the Department of Work, and the Hospital in Akureyri. As I described here, we tried our best to get over a number of topics and received not only officials but also organizations and opinions from the community. We first make it clear, in general, that we support financial goals. I'm going to say that when we got a presentation from the Ministry and discussed the focus and goals, they were happy with the way if you saw what was presented here as policy. Here are some issues we're going to work on. There was no strong criticism of the way things were going. Then I speak contraryly of all the members of the committee. The largest budget goes to welfare, it has been said here, and it is therefore clear that the topic areas of the welfare committee are enormous and important. In view of the short delay of the Synod Committee to give a review of the affairs of the budget committee, the Committee was not able to dig deeply into each topic field. It is evident, and they see it here, that I felt a bit guilty of it. I may be too willing to take a deep look at things, but I experienced that we did not have enough time to do so. But we did our best. Still, the committee emphasized some factors that reflect her comments. The majority would like to state that in the future financial plans will become more important and that they will always be required to appear no later than March 1. Then the regular committees would have had a longer reporting period and would have the opportunity to give a thorough discussion of the financial program. In particular, the Committee found criticism of rationality in the implementation of the programme. As I mentioned earlier, it was sometimes awkward to have the guests who knew much more about his language and position. This made it difficult for the committee to do that work. A greater proportion of the funds could be more clearly defined for each topic field. The amount of money that will go on the job is not clear, and it is important for the financial committee to look more carefully into numbers and to see if the measures outlined in financial programmes are effective. Once again: I viewed it as my job to redirect myself to a financial committee of the work I thought I couldn't do well. There was no time for such matters. The majority believe that it is desirable to be better divided into financial management budgets and the cost of individual investments in certain topic areas, which have been said to have been across the reverse. Despite the above observations, the majority of them stress that they understand that this is a group - not a matter of opinion and careful spending. When it comes to making budgets in the fall, the numbers of each case will be thoroughly addressed, especially in view of this. The majority of them express satisfaction by increasing expenses for welfare that are expected during the period. We are happy that we are expanding our donations. In view of the greater part, it is particularly important to establish a complete vision for future health care in Iceland. A well - being committee has already agreed to a proposal that it will be made, a policy for the country. Many factors in which health care costs will be improved, particularly in hospital care, extramarital health care, nursing and rehabilitation services, medicine and medicine, public health and welfare services. We talked about these topics. They want to tear apart and say, "There's not enough here, there's not enough there and not enough for this. But it's all playing. As we expand our health care, we are reducing the number of emergency services that are being drawn up at the Land Hospital, a service that is too much to attend. It'll help, it'll support. One result of another, and we are offering it in all areas that, overall, we will go in the right direction. The majority also stress human health, prevention and monitoring - this will have a tremendous positive effect on health - but will miss further division for these classes. The greater part encourages a financial committee to consider and see if the amount of money they take into these cases can be further divided. I see I only have seven minutes left. There are many such comments that came from us, since the plan was not clear enough, when it was found that there was not enough of the lawsuit, that the explanation was associated with public health. We wanted only a better view of the effect that this will have on us. It's impossible for me to stand here without discussing what was discussed in hospital service. There was a disagreement. The majority were generally satisfied with the emphasis and goals set out in connection with the topic of hospital service. The majority welcomes the primary objectives and measures that have been set and feels that it is well defined. I'm going to go, it's a little time, over our meeting with Land hospital. There was no doubt that we had an open meeting with the Land Hospital, and there was a view of the need for a clearer health - care approach. The budget is in a subject field that is not well defined, but it is not adequately defined who is responsible for what is to be done. This is where we were discussing from the McKinsey report, and at the meeting we discussed our concerns on the use and design. It is defined somewhere that 70% of the budget for a land hospital, I don't remember what it is, has a salary to do. Much of it is paid for overtime, but it is difficult to bring accurate numbers over the value of overtime. At a annual meeting, it was said that 600 million had gone to overtime, while others are more than a billion. This is what we need to deal with. We have to have a plan. We need to work together to do that. In the above meetings with the National Hospital, it also noted that in comparison with health care services in Iceland and elsewhere in the Northern States, the Ministry of finance used OECD data based on national bank accounts. It was then noted that the term "SHA standard" is commonly used in the OECD reports at a Gloance. The majority do not realize why the above data were used in comparison and are directed to the budgetary committee for special consideration. The majority trust that a budgetary committee may draw appropriate conclusions about the data to be used in this comparison. Once again, our comments and concerns are directed to the budget board, so this will probably turn up there. I've got three minutes left, and I just wanted to touch one point that's minor to me because we've somehow been misjudged, considering both the Congress resolution and the press. The chemical field of disability and the affairs of disabled people: The chemical field of disability and the affairs of disabled people are divided into five groups of languages, i.e. damage to social security law, social services, disabled people's issues, other disability payments, and the eco-efficiency of public pensions. In particular, the majority rejoices in equalizing a wide range of biofuels from 2007 in accordance with law No. 113/1990 on insurance. At the same time, the greater part of their enjoyment of plans for simple, flexible, and transparent disability-fuel systems of social security will be proposed to improve groups and all other pension workers will have the same impact on the amount of money they earn without regard to the kind of income. - It's taken straight out of the plan. The majority rejoice that there is a bill that legalizes the NPA, which has led to an enormously important step forward. However, further attention should be given to the implementation, capital, and access of rural communities. The majority also feel the need to consider that the ability to work as well as the recruitment of micro-organism in the programme and what funds to contribute to it. Clearly, increasing the growth of disability in a labour market would lead to a smaller budget for the seminary. So a major part suggests that a financial committee is particularly concerned with the ability to evaluate and validate the profession within this category. I've been criticized for what I am. The welfare committee considers this to be a savings procedure. That's not our word. We think it's important to get better information about the money that goes into this operation. Clearly, increasing the growth of disability in a labour market would lead to a smaller budget for the seminary. However, the tables felt that we lacked expenses, and we wanted an explanation. Of course, it affects income markets that more people are at work, less money goes to it, but we wanted to know which money is going to make it work, and make it right for the people. So a major part suggests that a financial committee is particularly concerned with the ability to evaluate and validate the profession within this category. We were told that we would need to consider how this would affect what would be presented to this subject. I just got one minute left and I'm sorry I can't go deeper into more of what's here. But it was very important to me. I'd like to draw out that this is where we were looking at our work with a responsibility and considering the work we've got at a budget in the fall.
ParlaMint-IS_2017-05-24-71.u184	Madam President. Thank you. paritaprevir Nichole Leigh Mosty spoke for her speech, but she took the main interest in welfare matters. I'd like to ask specifically what she said about hospital service. Now, a large part of the increase in hospital service is about to build a new hospital, a good goal for us. A senator agrees, and I ask: A senator that uses this program meets the hospital's demand for more money? Or thinks so. A senator's need to do better? She knows this was the biggest case before the last election. Second, I'd like to ask you what. A senator feels that the suggestion of a greater proportion of the legal committee for a special political government over the Land Hospital, which is, of course, very unusual in public business today, would agree with this proposal.
ParlaMint-IS_2017-05-24-71.u185	A respectable president. Thank you. A senator for the question of a plan to meet the Land Hospital and if it needs to be done better. Yes, we need to do better than we have to do it together. I'll just be honest with you about my experiences with a meeting at Land Hospital. Somehow, the National Hospital is on the defensive, and my experience is that he's in a position of conflict like this: There's more to it, we're doing more. It's very difficult. Someone needs to step in and put this together, define it better to make the most of it. Now I'm running out of time. I'll talk about the McKinsey report later.
ParlaMint-IS_2017-05-24-71.u186	Madam President. Thank you. The senator's answer. It describes how she experiences the defense of the National Hospital, that the government and the National Hospital do not agree. It's an experience. A senator, an experience we've noticed, too. As a result, the financial situation of the Land Hospital is long. She's not just since now, she's from the start of a budget in the hospital of 2003. The situation is also that with the 2007 law - approved system for health insurance, the funding of the private health - care system was changed, so the public system has been followed. Hv. A senator asks: " Does anyone need to step in to improve the communication between Land Hospital and the government? Hv. A senator is going to answer me how she feels about a proposal for control. Is it not just the big thing that the Landspians have been under attack to pick up from 2003, explaining the struggle as a dog? A senator here describes in his reply?
ParlaMint-IS_2017-05-24-71.u187	A respectable president. I admit, I've done a lot of research and funding for the Land Hospital. When the largest cutout was in the crash, the expenditures dropped by 21⁄23 billion in two consecutive years. All I want to do is point out the McKinsey report. It's an assessment that everyone is quoting and is very important. The report repeatedly speaks of increased efficiency in business. I'm going to be completely honest: I'm the one who's been running around the Hall and presenting ideas about the government of the hospital, not on political grounds, but on professional grounds, that we put professionals in the business so the hospital director doesn't have to be in a fight, in a political fight, at a find out about money. He's not supposed to have to come down here to the House of Congress five minutes for a staging budget to beg money.
ParlaMint-IS_2017-05-24-71.u188	Madam President. Thank you. A senator for the speech. I was a little surprised by this last answer. Does this not apply to all government agencies if we are to talk about some professional matter? I would now have thought that those who are in charge at the Land Hospital are just the professionals. Of course, all institutions are involved in a conflict of interest for their institutions. That's just the way it is. So I think it's very special. Although it's a lot of money, it doesn't change the fact that I think it's a bit of a lack of trust in the Agency. I'd like to ask you what. A senator on this DRG classification system. They're suggesting that the McKinsey report be followed by making use of the funds. Does a senator and the head of a welfare committee believe that the National Hospital really lives in a position where he can start using the DRG category system? [[The president calls.]] Because even of that. that the flow problem is so intense that we have not solved the problem so far.
ParlaMint-IS_2017-05-24-71.u189	A respectable president. I agree that those in charge of the hospital now are professionals. Definitely. But it is my opinion that now, during the greatest development of the country's history, their energy, knowledge, and power are being new in the hospital. This is where they should be working on this efficiency discussed in the McKinsey report. Their knowledge should be there, not here at the Assembly Hall to talk to. paritaprevir Haraldur Benediktsson. That's my opinion. He's all right to talk to, but you know where I'm going. My suggestion is sincerely thoughtfully thoughtfully out of the hospital and where this remarkable knowledge is supposed to be. She's supposed to be there, not here in political battle. That's my opinion. With regard to the system: We tried to discuss this at the board meeting. I specifically asked about... [[The president calls.]] I'll pick it up again.
ParlaMint-IS_2017-05-24-71.u190	Madam President. Thank you. A senator's answers. This now sounds as if a certain lack of confidence is being expressed in the management of the Land Hospital. Because I believe the Landspians can well be in the process of doing internal jobs as well as doing other jobs, as the senator suggests they cannot. Thinking of building a home as we think about the hospital's internal activity. I just don't agree with that. I think it's something special. I asked the senator if she had specifically discussed this before the idea was made public with the director or the hospital director. Because it was very flat on many people. I ask along the way, does she think this applies to any other government agencies? That it is reasonable to put government over other government institutions, as is suggested here?
ParlaMint-IS_2017-05-24-71.u191	I was trying to write really fast. I'm just gonna say this again and again: it's far from distrust on my part. It's rather contrary. I trust those in charge of hospitals. They're supposed to be there. I want to see the son of Páll, the son of Matthíasson, succeed. That's what I'm saying right now. I'm going to state that I'm from another country. I don't know a hospital anywhere in my house, either official or private, who's not in charge. It's just my experience, my knowledge. When I see men trying to run hospitals and at the same time be in a political struggle for money, huge - I'm not talking about all the institutions. At this point, where there is such a call for hospital construction, health care, and we are building a new hospital: the power of people, knowledge, and energy to be there. [[Up front.]] I'm sorry?
ParlaMint-IS_2017-05-24-71.u192	Did you talk to the director?
ParlaMint-IS_2017-05-24-71.u193	No, we haven't met to talk.
ParlaMint-IS_2017-05-24-71.u194	Madam President. On page 18. According to the 54th budget, pay is expected to increase by 9% in the period leading up to 2022. This amount of pay is not expected to be eaten in general in the system so that it will fail to fit into each category. However, in the hospital service environment a total increase in the period up to 2022 is expected to be 8.8%. To me, this sounds like a 0.2 percentage-point cut in terms of pay development. Well, maybe. paritaprevir Nichole Leigh Mosty only outlined how this is not a cut, how does this benefit the structural function being resolved? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u195	A simple answer: This is on top of a fixed price code.
ParlaMint-IS_2017-05-24-71.u196	Madam President. It's a simple answer to the question: It's wrong. It's not just fixed prices that happen, because, of course, collective agreements come in between. It's not like it's just a price-fixing thing. If it was, it wouldn't be a problem. Yes, some of these are prizes and may come forward, but it is, of course, assumed that some dresser therapy will also take place. So it is simply wrong to assume that this 9% disappears for some reason. If so, it would not have to be taken into account in the budget on page 18. 54 because similar lines of the same plan, on page. 52 or 53, I believe, assumes that the entire budget is in exactly the same quality. So you wouldn't have to say that, wouldn't you? So I don't understand.
ParlaMint-IS_2017-05-24-71.u197	A respectable president. Here in this dislocation of the government, I have received assistance from one of my colleagues in the other categories. This is a misunderstanding. All the costs frames are at the price of 2017. They are expected to increase every year according to pay and price changes. These increases are expected to occur in accordance with economic growth. So we're talking about 8.8% growth in hospital service, except for all economic growth and prices.
ParlaMint-IS_2017-05-24-71.u198	Madam President. Good talk. But somehow, I don't quite figure it out. paritaprevir Nichole Leigh Mosty, chairman of the welfare committee. The review of the Directorates of the Land Hospital tells us that the additional amount of money submitted to the National Hospital's Budget is derived to a large extent by dropping funding for some of the new projects that are already there and continuing to exist. In addition, there are some new projects, which include only partial financial contributions, and there is no basis for buying new buildings on Ring Road. There are other factors to be expected. This is the basis for new treatment cores and laboratory facilities to be completed in 2023. So it doesn't match. So I ask. A senator: Is she okay with this? [[The president calls.]] There are huge holes that we haven't really got answers to yet.
ParlaMint-IS_2017-05-24-71.u199	A respectable president. You're right next door. Senator. This information was found. But we received an explanation for that at a meeting that followed. We received accurate numbers, and we also received the information that there are some work that have been completed, and this financial process goes on to the hospital. That's one explanation. Like I said, I thought there was a really big car out there. The land hospital was defending, they said one thing, but the paper we have here said another. I thought it was necessary to dig deeper into the situation and bridge the gap. I thought it might be nice to have some other professional, to let them do this job, build this gap, let someone come in there and work with them, and with the government or the rulers.
ParlaMint-IS_2017-05-24-71.u200	Madam President. I'm not convinced. I'm still very worried about the land hospital business. And I'm also very worried about the health care system, both here in the capital area and on the country. However, in the material development of the situation, around the new health insurance laws and other health - care committees during the last summer, concern was whether the care of the health care provider was prepared for this important role, i.e. being the first stop. In the outworking of the matter, it was decided to place an extra amount of money, 300 to 1,400 million, into the health - care center to strengthen it in that role. It was done. However, there is a significant need to improve the quality of the health care system to make this work. I'd like to ask you what. A senator, who once again criticizes us, is constantly mixed with business expenses and investments. This is also true of health care, as is true of most others in financial programs. But I'd like to hear it. A senator will be able to share these concerns with my health care and the vision we have about the health care needs as our first stop and whether this will work out just according to a financial plan.
ParlaMint-IS_2017-05-24-71.u201	I don't have to worry about it. A senator with a vision of the future. I'll take it out. I think it's a good view of the future and I just think we're going there. But with regard to the information we received here; once again, as I said, it was not clear enough about the funds for the project according to the measures set here. That wasn't clear enough. But this document was supposed to be policy, and I was supposed to evaluate it and to address my concerns with you on a budget board. Now we're here to talk about it. In the fall, in the fall, in the autumn, and in the autumn after that, our assignment is to handle matters with responsibility.
