ParlaMint-NL_2019-02-13-tweedekamer-8.u1	The next item is the debate on dealing with the consequences of the continuing drought.
ParlaMint-NL_2019-02-13-tweedekamer-8.u91	Thank you, Mr. Chairman. Mr Van Nieuwenhuizen has already mentioned this, but for my part I also greatly appreciate the people who did an incredible amount of work last summer. These have been especially the people who were indeed working around water, but it also applies very specifically to the people who have been working in nature and agriculture. The drought hit precisely those things very hard, unfortunately we have had to observe. We have already talked about this in various debates on agriculture, but I think it is good that we look a little more broadly and a little more from the point of view: what happened, what are the lessons that we can draw from this and how are we now working on this as a cabinet? I have indicated in a number of letters of Parliament what we have done in the short and longer term in the field of agriculture and nature to help entrepreneurs in sectors of agriculture and nature to cope with the effects of drought. We have adapted a number of rules on manure policy and relaxed CAP greening measures. We have also taken a number of measures in the fiscal sphere. I have reported that there is support research to improve the water management of natural areas in future drought situations. I informed the Chamber of action programmes on climate change adaptation for the agriculture and nature sectors and on improving the possibilities for applying risk management. I am referring in particular to broad weather insurance. Those are all things that we've set in motion, what we're still working on and what we're working on. Some of them are also continuing during this period. I have been asked specific questions in the field of agriculture and nature. For example, Mr Geurts asks whether the delays in farmers and nature have already been eliminated. The answer is: that's different; it's not like that everywhere. There are areas where normal water levels or normal water management have not yet been fully restored. Whether that is actually going to happen depends, of course, also on the rain that will fall in the coming period. So we can't exactly send for that. But it's not like it's been smoothed out all over again, that it's the way it was a year ago. Mr Geurts specifically asked about the level of water: is water drainage in peat meadows also a solution for farmers? Peil drainage is one of the solutions. The climate table itself has of course already thought about a number of possibilities in the peat meadow area and focuses on a varied mix of measures: underwater drainage, transition to wet crops, transition to nature, growth of peat moss and therefore also level drainage. It is therefore a set of factors that can be used. Pilots are also being done. The results will have to show what is most effective and best applicable in certain areas, including for roll-out on a larger scale. These pilots are carried out together with provinces, water boards, municipalities, farmers and a number of relevant expert organisations. So this is a very topical issue. Mrs Bromet and Mr De Groot know all about this. They sent the Chamber their views on the peat meadows yesterday. Mr De Groot's own-initiative paper and Mrs Bromet's own-initiative paper on climate adaptation went a little along with that. I suspect that we are going to talk about this even more broadly, but that is obviously up to the Chamber. But it is an interesting subject, which is discussed on several tables. I'm guessing tonight isn't the last time we're gonna talk about that. Mr Geurts and some other Members have asked what exactly is going on with the notification of broad weather insurance in Brussels. I am grateful to the Chamber for the motion that has been tabled. It doesn't happen often that as a cabinet you say you're grateful for a motion filed, but I think this motion from the CDA and the SGP is interesting. They said: look at the abolition of the insurance tax on broad weather insurance, because that insurance is a means of risk management. They indicated that it is very important that it can be used, but then it must also be accessible to farmers. Together with the Secretary of State for Finance, I'm working on that. The consultation with the European Commission on exemption from insurance tax is currently under way. We have informed the Commission of the background to the Dutch decision in the European context. Talks are already going on at different levels. The first impression of this is, therefore, that the Commission is interested in how we are doing about it. She also asks questions about how we do that. I will of course inform the Chamber, together with the Secretary of State for Finance, when we have been given a ruling from the European Commission. I expect that's before the summer.
ParlaMint-NL_2019-02-13-tweedekamer-8.u92	European money has already gone to broad weather insurance twice. The insurance tax has been abolished. We can throw more money at it. But one factor is important in order for it to succeed, and that is that farmers simply ensure themselves. How is the Minister going to ensure that many farmers and growers are assured so that the premiums go down?
ParlaMint-NL_2019-02-13-tweedekamer-8.u93	This is exactly what we're doing. The farmers say that money is going to go there, but then we pay insurance tax on it, so that insurance is not attractive enough. It's kind of a calculation. I get that. If you're gonna make a calculation, you're gonna make a calculation: what's the risk I think I'm gonna run, what's the premium I'm gonna have to pay, and I expect that insurance to pay off when I need it? In the conversations they also often said: "There is already money going. That's true. Only, that insurance tax is really a limiting factor." If you take it off, it can already remove a threshold, which makes that calculation more positive and the farmers want to guarantee themselves with that insurance.
ParlaMint-NL_2019-02-13-tweedekamer-8.u94	I fear that will simply lead to the same calculation, perhaps at a lower level, yes. But in the end, it's about ensuring that all farmers are assured. That's also about solidarity. I would nevertheless like to call on the Minister to sit down with the LTO, who stirred the drum so violently this summer and not always in a pleasant way. If that insurance tax is off, they must also encourage their members to join in massively.
ParlaMint-NL_2019-02-13-tweedekamer-8.u95	I have those conversations with LTO, too. Of course, we are also asking whether there is any publicity about it. Do farmers and gardeners know exactly what the insurance means? So that's what happens. Only I wouldn't want to go to some kind of insurance obligation, if that's the idea. Farmers and gardeners are really too different for that. I also think that they should and can make their own assessment. But where there are insurance thresholds, we take them away as much as possible, so that the choice becomes more attractive and thus also the group of participants, which in turn can have an impact on the premium.
ParlaMint-NL_2019-02-13-tweedekamer-8.u96	A very short question.
ParlaMint-NL_2019-02-13-tweedekamer-8.u97	I'm not talking about insurance, either. I'm talking about "enticing insurance." I hope the Minister could do that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u98	Seduce? Yeah, we're good at that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u99	But I would also like to make one thing clear here. If we are going to be damaged by hail, drought or I know a lot about it again, we could have been assured. We didn't leave anything to stimulate that. And then there's no room for government compensation.
ParlaMint-NL_2019-02-13-tweedekamer-8.u100	Thank you. The Minister.
ParlaMint-NL_2019-02-13-tweedekamer-8.u101	Yes. I think I've already given the answer. We're just trying to increase that attractiveness. That temptation, as Mr De Groot calls it. Mr Dijkstra has asked a rather fundamental question. What lessons have we learned from the drought? That is a fair question, because that is, of course, exactly what we are doing and what we are doing. As the colleague pointed out, we have of course been working for a very long time to arm ourselves against too much water. We've gotten a little better at that over time. Only a situation of drought really demands new insights and ideas. In addition to draining water, we must also pay attention in the future to water retention and economical water use. These are precisely the questions that we are now taking into account in the action programmes for agriculture and nature and in the approach to the climate adaptation for the Netherlands in a broad sense. Because handling too much water will also be an issue. I myself visited a potato grower, who showed me the consequences of the summer drought on his land. But he also said: three months before I had another problem here, which is far too much water. In three months it went from extreme wetness to extreme drought. So we need to be flexible in adapting to these situations. This calls for a more fundamental reflection of the situation, but these are precisely the questions that we are answering in the programmes that have now been set up for both agriculture and nature. Mr Futselaar and Mrs Van Brenn asked whether there was also permanent damage to nature. Is that insightful already? Mrs Van Brenk herself has already indicated that we are still mapping that out. In the spring we can better see whether there has also been irreparable damage to nature. To know if there is the term "impossible damage," you also need time. You can't just judge that in one season; it takes a longer time. It becomes clear in a new growing season. So we really need to see what the consequences are. We have offered the provinces to support research into this. That's what Wageningen University does. The provinces are looking at it and we have made the offer to use the knowledge and skills of the WUR. This is also being used. Mr Futselaar had a question about the longer run-out of manure. He asked when we can no longer speak of extreme weather, but of a regular situation, or "the new normal." I have already indicated that we in Europe have indicated that we want room for the manure rules, because we need a longer run-off period. If you're going to run manure on extremely dry land, it's not good for the soil, but the farmers need to get rid of their manure. We also received this extension from Europe. We have to apply for it there, because the rules are laid down there. These are, of course, the questions we are asking ourselves in Europe: if you see that this is going to happen for a really long time, how do you deal with these kinds of rules? That's the case with the catch crop. That was just touched by Mr Stoffer. We have applied for the exception clause in Europe. That's what we got. A discussion is also when something is long. If that's the case, you'll have other discussions. That's true. These are subjects that are also on the agenda in Brussels. One season is not yet a permanent situation for the Commission. We do insist that, if this happens more often, we think about it differently. I think I convinced Mr Futselaar. Mrs Van Brenk asked what the damage was for agriculture and horticulture. I've informed the Chamber about that. I sent a report from Wageningen University. It has made it clear to each region and sector what the income position has been in the past year. Of course, the income position is not directly related to the drought, but you do see a variable picture. In part, you can relate that to the drought problem. For example, larger income effects have occurred in Zeeland and in the peat colonies. You may suspect that this has a relationship with the drought problem. Those reports have been sent to the Chamber and in it it is written much more specifically than I now call it. Mr Stoffer raised a number of questions about regulatory flexibility, for example with regard to catch crops. I have already mentioned this in relation to Mr Futselaar's question. In 2018, flexibility with regard to catch crops was granted. By the way, it has only been used by a few dozen entrepreneurs. That's what I'm saying to put it in perspective for a moment. The flexibility of the force majeure clause is always there. We must use this in a responsible manner. So we do that by reporting it to the Commission ourselves when we think that is the case. Mr Stoffer has also asked a somewhat broader question about when something is an agricultural disaster, when you are going to pay out and the relationship with broad weather insurance. I have already indicated in an interruption by Mr De Groot that we are committed to ensuring that the exemption from insurance tax is achieved in broad weather insurance. The Omnibus regulation of the European Union, which has been in force since the beginning of last year, also provides some guidance on this, such as lowering the damage threshold from 30% to 20%. For example, this is also one of the comments we often get about insurance: before you get paid, there is a very high risk of your own being taken. A handle, for example, is also to increase the premium subsidy we give. In the Working Group on Broad Weather Insurance, we are also working with industry and insurers to see what the options are for adapting the scheme accordingly. That is what I am doing in the light of the new CAP. I think I'll get an opinion on this from the working group in the middle of this year. I'll inform the Chamber about the conclusions. In general, the Netherlands has stated that the insurance applies to damage caused by weather conditions. We have to make the most of that. The thresholds there must be removed as far as possible. We invest in practical research. I take that call to heart, but we're already doing that. My colleague has just mentioned the displacement series. Mr President, I think I have answered all the questions.
ParlaMint-NL_2019-02-13-tweedekamer-8.u102	There is one more question from Mr Dijkstra, I think. At least he has an interruption.
ParlaMint-NL_2019-02-13-tweedekamer-8.u103	I heard the minister talking about the run-out of manure. That's what we got extended back then. Catch crops have been mentioned by the Minister himself. I also read: the tearing of grassland and crop protection. All these things do come across as ad hoc cases, where we have to go to Brussels every time to ask for permission. Is that the case, or can we just deal with this smartly and quickly at the moment when that happens again? We want to prevent that damage, of course. Then you must be able to intervene in good time. In many countries it is much drier than in the Netherlands, much and much drier! Apparently, they do have exceptions. How can we find a mode in this so that we can simply intervene quickly if it is necessary to minimise the damage to agriculture?
ParlaMint-NL_2019-02-13-tweedekamer-8.u104	We must ask for these exceptions in Brussels. It's not like I'm just getting a carte blanche from the Commission. In fact, the Commission is always quite strict in the rules for, for example, the excrement period for animal manure, the period during which grassland can be renewed and the period during which a crop should be sown after maize. These are all matters that need to be addressed before we can achieve them. I do not just get a free ticket from the Commission. At the same time, we are doing everything we can to clarify this as soon as possible. That's what we did last summer. I know every day counts. I'm very aware of that. I think that we have had good experience of the speed with which this type of thing has to go on. But I can't always get around certain terms. If I need advice from the CDM, for example, I have to wait for that first. If the Commission has to give an agreement, I will be pushing for it. We literally did. But I do depend on how they deal with it. We now have the experience of last summer, of how it went back then. We can take them with us in any future situations. I come now to Mr Futselaar's more fundamental question when a situation is permanent. That's not based on a summer, I can report you. But if you see that this is really going to increase, of course we are going to have that discussion in Europe as well.
ParlaMint-NL_2019-02-13-tweedekamer-8.u105	Thank you. I'll take a look at the MPs. Is there a need for a second term? That's the case. I shall begin by giving the floor to Mr De Groot of D66.
ParlaMint-NL_2019-02-13-tweedekamer-8.u106	Thank you, Mr. Chairman. I thank the Ministers for answering the questions. From this point on, the compliments for crisis management and through these ministers also for all the people involved. Maybe they even had to use their summer vacation for that. Great respect for that! At the same time, the Minister said that she has encountered situations that you could not have imagined in advance, up to tankers with drinking water towards Andijk. Fortunately, that was not necessary, but that means that we have now had a crisis. If you look at the scenarios of the KNMI, I will say again to Mr Geurts...................................................................................................................................................................................... Then you shouldn't be talking about a crisis anymore, but you really should be prepared for this new normal. That is, once again, also the background to the note D66 submitted together with GroenLinks. Mr. Chairman. I have three motions. The first motion concerns the waterboards and the policy on peat meadows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the long-term decline in groundwater levels has led to a sharp decline in soil in peatlands;]] [[Whereas low groundwater levels in peat meadows are accompanied by CO emissions comparable to 2 million cars;]] [[Considering that this would lead to damage to houses and roads of EUR 22 billion in 2050;]] [[Whereas this situation can be reversed by level fixation;]] [[calls on the Government to engage with provinces and water boards to consider alternative policies,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Groot and Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-460]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u107	Mr. Chairman. Then the future resistance of waterboards. The Minister has already indicated something about an investigation that is coming to that effect.
ParlaMint-NL_2019-02-13-tweedekamer-8.u108	You're gonna have to go a little faster.
ParlaMint-NL_2019-02-13-tweedekamer-8.u109	I would like to give you the following problem, Mr President. I'm gonna get right on it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas waterboards are increasingly confronted with the effects of climate change;]] [[Whereas addressing the consequences of climate change affects all Dutch people;]] [[Whereas this changes the role of water boards from functional governance to general governance;]] [[Whereas it places the general interest at the heart of decision-making;]] [[Whereas this is at odds with the system of secure seats;]] [[calls on the Government to consider ways of making decision-making in waterboards future-proof;]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Groot and Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-461]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u110	Then I'll move on very quickly, Mr. Chairman. A motion on expertise, spatial integration. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas spatial integration in addition to water safety requires specific expertise;]] [[Whereas one of the success factors of Space for the River has been the availability of bundled expertise on spatial integration;]] [[Whereas this expertise helps to realise projects without cost overruns and with support, as demonstrated by the evaluation referred to above;]] [[Whereas further erosion of rivers leads to blockades for shipping in dry periods;]] [[calls on the Government to pool and flexibly deploy expertise on spatial integration for the High Water Protection Programme and for the Integrated River Management,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr De Groot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-462]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u111	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas salinisation of surface water should be avoided at intake points for drinking water supply;]] [[Whereas a sudden large salinization of the IJsselmeer took place last summer;]] [[Whereas the level and unpredictability of salination resulted in multiple intake stops at the drinking water intake point in Andijk;]] [[calls on the Government to improve the measurement and modelling network of the IJsselmeer, with the aim of early warning, monitoring, improved predictability and taking timely measures to prevent salinisation of surface water at drinking water intake points,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bromet and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-463]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u112	Well, it's Mrs Bromet's motion that Mr Geurts has a question about. Just for the report.
ParlaMint-NL_2019-02-13-tweedekamer-8.u113	Sorry, correct.
ParlaMint-NL_2019-02-13-tweedekamer-8.u114	I put to the vote the same kind of motion here in the Chamber a while ago in order to shift the intake points where possible and where necessary. What does this motion add to that?
ParlaMint-NL_2019-02-13-tweedekamer-8.u115	This motion is not about shifting, but it is about monitoring and being aware of calamities when it comes to salinization.
ParlaMint-NL_2019-02-13-tweedekamer-8.u116	Mr Geurts, concluding.
ParlaMint-NL_2019-02-13-tweedekamer-8.u117	If I have listened carefully, I really heard in the motion the word "take-away points."
ParlaMint-NL_2019-02-13-tweedekamer-8.u118	Yes, the word "take points" is in the motion. But if you have the motion on your table, please read the operative part.
ParlaMint-NL_2019-02-13-tweedekamer-8.u119	Thank you. Mrs. Bromet, you're moving on.
ParlaMint-NL_2019-02-13-tweedekamer-8.u120	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the drought has shown that the Netherlands is not sufficiently prepared for the whims of the weather extremes that are going to bring us climate change;]] [[Whereas the water boards play an important role in the management of our water and therefore have a responsibility to respect climate change;]] [[Whereas structural policies are needed in many areas for the disposal and disposal of water, for example by creating more natural buffers;]] [[invites the Government to consult with the water boards to formulate an objective on their contribution to the resilience of the Dutch water policy, including better drainage and disposal of the water, and to inform the Chamber about the results within two months,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bromet and Mr De Groot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-464]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u121	I will look at Mr Dijkstra to see if he needs a second term. That's the case.
ParlaMint-NL_2019-02-13-tweedekamer-8.u122	Mr. Chairman. The availability of sufficient drinking water is essential. We have been reminded of this in the past summer. I heard from the minister that the tankers are ready to take the water from one side to the other. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the availability of drinking water may be affected by drought;]] [[noting that the Meuse and the Rhine are essential sources for our national drinking water supply;]] [[calls on the government, in coordination with our neighbouring countries, to ensure that problems there do not lead to a shortage of drinking water in the Netherlands;]] [[calls on the Government also to consider whether additional strategic (groundwater) stocks can be useful to maintain the quantity and quality of the Dutch drinking water supply,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-465]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u123	Let me take a look at Mr Futselaar. He also uses his second term, but he doesn't have a motion, he states. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u124	Mr. Chairman. The SP certainly has concerns about shipping, drinking water supply and so on. But when we listen to the rulers, they actually say that there are still evaluations, reports and plans coming. So we think it is a little early to table motions. I would almost say that the large number of motions that call for 'deport' is already pointing in that direction. You may wonder whether this debate is entirely timely. Having said that, there was one highlight for me. Indeed, we have found that the KNMI is seen as an authority on climate change by the PVV. As far as the SP is concerned, that's a profit.
ParlaMint-NL_2019-02-13-tweedekamer-8.u125	Thank you. Mrs. Van Brenk for her second term. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u126	Thank you, Mr. Chairman. Well, if this is timely... But we always like to push a little. That's why a little push towards the minister with two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the Landelijk Opleidingboek Waterdeling (Landelijk Opleidingboek Waterdeling) the drinking water sector is not mentioned as a participant in crisisshooting in the event of extreme drought;]] [[considering the vital and national importance of the availability of sufficient drinking water;]] [[Whereas good coordination and coordination between all interested parties is of great importance;]] [[calls on the Government to ensure the involvement of the drinking water sector in crisis situations in the event of drought,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Brenn. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-466]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u127	And the final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in the event of drought, the water level may be lower than usual;]] [[Whereas, in this case, the negative impact of industrial discharges on water quality is greater;]] [[calls on the Government to take the initiative to make the flow dependent on industrial discharge permits,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Brenn. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27625-467]]
ParlaMint-NL_2019-02-13-tweedekamer-8.u128	I would like to thank the two rulers for their reply.
ParlaMint-NL_2019-02-13-tweedekamer-8.u129	Thank you. I am looking at Mr Stoffer to see if he wants to make use of his second term. That is not the case. I'm looking at the rulers. How much time do they need? They're gonna need up to ten minutes, they're gonna report it. We'll start again at 10:15. I'm suspending the meeting.
ParlaMint-NL_2019-02-13-tweedekamer-8.u130	First of all, I give the floor to the Minister for Agriculture, Nature and Food Quality.
ParlaMint-NL_2019-02-13-tweedekamer-8.u131	Mr President, I may begin, but to manage the expectations: I am merely doing the motion in part No. 460. This motion, tabled by Mr De Groot and Mrs Bromet, calls for talks with provinces and water boards to see what alternative policy is possible around groundwater levels. They specifically refer to the possibility of level fixation. I have just checked with colleague Van Nieuwenhuizen: she is in about a permanent state of consultation with the water boards. I have that with the provinces. On the specific subject, I have indicated that we can go several ways in the peat meadow areas. That's not about one method. That is exactly what was discussed at the climate table. Calling for consultation with these parties is not necessary anyway, because we are already doing so. On the specific question of policy on this subject, I would like to say that there is no single method and we are also having this very discussion within the framework of the climate agreement. That is why I think this motion is really superfluous, and that is why I do not recommend it.
ParlaMint-NL_2019-02-13-tweedekamer-8.u132	The motion in part No. 460 is not recommended. There is a question from Mrs Bromet about the motion.
ParlaMint-NL_2019-02-13-tweedekamer-8.u133	In any case, an expression of joy that the Minister looks so closely at it that there is not one method suitable for the peat meadow area. I'm very happy about that. The second is that we would like to keep the motion, because we are also going to have a note-taking meeting on the own-initiative paper.
ParlaMint-NL_2019-02-13-tweedekamer-8.u134	At the request of Mr De Groot and Mrs Bromet, I propose their motion (No. In the meantime, I would like to make a few brief comments on this matter. That is what is decided.
ParlaMint-NL_2019-02-13-tweedekamer-8.u135	Fine. Can I make a comment on the method? I see that this motion does focus on one method, namely the fixing of levels. So that is just one method, let me say to Mrs Bromet. I would therefore advise her to broaden the scope of the motion, but that is a free tip.
ParlaMint-NL_2019-02-13-tweedekamer-8.u136	Thank you. Then I give the floor to the Minister of Infrastructure and Water State for her appreciation.
ParlaMint-NL_2019-02-13-tweedekamer-8.u137	Thank you, Mr. Chairman. I'll start with the motion in part No. 461, by Mr De Groot. It invites the government to examine ways of making decision-making in the waterboards future-proof. If it were not to take so long, I would normally have said to Mr De Groot: hold the motion until we start assessing it in the run-up to the next elections, as I promised, and start working on the committee's opinions. But holding the motion for a few more years is a bit excessive. You have heard my contribution in the first term and we will work on this in the long term, but for now the motion is really untimely. I would therefore advise against it. The motion in part No. 462, also by Mr De Groot, asks the government for the High Water Protection Programme and for integrated river management expertise on spatial integration to be brought together and used flexibly. This motion I can give my heartfelt judgment Chamber. Then I come to the motion on part No. 463 by Mrs Bromet and Mrs Kröger, whom we still wish to see well. This motion is about improving measurement and monitoring on the IJsselmeer, with the aim of an early warning for salinisation. I can take over the motion, but it's actually unnecessary. So I leave Mrs Bromet to decide whether she is prepared to accept that I am taking over the motion or that I would advise against it otherwise, because we are actually doing it already.
ParlaMint-NL_2019-02-13-tweedekamer-8.u138	I'll take a look at the MPs to see if there's any objection. Yes, there is an objection from Mr Dijkstra. That means that the motion will be put to the vote.
ParlaMint-NL_2019-02-13-tweedekamer-8.u139	Then I'll dissuade the motion, because we'll just do it. The same applies to the motion in part No. 464, which calls for consultations with the waterboards in order to formulate an objective on their contribution to resilience. That's just standing policy, so dissuade it. I shall now come to Mr Dijkstra's motion on item No. 465.
ParlaMint-NL_2019-02-13-tweedekamer-8.u140	I'm just gonna take a quick look at the motion on part number one. 464. Do you, like the motion before that, request to take over the motion or do you advise against the motion?
ParlaMint-NL_2019-02-13-tweedekamer-8.u141	No. It is also said that we have to report within two months, while it is the usual system that we do so with the Delta programme. And that's just September.
ParlaMint-NL_2019-02-13-tweedekamer-8.u142	You're dissuading the motion in part No. 464.
ParlaMint-NL_2019-02-13-tweedekamer-8.u143	So I'm gonna advise him. Mr Dijkstra's motion for a resolution 465 actually has two requests. The first is that the government must consult with neighbouring countries in order to achieve coordination. We're basically already doing that. The second is to ask the government to consider whether additional strategic groundwater resources could be useful. On the basis of that second request, I would actually like to propose to Mr Dijkstra that this motion be retained, because of course this is part of the Drought Policy Table and the recommendations that will emerge from it. You can, Mr. Dijkstra, if you get that, assess whether this motion is still necessary.
ParlaMint-NL_2019-02-13-tweedekamer-8.u144	I shall look at Mr Dijkstra to see if he wishes to continue his motion.
ParlaMint-NL_2019-02-13-tweedekamer-8.u145	When's that gonna be about?
ParlaMint-NL_2019-02-13-tweedekamer-8.u146	I promised earlier that you would at least get Water for the next general consultation. I myself hope to be able to do so much sooner.
ParlaMint-NL_2019-02-13-tweedekamer-8.u147	Mr Dijkstra gives me a nod.
ParlaMint-NL_2019-02-13-tweedekamer-8.u148	I see a question from Mr De Groot. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u149	I have another question about the second motion. The Minister is talking about an investigation that is going to take place in the run-up to the next watership elections in 2023. When would that investigation start?
ParlaMint-NL_2019-02-13-tweedekamer-8.u150	I can't entirely estimate that yet, but the Water Advisory Committee has already said some things about it. That's what we want to get involved in before then. I think we're gonna do that in 2021 or something. At least we are going to start it well in advance, but not in the short term. Then I come to the motion on part No. 466 by Mrs Van Brenk. This is the same as what I said to Mr Dijkstra, who is asking the government to ensure the involvement of the drinking water sector in crisis situations in the event of drought. That too is part of what is on the table at the drought policy table. I would ask you, Mrs Van Brenk, to hold on to that motion and, when you have received the recommendations and lessons from them, to see if it is still necessary.
ParlaMint-NL_2019-02-13-tweedekamer-8.u151	I'm gonna take a look at Mrs. Van Brenk. She's shaking yes, so she's holding on to her motion.
ParlaMint-NL_2019-02-13-tweedekamer-8.u152	It will not surprise her that this also applies to the eighth motion in part No. 467, because that's exactly the same thing. It invites the Government to take the initiative to make flow dependent on industrial discharge permits. I see that this question is very clearly on the table, and this is also explicitly the subject of the Drought Policy Table. So we'll make sure you get a response to that. It will, I think, depend on which one that is or you the motion to. to put it to the vote or not.
ParlaMint-NL_2019-02-13-tweedekamer-8.u153	This is actually exactly what I wanted to achieve. It's on the table and the Minister's gonna give us an answer. If I'm unhappy, they'll come back on the table.
ParlaMint-NL_2019-02-13-tweedekamer-8.u154	At the request of Mrs Van Brenn, I propose her motion (17625, No. 467). That is what is decided.
ParlaMint-NL_2019-02-13-tweedekamer-8.u155	Fine. That's it, Mr. Chairman.
ParlaMint-NL_2019-02-13-tweedekamer-8.u156	This brings us to the end of this debate.
ParlaMint-NL_2019-02-13-tweedekamer-8.u157	Vote on the motions tabled will take place next Tuesday. I would like to thank the directors, the MPs, the people in the public gallery and the viewers at home.
