ParlaMint-NO_2020-05-13.ana.ud324e28	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e824	I thank you for that answer too. I just want to say that the discussion about machete, with the objections that the Council of State referred to – they were well-known – took place throughout 2018. They were well-known when the government of the Granavolden platform decided to introduce that ban. You should have taken into account those objections when you decided to introduce it. In the case of a ban on participation in, or recruitment to, criminal gangs, it is great if the Council of State will say something more about when it can come. We've now seen the creation of Satudarah in the East, in Oslo, an international, dangerous, criminal gang, so it's a most topical question to get it in place. Something else in the Granavolden platform that the government says it should do is create rules for more effective withdrawal. It is also very important, because the money is so central to these juvenile drug-trafficking environments. So if the state council can also comment on the work on it, it would be fine, because it is a practical problem for the police in Oslo on a daily basis how to get the money confiscated.
ParlaMint-NO_2020-05-13.ana.ud324e835	It's certainly possible that you could think better through the concept of Granavolden, but we'll get back to it. I'm going to present to both government and magnification possible solutions to that. When, after a hearing, we are told that a concept is not completely unambiguous, we must at least clearly work on how to understand it, and we do. We fully agree that macheter is a udder, and that we have to do something about it. As far as withdrawal is concerned, we will receive a recommendation from the Criminal Felony Council in August. They're asked to do a job of looking at how to get more involved in values that are derived from criminal relationships. Then there's a little room for opportunity, as the Criminal Felony Council has described it, to enforce it to recruit and be a member of gangs. The space for action is sluggish within both the Constitution and the human rights related to freedom of organisation.
ParlaMint-NO_2020-05-13.ana.ud324e847	‘Most deaths resulting from the corona virus have occurred in hospitals, and at the Metodis home in Bergen, 16 out of 46 residents have died of the disease. The county board has concluded with defensive operation, but that old buildings, many added to quarantine and poor test capacity were decisive for the situation, and that the pandemic plan at the hospital was inadequate. The government has announced a 400 million action package. crowns for vulnerable children and young people. Will the Council of State ensure a package of measures to strengthen municipal protection and protect vulnerable elderly people?’
ParlaMint-NO_2020-05-13.ana.ud324e854	The government is concerned that people who need care should be confident that they will receive a good and worthwhile offer when they need it. Hospital residents are particularly vulnerable in the situation we face, both because of age and because of underlying diseases. It is important for municipalities to safeguard all vulnerable groups during this period. It is the municipalities that are responsible for the health and care services, such as nursing homes, and that ensure that there is good maintenance of building mass and adequate staffing and capacity. Municipalities are also responsible for emergency and infectious plans. It has been important for the government to provide a good incentive system for municipalities. Through our budgets, we have made it possible to build and modernise a record number of health care facilities in hospitals and nursing homes. With a commitment framework of 3.6 billion. In the 2020 budget, around 2000 more and better places of care for the lucky day have been combined by the government to provide some 17 500 lucky day care places with a total commitment framework of approximately 29.1 billion. kr for the period 2014 to 2020. In comparison, about 7.6 billion were committed in the years 2008–2013. NOK about 11 250 for day care. As the representative Toppe refers to, the County has concluded with proper operation. The County also pointed out that the prevention of infection by hospitals is demanding for several reasons, such as the difficulty of detecting symptoms, the need for quarantine and low testing capacity for many employees. To meet this, we have among other things. asked the municipalities to build up the sampling capacity considerably. The goal is that everyone with symptoms of covid-19 should have the opportunity to test themselves. We also monitor whether there is a need for changes related to existing housing stock, but at present it is too early to establish whether today’s building requirements are good enough to address infectious diseases. Then, of course, we have to evaluate and learn when this is over. We will further assess this in cooperation with the House Bank and the Health Directorate. The investment grant currently has a sufficient framework, and the House Bank has not reported increased progress from the municipalities as a result of covid-19 or infectiveness in general. However, we are following this development and will continuously consider the need for further action specifically directed to the group addressed by the representative Toppe.
ParlaMint-NO_2020-05-13.ana.ud324e867	Thanks for the answer. It's interesting, as the council also points out, that old buildings are referred to as one of the reasons why there was a lot of infection in this hospital. Then it is interesting that the government has proposed to remove the excuse for rehabilitation of hospitals. Now, the Storting wouldn't like that, but I'd like to challenge the Council of State if he doesn't see that it's important to stimulate the municipalities to restore the hospitals just because the work on infectious diseases can also be easier, and that it'll be decisive in a pandemic. I would also like to ask whether he can guarantee that local authorities and all hospitals now have test equipment and testing capacity for everyone, and all of the necessary infectious diseases equipment? We have known that we have a great lack of it.
ParlaMint-NO_2020-05-13.ana.ud324e876	To the first question, yes, I think it is important that the municipalities maintain their hospitals. What is a discussion is whether the state will continue to finance the maintenance of nursing homes that are now beginning to become the nursing homes to which we grant in due course for them to build. I am concerned that the municipalities themselves do not take sufficient responsibility for maintaining and rehabilitating their buildings. That was also the background to the change that the government proposed in its time. We have a good cooperation with the municipalities to build up the testing capacity. Laboratory capacity is not now an obstacle to testing. My impression is that most municipalities are now in the process of establishing good arrangements to test what is needed. In the case of test equipment, they get it from hospitals. In the case of protective equipment, it is fairly distributed between municipalities and hospitals in the country. If the municipalities have a lack of it, there is also a national reserve from which they can get help.
ParlaMint-NO_2020-05-13.ana.ud324e885	Many refer to the elderly as the most vulnerable under this pandemic. They're triple frames: they're the ones with the highest mortality rate, they're more likely to experience the biggest consequences of infectious diseases, and they don't have as good access to hospital services as the rest of the population. It also says Siren Eriksen, senior researcher at the National Ageing and Health Service, in a chronicle in our country, that we cannot have it so that for a person who is old and living at the hospital, treatment for the cereal virus should be far worse than if the person offered in his own home. The point is that there has to be an individual rating. I'm worried if the hospitals have enough equipment and good enough skills to deal with seriously ill patients in such a crisis. Many people are concerned about the availability of regular hospital care for the elderly during this crisis. Can the State Council confirm that an individual assessment of all should be made?
ParlaMint-NO_2020-05-13.ana.ud324e892	Yes, an individual assessment shall be made of all. It also emerges from the guidelines of the Health Directorate. So it's that an individual assessment in the case of hospital residents, very often, will be that they will have little benefit from being transferred to hospitals. The intensive treatment given in hospitals can also often be a burden on these patients, because we know that very many of those living in hospitals simply have a very bad health. For example, they will. not be able to undergo intensive treatment in a hospital, and then the individual assessment will very often be that the best thing for the patient is to receive the treatment, care and care provided in hospitals. But an individual assessment must always be made.
ParlaMint-NO_2020-05-13.ana.ud324e900	‘Beitekrisa is a heavy burden on the reindeer in Northern Ireland this year. But for many years the calf loss in the county has been about. 60 pst. Every year. Roof game means that the reindeer uses more energy and pulls away from feeding grounds, or the few areas where there are pastures. As a result, an industry with major problems is being extra exposed to the herrings of the predatory game this year, because predatory disorders can be as deadly as direct losses to predatory game. How does the Council of State contribute to the granting of exceptional killing permits in such situations?’»
ParlaMint-NO_2020-05-13.ana.ud324e907	National predatory policy has been reflected in the treatment of four large-scale messages by the Storting since 1992, and there have also been a large number of representative proposals in the case of predators. These provide details on how to set up the predatory game management in order to achieve the two-part objective of predatory game and grazing at the lowest level of conflict. The government follows up the adopted policy by facilitating the achievement of the target both for specific regional stocking targets for the predatory game species and for the commercial exploitation of the set-aside. As Minister of Agriculture and Food, I am committed to caring for the interests of the grazing industry in predatory game policy, and I do so in dialogue with my colleague in the Ministry of Climate and Environment, who has the constitutional responsibility to follow up the decision of the Storting in the field of predatory policy. The two-part objective involves finding a balance between two considerations where keeping the conflict at a low level will always be a challenge. Therefore, the Granavolden platform included clarification on ‘ensuring a clear geographical differentiation between predators and grazing animals’, precisely to reduce the level of conflict. In particular, the overlapping land use of reindeer and predatory game poses greater challenges and leads to conflicts. There are fewer options for introducing prevention measures. In the Nordic region, the number has been replaced by a pure increase from around 2 000 animals in the 2000s to around 3 000 animals in the 2010s. Overall, there has been an increase in the number of clean substitutes in the country. 20 000 animals in the year up to 2008. In recent years it has varied a little, but it has been there. In 2018–2019, the number was 18 000 pure. The representative’s question of exceptional breeding permits for wild game is raised in the light of reindeer operations in Northern Ireland. To meet the grazing crisis, I have taken several initiatives to increase the allocation of the crisis response fund for reindeer management. Overall, we've spent 50 million dollars. NOK to this. The representative also indicates that the reindeer is particularly vulnerable during calving. The representative is absolutely right in that, and therefore it is incredibly important for me, in any situation, to talk about where to put action. I would like to point out that there are now exceptional take-offs of wild game at the State Nature Observatory following the decision of the State or the Environment Directorate, precisely because the challenges are particularly great this year, with the climate conditions that are at stake.
ParlaMint-NO_2020-05-13.ana.ud324e922	In my office it hangs a picture. It shows 17 reindeer on the Salt Mountain. I got it a few years ago by a young reindeer. He was dismayed by what he saw in the picture. Many would not know what he was despairing about, but there were 17 Simler, the picture was taken in February, and not one had calf at his foot. He said, "Is it life made to drive clean?" In Voengelh-Nårke the 1,500 calves were slaughtered in 1993. Now they have almost no calves to slaughter, even they slaughtered one calf last year. A culture and an industry are dying. The Minister referred to the two-part objective, but it is with all the statesmen that the predatory game is the main objective, and then the grazing industry becomes naturally a secondary objective. How can the Minister not see that the reindeer and the interests of the grazing industry must be lifted if we are to have this two-part goal that the Stortinget has set?
ParlaMint-NO_2020-05-13.ana.ud324e929	I was so lucky to come from a sewage treatment plant last night. I got to see a carnage together with a reindeer sweater – a sim that was taken from predators. I want to say that I understand the reindeer owners more than anyone, and I'm raising their challenges in every situation. I am responsible for the grazing industry and will promise this, and then it is a constitutional responsibility of the Minister for Climate Change and the Environment. This is important in order to facilitate a living reindeer industry in Norway. We must then be able to raise the challenge of the reindeer industry to have pastures in the same area as there are predators. Then we have to raise both sides of the matter. The representative is quite right about that.
ParlaMint-NO_2020-05-13.ana.ud324e934	When the calves are swimming and there is a bear in the area, it's like letting kids into a candy store, said bear researcher Støen. Now there's a bear in Byrkje in Børgefjell, and a pure calf. There were large bear injuries in sheep in 2018 and 2019 in this area, and the municipality of Grane has applied for a breeding permit. The potential for damage in the calving country is enormous, but the Environment Directorate is waiting. And now I come to an important point: both in March and April 2015, the Environment Directorate gave permission to trap bears, and two bears were killed. Track snow is very important when felling bears. When you wait and the snow disappears, it becomes very difficult. How, though, can the Minister of Agriculture allow the bottling practices to be seriously tightened from 2015 to today, even outside the bear zone?
ParlaMint-NO_2020-05-13.ana.ud324e941	As I said, the constitutional responsibility lies with the Minister of the Environment and the climate. My responsibility is to lift the grazing industry and show the challenges you actually have. Then we have a two-part goal. We need pastures where the grazing animals are priority, and we have predatory areas where the predatory game is priority. What assessments have changed from 2015 to 2018 and 2019, and what basis the Environment Directorate has taken those decisions on, must almost ask the Minister for Climate and Environment, who is responsible for the Environment Directorate. I would like to raise the matter at all times and ask why the assessments have changed, and why it is that one promises predators higher than the grazing animals when there is a conflict in an area.
ParlaMint-NO_2020-05-13.ana.ud324e946	So the ordinary questioning procedure is over.
ParlaMint-NO_2020-05-13.ana.ud324e960	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
