ParlaMint-BE_2019-01-17-54-plenair-ip266x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u61	By e-mail dated 7 January 2019, Mr Johan Van Caeckenberghe, director of the Notarial Appointment Committees, announced the resignation of Mr Philippe Gysbergs as working member of the Appointment Committees, in the capacity of Magistrate. By e-mail of 7 January 2019, Johan Van Caeckenberghe, Director of the Appointment Boards for the Notariat, communicates that Mr. Philippe Gysbergs resigns as an effective member (magistrate) of the Appointment Boards. In accordance with Article 38 (7) of the Law of 25 Ventôse year XI at the notarial office, a member shall be automatically succeeded by his alternate for the remainder of the term of office. In accordance with Article 38, § 7 of the Law of the 25th Ventôse an XI containing organization of the notariat, a member shall be automatically replaced by his alternate for the remainder of the term of office. At the plenary session of 2 February 2017, Ms Ria Mortier was appointed as alternate member of Mr Philippe Gysbergs. It will therefore complete the mandate of Mr Philippe Gysbergs and end its mandate on 1 July 2019. During the plenary session on 2 February 2017, Ms. Ria Mortier was appointed alternate to Mr. Philippe Gysbergs. It will therefore complete the term of office of Mr Philippe Gysbergs, which will end on 1 July 2019. In accordance with Article 38 (7) of the same law, the Chamber must appoint a new alternate to serve the mandate of the Deputy Member, namely the mandate of Ms Ria Mortier. In accordance with Article 38, § 7, of the same Law, the Chamber will have to appoint a new alternate who will complete the term of office of the alternate member, in this case that of Mrs. Ria Mortier. As Ms Ria Mortier was appointed for a four-year term of office, an alternate should be appointed for the remainder of her term of office, ending on 1 July 2021. Since Ms. Ria Mortier was appointed for a four-year term, an alternate member must be appointed for the remainder of her term, which ends on 1 July 2021. In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that you publish a call to candidates for the mandate of Deputy Member of the Court of Justice as magistrate of the Notarial Committees in the Belgian Official Journal. In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that you publish in the Belgian Moniteur a call for candidates for a term of office as an alternate member – as a magistrate – of the Commissions de nomination pour le notariat. Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u62	By letter dated 21 December 2018, Ms Ellen Van Stichel presented her resignation as an alternate member of the National Evaluation Committee for the category "Pregnancy Break-up'Krings in charge of the reception and supervision of women in an emergency situation. By letter of 21 December 2018, Ms Ellen Van Stichel presented her resignation as an alternate member of the National Commission to assess the voluntary termination of pregnancy for the category "Milieux in charge of the reception and guidance of women in distress". In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that you publish a call to candidates in the Belgian Official Journal for the mandate of Dutch-speaking Deputy Member of the National Evaluation Committee for the category "Pregnancy Abruption' for the category "Corruptions in charge of the reception and supervision of women in an emergency situation'. In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that you publish in the Belgian Moniteur a call for candidates for the term of Dutch-speaking alternate member for the category "Military in charge of the reception and guidance of women in distress". Are you sure you don't mind? [[No.]] It is thus decided. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u63	In the last distributed agenda you will find a list of proposals for which consideration has been requested. You have taken note of the list of proposals for consideration in the agenda distributed to you. If there is no objection, I shall consider it adopted; in accordance with the Rules of Procedure, these proposals shall be sent to the committees responsible. If there are no comments on this subject, I will take it into account as a matter of fact and refer the proposals back to the relevant committees in accordance with the Rules of Procedure. Are you sure you don't mind? [[No.]] It is thus decided. No observation? [[No]] That will be the case. In accordance with the opinion of the Conference of Presidents of 16 January 2019, I also propose that you consider: - the bill (Mrs Meryame Kitrir cs) amending the Law of 23 December 2005 on the Generation Pact to ensure the granting of welfare adjustments provided for in the Generation Pact Act for the years 2019 and 2020, No. 3462/1; - the legislative proposal (Mrs Meryame Kitrir cs) amending various provisions aimed at restoring the possibility of interprofessional wage negotiations between the social partners and facilitating an increase in the guaranteed minimum monthly income, No. 3463/1; - the bill (Mr Vincent Van Quickenborne cs) on the social provisions of the job deal, No. 3464/1; - the draft law (Mr Jan Spooren and Mr Peter De Roover) implementing the employment deal with regard to social provisions, No. 3465/1.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u64	- the legislative proposal (Mr Gilles Vanden Burre and Mr Kristof Calvo) abolishing the period of care for the selfemployed, No. 3466/1; - the bill (Mr Paul-Olivier Delannois cs) amending the law of 4 April 2014 on insurance in order to amend the rules relating to the cancellation of insurance contracts in order to better protect consumers, No. 3468/1; - the bill (Mrs Caroline Cassart-Mailleux and Mr Isabelle Galant and Mr Benoît Friart) introducing a birth grant for selfemployed persons, No. 3469/1.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u65	In accordance with the opinion of the Conference of Presidents of 16 January 2019, I also propose that you take into account: - the proposal for a law (Ms Meryame Kitir et al.) amending the Act of 23 December 2005 on the Intergenerational Solidarity Pact with a view to ensuring the granting of the adjustments to the welfare provided for in the said Act for the years 2019 and 2020, No. 3462/1; - the proposal for a law (Ms Meryame Kitir et al.) amending various provisions with a view to restoring the possibility of inter-professional wage negotiations between the social partners and facilitating the increase of the guaranteed minimum monthly income, No. 3463/1; - the proposal for a law (Mr Vincent Van Quickenborne et al.) on the social provisions of the Employment Agreement, No 3464/1; - the bill (MM. Jan Spooren and Peter De Roover) implementing the Employment Agreement as regards social provisions, No 3465/1.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u66	- the bill (MM. Gilles Vanden Burre and Kristof Calvo) to eliminate the waiting period for self-employed persons, No 3466/1; - the bill (Mr Paul-Olivier Delannois et al.) amending the Insurance Act of 4 April 2014 to adapt the rules on the termination of insurance contracts in order to better protect the consumer, No. 3468/1; - the proposal for a law (Ms Caroline Cassart-Mailleux and Isabelle Galant and Mr Benoît Friart) introducing a birth allowance for self-employed workers, No. 3469/1.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u67	Are you sure you don't mind? [[No.]] It is thus decided. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u68	Mr President, ladies and gentlemen, I would like to ask the urgency of the legislative proposal No. 3462 and for the Bill No. 3463. Colleagues, on legislative proposal No. 3462 is clear that, when the economy is going well and there is scope to increase wages for managers and dividends for shareholders, the wages of ordinary workers also increase. We have all heard that the Central Council for Business has calculated that, on the basis of the legislation, there can only be a wage margin of 0.8%. Colleagues, that is far too little in times of economic growth. It's the government's fault. Despite the fact that the pay handicap was completely eliminated, it nevertheless introduced thresholds which prevent normal wage increases and make negotiations between the social partners very difficult. Our proposal is aimed at continuing free negotiations with the social partners so that economic growth can be fairly distributed. In this context, I would remind you that the Prime Minister recently confirmed that there is a purchasing power problem in some families. Now that purchasing power problem can be solved with our proposal. Why is the issue urgent? That is because the social partners are now starting negotiations. Mr President, that is why we are asking for urgency.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u69	Ladies and gentlemen, as usual, we are expressing our opinion on the urgent requests to sit down and stand up. I would ask you first to give your opinion on the urgent motion for a resolution. 3462.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u70	Ladies and gentlemen, I should like to assume that you are also aware of the urgency of the proposal. 3463 accepted by Mrs Temmerman?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u71	We must proceed with the adoption of the agenda for Thursday 24 January 2019. We must proceed to the approval of the agenda of the sitting on Thursday, January 24, 2019. Are you sure you don't mind? [[No.]] The agenda has been adopted. No observation? [[No]] The agenda was approved. The sitting is closed. Next meeting Thursday 24 January 2019 at 2.15 p.m. The meeting is adjourned. Next sitting on Thursday, January 24, 2019 at 2:15 p.m.
