ParlaMint-FR_2021-12-01-O1080.u1	The next item is the debate on the bill to combat school harassment (No. 4658, 4712).
ParlaMint-FR_2021-12-01-O1080.u176	Mrs Michèle Victory has the floor in support of Amendments Nos 63 and 65, which can be presented together.
ParlaMint-FR_2021-12-01-O1080.u177	Mr rapporteur, you said that the scope of our action should not be limited to certain levels of study, and you said that you wanted to include higher education and research. It therefore seemed logical to mention them, by amendment No. 65, by adding "higher education and research" to the first sentence of paragraph 1 of this article. Indeed, this community has been marked by numerous harassment cases, whether in universities, IEPs – institutes of political studies – or art schools: no field is really spared and many testimonies have been made about it. If we want to strengthen prevention at all levels, it seems to us to be important to bring such precision to this place. The following amendment relates to the collection of the words of victims of school harassment. Of course, we have already talked about training issues, but it really seems to us essential to take into account the fact that gathering a child's word is not so obvious. It is not enough, in fact, to put the child in front of an adult and to tell him to speak. No, things don't happen this way: making a child speak requires fine training. We would therefore like to stress explicitly that a climate of trust is necessary for speech to emerge, for example by making it clear in paragraph 6 of this article that "a protocol relating to the collection and treatment of the speech of victims of school harassment" must be included in the school or school project. Indeed, simply saying that the child can speak to an adult is not enough: it is more complicated than that.
ParlaMint-FR_2021-12-01-O1080.u178	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u179	You supported Amendments Nos 65 and 70 instead of 63 and 65; I therefore believe that you have supported them in disorder – this can happen. Amendment No 63 is intended to mention "the entire educational community" rather than "national education staff". The educational community, as defined in the Education Code, includes pupils and their parents. So they're not professionals! We're still not going to train the parents – even if it might sometimes be worth it! Anyway, I'm not sure we can put it in the law. As far as Amendment No 65 is concerned, it does address a major concern, but it seems difficult to apply. I really agree with the principle: in theory, it's a pretty good idea. However, there is no initial training identified to become a researcher or teacher in the superior: unlike secondary teachers, the paths of those who practice at this level are varied. Request for withdrawal; I do not see how such a measure could be applied and its adoption would have no concrete effect.
ParlaMint-FR_2021-12-01-O1080.u180	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u181	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u182	Mrs Michèle Victory has the floor.
ParlaMint-FR_2021-12-01-O1080.u183	I just wanted to make it clear that, if parents are not administratively part of the educational community, they belong entirely to it from the point of view of the day-to-day functioning of the institutions, as in fact the territorial agents who can, for example, be paid by the departments. We could therefore include in the text that they are associated – without being trained – with educational actions on school harassment.
ParlaMint-FR_2021-12-01-O1080.u184	I call Mr Grégory Labille to support Amendment No. 89.
ParlaMint-FR_2021-12-01-O1080.u185	It is intended to amend, in article 3, the reference to article 222-33-2-3 of the Criminal Code: it seems essential that the training activities of teachers and supervisors, as well as the proposed establishment, take into account all situations of harassment and not only acts constituting an offence of harassment within the meaning of that article. Thus, reference to article L. 111-6 of the Education Code seems more appropriate with regard to training and prevention measures. I want to take this opportunity to talk about Salvador's history. Born in 2006, he is an early child who is bored in school and who enters college at 9 years of age, two years in advance, and is in boarding school with students between 12 and 15 years of age. Although early, Salvador did not know how to write when entering the sixth grade and used a computer. Despite his disability, he does not benefit from an AVS – school life assistant. At the boarding school, his comrades break his computer; he denounces the fact but no sanction is taken. In class, some teachers refuse to let him use his computer; So he has to write but his writing is illegible, which in these cases is worth zero. In the third, despite an average of 14/ 20, he was refused secondment due to a lack of maturity. At the baccalaureate level, a sustained intervention by the academic doctor is required in order for the principal to agree to apply to Salvador the arrangements provided for in the GEVA-sco – guide for assessing the need for compensation in terms of schooling. It is clear, therefore, that harassment can take different forms. So of course, we can call 3020. But this refers again to the history of Salvador. In Grade 2, he was harassed by a comrade. He is a particular student: he is at HPI – high intellectual potential –, dysgraphic, dyspraxic, dyslexic and his disability, which prevents him from writing, obliges him, as we have said, to use a computer. He was then beaten, kicked, mocked. This accumulation prompted his mother to compose the 3020. She falls on the rectorate and explains the situation, then the rectorate contacts the principal of the school, but we stay there. The case was closed and harassment continued: eventually, the press would have had to be questioned if the situation in El Salvador was to be taken into account and those acts would cease. So yes, 3020 may be useful, but we need to make sure that parents' complaints are taken into account.
ParlaMint-FR_2021-12-01-O1080.u186	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u187	When it comes to the perpetrator and the victim of harassment, it seems to me better to refer to the definition of the penal code, the wording of which is more precise and even millimetred. Article L.111-6 of the Education Code mentions the article of the Penal Code from which you wish to delete the reference in article 3. Without expanding the content of the harassment training, the wording you are proposing would be a source of additional complexity. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u188	Mrs Albane Gaillot has the floor to support Amendment No. 33.
ParlaMint-FR_2021-12-01-O1080.u189	As we said earlier: harassment situations in the social media age are generally correlated with cyber-harassment, which means that victims can be harassed at any time and anywhere. Cybersexism particularly affects young girls, who are insufficiently protected. Cybersexism was defined by the Hubertine Auclert Center in its study "Cybersexism among adolescents.e.s (12-15 years old) – Sociological study in the Franciscan institutions from the 5th to the second". This study demonstrates the correlation between daily sexism and increasing violence on social networks, through the recording of mainly sexual elements on telephones and computers. The e-Enfance association also showed in a study that 51% of cyber-harassment victims were 13-year-old girls on average. The confinement of 2020 saw the explosion of the number of accounts disclosing intimate photos of minors, as denounced by the association Stop Fisha. However, minor victims of revenge porn are still very poorly accompanied and poorly protected. One of the reasons for the lack of protection of girls against cybersexism and victims of cyber-harassment in general is the inadequate training of school and law enforcement personnel. It therefore seems essential that the specificities of cyberharassment and cybersexism be taken into account in the training of professionals working in contact with students. This amendment proposes to include the fight against cyberharassment and cybersexism in the training of staff covered by the article.
ParlaMint-FR_2021-12-01-O1080.u190	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u191	This is again an amendment that sets out a list of potential harassment situations. The definition of the criminal code is sufficient, reliable and legally secure. If cyberharassment and cybersexism were added to this definition, then we should also add all the other types of "cyber" harassment that are developing and that we are not yet familiar with. I invite you to withdraw the amendment, Mrs Gaillot, because he is satisfied. The judge dealing with a case of harassment will, of course, consider situations of cyberharassment and cybersexism. That is precisely the purpose of the bill.
ParlaMint-FR_2021-12-01-O1080.u192	All right! The spirit of the law!
ParlaMint-FR_2021-12-01-O1080.u193	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u194	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u195	Mrs Albane Gaillot has the floor.
ParlaMint-FR_2021-12-01-O1080.u196	Did I misunderstand Mrs Bannier's Amendment No 17 which we adopted earlier? It seemed to me that he added the notion of cyber-harassment to that of school harassment in article 1. I suggest that you add the notion of cybersexism, which is another form of cyberharassment and school harassment.
ParlaMint-FR_2021-12-01-O1080.u197	The rapporteur has the floor.
ParlaMint-FR_2021-12-01-O1080.u198	Amendment No 17 concerns information on the risks of school harassment and cyber-harassment to parents of pupils. It is therefore not intended to change the definition of the content of staff training. In addition, Mrs Bannier's amendment preserves the broad acceptance of the text, with cyberharassment including cybersexism.
ParlaMint-FR_2021-12-01-O1080.u199	The rapporteur has the floor to support Amendment No 47.
ParlaMint-FR_2021-12-01-O1080.u200	As a result of the Commission's work, it aims to answer a question expressed on all the benches since it extends the offer of continuing training relating to school harassment to all persons involved in educational institutions, including officials of local authorities and private education staff. After the initial training discussed in the first part of Article 3, we therefore refer here to continuing training, which is not compulsory but which is of interest here. In addition, it is important to mention local government officials who are not national education staff but who work in colleges and high schools, as Ms Victory asked earlier.
ParlaMint-FR_2021-12-01-O1080.u201	Mrs Jacqueline Dubois has the floor to support Amendment No. 44.
ParlaMint-FR_2021-12-01-O1080.u202	As I pointed out earlier, students with disabilities are particularly affected by harassment and need to be better protected by the educational community. I therefore propose to add to the article of the Education Code on the schooling of these pupils a sentence which reads: "The relationship of pupils with their peers with disabilities is subject to vigilance with regard to increased harassment. »
ParlaMint-FR_2021-12-01-O1080.u203	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u204	I repeat: it is counterproductive to identify all possible cases of school harassment, because we will not end it. I ask you to withdraw your amendment, Mrs Dubois; Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2021-12-01-O1080.u205	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u206	Clearly, students with disabilities are more exposed to the risk of school harassment than others, and your amendment has the merit of reminding the honourable senator. The next campaign to combat school harassment organized by the Ministry of National Education, Youth and Sports will focus in part on this topic. However, I share the arguments put forward by the rapporteur on this amendment – and indeed on the others. Indeed, it does not seem appropriate to specify the text excessively, for a principal question and for a practical reason. In terms of principles, the bill implements our republican motto Freedom, equality, fraternity and, in this case, the principle of equality. Our school system is based on a universal principle: every child must feel good in school; So none of us should be harassed, whatever the reason – it's as simple as that, and that's what motivated the last circular we issued. The fight against harassment is not justified because of the child's characteristics, but because of his or her very status as a child: it is because he or she is a child that he or she must be protected. Of course I share your intentions, Mrs Dubois, but it seems to me dangerous to create categories, which would create a contrario voids and could even have a counterproductive effect from the point of view of the principles that guide us. Our Republic's values meet a requirement of universality and oppose any categorization of individuals into groups that should be specifically protected. I am personally very attentive to the fulfilment of this requirement, particularly in order to avoid the normative inflation that complicates our action. I understand the spirit of your amendment and I believe, like you, that we must ensure that students with disabilities are protected because they are more fragile than others and more exposed to the risk of harassment. However, the bill already responds to your concern. That is why I invite you to withdraw the amendment, Mrs Dubois.
ParlaMint-FR_2021-12-01-O1080.u207	Mrs Jacqueline Dubois has the floor.
ParlaMint-FR_2021-12-01-O1080.u208	I understand your arguments so well, Mr Minister, Mr rapporteur, that my amendment proposes, not to add a category to the text, but to mention the fight against harassment in the part of the education code devoted to students with disabilities. Let me point out that these children are not harassed during school time, but often in the canteen during lunchtime. It would therefore be desirable for local authority staff present at that time to be involved in training in schools on combating harassment. I do not know whether we will consider an amendment to that effect, but the amendment I tabled was considered inadmissible.
ParlaMint-FR_2021-12-01-O1080.u209	We have just adopted an amendment which contains precisely this measure: Amendment No 47!
ParlaMint-FR_2021-12-01-O1080.u210	In any event, I withdraw my amendment.
ParlaMint-FR_2021-12-01-O1080.u211	The rapporteur's amendment No 48 is drafting.
ParlaMint-FR_2021-12-01-O1080.u212	Mrs Michèle Victory has the floor to support Amendment No. 70.
ParlaMint-FR_2021-12-01-O1080.u213	I have already defended it, but I would like to add a comment in response to what was said earlier. As regards the collection of the words of the victims of school harassment, which is the subject of this amendment, it does not seem to me that a call number is a satisfactory solution. When we know the victims' difficulty in reporting the acts they are suffering, it is hard to imagine that a telephone number will make it easier for them to speak out. They need people in the flesh and bone in front of them, able to decipher their discourse. That is why we are asking for trained people to be present in schools to establish a real relationship with students.
ParlaMint-FR_2021-12-01-O1080.u214	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u215	The details of the amendment fall within the regulatory area. Protocols exist, some of which work well. It does not seem appropriate to include them in the bill. The intention of this amendment is commendable, but my opinion is unfavourable.
ParlaMint-FR_2021-12-01-O1080.u216	I have before me four amendments, Nos 15, 71, 87 and 67, which can be discussed jointly. Amendments Nos 15 and 71 are identical. Mrs Isabelle Valentin has the floor in support of Amendment No 15.
ParlaMint-FR_2021-12-01-O1080.u217	Its purpose is to strengthen the integration of parents and their representatives into the anti-harassment protocols in schools. The latter must strengthen the dialogue between families and official bodies, as some have done in the context of the establishment project, with the establishment of special commissions. Many parents now feel destitute in the face of the suffering of their children. They would like to be more involved in the choice of solutions offered by the institution. They are best placed to explain their child's distress and its consequences on a daily basis. They must therefore be involved in the consultation process.
ParlaMint-FR_2021-12-01-O1080.u218	I call Mrs Jacqueline Dubois to support Amendment No. 71.
ParlaMint-FR_2021-12-01-O1080.u219	The purpose of this amendment is to involve student and parent representatives in the development of the strategy for the prevention and treatment of harassment. Concertation on combating harassment should allow for a dialogue of trust between families and the educational community. The representatives of the parents of the pupils are able to explain the distress of a child, the consequences of this distress on his day-to-day life and the paths they have envisaged. They can also help identify specific solutions depending on the local context. The amendment also proposes to involve student representatives, which would allow the educational community to benefit from their view of harassment situations. Involved them in the development of the school guidelines for the school harassment project would also be a good way to raise awareness of problem situations.
ParlaMint-FR_2021-12-01-O1080.u220	I call Mr Grégory Labille to support Amendment No. 87.
ParlaMint-FR_2021-12-01-O1080.u221	It aims to involve student and parent representatives in the selection of school harassment guidelines and procedures for the school project. While students and their parents are the main people affected by harassment, it seems normal to seek their views in the development of a strategy to combat these practices. Teachers sometimes find it difficult to identify harassment situations in their schools. The association of pupils and pupils' parents in the fight against school harassment would therefore make it possible to consult them on the measures taken in the institution to combat harassment.
ParlaMint-FR_2021-12-01-O1080.u222	I call Mrs Michèle Victory to support Amendment No. 67.
ParlaMint-FR_2021-12-01-O1080.u223	Like the previous ones, the project aims to better involve parents' representatives in the development of school harassment guidelines for the school project. However, it should be noted that parents of harassing students and parents of harassed students should be involved in the fight against harassment. Families of harassing children need, like others, to participate in the development of solutions for the care of victims. In any case, the mobilization of parents is very important in the fight against school harassment.
ParlaMint-FR_2021-12-01-O1080.u224	What is the committee's opinion on these amendments under joint discussion?
ParlaMint-FR_2021-12-01-O1080.u225	Their intention is good, but they are doubly satisfied in fact. The school project was drawn up with the educational community, of which parents were members, and it was adopted by the school council, in which representatives of the parents of pupils were represented. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u226	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u227	Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u228	Mrs Karine Lebon has the floor to support Amendment No. 78.
ParlaMint-FR_2021-12-01-O1080.u229	The allocation of new missions to the educational community, doctors, nurses, psychologists and social workers must be accompanied by sufficient resources. Mr. Minister, you have announced the creation of 300 CPE positions, while recognizing that school medicine is not an account. Currently, there is one school doctor on duty for 1,572 students. The same applies to school nurses, the only representatives of school medicine in schools. Repeated attacks on this profession, including the departmentalization of school medicine provided for in Bill 3DS, weaken the identification and support of child victims or perpetrators of harassment. The health crisis has highlighted this lack of resources that leads these professionals to abandon such essential tasks as contributing to inclusive schools or monitoring the most vulnerable children. We are all convinced that education is the key, but we must still have the means to achieve our ambitions.
ParlaMint-FR_2021-12-01-O1080.u230	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u231	I agree with you about the lack of school medicine. Last year, I tabled an amendment to give it more resources. But it's not just a matter of means, school medicine has to solve a human resource problem. The doctors are missing and the positions you propose to create would not be filled.
ParlaMint-FR_2021-12-01-O1080.u232	At least they'll exist!
ParlaMint-FR_2021-12-01-O1080.u233	In addition, the wording you are proposing has no legal effect, it is an appeal amendment. I share your concern about this complex subject, but disagree with it.
ParlaMint-FR_2021-12-01-O1080.u234	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u235	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u236	Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2021-12-01-O1080.u237	We share the observation on the state of school medicine, and the minister has indicated that we are moving towards cooperation with the departments, as part of the forthcoming departmentalization. Minister, we would like some further information on this refined cooperation with the departments, notwithstanding our opposition to the 3DS Act. In addition, the attractiveness of the medical profession in schools, which is systematically opposed to us, is correlated with that of all medical professions. That is why we will defend tomorrow a bill that tends to make compulsory the assignment of doctors, especially in the field of school medicine – and God knows if the needs are urgent! We therefore hope that the various arrangements that we propose will receive the attention of the majority.
ParlaMint-FR_2021-12-01-O1080.u238	I have before me four amendments, Nos 109, 7, 69 and 68, which can be discussed jointly. Mrs Blandine Brocard has the floor to support Amendment No. 109.
ParlaMint-FR_2021-12-01-O1080.u239	Article 3, paragraph 7, refers to "physicians, school nurses and psychologists and social workers". These professionals gravitate into the school world and we need them. But in a number of schools, especially in rural areas, there are not all these staff to supervise and assist children. I propose to link associations working against harassment to the school project. They are present throughout our territory and are aware of these issues.
ParlaMint-FR_2021-12-01-O1080.u240	Mr Raphaël Gérard has the floor to support Amendment No. 7.
ParlaMint-FR_2021-12-01-O1080.u241	I would like to return to the role of associations in this bill. We have taken a first step in Article 1e r by recognizing their role in assisting and caring for perpetrators and victims. I think we need to go further. While some conservative movements claim that our children are indoctrinated in school and denounce the supposed abuses of anti-racism and the fight against homophobia, for which they hold associations accountable, it is not unnecessary to recall that they are members of the educational community and therefore participate in the fulfilment of the tasks of the public education service. Their expertise is valuable in understanding the roots of school harassment and they play a fundamental role in raising awareness among staff and students. These associations therefore have a full place in the school of the Republic and it is appropriate that the staff take them into consideration in the framework of the establishment project, in order to have the most suitable procedures and vade-mecums to combat and prevent school harassment.
ParlaMint-FR_2021-12-01-O1080.u242	Mrs Jacqueline Dubois has the floor in support of Amendments Nos 69 and 68, which can be presented together.
ParlaMint-FR_2021-12-01-O1080.u243	We would like to point out that representatives of the educational community can draw on the expertise of school harassment and cyber-harassment associations to develop guidelines and procedures to combat harassment, as well as to provide information to parents of students on the risks associated with school harassment and cyber-harassment. These associations, among them Hugo!, the Butterflies or France victims, are third parties of trust who know perfectly the springs of the phenomena of harassment and the effective means to combat them.
ParlaMint-FR_2021-12-01-O1080.u244	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u245	Opinion against all these amendments. The proposed actions are already possible because the approved associations are part of the educational community. The amendments are therefore satisfied in this respect. Some associations find it difficult to enter schools, but I understand the desire of national education to monitor and apply for approval the associations involved in schools. An association that intervenes within the school must respect the values of freedom, equality, fraternity and secularism. It is already possible to do what you propose, and it is necessary to maintain the accreditation system which allows the national education to decide which associations enter the schools and can work on these subjects. Associations obviously play a crucial role, they are strong forces, bringing creative ideas, knowledge of the subject and experience born from the fact that they have often been created by victims. It must be used, but within a well-defined framework.
ParlaMint-FR_2021-12-01-O1080.u246	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u247	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u248	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-01-O1080.u249	The associations, provided that they are approved, are interesting partners to intervene with national education. Similarly, high school homes are self-governing associations within high schools that can develop initiatives in this direction. However, I have heard the minister speak of coordination, of articulation, to create a symbiosis between all these people. But all this takes a crazy time! Do you know how long the meeting is going to take? The minister has announced that he will recruit 300 CPEs, I welcome them, but it is likely that the efforts to articulate and coordinate all these actors will be time-consuming. Thus, it is the role of a school principal to work with her community and the associations, when we know how much they are taken over by administrative work, to the point of not being able to carry out their teaching mission. I want to warn about the time lost in organizing these cooperations.
ParlaMint-FR_2021-12-01-O1080.u250	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2021-12-01-O1080.u251	Beyond practical aspects, these amendments are structural and fundamental. As we have been saying since the beginning of this session, much of the harassment takes place outside schools, in building halls or on social networks. Schools should not be left solely responsible for resolving such situations. They are a central element, within a set of actors, including law enforcement and associations.
ParlaMint-FR_2021-12-01-O1080.u252	I call Mr Grégory Labille to support Amendments Nos 86 and 85, which can be presented in a consolidated format.
ParlaMint-FR_2021-12-01-O1080.u253	Amendment No 86 seeks to involve in the implementation of school or establishment projects the harassment references designated in each academy and department. These referents are sometimes direct intermediaries in the resolution of harassment-related problems and their experience and training must be used to define the best procedures for combating harassment in schools. As for Amendment No 85, it provides that pupils who will be appointed ambassadors against harassment in their college or high school will be involved in the development of the guidelines and procedures for the school or school project to combat harassment. While these students will be at the heart of the new system put in place by the national education system, their views and experience on what is happening in the classrooms, between the students, or outside the school, will enable them to set up arrangements in line with the problems of the school.
ParlaMint-FR_2021-12-01-O1080.u254	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u255	These amendments, which are regulatory in nature, are satisfied. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u256	On Article 3, I have a request from the La République en marche group for a public vote. The vote is announced in the National Assembly. Mrs Geraldine Bannier has the floor in support of Amendment No 18.
ParlaMint-FR_2021-12-01-O1080.u257	We propose the deletion of this paragraph, which has been moved.
ParlaMint-FR_2021-12-01-O1080.u258	Mrs Souad Zitouni has the floor to support Amendment No. 129.
ParlaMint-FR_2021-12-01-O1080.u259	We propose that a charter be annexed to the rules of procedure in order to make teachers and students aware of the harassment and its consequences on the victims.
ParlaMint-FR_2021-12-01-O1080.u260	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u261	This amendment also seems to me to be satisfactory. The proposed charter may be one of the tools that institutions will use, but its definition falls within the regulatory area. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u262	Mrs Michèle Victory has the floor to support Amendment No. 72.
ParlaMint-FR_2021-12-01-O1080.u263	We would like a decree to specify the conditions of this chapter and to list the availability of access to the competent health personnel to deal with the victims of school harassment in public and private schools and colleges. The Minister acknowledged that the numbers of school doctors and psychologists were far from the point of view. It is very good to talk about a training offer for health personnel, but if we remain at this stage, with such a lack of resources, we will not achieve the objective. To the extent that the shortage is real and health workers do not have time to devote to these problems, it is important to provide that a decree will detail the conditions under which the provisions of this law will be implemented.
ParlaMint-FR_2021-12-01-O1080.u264	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u265	I do not see very well the purpose of the amendment and how it could relate to the hierarchy of standards: a decree does not seem to me to be intended to list access to health workers. Your objective, moreover commendable, could rather lead to the drafting of a report on the state of school medicine, which would be submitted to Parliament as part of its monitoring and evaluation mission. That would make more sense to me. Such work can be undertaken. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u266	Mrs Agnes Chill has the floor to support Amendment No. 88.
ParlaMint-FR_2021-12-01-O1080.u267	It is intended to allow parents of a harassed child to change their school during the school year or at school, regardless of the limits imposed by the school card. When a child is well integrated into an institution, there are friends and good friends, and he is subjected to the tyranny of a minority who harass him, the change of school can obviously be experienced as a tragedy and is not necessarily in his interest. But it is the child's interest that we must keep in mind in the fight against school harassment. On the other hand, when a child suffers the bullying of some of his comrades to the point of being desocialized, of no longer wanting to go to school, so to put his future at risk, a solution must be found. While prevention and the fight against harassment represent our best weapons to combat this scourge, we must not rely on a single strategy in the hope that it will solve all the problems. Even if the present text proves to be effective and the Government's strategy allows for progress, there will always be situations in which students, left unsolved in the face of their aggressors, will retreat into their loneliness. Parents are not completely unsolved, since they can always register their child in a private institution, even if the latter is outside of their sector. In addition to being a terrible admission of failure for public education, this is above all a terrible inequality for families who cannot afford to place their child in a private school, with sometimes high fees. In order to restore some equality, we must therefore allow the families concerned to change their school child during the year or at the start of the school year, without taking into account the constraints of the school card, which must be relaxed in such circumstances. The wording of this amendment is based on a provision in article 49 of the Act which reinforces the observance of the principles of the Republic, which allows a family to withdraw without delay its child from a school to provide him with family education when he is harassed at school. The aim is to create an equivalent mechanism to allow for the change of place of business.
ParlaMint-FR_2021-12-01-O1080.u268	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u269	Such derogations already exist and can be implemented quickly. In addition, each case in which a school child is changed is problematic: the student does not necessarily want to change it and there is no reason why he or she should be forced to do so. This is the whole purpose of the work that we have undertaken and that we still have to do to ensure that education professionals and teachers are trained – we insist on this point since the beginning of the examination of the text – to detect and deal with harassment situations very quickly and to deal with them very quickly. As everyone knows: the sooner a solution to the problem is proposed for school harassment, the less serious the damage is. Unfavourable notice: Not only is your request met, but the change of institution is not always the best solution for a child who is a victim of harassment.
ParlaMint-FR_2021-12-01-O1080.u270	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u271	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u272	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2021-12-01-O1080.u273	I fully agree with the rapporteur. I would point out that the school card falls within the competence of the communes and that the latter, unfortunately, are already obliged to manage such situations: when it is necessary, as a last resort, to change a school child – with the agreement of the latter and his parents, of course – it is possible that the transfer takes place between two public schools or between a private school and a public school. Even in very large cities like Lyon, which has 38,000 children in 200 schools, municipalities can manage these special cases with all the humanity and speed needed.
ParlaMint-FR_2021-12-01-O1080.u274	Mrs Agnes Chill has the floor.
ParlaMint-FR_2021-12-01-O1080.u275	Thank you for that clarification. I can hear what our colleague has said about the city of Lyon. In my personal capacity, I was elected in an electoral district with 173 communes, some of which have only one school, and many inter-municipal educational groups (IPPs). Due to the current rigidity of the school card, the families concerned are forced to go to the private sector. But many cannot afford it. That is why I believe it is essential, as we have done for family education (FEI), to relax the school card for all families living in a municipality with only one school.
ParlaMint-FR_2021-12-01-O1080.u276	I put Rule 3 to the vote.
ParlaMint-FR_2021-12-01-O1080.u277	The result of the vote is as follows: Number of voters 78 Number of votes cast 76 Absolute majority 39 For adoption 76 Against 0
ParlaMint-FR_2021-12-01-O1080.u278	Mrs Jacqueline Dubois has the floor to support Amendment No 40, which adds an additional Rule after Rule 3.
ParlaMint-FR_2021-12-01-O1080.u279	In order to better combat discrimination, school harassment and other forms of violence in schools, the Ombudsman, in her November 2021 report, recommends that "the teaching of rights education modules, as provided for in school curricula, be made systematic and effective". The amendment is therefore intended to include in the Education Code that "school training includes specific provisions to combat discrimination, school harassment and other forms of violence in schools". I recall that in France, the number of children harassed every year in their school environment is estimated at 700000 – an alarming figure in view of the consequences of harassment for victims, both on their mental health and on their right to education.
ParlaMint-FR_2021-12-01-O1080.u280	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u281	This request seems to me to be fully satisfied. Request for withdrawal; Failing that, adverse notice.
ParlaMint-FR_2021-12-01-O1080.u282	I call Mrs Sabine Rubin to support Amendment No. 107.
ParlaMint-FR_2021-12-01-O1080.u283	I would like to take this opportunity to return to Amendment No 105, which has fallen and has therefore not been discussed. It dealt with in-service training on the prevention of school harassment. While this training, in the current drafting of the text, is optional, we wanted to make it mandatory. It is well known that school heads or inspectors, for reasons of lack of time and resources, regularly reject requests for training made by teachers in particular. If training were compulsory, such refusals would no longer be necessary. Turning to the amendment, we propose to strengthen equality education in school curricula, from kindergarten to high school, so that each student learns to understand and accept differences, and to reject all forms of discrimination – be it sexism, homophobia, racism, transphobia or all forms of discrimination related to physical appearance. These issues need to be included in the programs for behaviour to change effectively.
ParlaMint-FR_2021-12-01-O1080.u284	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u285	Of course, we all agree, but your request is fully met by the various articles of the Education Code relating to teachings. For example, article L. 121-1 refers to "respect for human rights as well as an understanding of the concrete situations that affect it." Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u286	I have before me three amendments, Nos 39, 59 and 96, which can be discussed jointly. Amendments Nos 39 and 59 are identical. I call Mr Grégory Labille to support Amendment No. 39.
ParlaMint-FR_2021-12-01-O1080.u287	In cases where the physical or moral integrity of a child is threatened within the school, the child must be able to leave the school without such a decision being dependent on the ability of the parents or the validation of an educational project. As required by the child's state of health or disability, parents should, where appropriate, benefit from the free public distance education service, in order to ensure that the children concerned have equal access to education.
ParlaMint-FR_2021-12-01-O1080.u288	I call Mrs Emmanuelle Anthoine to support Amendment No. 59.
ParlaMint-FR_2021-12-01-O1080.u289	It is important to include in the law the right of the child to leave his or her school in cases where his or her physical or moral integrity is threatened, without such a choice being subject to conditions relating to the ability of the parents or to the validation of an educational project.
ParlaMint-FR_2021-12-01-O1080.u290	Mrs Sonia Krimi has the floor to support Amendment No. 96.
ParlaMint-FR_2021-12-01-O1080.u291	The aim of this bill is to define school harassment and criminalize it as an autonomous offence. This is a major issue, and a strong response is needed. For the sake of consistency and in order to strengthen the fight against this phenomenon, it seems to me important to include in the law that school harassment fully justifies family education, a proposal which I had already defended in the course of the examination of other texts. I know that such a provision may prove complex to implement: so I will let the experts answer on this point.
ParlaMint-FR_2021-12-01-O1080.u292	What is the committee's opinion on these amendments?
ParlaMint-FR_2021-12-01-O1080.u293	I repeat: whenever a student can be prevented from leaving school for acts of harassment, action must be taken to that effect. Your request, in fact, is fully satisfied. We have defended this measure in the consideration of the bill to uphold the principles of the Republic, as part of the debate on family education, by including the issue of school harassment. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u294	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u295	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u296	Mrs Anne Brugnera has the floor.
