ParlaMint-BG_2015-11-26.u1	I'm opening the meeting. Mr. Hristov's procedure.
ParlaMint-BG_2015-11-26.u92	If only you had seen this Law!
ParlaMint-BG_2015-11-26.u93	Thank you. On behalf of the importers of the other submitted bills, does anyone want to argue proposals? Mr. Slavov.
ParlaMint-BG_2015-11-26.u94	Dear Mr. Chairman, honourable Members! I will be quite brief, as the Commission report has somewhat affected some of the motives that have been addressed with colleagues assoc. Velikov, Boyka Marinska and Prof. We brought Lilkov from the Reformation Block. He actually suggests that we sign something quite obvious which, in our view, was missing so far in the Law, which is really when a head of a higher education is elected, when a head of his faculty is elected, that these people be of undisputed authority, with proven management experience, with proven traditions in the field of higher education, that is, people who can really handle this highly responsible task that is expected of them. In other words, we have introduced a requirement that they have similar management experience, which is realized under a contract of employment with a higher school, whether it will be what they apply for or, of course, both options are acceptable. So we hope that these proposals, if they are supported, really help to select quality people in these important positions, and not people who accidentally or conjuncturally in a given situation, so to speak, we know, there have been cases when they have benefited from a given situation and have quickly grown up, and have taken positions as rectors or deans. Of course, then there was no good effect on the university itself and its management and development, including on the academic staff and students studying in it. So, generally speaking, these are our two proposals that we have highlighted in this bill. Thank you.
ParlaMint-BG_2015-11-26.u95	Thank you, Mr. Slavov. Mrs. Todorova, you will argue the bill submitted by Prof. Todorova. Borisov, perhaps.
ParlaMint-BG_2015-11-26.u96	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! In a nutshell I will argue the proposals Draft amendment and supplement to the Law on Higher Education of Prof. Borisov from the parliamentary group of ABB. It proposes changes in several sections. First of all, this is an editorial update of the texts. It is proposed to reject the concept of independent college because in the regulations it is already a self-contained kind of school. It is also revised the concept of a service contract and is replaced by a management contract and the rights of industrial property are replaced by a right to intellectual property. Secondly, the development of academic autonomy is proposed by clarifying and clearing the concepts of how to reveal educational structures abroad and better defining the concept of educational franchise. Also one of the main merits of the Bill is that it is regulated how to regulate production and profit from scientific products, i.e. patent profit, because many universities around the world profit mainly from this. "Harvard" earns about 200 billion a year from patent activities, while with us universities and scientific institutes have no motivation to develop in a scientific direction and regulate patents and register because they do not benefit from it. We therefore believe that this is one of the main advantages of our Bill. There are also new opportunities before higher education institutions for people with academic positions in scientific institutes to be able to teach and form departments of less than 7 people and to be 5 and in less than 7 years so that PhD students who are in newly formed specialties can defend their doctorate and then habilitate themselves afterwards. A system of higher education is also optimized, opportunities for numerous contracts are limited, numerous positions of management at different universities are limited and the possibility of taking into account the same lecturer in the accreditation of different universities is limited. Synchronization is made between the Law on Higher Education and the Law on the Development of the Academic Board, as scientific leaders, chief assistants and doctors can be scientific leaders and can read lectures. Finally, the possibility of own revenues is expanding by making a new proposal for a paid admission to state universities. We welcome most of the bills. We will support those of the Council of Ministers, Milena Damyanova and a group of MPs, Mr. Mihov and Mr. Velikov and a group of MPs, and Mr. Borisov and a group of MPs. We have only one remark: since this will perhaps be the 50th Amendment for 20 years for the Law on Higher Education, we believe that it is time for a new Law on Higher Education. I neglected to say that our Law is in line with the Higher Education Development Strategy and approved by the Rectors Council. Thank you for your attention.
ParlaMint-BG_2015-11-26.u97	Thank you. Professor Gechev, you are welcome to motivate proposals from you Bill.
ParlaMint-BG_2015-11-26.u98	Thank you, Mr. Chairman! Dear colleagues, I will start with what my colleague has completed, namely that we need a strong new law, as this is a piece of work, from now on I have to tell you. The main problem of laws and amendments is that we are trying to correct a law that does not meet any of the systems in Europe or the Anglo-Saxon. I'm saying this because by coincidence, I have more than 30 semesters of U.S., UK, France, Cyprus and other countries. I have to tell you that our Law has nothing to do with these systems, but it's just taken from there something, and obviously, colleagues don't work out, which is why our higher education, in quality terms, is not in the world rankings of universities, and the reason is not only in the Law. With a law like this that we're working on, we're obviously not going to get far anytime soon. The efforts are commendable to improve what currently exists as a basic law, but let us unite all parliamentary groups, to form expert groups under the leadership of the Ministry and to make a law that is consistent with either the system of Germany and France or the Anglo-Saxon system in accordance with the Bulgarian conditions and to start working properly. I will briefly mark four things that we offer in the amendments to the Law. The first is related to a shift from quantitative to qualitative indicators. Here we will hardly have any differences, as now the distribution of the financial resources of universities becomes a piece of student. The funds for research are also distributed evenly to all of the regions, from all universities, and this is the wrong approach, honourable Members! We need to move on to quality indicators. Better the scarce resources available to the state to be allocated not even to a few good universities, and we said in the debates that it is good for these funds to go to the best faculties, departments, scientific units of universities. Bulgaria does not have the resources to bring even an entire university into the world's first 500 at the moment, and we should do what other universities in Europe and outside Europe. China is a great example where they started to fund various departments and centres and managed to put into the first 500 and then 100 universities of their research centres. So Bulgaria is a small country and with limited resources we must move as quickly as possible to quality indicators and the distribution of our financial resources according to the qualities demonstrated by universities. Secondly, what we are proposing is contained in the strategy of all leading countries of the European Union. Dear colleagues, if you enter and read the strategy for scientific development of France and Germany, which are available on the Internet in several languages, you will see that they are betting on the creation of research centres, including centres that are outside universities. For example, Germany has two directions: the Max Planck Institute and 69 other institutes and NGOs, which are obliged each of them to have a contract with the German universities, which 99 per cent are state-owned. These universities create clusters between universities, research institutions and businesses, plus the first direction of which is about fundamental research. So we propose the creation of such clusters between universities and businesses, because there will hardly be a contradiction that our universities are not tied enough to business or, more precisely, where they are connected, it is sporadic and not systematic. Thirdly, we offer a reduction in student fees by a third. Dear colleagues, you know that Bulgarian families are experiencing severe difficulties in financing their children who are studying higher education. This is why we are proposing part of the decision that the fee is charged at the expense of the budget first, because all the EU directives and all of us are convinced, regardless of our political differences, that the present and future is a knowledge economy and we will hardly argue that the main lever for increasing the competitiveness of the Bulgarian economy, like all other economies, will be education. Therefore, we need to facilitate the access of Bulgarian young people and strengthen them, improve the conditions for admission to state universities, so that they are cheaper, but to be accessible to our children, who show good results and the state universities to enter students with high opportunities. The next step, of course, must be building the base. Here are fellow lecturers, you know that if you have enrolled 180 students in the stream, you do not all come to lectures and their excuses, which is not acceptable, but it is that you have to work, families can not support them in order to be able to pay their fees. That is, Prime Minister, we must respond to the alternative of whether we will ensure that our students study, or not provide them, fees will remain high and they will have to work and be absent from classes. In fact, who are we lying to in this case? In practice, they are not regular, but are students or remote students who come from time to time at the university to pass their exams. So with this step, we will achieve better results with the cost of the charge by one third, the greater involvement of the state in this area. Last but not least, we believe that the quality of higher education, in general, of education, depends on the quality of teachers. Colleagues, we have come up with dramatic contradictions in pay in higher education. It is no secret that there are only a few universities, including mine, where the salaries are decent to the Bulgarian standards. However, in the vast majority of universities in Bulgaria and especially in the Bulgarian Academy of Sciences, it is offensive to be a lecturer. I'll give you an example. At the Bulgarian Academy of Sciences PhD student under the Law in Bulgaria received 450 BGN. Scholarship and doesn't pay tax. After defending his dissertation and becoming a doctor in physics, chemistry or economics, he gets the same salary and pays 10% tax and gets less than the doctorate who has not defended the doctorate and is a research associate or assistant! At the moment, the salaries of our fellow physicists, chemists, biologists, economists, historians, young scientists at the Academy of Sciences are equal to the salaries of the cleaning women at the Bulgarian Academy of Sciences. Is that normal, guys?! Can the Republic of Bulgaria, as a member of the European Union, literally mess with these lecturers? We offer basic salaries. As there are basic salaries for fellow teachers in secondary and primary education, so there should be basic salaries for higher education as well. Anyone can access the Internet and see that there are basic salaries in all developed countries of the European Union. There are rocks in Germany, France, Italy, Spain that concern universities, and in most countries universities are mainly state-owned. We offer as an assistant to have two minimum salaries, which means that it will be a little more than the primary teacher in primary and secondary education; for chief assistant We cannot want and expect quality education if our young colleagues are paid lower than those of graduate students starting work somewhere. There is no such practice in Europe! Note that we also want this criterion for basic salaries to concern private universities. Dear colleagues, what is this private university? Some of them claim to be better than the state, but they're not international rankings, so I hope they do! If they cannot provide a base salary as at the state university, and make private universities unknown where in the curfews of Bulgaria, with 400 BGN each. Is this a university?! What are these lecturers who agree to work for 400 BGN. A month?! And what quality will we expect of them?! We demand the transfer of basic pay to teachers in higher education institutions, to ensure the dignity of these scientists and lecturers according to European standards! When I say 'European standards', I will end with this: to respond to the practice of other countries in Europe. Higher education is not in good shape, colleagues. We must change the laws and provide financial resources so that science and education can become a producer of a larger gross domestic product for Bulgaria. Thank you. [[Applause from BSP LB.]]
ParlaMint-BG_2015-11-26.u99	Thank you, Professor. Gechev. On the other submitted bills? Associate Professor Veliv.
ParlaMint-BG_2015-11-26.u100	How about a break?
ParlaMint-BG_2015-11-26.u101	I hope you'll be brief as we enter the time of rest?
ParlaMint-BG_2015-11-26.u102	Dear Mr. Chairman, your hope is assured I will be brief. Dear Minister, indeed our Committee on Education and Science led by Mrs Damyanova and colleagues worked hard. As you can see, the chosen approach to have a comprehensive law "The Preschool and School Education Act, which is already a fact, is undoubtedly the basis for the reform of the education system in Bulgaria. For higher education, we have examined the model in which it is possible with some necessary changes to change and supplement the existing Law to also achieve important changes, almost equal to the reform of secondary education. I think our good cooperation with Minister Tanev's team is a guarantee that you can still think, as suggested here Prof. Tanev. Gechev, for a comprehensive new law, but this is undoubtedly a longer process. Regarding our bill with Assoc. Mihov, I would like to say that it is related to an important part of the Law on Higher Education, the amendments that are taking place after Bulgaria's accession to the European Union. Even before the entrance of the Fortyth National Assembly was adopted in the Additional Provisions of the Higher Education Act that after the adoption of the Republic of Bulgaria as a member of the European Union, foreign higher schools opened under the legal order in the Member State of the European Union and the European Economic Area may open divisions within the territory of our country under appropriate conditions laid down in the Law. In response to this, the Forty-first National Assembly correctly adopted amendments and a new paragraph in § 4 of the Additional Provisions that Bulgarian higher schools may also reveal their units abroad under the terms and conditions of this Law and subject to the legislation of the host State. All this, and after it, there is already a great interest in foreign universities and organizations recognised by the laws of the country concerned to organize and conduct entirely or partly educational activities together with Bulgarian universities in foreign territory. We therefore propose very little changes to the Higher Education Act in order to avoid a more free interpretation of the concept of abroad. 3, which I mentioned. In this way, the practice is harmonised and our higher schools are given the opportunity to reveal territorial divisions in foreign territory. That is the meaning of the Law and I urge you to support it. Thank you.
ParlaMint-BG_2015-11-26.u103	Thank you, Assoc. Gorgeous. Before I announce a break, one message: An exhibition will be opened at the Club of the National Representative "My homeland Bulgaria" by the artist Danail Ignatov. The exhibition presents 42 canvases dedicated to the beauty of Bulgarian nature, Revival cities and medieval architecture. All Members of the National Assembly are invited to attend the opening. After the break, that is, at 12.10 am, I will give the Minister of Education and Science the floor to justify his bill accordingly. I'm calling a break till 12:00 a.m. (After the break.)
ParlaMint-BG_2015-11-26.u104	Honourable Members, we are continuing the meeting. We are looking at the Law on Amendment and Supplement to the Law on Higher Education. I give the floor to Minister Tanev to present the Bill submitted by the Ministry of Education and Science through the Council of Ministers. Here you go, Mr. Tanev.
ParlaMint-BG_2015-11-26.u105	Mr. Chairman, ladies and gentlemen of the House! We agree, in principle, with most of our fellow Members' proposals tabled. In fact, there are no significant contradictions between these projects. Much more is unity and the addition between them. The Ministry of Education and Science in this year produced a lot of bills, including the Law on Amendment and Supplement to the Law on Higher Education. I can add that we have done, firstly, a Bill for the Development of the Academic Board Very soon, the very important law on amending and supplementing the current Law on Vocational Education and Training will also be ready in our policy. In this way, with this package of bills after their adoption, we will have an essential basis for reforms in all four directions of education, the pre-school and school which passed, the vocational, higher education, the development of the academic staff. As for the Law on Higher Education, it naturally precedes the other Law, which is the Law on the Development of the Academic Board and it is logical that it is adopted now, especially in view of several factors. Firstly, we have a strategy for developing higher education with which we have agreed and on which the Law of the Council of Ministers rests, which I present, which was adopted on a proposal from the Ministry of Education. Also with the requirements of the Operational Programme for Science and Education for Smart Growth, which required us to make imperative changes to the legislative basis of funding quality education. This bill is agreed with the Council of Rectors in the presence of the Bulgarian Academy of Sciences and is also consulted with the social partners, student representatives and all who could pass legitimacy on to it. I think we've reached maximum legitimacy. In short, the current Law, the still functioning Law on Higher Education, mended in the years before, has one major flaw, probably more than it does, but I will say the key and that it relies exclusively on intensive development. The best majors from a commercial point of view developed without regard to the needs of life. The money followed the student, not the quality of his training and so on. Our task at the moment and it is very responsible, to this Parliament at the moment, is from an extensive gradual transition to a good balance and to the intensive, i.e. to those specialties that are important to Bulgaria, priority, as has been said, departments including, and not only universities with high ratings, so that it is related to life, business needs, local authorities and so on. It's done. The emphasis is just on quality. The bill of the Council of Ministers is long enough, so allow me to say just a few of the key points in it. The first of these is to encourage state universities to increase the quality of training with the following financial stimulus: for the current year 2015 the subsidy rate established on the basis of a comprehensive assessment of the quality of training and compliance with the needs of the labour market is only 12.8% of the support subsidy. We predict from 2020, this is required that this share goes to 60%. Therefore, the share of training support funds obtained on the basis of a comprehensive assessment of the quality of training and compliance with the needs of the labour market will increase to 40% in 2017 and should reach 60% in 2020 with the measures recorded in the Law. This will take place gradually and only those factors related to the labour market will be assessed. Secondly, the Law introduces priority professional directions and protected specialties. Without this measure, the first one won't be able to work. Thirdly, a permanent measure or a permanent measure provides for the possibility for state universities to carry out training in exchange for payment under certain conditions and procedures outside the admission financed by the State. Fourth, the requirement for carrying out the institutional accreditation of higher schools and the assessment of conformity with the requirements for the academic staff of a basic contract shall be introduced. That is, a member of the academic staff present and included in the accreditation may participate in the accreditation of not more than one university, instead of the possibility so far to participate in the accreditation of two higher schools. Further, it is regulated the possibility of validating admissions in newly opened professional directions and specialties for the university, I stress the newly discovered one of the regulated professions for which there is still no data for the realization of graduates. At the moment, the opening of funding for such specialties, which do not have at least one or two exits, is very difficult. In summary, I can say that the amendments and additions to the Law on Higher Education introduced by the Council of Ministers aim to optimize the mechanisms for financing higher education, depending on essential features related to its quality, on the basis of the needs of the labour market, public development and the priorities set by the National Assembly on a proposal from the Council of Ministers, in support of the quality of education and the envisaged measure for optimizing the academic staff and stimulating the construction of a new generation of lecturers and scientists. From this Law will follow, or more precisely, its application further, very specific changes and their practical application in higher schools, such as the requirement to renew the classes worn by one teacher, including students or PhD students, or students and PhD students exclusively in practical and research work at the place of current seminars, which repeat only texts and so on. In keeping with the autonomy of higher education institutions, we will have to do this further, I mean the Ministry, in close links with the Rectors Council, so that it can not be done in a piece at a separate university, but to do it together. One of the last very important opportunities that this Law creates after it passes through Parliament, with your approval, will be the possibility of optimization of the too bloated network of extensive developing universities, and from this federation or conglomeration of some with a relative direction are taken into account those departments, which are actually high rating, not the entire university, but are shortening the teachings that are duplicated so far and of which the labour market does not have anything in mind. Thank you for your attention.
ParlaMint-BG_2015-11-26.u106	And thank you, dear Minister. I think all six bills were argued by their importers. I'm opening the debate. I would like to remind you that they are conducted in parallel by the six bills. Here you are, Mr. Kenov. You were the first to ask for the floor.
ParlaMint-BG_2015-11-26.u107	Mr. Chairman, Mr. Minister, honourable colleagues! I will start with what happened in the speeches of Ms. Mariana Todorova and Prof. Todorova. Gechev said that at the end of the day what we have in front of us is that there is a screaming need for a new Law on Higher Education. That's what I shared with the minister of the last committee. First of all, there are many gaps and public relations that need to be settled in the Law on Higher Education and be entirely new. With the adopted by the 43rd National Assembly Strategy for Higher Education, which I have repeatedly referred to as the Strategy for State Higher Education only, many universities and nearly 25% of students who study in non-state universities have been missed. Some of the bills offer things that are reasonable and which we will support in the Commission between first and second readings, but we will in principle support only one of the laws of the National Representative Milena Damyanova and a group of MPs, and we will abstain on the other drafts. Disconciliation wakes up some proposals regarding the elections of rectors and vice-rectors and gives rise to an impression of predestination and interference by the legislator in the choice of a particular rector, and I will refrain from mentioning the name of the higher education institution concerned. In terms of funding, we also believe that there should be a radical change, using other countries' experience. We see that the funding for higher education is almost unchanged every year, not increasing the quality, continuing the funding of a mudguard of students and feeding state universities without the need for them in our opinion. I'll make some notes on some of the lyrics.
ParlaMint-BG_2015-11-26.u108	Philosophy, not lyrics!
ParlaMint-BG_2015-11-26.u109	The biggest problems of higher education are two: unacceptable scale of disproportion between the announced reception and the number of graduates, and the lack of any connection to the admission of students to the needs of the labour market. And now we have a much bigger reception than seniors who are graduating. Even if we talk about people who need to qualify and requalify, the disproportion between the two numbers is very high. With some of the proposals I think we need to increase the reception, we can ask the following: how much should the admission of students in Bulgaria be 75, 80, 100 thousand, 150 thousand students? How many students do we need? We generally accept the idea of colleagues from the Reformation Bloc and the Patriotic Front for Exporting Education as something positive, but we have reservations about how it is done. Is it even possible for faculties to establish units abroad without having legal personality as independent legal entities? The fact regarding the granting of more powers to the National Evaluation and Accreditation Agency is also disturbing. Additional regulation regimes are being established and we believe that some of the texts are unnecessary regulation in relation to certain activities in the work of higher schools. We'll make a proposal between first and second readings.
ParlaMint-BG_2015-11-26.u110	We have no doubt.
ParlaMint-BG_2015-11-26.u111	We believe that the possibility of working on a basic employment contract and a management contract is unnecessary, that it creates an obstacle for a part of the management of higher schools to teach, and some of the proposals lead to ambiguity that this will make it more difficult for the work on personnel insurance in certain higher schools. It is necessary for the Ministry to prepare a bill that puts on an equal footing both state and private universities. We believe that the division of private and state universities should not be done but should be seen as equal, independent from the institution in which they are trained. Thank you.
ParlaMint-BG_2015-11-26.u112	Thank you, dear Mr. Kenov. - What's the line? I won't. Next, he declared a wish to make a statement. Ivan Stankov of the ABB Parliamentary Group.
ParlaMint-BG_2015-11-26.u113	Mr. Chairman, Mr. Minister! I would like to start by saying that the academic community has long been waiting for its Higher Education Act. There are not one presented, but six whole bills in which there are good proposals, which, if they are united in a common law, I believe that we will indeed make a good, working Higher Education Law, which is what our higher education needs to be, in order not only to do so, as some journalists say: a turglue of ideas. I will only focus on some more important ones, which I think really need to get into the joint bill. First, under the Act of the Ministry of Education and Science. I think it starts with something extremely important. And my colleague before me said it was insane in our country to set a state order twice as high as the number of graduates. There should be a correction here in any case. Four indicators are proposed that I accept, but I have a particular opinion only on the realization of the footage. And I'm going to say two reasons for that. First of all, for the agrarian specialties, there is really a lower realization there, but not because there is no need for such footage, but simply the unconscious need for such footage. And the other, which is in medicine there is always 100 percent realization. There is always a shortage of personnel, but after the fifth year, a large part of the people go outside and it happens that poor Bulgaria produces footage for the rich countries in Europe. I think it is much better to take the suggestions of staff users, of the Ministry of Education and Science, of all other ministries that use this footage. I believe that instead of realising this should be done, but there is a corrective proposal that gives some priorities for certain specialties that need to be defended and that should be priority, so this is a good proposal. I think it is important to bear this in mind, and to support that a lecturer should participate in the accreditation of only one university, although it is not democratic enough, even though some principles of autonomy are being violated. I believe that this is necessary for the stage and this should be supported. The acquisition of research status of some universities is also important. It's a good offer. The funding situation has not been clarified well enough, indicating that the increase will be from 25% to 60%, but how exactly will it be? Is that 25% going to be for a rating or what? Is it going to be by the book? And the basic regulation is low and the coefficients need adjustments. So these are things you should consider. Under the Project Law, submitted by Prof. Borisov. We'll support him anyway. I believe that what is being proposed is a long-awaited and desirable solution, the granting of a right to production and commercial activity. There are different opinions that perhaps universities will start to abuse funds. I believe that this cannot happen because control and self-control in higher schools is so great that this simply will not be allowed. And this opportunity to give a scientific product and to receive funds for the students to also participate in the processes is very important. They will acquire practical skills, and this is the experience of a number of countries in the world. We also support the proposal for an educational franchise from abroad. We believe that this is a good proposal. According to the project of prof. Rumen Gechev and a group of MPs are proposing by decision of the academic board and institutes to universities, and why not the units to them, to conclude contracts and to carry out joint research work with the Bulgarian Academy of Sciences and with the Agricultural Academy. This is a good proposal because at the moment our science is so divided and everyone in their trench throws out the scarce means, so this is a good proposal. As a perfect proposal, I also find that universities with an accreditation rating over 9 will be given the right to reveal centres of excellence. This is in full compliance with the latest European documents, so we will support this proposal. The proposal to introduce basic salary regulations. That's also a good offer, but I don't know if it's really feasible. I'm a little worried that they won't allow the financial capacity of the state to happen. Not just as a good wish. I will abstain on the proposal for a two-thirds reduction to a third of the student subsidy. And I'll tell you this from my practice as Rector. We, with the state subsidy, can't even provide a fund. If we cut student fees, we can't afford the budget. At this stage, in these budgets, I believe that this is difficult to accept. There are other good proposals for art. 328, which can also be supported, so these are good proposals that are being made. On the project Velikov and Mihov, this is an extension of what Prof. Mihov offers. Borisov and we will support him. I believe that a good proposal makes Damyanova and a group of MPs. This is for student councils because there are definitely problems there. There should definitely be adjustments. In terms of mandate, this percentage of fees must also be adjusted. We give one percent of our budget, and 10% of it is taken, so I think there must be a definite change and we support these proposals. According to Slavov's project and a group of MPs, some of the things are difficult to explain and acceptable. Perhaps we will abstain, but I must tell you that this is exactly what happens in practice, as they describe it with the members of the academic groups. Yesterday we had a general meeting at which I already issued the rector's office. Exactly from our academic circles is elected Rector, so it is not wrong this proposal. My fellow Members, there are only a few more minutes left, and I would like to say a few things that are not included in the bills, but are important. It is essential in the time of information technology to change teaching and testing methods. These things aren't affected. We'll make some suggestions. A professor cannot continue in the old practice to read lectures to dozens of students because they are not mandatory, to use their old straws, not to upload the material to the university site, so these are things that we need to correct, to lay down law, because we cannot in this way conduct modern education. Students should be the active part, not the passive part, as it has been so far. So we need significant changes here. There are other things to consider. We will make them as proposals between first and second readings. I believe that we can, with all these proposals, make a good and working common law on higher education. Thank you for your attention.
ParlaMint-BG_2015-11-26.u114	Thank you, too, Professor. Stankov. - What's the line? The line is prof. Gechev.
ParlaMint-BG_2015-11-26.u115	Dear Mr. Chairman! Dear colleague Stankov, it is probably our missing that in the motives we have not explained something that is extremely important and that is why your interpretation is inaccurate from this point of view. Just because we want to cut the subsidy by a third does not mean that we will leave the university alone to compensate for these funds and that is why we have made these proposals on 16 September. Quite rightly, you say, in the hope that these funds will be included in the development of the new budget. I would like to emphasise explicitly that we would not have made a proposal for a change in the subsidy which would have already worsened the critical financial situation of universities. Our idea, I apologize, perhaps in this sentence in the motives we have not explicitly highlighted, is that the state budget takes on this difference, not at the expense of the university. And we're talking about 15 million. lv. With these billions flying up and down in new debts and that we are not implementing the EU directives on the share of education in gross domestic product, we have the potential to solve this issue, but I am using the right to reply to say that the point is not to make the university worse, but instead of the student importing these two thirds, one third to be taken over from the Bulgarian state. Thank you.
ParlaMint-BG_2015-11-26.u116	Thank you. Anyone want a second line? Here you go, Professor. Stankov, for the back.
ParlaMint-BG_2015-11-26.u117	Thank you, Mr. Chairman. I accept Mr. Rumen Gechev's line, and I think what he offers, if he fits into the motives, would be fine. I only get up to say that in the reasons you need to make some more supplements, because there are good suggestions. Along with everything else you offer, I think you should bet a little more on the material base as a factor for successful science and education, because it is not just the learning work that we are talking about, and the research product is important. We need to have a good material base especially for applied specialties, so include that in your motives and I think it will become good proposals. Thank you.
ParlaMint-BG_2015-11-26.u118	Thank you. Next statement - Assoc. Milen Mihov of the Patriotic Front Group.
ParlaMint-BG_2015-11-26.u119	Mr. Chairman, ladies and gentlemen! We are looking at several laws that affect Bulgarian higher education. Before I declare the support of the Patriotic Front for the good intentions and proposals reflected in all the bills, I must say two sentences, however, for the Bulgarian higher education. First, as illogical as it may sound, Bulgarian universities can obtain a brilliant European education for any Bulgarian youth who wants to prepare, build, qualify as a specialist, at a price much lower than in Europe. This opportunity I can argue for a long time and in detail, but this is not the place to have this argument. However, in our universities are created and there are conditions for good qualifications provided the motivation of each student. Proof of this are the successes of our Masters, PhD students who find extremely good realization the best of them, in prestigious European and world universities. However, our higher education is in fierce competition not only within the country, not even within the European Union, but we can tell the limitless limits of education and science in the world. We have seen in recent years how not only European but also non-European countries from the East and from the West offer extremely tempting conditions for training our students and candidate students. In this sense, we are faced with serious challenges that are behind the financing of higher education abroad, incomparablely large in relation to ours. On this basis, our legislative activity should be aimed not only at reforming the legal conditions, the structure, the scope and volume of the Bulgarian universities, but, above all, at an active policy to protect and stimulate our universities. In this direction, the question of financing the Bulgarian universities is essential in our view. There's only two questions I'd like to address here. It is important that the transition from what is called the funding of mudguards to another funding model. The thesis is generally accepted that this should be done taking into account the quality of Bulgarian higher education. But I continue to have deep reservations that if we understand the quality only and only as equal to the rating that is now being made, we will make significant mistakes. We cannot mention that, for example, the criterion of realization is objectively impossible to apply to all universities and regions, because in this principle the most leading higher education institution is the Military Academy, because 100% of the graduates of the Military Academy find realization. We cannot apply purely the statistics on salary and insurance received from the same direction in different universities, because our statistics have shown that wages in Silistra are twice lower than those in Sofia of the same specialists. That is what we should bear in mind when we formulate the criteria and legislative frameworks in this direction. It's a good idea for the Ministry to create protected specialties. Here we must approach extremely carefully and with responsibility for the needs not only in the labour market, but also in the public needs of the state and society. Next, I would like to refer to an important issue that my colleagues have addressed before me for the participation of lecturers in the accreditation of two or one universities. The change that is being proposed must be considered very carefully.......................................................................... The logical argument is that this will reduce traveling professors, but they are not the teachers who work in two places. Traveling professors are those who write that they work in three, four and five places and actually do no teaching work, but applying this principle creates a disproportion. The colleague speaks of equal relations between private and state universities. I don't want to oppose them, but in art. 36 of the Higher Education Act states that private universities can have another structure, not that regulated, firm for state universities. Under these conditions, the Law states that state universities should have, for example, 40 academic faculty teachers to have a faculty, but for private universities this may also be in other respects. Now the Act in force requires state universities to work with many lecturers, to provide expensive, we can say, educational process. If we remove the Order for the two accreditation places, we risk.. and we have to say this openly, to question the existence of specialties and even major units in extra-capital universities. The logic that by shortening those specialities and units there, students will come to the capital and will receive a better education here is a logic that can be questioned because in the current social characteristics we risk those students not getting into a higher education facility at all. Finally, I would like to say two words on the issue of attracting students to Bulgarian higher schools outside the borders of Bulgaria. We continue to view our higher education system as closed only within the borders of Bulgaria. In the Higher Education Strategy, we have recorded that the state will work actively to attract students from the European Union, from the Bulgarian communities in third countries. This is an important issue on which we are lagging behind our partners, friends and colleagues from the European Union, but also from the Balkan countries. The problem for students, for the youth of the world, is a global problem and we must compete with all our competitors, preserving, preserving and continuing the traditions of Bulgarian higher education. Thank you.
ParlaMint-BG_2015-11-26.u120	Thank you, Mr. Mihov. - What's the line? I won't. The People's Representative Mariana Georgieva of the DPS Parliamentary Group has the floor.
