ParlaMint-FR_2019-02-15-O1151.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1151.u189	I cannot but disagree with what Mr Le Fur has just said. These amendments are, in a way, always the same. You know my position on the subject, and I will not repeat the argument I have already presented. However, I would not want my position to be interpreted as a regression. I will repeat what I said earlier to Mr Acquaviva: if you do this, and that is what you did, Mr Le Fur, you are not serving the cause you are defending. There are advances; I have mentioned them. If I took the time to respond to previous interventions, that is precisely why. What I said about high school is extremely important, and what the Prime Minister did in Brittany too. However, on this and other issues, temporality must be taken into account. For example, it is important to get a consensus from the mayors of Brittany, you should not disagree. We are thus certain to achieve something that corresponds to an overall vision. So there are openings, and what I said about immersive teaching is one: it is an opening to objectivation. Let us look, let us object, without contenting ourselves with the opinions we can have on these issues, and let us move forward. It is thus indisputable that achievements in regional languages were achieved during 2018-2019. To deny it, first of all, it is to cultivate this pessimism which, in my opinion, engages us in the vicious circle of decline: I do not think that this is a good thing, I think it is on the contrary optimism that will give vitality to the regional languages. Secondly, it is not in keeping with the truth. Thirdly, it is to cultivate the feeling that every time you do something that goes in the right direction, it is not recognized, that it creates frustration rather than joy. Now, I'm telling you from the office I'm in, it's a problem. We are constantly making progress on the subject, and these advances are never recognized. I checked it recently again by reading a certain regional press. The day after we agreed to create a specialty education in the regional language, which is a considerable achievement, the articles published in this press speak of something else, so that we can explain that there is a hindrance! For me, this kind of process does not advance the cause. This creates unnecessary tension and opposition, when we all stressed from the beginning that the cause of the French language and that of the regional languages were one and the same cause. Moreover, this does not really encourage a dialogue logic, since the achievements are never recognized. Perhaps you will have the impression that we are systematically opposed to the amendments that will follow. But in reality, it is always the same amendment, presented in different forms. I have already argued with you the position of the Government. Let us not go out of consideration of a text that initially did not deal with this subject by saying that there is a setback on regional languages, after all that has been done in recent months and weeks, including by the Prime Minister recently. [[Applause on a few benches of the LaREM group]] I'll say less later. However, it was extremely important to have this debate. You were right, both of you, to stress the quality and importance of it. The unfavorable opinion I have on these amendments must therefore not be misinterpreted.
ParlaMint-FR_2019-02-15-O1151.u190	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1151.u191	Mr.Minister, we hear what you're saying, but where there's a difference between us is that – Mr.Le Fur referred to it a few moments ago – we have the impression that there is no real progress on this issue. Of course, you're right, sometimes there have been small ones. But the stake is considerable, and it also has a temporal dimension: in other words, there is fire at home! The number of speakers of regional languages is decreasing, including in territories where it was historically extremely high. When we say that there is an urgency, it does not mean that we believe that nothing has been done, it is rather that we believe that what has been done is not up to the challenge. If we do not do more, sooner, soon, the regional languages will no longer be modern languages but dead languages! That is what we absolutely want to avoid. [[Mr. Marc Le Fur applauds]] We will have this debate again when the text to create a European community in Alsace is discussed. We will also make a number of proposals on this occasion to move faster and further, without asking the State for additional resources. However, the Government does not take up the proposals that we are making, although they would cost the State nothing, but would do better, faster, so that our regional languages will flourish – because it is a wealth for the whole of France.
ParlaMint-FR_2019-02-15-O1151.u192	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2019-02-15-O1151.u193	I would like to speak again, because I understand that the minister presented his argument for the last time and that the debates would subsequently be much more synthetic. You're talking about victimization, but we're not in that posture: we're in a combat posture, a fight for life. This has nothing to do with it. Why this combat posture? Because the debate that we have today stems from the contrast between, on the one hand, your willingness – laudable – to promote foreign languages, through local international institutions and proactive policy in this area, and, on the other hand, your speech on regional languages. You say that there has already been progress, but that, you understand, it poses legal problems... But you have understood that there is work to be done on this legal interpretation of immersion, in a context where immersive teaching already exists. And then, why do you insist so much on progress? That's because you know the weight of dogma. You're talking about victimization, you're sorry that there's a crackdown, press articles in support. But you must understand that this crisis comes from the weight of dogma, which is omnipresent, and has always been so: every time we have made progress in regional language, this progress has not been followed by any effects, for lack of means in the public service! The generalization of the teaching of Corsican kindergarten to university is enshrined in the law of 22 January 2002 on Corsica. And yet, there are not enough positions open to competitions or teacher training in this area. Why? Because of the weight of the dogma! And it is still felt today in this House. [[Applause on several benches in the LR group. – Ms Sandrine Mörch, Ms Sophie Mette and Mr Paul Molac also applaud]] [[Applause on the benches of the LR group.– MM. Yannick Kerlogot and François Pupponi also applaud]] Why so much passion, minister? Because this is not about creating a tax or regulating activities in a natural site. It's about the deep identity of people, a color of skin. My tongue is my skin color. I dream in Corsica, I speak in Corsica, I make poems in Corsica – and because I love Corsican poetry, I also like French poetry. When you touch deep identity and skin colour, you touch fundamental freedoms. Small technical advances are good, but if one is reduced to folding the handkerchief in twenty-eight, it is because we are dealing with a gas plant, and this is because of a status problem.
ParlaMint-FR_2019-02-15-O1151.u194	Thank you, my colleague.
ParlaMint-FR_2019-02-15-O1151.u195	[[Applause on the benches of the LR group. – Mr. Paul Molac also applauds]] This status needs to be clarified.
ParlaMint-FR_2019-02-15-O1151.u196	Mrs Nicole Sanquer has the floor to support Amendment No. 1081.
ParlaMint-FR_2019-02-15-O1151.u197	Defendant.
ParlaMint-FR_2019-02-15-O1151.u198	I have before me a number of amendments, Nos 480, 43, 430, 41, 91 corrected, 931, 217, 281, 420 and 606, which can be discussed jointly. Amendments Nos 43 and 430 are identical, as are Amendments Nos 91 and 931 and 217, 281, 420 and 606. Mrs Nicole Sanquer has the floor to support Amendment No. 480.
ParlaMint-FR_2019-02-15-O1151.u199	The aim of this amendment is to make the teaching of a regional language compulsory where it is in use. In French Polynesia, cultural education is compulsory for two and a half hours a week, and it includes learning a Polynesian language. However, each territory enjoys specific characteristics that reflect the French cultural richness. In addition, the promotion of regional languages would promote the plurilingualism of young people.
ParlaMint-FR_2019-02-15-O1151.u200	I call Mr Patrick Hetzel to support Amendment No. 43.
ParlaMint-FR_2019-02-15-O1151.u201	The aim of this amendment is to ensure the educational continuity of families and to guarantee them a right, which their child will have access to the regional language throughout the school curriculum. To this end, it is planned to add two articles to the Education Code. The first would read: "Regional language is a subject taught as part of the normal schedule of nursery, elementary and secondary schools. The second would provide that "Parents who have expressed the wish for their children to receive instruction [in the regional language] and who cannot find it in a public institution sufficiently close to their home may apply to the Academic Council for Regional Languages", so that there is a body dealing with these issues. This subject, too, comes back very regularly in regions where educational continuity is not ensured, even though this teaching exists. The question of his territorial organization therefore arises, Mr. Minister; Hence our idea of appealing, in case of difficulty, to the academic council of regional languages. The matter could thus be clearly identified and debated in the relevant bodies.
ParlaMint-FR_2019-02-15-O1151.u202	I call Mr Le Fur to support Amendment No. 430.
ParlaMint-FR_2019-02-15-O1151.u203	I do not deny your efforts, minister: now, as I have noted, it will be possible to study a regional language in more than two foreign languages of his choice. But, to be clear, this is in no way progress: it is the current situation, which will remain with the reform of the baccalaureate. That being said, we can congratulate ourselves. Our ultimate goal is not to be marginalized. We only want to be treated like others! However, major developments since the 2008 constitutional review under Sarkozy's presidency have been refused – thanks to those who had taken the initiative. It was envisaged to promulgate the European Charter for Regional Languages, an intention which remained a dead letter when it was adopted by most European countries. We will also be able to see in the next debate on Europe that France is lagging behind. With this amendment, I propose something simple and concrete. Don't marginalize us! If you do not grant us any concessions, those who cry loudly, caricaturing and exaggerating, will prevail. And they may have other objectives than regional languages, objectives that we reject. We want a real debate on regional languages, a debate that is not confiscated by a few marginal elements, a debate that leads to concrete and positive measures. This quinquennium, Minister, offers us the possibility: if we do not grasp it with this text, when will we do it? If you're doing like the socialists, knowing nothing for five years,...
ParlaMint-FR_2019-02-15-O1151.u204	[[Laughs]] You'll end up like us!
ParlaMint-FR_2019-02-15-O1151.u205	From three hundred on leaving, the Socialists have returned here to thirty, I remind them in passing.
ParlaMint-FR_2019-02-15-O1151.u206	We're moving away from the subject, Mr. Le Fur, and you're coming to the end of your speaking time.
ParlaMint-FR_2019-02-15-O1151.u207	In Brittany, they had twenty-four elected officials and no longer have one.
ParlaMint-FR_2019-02-15-O1151.u208	[[Smile]] That's good arguments!
ParlaMint-FR_2019-02-15-O1151.u209	Concrete arguments, Mr. Pupponi...
ParlaMint-FR_2019-02-15-O1151.u210	I call Mr Patrick Hetzel to support Amendment No. 41.
ParlaMint-FR_2019-02-15-O1151.u211	The aim is, in the same vein as before, to specify that, within the geographical areas concerned by regional languages, regional languages and cultures will be taught throughout the course of schooling when requested by the parents. As I stressed in defending the previous amendment, territorial continuity is indeed a real subject. We are fully aware that the question is not simple, minister; But the progress you are talking about does not go far enough in our eyes, as Mr Acquaviva noted, and as our fellow citizens tell the representatives of the nation that we are. You are very attached to the performance indicators, and in this case, the only one that we believe is the number of speakers: is it increasing? It must be noted that, on the contrary, it is declining inexorably. We will therefore have to find a way to reverse this curve, as we wish, and that will not be possible without massive action.
ParlaMint-FR_2019-02-15-O1151.u212	On identical amendments Nos 91 and 931 I have a request from the Libertés et Territoires Group for a public vote. The vote is announced in the National Assembly. I call Mr Le Fur to support Amendment No. 91, as corrected.
ParlaMint-FR_2019-02-15-O1151.u213	Patrick Hetzel said it well: time is short. We are losing speakers and, since transmission is weak within families, the school must take care of it. This is a major issue in several regions, including the one I know well, Brittany. If we do not act, regional languages are condemned to a slow death: it is programmed. Therefore, let's avoid it. During his visit to Brittany, the Prime Minister made commitments on regional languages. The press may have sketched them a little, as usual, but they were welcomed very positively; At the end of our discussions on this text, we will have to see that they do not find any translation. Yet they were taken no later than last Friday. [[Murmures on a few benches of the LaREM group]] At the very least, Minister, I would like to see some developments, which would give credit to the word of the state. I believe in the state; But if one cannot rely on his words on such sensitive subjects, you will understand that this is a problem. The relationship between Paris and Brittany is complicated, it is not new, but it is precisely for this reason that the words must be simple, clear, audible and, in this case, respectful of commitments made publicly.
ParlaMint-FR_2019-02-15-O1151.u214	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 931.
ParlaMint-FR_2019-02-15-O1151.u215	It is intended to supplement article L. 312-10 of the Education Code by adding to the teaching of regional language and culture and bilingual education immersive teaching, without prejudice to full mastery of the French language. This, in our view, is an important and necessary step forward to combat the erosion of the number of speakers and to generalize a practice that has produced results, not only for plurilingualism and the preservation of languages, but also for academic success as a whole.
ParlaMint-FR_2019-02-15-O1151.u216	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2019-02-15-O1151.u217	It is based, Mr President, on Rule 58(1). I want to point out a problem on the way this meeting is going. While President Le Fur was speaking, we saw an authoritative person arriving in the La République group on the move, Mrs de Montchalin not to name her, and who threw us at the cantonade: "And you are wasting time on us. »
ParlaMint-FR_2019-02-15-O1151.u218	Yes!
ParlaMint-FR_2019-02-15-O1151.u219	[[Applause on the benches of the LR group. – Protests on the benches of the LaREM group]] It's pretty amazing! That the Group of the European People's Party does not vote for these important amendments is one thing, but that its representatives thus express their contempt is another. It's definitely not up to the stakes we're talking about.
ParlaMint-FR_2019-02-15-O1151.u220	Your point of order, Mr. Hetzel, has been duly noted on these points which have not reached my ears.
ParlaMint-FR_2019-02-15-O1151.u221	Yet they were pronounced by someone who was authoritative in the group!
ParlaMint-FR_2019-02-15-O1151.u222	I thank you for your judgments on colleagues who are authoritative or not, but we should keep them in public. These judgments, we could also issue them on the Republican Group, and that could be a question.
ParlaMint-FR_2019-02-15-O1151.u223	I call Mr Molac to support Amendment No. 217.
ParlaMint-FR_2019-02-15-O1151.u224	It aims to avoid any accounting vision of the teaching of regional languages, to the benefit of their educational purpose: to ensure that children leaving CM2 have a mastery equivalent to that of the French language. I say "equivalent", but it is quite obvious that they will continue to have a better command of the French language for various reasons. I would like to reassure everyone on this point: students who leave immersion schools, where learning in the regional language is more important than in the French language, achieve above-average results in all assessments. This is proof that the formula works, not only for regional languages, but also for French. We are looking at a text on the school: the teaching of regional languages is therefore an integral part of it. I am in favour of a specific law on these languages but, for a reason I do not know, the majorities and successive governments do not seem inclined to do so. In this respect, of the fifty or so texts tabled on the Bureau of the Assembly, only two were discussed: one of which I was the author, my group then allowed me to put it on the agenda, and a second which, voted at the time by the Socialist Group, was lost in the limbos of the parliamentary shuttle. Beyond the words, the question asked is simply that of the effectiveness of Article 75-1 of the Constitution. What you are referring to, in fact, are decisions that, for the most part, date back to 2001, when associative schools were recognized: no account is taken of the constitutional revision of 2008, article 75-1, which obliges the State to safeguard our linguistic heritage.
ParlaMint-FR_2019-02-15-O1151.u225	Mr Gilles Lurton has the floor to support Amendment No. 281.
ParlaMint-FR_2019-02-15-O1151.u226	It is the same as Mr Molac, who defended it very well.
ParlaMint-FR_2019-02-15-O1151.u227	I call Mr Le Fur to support Amendment No. 420.
ParlaMint-FR_2019-02-15-O1151.u228	I fully agree with what has just been said by Mr Molac. Our supreme text, the Constitution, contains provisions that must be translated into ordinary law. Everything we could vote for, let us also recall, will in a way be crushed by the mill of the decree, whose instructions further reduce the content. I would add that our excellent rectors and other academic officials are also, at times, trying to reduce the scope of measures relating to regional languages. So what I want, Minister, is a real ambition in this area. In your remarks, moreover, sometimes sees the possibility of an evolution. One more effort!
ParlaMint-FR_2019-02-15-O1151.u229	I call Mr Reiss to support Amendment No. 606.
ParlaMint-FR_2019-02-15-O1151.u230	[[Mr. Marc Le Fur applauds]] With these identical amendments, we wish to supplement Article L. 312-10 of the Education Code, concerning regional languages. The ability to speak a regional language, I want to say loud and clear, does not in any way prejudice that of French, on the contrary.
ParlaMint-FR_2019-02-15-O1151.u231	What is the opinion of the committee on all these amendments?
ParlaMint-FR_2019-02-15-O1151.u232	Unfavorable.
ParlaMint-FR_2019-02-15-O1151.u233	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u234	I will not repeat my argument, as these amendments are similar to the previous ones. We had a rich, serious and dignified debate. It may have been necessary, but I would not like to see the bill as a whole, when all of the issues appear to have been addressed, to suffer: I call on everyone to be responsible on this point. I just want to go back to Mrs Sanquer's speech because, although there has been a lot of talk about Breton and Corsica, it seems to me important to have a complete vision of the Republic, so to speak about the ultramarine territories: it is also the former President of Guyana who tells you that. Some languages are indeed threatened; National education leads policies to address this, rightly, is not a long time ago and will continue to do so. It seemed important to me not to forget this, for example, with regard to the Amerindian languages, so present in Guyana, but also Creole languages, Polynesian languages, in a word of all the languages that we must promote overseas. No one today intends to combat regional languages: let us not act as if it were, it would be neither correct nor useful. I will not stop repeating it because, if we do not have to play the game of extremes, Mr Le Fur, I am not sure that we do not fall into this by caricaturing what the state does. [[Exclaims on a few benches in the LR group]] On the other hand, my positions seem a little below those expressed yesterday by a person who, to paraphrase Mr Hetzel, has some influence in your group, I am referring to Mrs Genevard. I therefore do not believe that you are in a position to criticise the matter.
ParlaMint-FR_2019-02-15-O1151.u235	This one is unanimous in our group!
ParlaMint-FR_2019-02-15-O1151.u236	However, it seemed to me that yesterday I heard things that are not exactly in that direction. In any case, they went no less than what I myself say, with regard to the vigilance that we must keep on the principle of equality, on republican principles in general and on the strength of the French language. On this and other issues, each has to take responsibility. At a time when the Prime Minister spoke as he did, which is a step forward, at a time when the reform of the baccalaureate offers a favourable context – I do not repeat everything I have explained on these subjects, which is not just what you said earlier – let us not caricatur the positions: let us be attentive to all these signs of openness, which will continue to manifest themselves, at the pace I have indicated. Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u237	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-15-O1151.u238	Minister, I admit I have a little difficulty understanding your logic and your strategy. Everyone knows that our Republic, when it had to be built, wanted to impose French at the expense of regional languages. It's a historical reality. Perhaps this was justified at the time; In any case, that is what has been done. Today, therefore, the Republic has a moral duty towards these languages. I am not saying that nothing is being done in this regard, on the contrary: I agree with you that significant progress has been made over the years. They may not be enough, but in this case we are all collectively responsible for them. With regard to the text under discussion, it would be a shame for this text and for yourself that the interesting debate that we have had for several days has led to nothing but what is contained in the bill. Adding three sentences to the article of the Education Code on regional languages and saying that the Government will submit a report on the subject does not seem sufficient to me given the importance of the text. We should be able to agree, if necessary during a sitting suspension, that one or two amendments which do not upset the balance of the text should be adopted...
ParlaMint-FR_2019-02-15-O1151.u239	Yes!
ParlaMint-FR_2019-02-15-O1151.u240	...so that this text, which you say is essential for national education, speaks better of regional languages: it is symbolically important.
ParlaMint-FR_2019-02-15-O1151.u241	There's a man of experience!
ParlaMint-FR_2019-02-15-O1151.u242	That's the minister's little step-by-step policy!
ParlaMint-FR_2019-02-15-O1151.u243	[[Applause on the benches of the LT group as well as on several benches of the LR group and some benches of the LaREM group. – Ms. Josette Manin also applauds]] That is all we are asking for: for symbolic reasons, a political gesture in the Chamber. This will be a further step forward. And if we succeed, not only will it be seen as positive, but we will have done useful work in this place so important to the Republic.
ParlaMint-FR_2019-02-15-O1151.u244	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1151.u245	[[Sophie Mette applauds]] I agree with Mr. Pupponi. Indeed, the Group of the Democratic and Related Movement is divided: if one part of us is sensitive to the minister's argument, another has the regional fibre that corresponds well to the identity of MODEM. We therefore want an additional guarantee in this regard: municipalities should be further encouraged to provide for the teaching of regional languages and the Government should show its willingness to promote and enable the use of regional languages as much as possible.
ParlaMint-FR_2019-02-15-O1151.u246	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-15-O1151.u247	The Group of the European People's Party will vote against these amendments. The debate must move forward; We call you very respectfully.
ParlaMint-FR_2019-02-15-O1151.u248	The troops must be mobilized!
ParlaMint-FR_2019-02-15-O1151.u249	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-15-O1151.u250	Mr President, I am asking for a suspension of the sitting so that we can have a discussion with the minister.
ParlaMint-FR_2019-02-15-O1151.u251	The meeting was suspended.
ParlaMint-FR_2019-02-15-O1151.u252	The meeting was resumed. The Minister has the floor.
ParlaMint-FR_2019-02-15-O1151.u253	I would like to reiterate the interest and importance of the debate that took place before the sitting was suspended. I would like us to live it as a stage of a multifaceted progression in regional languages. I would also point out that the number of students studying these languages is constantly increasing. I repeat, this progress should encourage the advocates of the various regional language learning schemes to cultivate a positive optimism. Why point out a so-called regression when it comes to progress? Today, 300,000 students study regional languages, which, if threatened, are not through school. Rather, it is the extracurricular, societal and cultural policies that should be further examined. [[Applause on several benches of the LaREM group]] Finally, the President of the Republic and the Prime Minister have made commitments, which you rightly recalled. A few days ago, the Prime Minister proposed a process in Brittany, which will open with the consultation of the CTAP. I remain faithful to my line on these consultations: the state respects them, enters without a priori and listens to the different points of view. If this concertation produces a result that is consistent with the purpose of your amendment, we will amend this result when we discuss it in the Senate, in accordance with the Prime Minister's commitment. This method seems to me to respect both the Prime Minister's commitment, the elected representatives, the consultation, and the republican and democratic logic. That's the commitment I'm making to you. I therefore ask you to withdraw your amendments.
ParlaMint-FR_2019-02-15-O1151.u254	Mr Marc Le Fur has the floor.
ParlaMint-FR_2019-02-15-O1151.u255	The exchange that we had during the sitting suspension, Minister, seems to have borne fruit. To sum up your remarks, the necessary legislative framework for regional languages will not be included in the text that will come out of the Assembly, but in the text that will be definitively adopted at the end of the parliamentary journey. That goes in the right direction. This integration will take place after the consultation of the CTAP, which was planned, and will require the municipalities, if the consultation is positive – its opinion will obviously not be unanimous, but one may think that the majority will be in favour – to support the education of a child residing within its perimeter, even if it is carried out in another municipality, whether in the public, private or voluntary network. This is exactly what appears in the agreement reached last Friday between the Prime Minister and the President of the Brittany region. [[Smile on a few benches of the LaREM group]] I am not making a trial of intent for you, I have never made this logic, so I am holding back the solemn and positive commitment that you have just made to the whole House. I would have liked this framework to be incorporated into the text from the first reading in the National Assembly, but we are used to the meagre in our campaigns. Yes, ladies and gentlemen, we are taking what is happening, but I do not want to undermine the point you have just made, Mr Minister, because it differs profoundly from your original position.
ParlaMint-FR_2019-02-15-O1151.u256	Absolutely not!
ParlaMint-FR_2019-02-15-O1151.u257	Your evolution is positive.
ParlaMint-FR_2019-02-15-O1151.u258	Mr Yannick Kerlogot has the floor.
ParlaMint-FR_2019-02-15-O1151.u259	Regional languages have occupied an important time in our discussions this morning. I welcome the position of the Minister, who has shown his willingness and commitment to submit to the vote of parliamentarians, at the end of the legislative process, a provision obliging the mayors of the communes of residence to pay the school pass to the municipality of reception, for bilingual schools, public, private and associative, as my colleague Le Fur has pointed out. This is a real step forward, which I wanted to stress and which I welcome.
ParlaMint-FR_2019-02-15-O1151.u260	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-15-O1151.u261	I can hear what the minister said. As Mr Kerlogot has just said, we support this progress. Not all regions will necessarily ask for this scheme, which will require flexibility. My amendment No 220, which will be discussed later, can very well be amended to take account of the wishes of local authorities, in particular the regions, and the opinion of the CTAP. This normative framework is a legislative rather than a regulatory one. It must therefore be included in the law.
ParlaMint-FR_2019-02-15-O1151.u262	The minister said it!
ParlaMint-FR_2019-02-15-O1151.u263	[[Murmures on a few benches of the LaREM group]] If the Senate succeeds in correct and positive drafting, we will be very happy to adopt it. If this is not the case and, as you know, we can no longer propose amendments to the additional article for further reading, then we should rely on you, Minister; you would have to propose a piece of legislation that would satisfy all of us. Indeed, the Prime Minister has signed an agreement with the Brittany region which binds both parties. The regional advisers unanimously ratified it. It is absolutely necessary to achieve a regime that allows us to move forward, otherwise the regional councillors, of whom I am, will feel blurred, which will create a political problem When I say political, I hear it in the sense of the city's life. You have to be clear...
ParlaMint-FR_2019-02-15-O1151.u264	Yes!
ParlaMint-FR_2019-02-15-O1151.u265	...to avoid trouble afterwards.
ParlaMint-FR_2019-02-15-O1151.u266	I put to the vote identical amendments Nos 91 and 931.
ParlaMint-FR_2019-02-15-O1151.u267	The result of the vote is as follows: Number of voters 62 Number of votes cast 52 Absolute majority 27 For adoption 14 Against 38
ParlaMint-FR_2019-02-15-O1151.u268	Amendment No 445 by Mrs Nicole Sanquer is being defended.
ParlaMint-FR_2019-02-15-O1151.u269	Amendment No 260 was defended by Mr Le Fur.
ParlaMint-FR_2019-02-15-O1151.u270	Amendment No 259 was defended by Mr Le Fur.
ParlaMint-FR_2019-02-15-O1151.u271	I have before me four amendments, Nos 92, 933, 84 and 932, which can be discussed jointly. Amendments Nos 92 and 933 are identical, as are Amendments Nos 84 and 932. I call Mr Le Fur to support Amendment No. 92.
ParlaMint-FR_2019-02-15-O1151.u272	Defendant.
ParlaMint-FR_2019-02-15-O1151.u273	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 933.
ParlaMint-FR_2019-02-15-O1151.u274	We will, however, prolong this debate somewhat, because the question of all the regional languages must be placed at a political level, even if it is normal for exchanges to take place on the role of the CTAPs and guarantees of promotion and protection. That this discussion has at least the merit of moving ideas forward, in order to achieve a robust and clear status. Even if progress has been made, it is a matter of going further. We propose that article L. 312-11 of the Education Code provides that teachers are invited to integrate regional languages and cultures into their teaching in order to promote their transmission and knowledge, and to use them for the acquisition of the common foundation of knowledge, skills and culture, in particular for the study of the French language.
ParlaMint-FR_2019-02-15-O1151.u275	I call Mr Le Fur to support Amendment No. 84.
ParlaMint-FR_2019-02-15-O1151.u276	There is no contradiction between learning a regional language and mastering the French language. My parents did not speak French at home and learned it at school, but, believe me, they perfectly mastered the rules of agreement of past participants, sometimes forgotten on national radios and even in our hemicycle. Mastering several languages at a young age and having several mother tongues are assets.
ParlaMint-FR_2019-02-15-O1151.u277	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 932.
ParlaMint-FR_2019-02-15-O1151.u278	Defendant.
ParlaMint-FR_2019-02-15-O1151.u279	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 874.
ParlaMint-FR_2019-02-15-O1151.u280	Article L. 312-11-1 of the Education Code states that "The Corsican language is a subject taught within the framework of the normal schedule of kindergartens and elementary schools in Corsica". This amendment proposes to insert the words "as well as secondary schools" after the word "elementary", in order to guarantee and sustain the teaching of the Corsican language in secondary school and high school, with the current law referring only to kindergartens and elementary schools. This qualitative leap seems to us important and augurs well for the future.
ParlaMint-FR_2019-02-15-O1151.u281	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 950.
ParlaMint-FR_2019-02-15-O1151.u282	It aims to make it possible to organize, on a timely basis – I insist on this adverb – in Corsica, as necessary, a fully bilingual competition for the recruitment of teachers from schools. This guarantee, once again, aims to ensure the implementation of the Lingua 2020 plan, adopted by the Assembly of Corsica, by laying the foundations, in terms of human resources – this is the obligation of means to which I referred –, a genuine bilingual educational system, unanimously desired by the Assembly of Corsica and by the mayors, and very much by the population. A report by the President of the Executive Council of Corsica, adopted on 27 January 2017 after deliberation by the Assembly of Corsica, highlighted the need to organise bilingual recruitment competitions for teachers in schools. We must meet the obligation of means to implement the provisions of the texts. The adoption of this amendment would represent a positive signal of the nature of those whom François Pupponi expressed earlier.
ParlaMint-FR_2019-02-15-O1151.u283	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u284	Unfavorable.
ParlaMint-FR_2019-02-15-O1151.u285	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u286	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u287	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2019-02-15-O1151.u288	I understand that we cannot spend too much time on this amendment, but I would like more detailed explanations.
ParlaMint-FR_2019-02-15-O1151.u289	I have before me four identical amendments, Nos 216, 282, 422 and 608. I call Mr Molac to support Amendment No. 216.
ParlaMint-FR_2019-02-15-O1151.u290	It aims to gradually generalise the proposal for the teaching of the regional language in schools. As long as the number of speakers remains insufficient, the language will not be able to continue. Students do not speak it, but do not understand it either, which obliges everyone to speak in the only understood language, often French. On the other hand, out of a sample of more than 8000 inhabitants of Brittany, surveyed by the region, 40% of adults of child-bearing age request that they be able to learn Breton at school. As the proportion of speakers does not exceed 6 to 7% – an optimistic estimate – the margin of progression is significant.
ParlaMint-FR_2019-02-15-O1151.u291	Mr Gilles Lurton has the floor to support Amendment No. 282.
ParlaMint-FR_2019-02-15-O1151.u292	I would simply add to Mr Molac's remarks that, for some children, it is very difficult today, given the shortage of places, to enrol in schools where they would like to do so, which prevents them from learning the language of their choice.
ParlaMint-FR_2019-02-15-O1151.u293	I call Mr Le Fur to support Amendment No. 422.
ParlaMint-FR_2019-02-15-O1151.u294	Defendant.
ParlaMint-FR_2019-02-15-O1151.u295	I call Mr Reiss to support Amendment No. 608.
ParlaMint-FR_2019-02-15-O1151.u296	I fully agree with the arguments that have just been developed in the context of defending these identical amendments. I take this opportunity to express my concern about section 17 of this bill, which provides for the authorization of the Government to proceed with the redistribution of academic constituencies through ordinances. I am concerned about the possibility of pursuing a dynamic policy on bilingualism and regional languages in the academies concerned.
ParlaMint-FR_2019-02-15-O1151.u297	Mr François Pupponi has the floor for a point of order.
ParlaMint-FR_2019-02-15-O1151.u298	For my part, I am a little concerned about the progress of our debates. Some 470 amendments remain to be considered in just a few hours. At the rate we are going, we will not complete our work until the end of the night. However, if I understand correctly, the House will be closed tomorrow for security reasons – even if I do not know at what time we will have to leave the place.
ParlaMint-FR_2019-02-15-O1151.u299	Six o'clock in the morning!
ParlaMint-FR_2019-02-15-O1151.u300	Mr. President, how can I do that? Could we reach an agreement to move forward a little faster on some issues?
ParlaMint-FR_2019-02-15-O1151.u301	Once the regional languages are debated, we will move forward faster!
ParlaMint-FR_2019-02-15-O1151.u302	Mr Pupponi, I take note of your point of order. I would point out that there is more than one hour of debate before the adjournment of the sitting. We will have another five hours of sitting this afternoon and three and a half hours this evening. I propose that we move forward in the next hour. At 1 p.m., the group chairmen will meet to determine how they envisage the continuation of our discussions.
ParlaMint-FR_2019-02-15-O1151.u303	Mrs Elsa Faucillon has the floor to support Amendment No. 907.
