ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u1	The sitting is open (9.31 a.m.). The Minutes shall be read.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u45	Senator Mollame is enlisted to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u46	Mr President, members of the Government, ladies and gentlemen, this measure represents a milestone in the history of our Republic, an act that directs us towards a positive trend of confidence growth in the state. We can say that trust is the basis of civil life, politics, the economy and every social structure. I will read below about the considerations that are not mine: Ladies and gentlemen, public opinion does not have much sympathy and confidence for Members at this time. There is an atmosphere of suspicion and discredit, the widespread belief that many times the exercise of the parliamentary mandate can serve to mask the satisfaction of personal interests and become a business, a profession, a trade. These words were not spoken by a colleague of our Movement, but by Piero Calamandrei, jurist, anti-fascist, partisan and deputy elected with the Action Party to the constituent Assembly. You may have heard them before, but they sound more current today than ever before, even though they were spoken in 1947. The Constitutional Assembly then decided to sanction the right to a parliamentary allowance by Article 69 of the Constitution. At the dawn of the Italian Republic, paying parliamentarians was considered a decisive factor of independence and democracy, aimed at allowing even the least well-off classes to participate in political life. Without exaggeration, in view of the dramatic situation in the country, an allowance of 25,000 lire was provisionally fixed in June 1946. But inflation was such that, in February 1947, it had to be brought to $30,000; in September to $50,000, raising the attendance token to $3,000 a day (half value for residents in Rome). Article 69 of the Constitution was first implemented by the Law of 9 August 1948, n. 1102, of the De Gasperi Government, which structured the parliamentary allowance into two separate items: the first consisting of a fixed monthly fee of 65.000 lire; the second by a daily fee, for reimbursement of expenses for the participation in the sessions, the amount of which was assigned to the special resolution of the offices of Presidency of the respective Chambers, taking into account the residence or not in the Capital of each member of Parliament. Translated today: 1,230 euros fixed plus a token of 100 euros scarce per day linked to the actual presence. By removing weekends, Mondays and Fridays - days when calls were and are rare - the figure amounted to no more than 2,500 euros per month. Both emoluments were tax-free. That the air would soon be changed is demonstrated by a law issued by the Segni Government in 1955 with provisions for travel concessions on the State Railways, designed to guarantee the exercise of the popular mandate. The virtuous attitude lasted little. The labors of an Italy destroyed by war and impoverished were gradually forgotten. Since 1955 the progressive increase of allowances and refunds has begun. We experienced periods of economic growth and there was also such a process. The economy, employment, production and wealth of all of us Italians grew. Then, in the eighties - ahinoi - also the public debt to continue to support an economic growth that was already gone. With the fall of the Berlin Wall, the course of history changed again and changed the indices of economic growth of our Italy. At the end of 2008, the economic and financial storm arrived. They saw the light of the first fearful attempts to contain the costs of public spending and also of politics that had become uncontrollable and uncontrollable, costs that were no longer following the course of history. Many proposals and attempts to cut spending and the number of Members. For more than a decade, just words. Today we are serious and no one can and must doubt it. Today we are working for a more streamlined and more efficient Parliament. [[Applause from the M5S Group]] , closer to the citizens and sharing with them the difficulties of a period from which it will come out with the reconstruction of the relationship of trust between those who govern and those who are governed. We are aware that the overall budget of the House and Senate accounts for about 0.21 percent of public expenditure and 0.1 percent of GDP. We are talking about about 1.5 billion euros, but every big building is made of small bricks, and the bricks are all useful for the stability of that building. Sacrifices have been asked of the Italians and the first to make them must be us elected. It is simply a matter of coherence, nothing more. It's called a State of Solidarity, nothing more. It is the affirmation of a genuine democracy, the one that does not care for the interests of the few, but the interests of many, as Pericles said a few millennium ago to the Athenians. Let's roll up our sleeves. We start again from trust and we are confident.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u47	He's enlisted to speak Senator Floris. He has the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u48	Mr President, Mr Fraccaro, ladies and gentlemen, I have asked for a brief speech to assess the effects of this mini-reform of the Constitution on the region from which I come, Sardinia. The number of senators will increase from 8 to 5, in the House from 17 to 11 MPs, then from 25 to 16 MPs. While remaining in the proportion of the overall reduction, however, we go to transform the representation of territories so vast, different and distant between them, territories that are part of an island, that is, of a territory that is known not connected to the rest of the Peninsula and that pays dearly for the lack of territorial continuity. A million and 600,000 people pay every day the price of living on an island that enjoys statutory autonomy, but with little operational autonomy. Not by chance, Sardinia has presented, collecting 100,000 signatures (not only collected on the island) through its network of associations, a constitutional bill to make recognize the serious and permanent disadvantage of islandity. Certainly the resources deriving from the cut of nine Sardinian parliamentarians will not be decisive for our fate, even if they were all paid into the coffers of the Sardinian Region, and we know that this will not be the case. It is only a demagogic race that destroys popular representation, while nothing is done to reorganize and efficiency the state machine. Sardinia - I say this out of absurdity - could also give up all Members if in return the serious and permanent disadvantage resulting from insularity were recognized. If there were a written rule in our Constitution, Sardinia could introduce an advantage tax and activate those measures necessary to support its economy. Above all, it is essential to ensure effective equality and real enjoyment of the individual and inalienable rights of Sardinian citizens. Today Sardinian citizens have an average income that is just over half the Italian one and a rate of unemployment and poverty 50% higher than the Italian one. These figures cannot be attributed to the Sardinian parliamentarians, who, in the vast majority, are people who commit themselves to their own territory. The cut in the number of Members will not change these negative numbers. On the contrary, measures of permanent advantage, also in order to avoid the vetoes of the European Union, can only be introduced with the recognition in Constitution of the insularities. To this they will be able to follow the tangible initiatives to support the economy of our territories, with real resources and not with electoral ads, like this constitutional bill. I suggest to President Calderoli, who as a surgeon has embarked on the path of constitutional reforms, to support the constitutional proposal of insularity presented in October 2018 and to incorporate that principle into our Constitution. Only in this way can we really have an advantage from the law for insularity, which, as a permanent disadvantage, could turn into a situation of equality vis-à-vis the rest of the national and European territory. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u49	He's enlisted to speak Senator Quagliariello. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u50	Mr President, ladies and gentlemen, I am fully aware that constitutional reforms - even the most constitutional of constitutional reforms - also have immediate and contingent consequences for the political struggle. And I am equally aware that many of those who support this reform do so with arguments and beliefs that, in my eyes, have nothing noble; among them, a demagogic attack on the political class (the same one that, for example, animated the cut of vitality). I have always felt, however, that when we talk about constitutional reforms we must distance ourselves from an excessively empirical and approximate approach and see the underlying, if not long, at least medium-term reasons. In this conviction I was comforted by the fact that those who did not follow this approach paid the price. I am and remain convinced, for example, that if there had been a greater detachment from the immediate reasons of politics and a greater consideration of the fundamental elements of the system, the reform proposed by the Renzi Government would probably have had a different outcome, there would have been a different willingness to listen and there would have been no errors in Marchan even from a purely constitutional point of view. That is why, precisely because I believe that system reasons take precedence over contingent motivations, I also believe that yesterday President Bernini was right in asking this House to discuss together the different reforms, currently in Parliament's attention, which affect our constitutional structure and its different powers. From this organic debate, in fact, we would have gained an overall picture and we would have better grasped the correlations between the different topics that are proposed to this House and which, however, impact on the constitutional balances. Having said all this, in order to live up to this approach, I personally refer to a deep conviction, which is not from this last period but which the current legislature has strongly confirmed. I am a passionate supporter of representative democracy and I believe that it is in deep crisis. A historical crisis, a crisis that is not linked to contingent reasons but to dynamics that have to do with the development of a civilization. Basically, there are two underlying reasons for this crisis. The first is that representative democracy is a designation of competence: it is accepted to be represented at a time when it is believed that there are those who, at least in a given area, have more competences than you, or at least that there is a need for a time dedicated to deepening certain topics, time that the common citizen, who has other occupations, does not have at his disposal. This is one of the cornerstones that led representative democracy to imagine the prohibition of the imperative mandate. I design you and give you confidence - and here is the second factor that signals a crisis - and, therefore, I decide to judge you for what you have done after a certain period of time. I leave you free in your determinations as a parliamentarians (again, the prohibition of mandatory mandate), but, after five years, or at the end of a parliamentary term, I take back the sceptre of the sovereign and judge you. Not immediately, act by act, but for what has been your behavior. What disassembles these basic reasons for representative democracy today? First of all, what a brilliant historian has designated as "the democracy of narcissism," that is, the conviction, fueled also by the new media of mass communication, of omniscience, of being able to speak about everything, of being able to judge everything and of not needing someone to represent you and who is more competent than you. It is a drift that we see on a daily basis on social networks, but we can also see in this House. The elderly among those who occupy these schools will realize that there has been a change in the organization of the work because the specializations, those that referred to certain subjects, which were much more significant in the past legislatures, have gradually faded. There were few political leaders who thought they could talk about everything; for the rest there were medical experts, those who had foreign policy skills, and so on. It is an attitude that we are losing because it is clearly a tendency of society that on social networks is much more accentuated. The second reason for the caesura, which is perhaps even more important, lies in the fact that that area of sedimentation of political judgment, without which there is no representative democracy, has gradually narrowed down and is likely to disappear altogether. Today the judgment is almost immediate, so the possibility that a Member of Parliament may in some way orient himself according to his own convictions and not according to the instant judgment of his constituents is extremely limited. This is because decisions are faster in today's society, public orientations are known much earlier, and tools such as social networks push in this direction. President, I would ask you to have two more minutes. I would like to say that this is the reason why those who believe in representative democracy may not end up in a conservation attitude. There is no doubt that a leaner Parliament is a Parliament in which we decide first and in which there is more efficiency and, perhaps, it is also possible to rediscover more competences. It is clear that other reasons that follow the principle of representation, some of which have been brilliantly cited, would be sacrificed, but in certain historical moments it must be understood that a sacrifice is still necessary. This can also be the beginning of a reform of our parliamentary system, which we still need. We rejected it last time for reasons which I still consider to be absolutely valid, but I think that reform is needed. And I think that narrower numbers can lead, for example, to greatly broaden the case-law of measures to be taken in common sitting, helping to make bicameralism take on a new impetus. PRESIDENT. - The debate is closed. Senator Quagliariello, I invite you to conclude. Mr Quagliarello (FI-BP). Yes, ma'am. I say a very last thing that is part of the absolutely contingent and not fundamental arguments to which I have referred. In the short term we will be discussing the so-called pro-active referendum, and on that ground I see, if the measure does not change, a much greater danger for those who believe in the principles of representative democracy. Getting to that battle without an attitude of conservation, trying to distinguish between the various constitutional provisions in our examination what can be granted, and perhaps it must be granted, from what affects the ground of a non-negotiable principle, I believe that it is, from a tactical point of view, a wiser attitude for those who truly believe in this historical stormyness to be able to defend the principles of representative representation and representative democracy. PRESIDENT. - The debate is closed. Senator Errani is enlisted to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u51	Mr President, representatives of the Government, ladies and gentlemen, that there is a crisis of representative democracy is an objective fact. Is the current institutional framework inadequate? Absolutely. And this is first of all because of the technological, economic, social and even anthropological changes that go through not only our country, but certainly the whole West. The form of government is certainly also under discussion. Colleagues, you are the Government of Change, but the fact that this form of Government is arranged every hour is evident to all of us. There have been countless attempts to respond to this situation in order to seek a new institutional framework, and you too have begun to make choices, but you have responded to this substantial problem by pursuing a widespread feeling. Is there a crisis of representation? Give it to the political class! I do not know if it will produce consensus, but it certainly does not enable this democracy to give the answers that the country needs. I think it's very obvious, even in the work you do every day with your government. Make a commercial intervention and away from a completed design, a breakup of the Constitution. According to the moments and stages, in fact, all those who are sitting here, representing different sides, have taken a position in favour of reducing the number of parliamentarians. What's the matter? In what context does this reduction of Members of Parliament take place, with regard to representative democracy? Mr Quagliarello, whom I greatly appreciate, said that we could work better on skills. Senator, the problem of skills is linked to the quality of the selection of the political class, which in turn is linked to the way in which politics is organised. It is clear that from this point of view we are in a very critical situation. I am not at all sure that with 200 senators and 400 Members of Parliament, we are making the most of our competence. I don't think she's sure about that either. What is the point I propose? This bill certainly widens the gap between the elected and the electorate, which is central to the democracy of representation. Moreover, with the material barrier threshold, with this electoral law, we will have barriers of 10, 12% or 16% depending on the territorial conditions. Objectively from this I should understand that you agree on an objective reduction of political pluralism, because it is inevitable that with a de facto barrier that comes to those percentages, the dialectic between opposition and majority will be reduced, while pluralism is a central element of the concept of representation. What is the result of all this? Some of my colleagues spoke earlier about the relationship between direct democracy and representative democracy. The fact that we need to intervene on this is out of the question. You have to build a new synthesis, but I don't see the drawing. Minister, I take advantage of your presence. I don't see the drawing. I see, in fact, the reduction of Members of Parliament. The mechanism of the proposed referendum - which I agree with in some respects - on the subject will reduce Parliament's legislative possibility in a condition that is absolutely permeable to the lobbyists and the strongest powers, not to the people. You are building a democracy in the name of the people but, in truth, they will be the strongest powers that will become people. I do not know how this statement sounds to you, which will also be extreme, but some concern should raise it to you. Moreover, if we look at practice, why does this House not work? But it is clear: because the majority never agree with anything. Before an agreement is reached, all Parliament's time is used up, and when one arrives in the Commission or in this House, one can only push a button. That is the truth and you know it very well. Just think of how the budget law was passed, a historical fact in this country. I do not want to reopen that wound, but I would be curious to know how many of us have been able to read the draft budget law in twenty-four hours, which is profoundly changed. That's why it doesn't work, because there's a political crisis. It's a political crisis. You of the Movimento 5 Stars - I say this with a joke - have, rightly in my opinion, posed the problem of a radical change in the politics and the work of the institutions. You opened the can of tuna, but now you're drowning in oil. We are faced with a worrying twist. I would like - given that narratives and speeches are words - to take you back to a concrete fact about differentiated autonomy. Beyond what you think, ladies and gentlemen, about differentiated autonomy, which undoubtedly changes the institutional structure of the country, this Parliament has so far had no element to make real and merit assessments. I would point out, with regard to the proposed referendum, that if there were to be a law on autonomy in the terms we are talking about - and perhaps, I do not know, we could not even amend it - that law cannot even be submitted to a referendum. We are talking about Parliament's legislative powers. The regions that will have that autonomy will be able to legislate without any limits shared from the point of view of regional legislation. I'm for autonomy, but I'm for autonomy in an implant. We need to know how this ends. We need to know how to achieve a balance, because democracy is made up of weights and counterweights, balances, relationships, a coherent system, not incursions into the Constitution, without a design. Unless your plan is to narrate direct democracy and fade democracy. That's what I'm very worried about. For this reason, I ask you to think again about whether it is not possible to build another path of constitutional reform. Perhaps we could find more serious and more qualified summaries to give quality to democracy and representation. PRESIDENT. - The debate is closed. Senator Garnero Santanchè is registered to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u52	Mr President, ladies and gentlemen, the position of Brothers of Italy has always been very clear. We have always been in favour of cutting the number of Members, and I would remind this House that we have also tabled a legislative proposal on this issue. Perhaps today someone will be disappointed by the Brothers of Italy, thinking that we could have subtracted ourselves from the vote on this reform and that we could use our votes as an exchange commodity to get I don't know what, but we never posed this problem. Our Group is convinced of the need to reduce the number of Members, because we believe that this Parliament is among the most populous in Europe. We are always very clear and continue to follow our beliefs and ideals. Soon Giorgia Meloni will attend a press conference in which he will explain exactly our positions. Of course, however, we must say that this reform is limp because, with the cut of the Members, it will happen that the colleges will be much larger, so that every Member will have more voters to represent. But we do not like lame or crooked things and we have always supported and continue to argue that, at the same time, in order to give more balance to the state and democracy, we should also have foreseen the direct election of the President of the Republic. Unfortunately, this has not been accepted, even if we do not understand the reasons for it. To foresee today the direct election of the President of the Republic by the Italians would have meant to strike a more balanced democracy and to establish a greater balance with Parliament as well. With regret we note that those in the government do not consider it right and we regret it. We will continue the battle on the direct election of the President of the Republic and move forward on what has always been our position. However, I would like to point out to the representatives of the Government and to my colleagues, especially those of the 5 Star Movement, that they have always waged a great battle on privileges, that today they have not had the courage to eliminate the true privilege present in this branch of Parliament, that is, the senators for life. You have missed this courage. I quote an example for everyone: I remember that Senator Monti, before accepting the position of President of the Council, asked the Head of State at the time to be appointed Senator for life. We believe that the real waste is the senators for life, for whom the Italians will always pay and we do not understand why. So I say to my colleagues in the Movimento 5 Stars that their flag on cutting waste and privileges will come out of this House today a long time ago. If the cutting of waste and the battle against privileges are for you the first political form to be presented to your voters, perhaps it does not suit you and you lack the courage of those who have positions in which they believe to the full, because today it would have been nice to be able to eliminate even the senators for life, of which I assure you the Italians would not feel the lack. We're sorry that, once again, you missed a chance. [[Applause from the FdI Group and Senator Calderoli]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u53	Senator Gasparri is enlisted to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u54	Mr President, this debate could be resolved quickly through a collection of opinions on social media. Of course, most Italians would ask, not already to reduce the number of Members to 400 and to 200 that of the senators, but to bring them to 100, to 50 or probably even to zero. The need, in fact, is also a little 'to satisfy a popular anxiety, sometimes however justified by the bad evidence that the political class has given in many cases. The phenomena of corruption, scandals, the events that have led to indignation towards politics are before everyone's eyes, some are well founded and others are then unfounded in the courts. We have seen that the judiciary that judged politics has given bad proof of itself, we read day after day the events of the MSC, that many of us had already denounced many years ago, without having to wait for the use of the trojan, events that are sometimes crimes and sometimes perhaps not, but they give a split of moral order. We are therefore all fully aware that the reduction in the number of Members is very popular. Yesterday I dealt with a senator who the House does not know: Riccardo Gigante. He was the mayor of Rijeka and one of the main collaborators of D'Annunzio in the Fiumana company, of which in 2019 the centenary occurs. Giant was killed in 1945 by the titines and his remains were thrown into a pit in one of the many places in the area of the foibe of the eastern border. His alleged remains were found some time ago, due to the commitment of the associations of the Istrians, the exiles and the rivers, in Castua, 12 kilometers from Rijeka. These associations have addressed me, as a Member of Parliament, so that we could understand if those remains could really be those of Senator Gigante. The armed forces (some were also military) had collaborated in this search of the remains and the day before yesterday the chief of staff of the Vecciarelli Armed Forces, which I would like to thank on this occasion, said that the remains found were some of the members of the carabinieri killed with Senator Gigante and some of the senator himself. His remains will be taken to Vittoriale, where his burial was already planned for some time. Why am I telling this? Because this story put on social media got little attention and few clicks. Yet it is an important story: it is a person unjustly killed in 1945, a protagonist - you can judge it as you want - of moments in European history with the story of the River and D'Annunzio. It is, however, history of the last century, you put it on the net and it has a modest interest. I put it on purpose; my collaborators said that no one would look at it, but it doesn't matter to me: it must be put, because it is a testimony and a story. When I put that I eat pizza or other things - I do it sometimes too - likes explode; If I yell a little more about immigration, we're fine there too. I want to say that the mechanisms of social media are important, but not decisive: if we say: 'we hunt all parliamentarians', we would be much more successful than proposing to reduce them by a third. Today, on the problem of social networks, Giulio Mogol, the president of SIAE, has spoken, denouncing - I address, in this regard, to the members of the Government - the lack of taxation of the giants of the web, who plunder the copyright. SIAE is concerned, because music authors, newspaper publishers, cinema, which is in crisis, culture and knowledge, creativity that must also be rewarded, are plundered by web giants. The European Union has issued a directive and the Italian Government has opposed that directive, because you want to give sovereignty from Parliament to the giants of the network, who steal copyright, steal democracy and who induce us all to photograph us with pizza or nutella because it is sympathetic, which I sometimes do provocatively. [[Applause from the FI-BP Group]] I am aware of the unpopular nature of Parliament's defence as such. I could add some of the arguments that some of my colleagues have introduced. We, as Forza Italia and as a center-right, carried out a global reform, then, the events of the global reforms were unfortunate, both when we did it a few years ago (confirmative referendum rejected it), and when we tried the center-left (it was also rejected) and the government, Parliament, CNEL and so on were reformed. It is probably difficult to travel a train with many cars, but here a car passes only with punitive intents and also of mutilation of representation: in some regions it will take 12 percent to be represented. Therefore, democracy and representativeness are killed. Are costs the theme? Days ago I met an alternative energy operator who said that only insulation and a more correct use of buildings, with the related problems of urban regeneration, would generate savings in energy costs, even by public structures: other than reduction of parliamentarians! Are the costs the problem? Let's reduce costs. We keep Parliament as it is, reducing costs by a third. I have been a political militant since I was a boy and I have been in Parliament for a long time, but I have not gone into politics to be a Member, a Senator or anything else. I don't have the problem of remuneration. I consider myself a lucky citizen for the many electoral mandates with preferences, with colleges, with blocked lists, in every way, in the European Parliament, at municipal councils: electoral systems can change. I believe that today we are faced with a compression of representation without introducing real elements of direct democracy. I come from a political tradition that fought for the election of the mayor when it was considered a sacrilege, then for the election of the President of the Republic, of a Head of Government: that is direct democracy, not the arranged combined fraud of referendum and of the Network that was first described by some colleagues. I am not afraid of a rebalancing between parliamentary democracy and direct democracy, but I am thinking of a true and transparent direct democracy, not that kind of Rousseau platform or giants of the network! [[Applause from the FI-BP Group]] Then I have a doubt: you do not want to tax the giants of the net and you want to continue the looting of copyright, then they are those giants of the net with which you play a little 'exercise democracy. I do not contest anyone's right to rely on the XY platform for the decisions of their own party, but when they pour into the institutions (because they direct parliamentary votes and the adoption of laws) I wonder what transparency is, such as guarantees. Parliament, either beautiful or ugly, large or small, is nevertheless the result of an electoral system, of citizens' participation. The electoral laws have changed them, we have adopted of all kinds, there is not a perfect one, dear colleagues, otherwise one country would have copied it from the other: if there are preferences there is the risk of running for money and the vote of exchange; removing the preferences the citizen does not count. Each electoral law has a vulnus, a weak point, as well as colleges and primary. Every time we make the primary (we are currently discussing it in our party) the journalist arrives and explains how he voted in ten gazebos at the consultations of this or that party. We defend a concept of representativeness, not caste. I know that if I said I was here to abolish all Members, I would have 50,000 clicks outside, while if I talk about Senator Riccardo Gigante or other things there is probably disinterest, but political life and that in the institutions is made up of various topics. We consider this partial reform to be wrong, which compresses freedom and reduces representativeness without adding direct presidential democracy, which is true. I don't want to delegate to Bezos, Zuckerberg or others the decision on a country's democracy, because if one is worth one, those are worth a lot, they don't pay taxes. [[Applause from the FI-BP Group]] I read that one of them divorced and had to give his wife (blessed her) $38 billion. [[Comments of Senator Papatheu]] It is Bezos (Senator Papatheu helped me): blessed she, she will have right, she will have helped to form that wealth, but maybe they must give some money to all the governments that did not tax them and maybe that money gives them, in some other way. [[Applause from the FI-BP Group]] We are faced with a debate not on how many senators and Members there are, but on what democracy is, on the balance between direct democracy and representative democracy, on presidentialism which, dear colleagues of the Brothers of Italy, has been removed from this debate, because those who govern today do not want true direct democracy with the vote of the people, of the citizens. [[Applause from the FI-BP Group]] I do not want either the Rousseau platform or the Berlusconi platform, if there were hypotheticals; I want the one with the real citizens voting. Then they will elect 400 or 600, or 48 representatives. Do not compare with the United States that has 100 senators, because accounting for all the assemblies in the American states are thousands and thousands of elected. If you want to adopt the American model, let's do it: we'll make a Senate with 100 representatives, then we'll have to do everything else. We believe that there is a vulnus in this reform, because this intervention is done without everything else, that is, without presidentialism, transparency in the mechanisms of the network, a taxation of the web. I realize that I have approached different topics (from Senator Riccardo Gigante to the divorce of Bezos), but we are talking about democracy, freedom and representativeness. We are not defending ourselves or a plethora of parliamentarians, but saying that this is a scam. It's like the pizza post: do the pizza post, we do something else. [[Applause from the FI-BP Group. Congratulations.]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u55	Senator Parrini is enlisted to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u56	Mr President, we think that a fundamental question arises over this debate, the following: was the reduction in the number of Members proposed to us designed to improve the functioning of Parliament or was it designed to empty and mortify Parliament? We believe that this is the question we are faced with and, of course, the answer we are giving is that this reform has been conceived in the greatest disinterest in how Parliament will function with its implementation and with the pervicacious will to give pickaxes to the dignity and prerogatives of the Chambers. If that were not true, two things would have happened in terms of merit and method. As far as the substance is concerned, for example, our amendments would have been accepted, and I am going to talk about them later; detailed amendments, starting with the acceptance of a large part of the proposals that the majority made and tried to make sense of them. You will remember, however, that our amendments have not only not been accepted, but, with an act that still burns us, have been declared inadmissible (according to what criterion we have not yet understood correctly). We have been prevented even from discussing it. As far as the method is concerned, if the will had been to improve together the way in which Parliament works and to reduce its costs, we would have accepted our proposal, made at the last Conference of the Leaders, to discuss this reform together with the other constitutional reforms that are being considered by Parliament, at an overall sitting that covered the legal order of our State and the changes that can be brought to the Constitution. But it has been decided to say "no" to this proposal too, because of course the current majority does not have in mind to make a reform: it has designed the manufacture of a commercial, yet another commercial that serves to confuse the ideas of Italians and to send distorted messages to public opinion. We are convinced, as I said, that there is a plan for the mortification of Parliament in place, which has the will to attack the rules for the protection of minorities, the counterpowers, the independent authorities. Moreover, what interest can it have in the safeguarding of liberal, representative, parliamentary democracy, for example, who, as the effective Head of this Government, who is also Head of the League, exercises daily in the aggression against the separation of powers? He does this by attacking minority parliamentarians, because they stage a protest to him unwelcome, pretending to interfere in the decisions of the judiciary on the restriction of personal freedom or ignoring the sentences that oblige his party to return 49 million euros that were stolen from the Italians. We see a daily attack on representative democracy by those who have the keys to this Government and therefore we are not surprised that there is the greatest disinterest in the reform of Parliament and the greatest interest in the attack on Parliament. And we also understand that very little interest in the reform of Parliament has the other political leader of this Government, very subordinate to the former, who, without any embarrassment, has endorsed, propitiated and promoted the undemocratic enslavement of entire parliamentary groups to a Srl which has a opaque and obscure functioning. We had seen, in the history of this country, the companies that lend themselves to being a political branch of a party, we remained to see the parties that become political branches of companies: with the Movimento 5 Stars we have also seen this show. [[Applause from the PD Group]] It is clear that those who cultivate the project of a democracy without balance cultivate an authoritarian project of fact: things must be called by their name and we are not afraid to do so. I have listened to what Mr Fraccaro has said these days, whom I greet and thank for his presence, and I have listened to what some members of the majority have said: we have been told, for example, that we are thinking, with this reform, of improving the efficiency and productivity of Parliament. But excuse me, how can we say that we are thinking of improving the efficiency and productivity of Parliament if we reject any proposal from the minority, ours and other parties, to reform the bicameralism of equality? It is not serious to say that, given the parliamentary behavior that has taken place. It has been said that we are thinking of reducing costs. Attention: all our proposals were based on the assumption of accepting an overall number of parliamentarians such as the one proposed by the majority, but reducing the number of parliamentarians in a series of serious interventions. I would like to remind you of the proposals we have made: for example, we said that we would bring Members to 400 and Senators to 200, but that we would differentiate the functions between the two Chambers, and that the Presidents of the Region should intervene at Senate sessions when the Senate had to deal with matters relating to the organization and functioning of territorial authorities. We have proposed, as an alternative, the differentiation of functions, in the sense of giving only to the Chamber of Trustees. We have proposed to the House - our representatives have done so - the hypothesis of the transition to a single camera system, with a single legislative chamber of 500 members, so even less than those that we will have after this reform, and the transformation of the Senate into the Chamber of Autonomies, with representatives chosen by the Regions. None of these proposals have been accepted because you are also not credible in terms of costs. Then, I'm sorry, how can you talk to us about concern over your costs? If you were really concerned about the costs, you would try to reduce not the number of parliamentarians but the number of your members who, with statements on mini-BOTs, the opportunity to raise public debt to 200 percent of GDP or the opportunity to get out of the euro, make us pay billions of euros more interest on public debt every year. [[Applause from the PD Group]] If you really care about the costs, you should intervene in reducing the costs of words in freedom, which is the real serious issue that weighs on our public budget today. In fact, if you reduced words to freedom, you would save ten times as much money as you would save in 20 years with the reduction in the number of Members. But that's not what you're interested in. I think that, for the reasons given, we are faced not only with a dangerous act but also with a patron sausage. The act is dangerous also because I read a statement by Minister Fraccaro that said that with less seats there will be more democracy: if the problem had been to give more democracy, would what has been done, for example, in terms of mortification of the small regions of this country, that they will find themselves so compressed in the representation that they have not, in a Senate with full legislative powers, no representative of the opposition? [[Applause from the PD Group]] If there had been regard for democracy, would we have remained deaf as happened to the objections and considerations that came from the representatives of Italians abroad? If we had been careful about democracy, would we have accepted the deformity of the college that elects the President of the Republic that we will have instead? There was no focus on democracy. And it is not true that, with fewer seats, there is more democracy, because it depends on how the intervention is done, and in this case it has been done in a reckless, superficial and improvised manner, according to the same principles that we have seen operating, for example, in the constitutional reform that introduces the proposed referendum. We will probably examine it in a few weeks' time and we will see how, with that reform, the prerogatives of the President of the Republic are attacked and the power to postpone the laws is removed, the repealing referendum is emptied, the prerogatives of Parliament are emptied, referendums can be organised without head or tail on spending, tax, criminal and international treaties laws, that is, a blow to parliamentary and constitutional democracy in Italy. They're two pieces of the same design. I'm just going to give you an example of the greatest patron sausage you make. This bill is linked to a reform of our electoral law, to make it immediately applicable even in the event of very close elections. We will therefore have an electoral law with single-member colleges which, for example, in the case of Friuli-Venezia Giulia will be 1.2 million inhabitants. Attention to democracy? When electoral campaigns are made more expensive and the electorate is removed from the electorate to such a serious and resounding extent, there is contempt for democracy, not attention. [[Applause from the PD Group]] Finally, I have two hopes.
