ParlaMint-NO_2010-04-21.ana.ud1911e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e803	I share the representative’s concern about waiting time for cardiac fibrillation patients who need ablation treatment. The waiting time is unacceptable. This was also the background to the ministry’s request to the Health Directorate last March for a review of the offer and capacity of these patients. A working group has now reviewed the offer, and I have recently received the report from the Health Directorate. The Health Directorate recommends that the ablation treatment capacity of cardiovascular patients be increased. There is a need to increase from around 350 to 1400 procedures per. years, i.e. about 1,000 more treatments. This means that 600-800 more patients can get help. The background to the recommendation is that ablation should be offered as the main measure for some patients with very severe fibrillation, which we have not been able to help in the past. According to the law, these patients will be entitled to the necessary health care and thus a deadline for starting treatment at the latest. In the event of a deadline breach, which is also referred to by the representative, the Health Economics Administration, HELFO, has concluded a framework agreement with a clinic in Denmark to purchase up to 100 treatments per year. Today, only eight professionals are available in five operating sites to carry out such interventions in Norway. Recruitment to the subject is difficult, also internationally. It takes from three to four years to train an operator, i.e. after completion of a specialist in heart disease. Ablation treatment is a new resource-intensive treatment option. It is complicated to select patients, treat them and follow them up. The Health Directorate therefore recommends that the treatment should be localised until further notice to regional hospitals, with established arrhythmic environments. I am aware that the Feiring Clinic has expressed a desire to offer such treatment in cooperation with the public. Whether we need to supplement the public offer with services from private hospitals in the future, we will continuously assess. The 2010 mission paper calls for regional health businesses to initiate measures to reduce the waiting time for patients with cardiac fibrillation. They report that they are building up treatment capacities. Health South-East Up states that it has been invested in a new angiography laboratory with contributions from the Government’s 2009 package of measures. The professional environments of Ullevål and the Rikshospitalet are now to be co-located at the Rikshospitalet. This means that capacity will increase significantly in 2010. Capacity shall be built up over a three-year period, inter alia: through the training of new operators. This is probably an example of new knowledge giving new patient groups the opportunity for a better life. It is important to stress that this treatment requires careful evaluation in advance and good control after treatment. In addition, treatment is both resource-intensive in terms of equipment and time use. It doesn't rarely take five to eight hours to treat a patient. The ministry is now reviewing the report, and I will follow up the recommendations, so that these patients are assured of the treatment they need.
ParlaMint-NO_2010-04-21.ana.ud1911e818	I thank you for your answer. I notice that the Council of State says that only the regional hospitals in Norway are going to do this treatment. But why is it that the state buys treatment facilities for the worst break-in patients in a commercial hospital in Denmark? So now, within three to four months, the Feiring Clinic can establish a fair and good offer. The ministry knows that, but it is Health South-East and the regions that have put an end to it. As the Council of State says, there are long waiting lists. It will take a long time for the other hospitals to build up capacity. So here you have an opportunity to do this as quickly as possible. I think this matter so far is a fantastic picture of the health lottery for patients, and how the game is run by different health actors and professional environments. It's simply heartbroken towards the patients. I find it pointless that we cannot now apply the Feiring Clinic, which can establish the offer quickly, so that patients come out of line and return to work.
ParlaMint-NO_2010-04-21.ana.ud1911e831	I'm reacting to the intensity of the question. In the case of sending patients to Denmark, only those patients who have not received treatment within the time limit set. I'd like to stress that per. Today, there are no private actors in Norway who can carry out this treatment, either at Fairing or elsewhere. When we only have eight specialists across the country, and we operate this treatment in five places, it is important that we build a more robust offer on the large regional hospitals that have already begun and that have also invested in expensive equipment. Then you have to evaluate the situation beyond, whether there will be enough capacity, and also, as I said in my post, whether there will be a need to use Feiraring or other private actors.
ParlaMint-NO_2010-04-21.ana.ud1911e838	The council says she's responding to the intensity. Yes, and it's going to be more intense on behalf of the patients. There are so many who are in line, and we are getting so many calls. Many are ill - satisfied and ill - informed because they do not receive this treatment. The Board of the Feiring Clinic applied in 2009 for work to start up this treatment, but received no from Health South-East on 16 August 2009. They can thus establish such treatment within three to four months. Then I think it is incredible that a long time should be spent in public to build up this offer and to buy services in Denmark, when you know that there is a possibility of a significant increase in capacity in a few months.
ParlaMint-NO_2010-04-21.ana.ud1911e845	I also said that it takes years to train operators to carry out this very complicated treatment, which has given a new queue because we can help many. I'm just as concerned that patients should get help as the representative, Sjøli. It is not that a few people are reserved to be concerned about the patients. But I am also concerned that we will have to build up a good offer around the country, so that we can take the queue that is. Many people are waiting for this type of treatment, because they now have the opportunity to be treated and to recover. As the representative Sjöli very well says, it's people who are in fact incapacitated because they have severe heart fibrillation. When building up a treatment offer, we have to assume what we have. We have eight specialists in Norway today. Whether we're going to increase this, we're going to get back to. We think this very carefully, because it's important that more people get help.
ParlaMint-NO_2010-04-21.ana.ud1911e854	We go back to question 5 from the representative Torbjørn Røe Isaksen to the Minister for Foreign Affairs. The question will be answered by the Minister of Justice, who will address it.
ParlaMint-NO_2010-04-21.ana.ud1911e860	‘Many Eritreans in exile pay 2 pst. of the income of the Eritrean authorities. NRK Urix on 24 March 2010 showed that many Eritreans in Norway are afraid of reprisals from the regime. The practice, as described in the ‘Eritrea: Issuance of passports and exit permits’ of Landinfo 24 November 2009, involves the extortion of people, including Norwegian citizens, by a foreign power. How long does the Minister for Foreign Affairs know the practice, and how does he feel about the extortion carried out by a former beneficiary with whom Norway has diplomatic relations?’
ParlaMint-NO_2010-04-21.ana.ud1911e867	The question was originally asked to the Minister for Foreign Affairs, but it was sent to me as the correct address, as I have also answered a similar question in the past. I refer to the written question No. 949, from Torbjørn Røe Isaacsen, and my answer of 8 April, which is available on Stortinget's website. As I then wrote, on the basis of the question from the representative, Røe Isaksen, I am familiar with Landinfo's note of November 24, 2009, which includes: they are informed that Eritreans in exile are required to pay 2 pst. of gross income of Eritrean authorities. The Land Information Professional of the Foreign Administration, Landinfo, is part of the Foreign Administration and is an administrative member of the Directorate for Foreign Affairs. Land information is produced, inter alia, by: reports and thematic notes as well as responding to specific requests for country information for use in the handling of individual matters in the Directorate for Foreign Affairs and the Study of Foreign Affairs. The management conditions in the foreign field do not suggest that the Directorate of Foreign Affairs should report on this type of information to the Department, nor has the Directorate done so here. In addition to the information on Landinfo's websites, I have no closer knowledge of the practice of taxing Eritrean citizens in exile. There is reason to stress that taxation of own citizens by itself is not a critical issue. Whether or not the Eritrean authorities are engaged in illegal extortion of people in Norway, I have no basis or reason to comment on, in addition to what is provided by the Landinfo information. In my opinion, people who may feel exposed to such illegal extortion should report this to the police, so that the matter can be investigated in the usual way, but with all the challenges that arise in these kinds of cases.
ParlaMint-NO_2010-04-21.ana.ud1911e876	I am pleased that the Council of State has now, also in connection with previous questions, been involved in the matter. This case raises two issues. It is important to be aware that this is not only about Eritrean citizens in exile, but also – if you believe what NRK Urix has shown – about Norwegian citizens who have been granted citizenship after having fled from the regime in Eritrea. One of the issues raised is that of undue pressure, that it is a foreign regime that indirectly exerts pressure on Norwegian citizens, or also Norwegian citizens. The second is that this practice, as it is described, among other things. by Landinfo, is a practice in which, in order to obtain ‘forgiveness’ from the home country and to be able to carry on normal business, to have contact with family or to have financial interests in the home country, one has to buy freely from previous ties to the regime. My question is whether the Minister of Justice would like to examine this matter in more detail and do something about it.
ParlaMint-NO_2010-04-21.ana.ud1911e885	As far as this type of problem is concerned, we are facing quite major challenges in the area of Norwegian law enforcement. I just want to express very clearly – there I think the questioner and I agree very much – that in the case of much of the undue pressure being pointed out, whether it is against Norwegian citizens, people with double citizenship or Eritrean citizens, it can be clearly affected by Norwegian criminal law – quite clearly. We have rules for that. It is that when people are subjected to pressure, and especially when they are linked to social benefits or the need for more quality of life, whether it be travel or other things, we have rules for it. That's why it's important to say very clearly that in this case you have to report this to the extent that you are exposed to it, because it can have a criminal consequences, but it can also have consequences for how we, as Norwegian authorities, deal with the respective cases with people, regardless of where they come from, or which citizenship they have.
ParlaMint-NO_2010-04-21.ana.ud1911e894	There is also another aspect of this, and it is that, at the moment you have received ‘forgivement’ from your home country, from Eritrea, and are given the opportunity to engage in economic relations, to have property or to have contact with your family, it is also the case – if you believe the information from the NRK – that you sign a so-called letter of forgiveness. There are also some questions about the protection needs of these persons. Then you can wonder, or at least it's worth asking yourself, if this is some kind of established planned practice on the part of Eritrean authorities. That is why I would like to repeat the question, not only if it is possible to prosecute pressure or threats indirectly – that is, of course, but whether the Minister of Justice will look into the matter and possibly do something if it turns out that this is an organised phenomenon, a widespread phenomenon, which I believe Norway should not allow?
ParlaMint-NO_2010-04-21.ana.ud1911e899	I remind you that here we are talking about a situation that has been imposed on citizens, either by Eritrea or Norway or both, and that we cannot necessarily use the Norwegian judiciary. What I think is crucial in this case is that Landinfo is aware of this issue and includes it in all the assessments made by the alienation unit. What I think we should be observant of is that when decisions are taken in Norway with consequences for citizens in such a situation, those assessments also raise the issue of persecution. That is why I believe that Landinfo and the Foreign Affairs Administration have just done their job, in the sense that they have pointed this out in the reports that go to the Foreign Affairs Directorate and the Foreign Affairs Department, which take the respective decisions. So I am sure that this is part of making the decisions that are relevant to the sector for which I am responsible.
ParlaMint-NO_2010-04-21.ana.ud1911e904	We're going to go to question 12.
ParlaMint-NO_2010-04-21.ana.ud1911e910	I would like to ask the Minister of Justice the following questions: ‘According to an article in Hamar Arbeiderblad of 14 April 2010, the police chief in Hedmark will spend everything from Nazism to fraud up to $300,000 to save money. It's a financial crisis in Police Hedmark. Is the Council of State satisfied with this development that will be able to hit most people?’
ParlaMint-NO_2010-04-21.ana.ud1911e919	It's a little dependent on what kind of approach we have to the police situation in Hedmark, whether you just rely on Hamar Arbeiderblad and other newspapers, or whether you choose to go a little deeper into it. I'll pick the last one. I would like to congratulate Hedmark police districts on their efforts in the last year and also congratulate Hedmark police districts on their excellent results. So in the last three months, the police district has moved up by a percentage of clearance of 43.6 – that’s very high – and it’s going up. We must be very happy about that. I also believe that Hedmark Police District is now in good faith in bringing down its remains. I have been reported to have approx. 10 pst. decline in the balances, and that's good. What we need now, including in Hedmark, is a debate on – and we need police leaders to discuss it – how to use all the funds that have actually been transferred to the police, including to the police in Hedmark, in recent years. I have previously explained this in a written reply to the representative of Bredvold on 3 March. But I allow myself to point out that Hedmark Police District from the government change in 2005 until 2010 has increased its budgets from – and I underline – 189 million. NOK 261 million. kr. There's a growth of 72 million. SEK, or 38 pst, which has benefited Hedmark. All of us pagan patriots are happy about that. From 2009 to 2010, where the economic crisis has taken place too fully, it is not that it is cut in the budget of Hedmark Police District, rather on the contrary: it has increased by 27.1 million. kr, an increase of 12,5 pst. It is a very good bet, according to my concepts. Hedmark police district received 17 years’ work on the action package presented in January 2009. It continued in 2010 with an annual impact of 11 million. kr. In addition, in 2010 the district was strengthened by five annual works for strengthening border control and combating mobile crime. Furthermore, the police district compensation in connection with the special agreement – people have to work longer, and we also have several annual works in Hedmark that are not in the papers account – 10.5 million. kr. According to the police chief in Hedmark, the police district has to reduce operational expenditure in 2010 for three main reasons: firstly, a deficit from 2009, among others. Because of a severe criminal case and a new building, additional rent costs in 2010 — that applies to both Hamar, Eidskog and some other places — I have understood — and I have contributed to renewing the ICT systems of the police, which are absolutely necessary and will also release resources in the long term. However, the latest results show that the budgets of the time, record attendance at the Police College and the increased number of civilian posts provide results for greater security. Crime also goes down, and more things are solved. As the newspaper Eastlanden wrote a week ago: ‘Nevertheless, the police do good work. The clearance rate has increased further over the first three months of this year, compared to last year; from 40 per cent to 43.6 per cent. Some police officer Tormod Bakke is pleased with.’
ParlaMint-NO_2010-04-21.ana.ud1911e939	I thank the Council of State for the answer. First, I want to say that I have the greatest confidence and trust in and respect for what the police do, both those who work civilly, and those who work in uniform. There's no doubt about it. The Minister of Justice and I certainly have the same objective. In the newspapers, both in the Glamdalen, East Lingen and HA, there has been a lot about this in the last few days. Among other things, it says in the Glamdalen on Saturday 17 April: ‘Kongswinger region has simply become a balancing post, says police station chief Bjørn Berntsen in Kongsvinger and announces fewer police services here in the district.’ Tuesday, April 20, in the same paper, it says: ‘Despite the fact that Hedmark police district has never had more money to run, it needs to be cut and saved, and more cases will be closed.’ ‘May resolve several cases’, it also says. That's what I can read in many newspapers. What worries me is that the police have to settle matters. Often these are small things, but there are things that matter very much to those affected.
ParlaMint-NO_2010-04-21.ana.ud1911e960	My clear recommendation is that the representative reads more than newspapers, because the speech of the figures is obvious. In order to produce what has been cut in a police district that has been so enormously increased, it becomes hopeless both for the Progress Party, which has more money than anyone else, and also for the Government to grant more money. Time has come, including in Hedmark, for police officers, police officers and others to take responsibility for how to get the most back for the large amounts that are now actually granted. The fact that a police district is running short and has to pull it over this year has to be cleaned up. That is why I am very happy that Hedmark has actually managed to do that job by now they are in the process of downgrading. Being able to increase the percentage of information does not mean that there are several criminal cases that become unsolved, as the representative puts it. In fact, that means that there are several criminal cases leading to conviction. We have to be happy about that.
ParlaMint-NO_2010-04-21.ana.ud1911e969	I thank you once again for your answer. I thought criminal acts for up to 300,000 kroner were also a serious matter for the Minister of Justice. I thought check fraud, hotel fraud, restaurant and taxi bills that were not paid were serious. Things like individual thefts, Nazisms, minor frauds and such things are now being considered. I also read in a newspaper this day that even the church fire in Våler is now being assessed. I definitely think that most people get a little scared of their everyday lives, because other people's everyday lives, when the police can't take things that affect people the most, because of economics, that there's not enough money. I guess that's what's missing. As I said, I have the greatest confidence in the police and the loner. They're doing the best they can. They work overtime, and I'm sure many of them even work for free. They're doing the best they can, but the funds don't go, and crime is increasing. It's great that the clearance rate is increasing, but there's also an increase in criminal acts.
ParlaMint-NO_2010-04-21.ana.ud1911e978	The representative does not have the cover to say that there is an increase in criminal acts. We look at some fields that there is an increase, but in other fields there is a significant decrease. That's why we're now happy these days that the number of villa break-ins in Oslo has fallen by 50 pst in the last few months. We have to be happy about that. Many of these positive numbers are also seen in Hedmark. But what is important is that the police districts are able to solve more and more cases, so that more crime is detected. It helps us bring crime down further. I believe that many of the issues referred to by the representative Bredvold, both fraud and other types of cases, are very serious issues that the police districts need to intervene on. Then I think that the strategy that Hedmark has now chosen to get rid of the leftovers and get the clearance percentage, is the only dangerous path. Once you have received so much money at the same time, it should be missing. We need to focus on getting the most out of the large allocations given, as much as possible out of the DNA reform, as much as possible because we are training more than 700 new policemen, who are record-keeping in Norway, as much as possible because we are now building a new emergency network of between NOK 3 and 4 billion, so that the total police resources provide the most security for people. I'm convinced we'll be able to do it.
ParlaMint-NO_2010-04-21.ana.ud1911e990	‘The Government’s objective of 3 TWh wind power by 2010 will not be met. According to the Internet version of the Technical Weekly, the Council of State is concerned about the cost level of land-based wind power and believes that Enova needs to support technology development for onshore wind power in order to reduce costs. According to the Minister of Oil and Energy, Enova will provide support based on the principle of ‘most energy for money’. What does this mean for the objective of 3 TWh wind power and Enova’s use of money for investment aid?’
ParlaMint-NO_2010-04-21.ana.ud1911e997	In the 2010 state budget, it was established that we do not reach the target of 3 TWh wind power. It was further established that ‘in 2010, Enova will continue to have a major investment in wind power’. This has been followed up by launching a new round in the wind power programme. For the future, a single Norwegian-Swedish electricity certificate market will be the main means of promoting renewable power generation. In the context of the launch of the licence market, it is natural for Enova to turn its attention to other areas. In the government statement, we have stated that Enova should be more focused on demonstration of immature technologies. It is also relevant to strengthen the commitment to energy efficiency and heat solutions based on different renewable energy sources, waste heat and heat pumps.
ParlaMint-NO_2010-04-21.ana.ud1911e1004	I could not quite see that there was a direct response to the goal of 3 TWh wind power. Is it being maintained? Within what time horizon is it maintained? And how does this harmonize with the state council saying that Enova should provide support based on the principle of “most energy for money” – a principle I fully share. But if you look at the statements of Enova in today's Business for approx. So a year ago, they were going to meet the cost. That's a completely different principle, because then you have to satisfy 3 TWh anyway. I think one should be pragmatic in this. If one sees that a technology is becoming more expensive than expected, one should adjust the targets rather than becoming firm but with a fuzzy order for Enova. Can the State Council clarify the following: Should Enova discharge 3 TWh wind power? Within what time period, if so? And do you have a maximum of costs in this case?
ParlaMint-NO_2010-04-21.ana.ud1911e1011	I am a little surprised that this seems unclear. So, in the budget proposal, we have informed Storting that the target is not being achieved. At the same time, the principle of ‘most energy for money’ referred to by the representative is the leading principle of Enova’s activities. What we've gone into and done is we've previously defined a separate measure of wind power, because we wanted to do something that followed a separate path. For if one did not have a separate objective of wind power, wind power projects would receive very little support, because energy efficiency and heating projects would have gone into less costly projects than wind power. So we've chosen to channel money through our own wind energy target at an earlier stage. We don't see that when we do. That's announced to Stortinget. In addition to this, there is nothing new in this case.
ParlaMint-NO_2010-04-21.ana.ud1911e1018	Thanks for the answer. But can the State Council specify whether the objective of 3 TWh is at a later date of fulfillment? Or is it abject as a result of a failure to do so in 2010? What signals has Enova provided regarding further investment aid for wind power? Would you like to continue to do 3 TWh at a later stage? And if so, when? Or is it the principle of ‘most energy for money’ that will apply within the technology types in which Enova is to engage? I understand that the government believes that hydropower should not be involved in that area, even if I want it to be. But I'm not going to take that debate here. But the question is, are there any kind of targets around wind power that are numerically fixed, and what is the year for that?
ParlaMint-NO_2010-04-21.ana.ud1911e1025	The last thing the representative of Solvik-Olsen knows very well is that it is not beyond the target that has been set for 2010. The size would have been announced if a new goal had been set, and the Stortinget would have been invited to discuss it. The goal of increasing wind power generation, and this is the goal of 3 TWh, is to keep up with, in the sense that Enova continues to work on achieving good wind power projects and in 2010 will spend more money on wind power projects than almost ever before. We get a market-based support system from 2012 through green certificates. Then, as far as 2011, we need to look at the response in the market in 2010, and also make an opinion about the interest in the wind industry in order to enter Enova's support-based schemes versus entering something later into a market-based support system based on green certificates.
ParlaMint-NO_2010-04-21.ana.ud1911e1035	‘The government has proposed a one-hour reduction of allowable turn-over time to one hour. 2:00 a.m. The proposal will affect the profitability of the hotel and restaurant industries, but also a number of cultural actors such as clubs, scenes and festivals, all of which depend on alcohol sales to survive. Cultural actors all over the country are now mobilizing to campaign to stop the Government's proposals, and the Minister of Culture has also met representatives of them. What will the Council of State do now to prevent the proposal from being implemented and affecting cultural life?’
ParlaMint-NO_2010-04-21.ana.ud1911e1042	The proposal to limit the maximum time allowed by the alcohol law for donation by one hour, from 1:00 p.m. 3:00 a.m. to 3:00 p.m. 2:00 p.m., has been at a wide consultation. A majority of the hearing bodies support the proposal, but the proposal has not yet been finalised. The proposal is justified by the fact that alcohol is the drug that causes the most social and health damage in Norway. There is also evidence that late giving times cause a lot of violence and trouble, especially at night, night to Saturday and Sunday. According to the State Institute for Drug Research, several studies show that a significant proportion of the violence situation occurs at or at gift shops. Research from Sweden has shown that the relationship between alcohol consumption and violence is stronger in the case of alcohol consumed in gift shops than in the case of alcohol consumed in other contexts. A Norwegian study shows that the more frequent you are in gift shops, the more likely you are to get involved in alcohol-related violence. A summary of international research shows that changes in timing are followed by changes in violence. So when we cut down on the timing, we get less violence. I am aware that the proposal can also have financial implications for the hotel and restaurant industries – and perhaps also for clubs, scenes and festivals that have alcohol as an important source of income. I understand that there is a concern about the loss of such revenues, which is the basis for different types of cultural activities. However, the Government has not taken a final decision in the case, and these are elements that must be included in the further discussion. If, however, we get changes in the seasons, I hope and believe that cultural life will also be able to adapt to a new regulatory framework. That way we'll still be able to enjoy a living cultural life, while perhaps it's necessary to reduce the turnip times.
ParlaMint-NO_2010-04-21.ana.ud1911e1053	I thank you for the answer, and I interpret the Council of State to that she is aware of the cultural views of this case and will bring them to the final discussion in the Government – at least that was my interpretation of that part of the answer. Now there's a lot to be said about the government's proposal. It restricts the room for action of local politicians. Many local governments themselves have adopted stricter spectres than the national rules, but that freedom of action is now narrowed. In addition, there is also the industrial policy aspect of this, affecting an industry that is already struggling with the effects of the financial crisis. But now it's the Minister of Culture I've asked the question to, so I'd like to confirm that the Minister of Culture will bring these points of view and concern for cultural life into the discussion in the Government.
ParlaMint-NO_2010-04-21.ana.ud1911e1060	I have met a number of actors working on different scenes, who have brought these elements into the discussion, and of course I will take this further. It has also been said to actors in Bergen – actors who have been in contact with me about this that the representative has certainly also been in contact with.
ParlaMint-NO_2010-04-21.ana.ud1911e1065	I'm pleased with the answer.
ParlaMint-NO_2010-04-21.ana.ud1911e1073	My question is as follows: ‘To be sick, you must be healthy. For many people who meet Nav, this is a quote that many feel is a correct description. According to Varden on 13 April, a 60-year-old woman has now struggled for three years to get a specially adapted car that will ensure her a better life after a disease that has led to disability. The bureaucracy in this case has probably cost as much as the car would cost. Unfortunately, this case is not an exceptional case. Will the Council of State change the legislation and the practice of today’s legislation?’
ParlaMint-NO_2010-04-21.ana.ud1911e1082	In order to benefit from car support, the entry conditions of Chapter 10 of the Law on Civil Protection and the regulations on motor vehicle social security must be met. These are mainly related to functionality and transport needs. Furthermore, benefits may only be granted if the user has a transport need which cannot be satisfied without his own car. In 2003, the previous government made a change to the car regulations which introduced a distinction between so-called group 1 cars, normal passenger cars, and group 2 cars, specially adapted vans. One of the conditions for having a right to a car in Group 2 is that you are unable to get in and out of the car on your own without using a lift or ramp. The regulation gives the individual case handler little room to exercise professional judgement. This applies in particular to the strict conditions for the allocation of specially adapted vans. You can get support for a trailer if you need to carry larger aids, such as: a wheelchair. The main reason for the conversion in 2003 was to increase resources following users with the most severe disabilities and the greatest need for special adaptation of their cars. The conversion also leads to more flexibility for the user group in need of standard passenger cars. These types of regulatory boundaries often lead to borderline cases that may be perceived as unfair to the individual. However, any amendment to the legislation at this point would be a budgetary matter and would also need to be assessed against other necessary measures. The Ministry does not have any concrete plans to make any changes to this legislation. However, I would like to point out that the Tool Option Committee will deliver its short-term option. Depending on the proposal of the sample, it may become relevant to consider any changes to this legislation as part of its follow-up.
ParlaMint-NO_2010-04-21.ana.ud1911e1095	First, I would like to thank you for your answer. I think it's a little sad that the Department – or the Council of State – is not now considering changing the legislation, unless there should be changes from the sample to which the Council of State referred. What I also want to point out is that in this specific case, it is about a person who has actually stated that Nav has made a mistake. Anyway, Nav chooses to go on with the same argument and not to think that this person is going to get a better and more worthwhile life. Reference is made to the TT regime, which we have not long debated in this Chamber, and all parties agreed that the TT regime is too bad. So it's not a solution for this person – nor for many others who have applied for a car. I hope, however, that the Council of State will take this matter into account – and some of the other matters that I am convinced the Council of State is well aware of – in order to look at the legislation, because it seems very unreasonable for people to have the opportunity to function in society to be severely reduced due to the fact that this car system is not being put in place.
ParlaMint-NO_2010-04-21.ana.ud1911e1104	We used approx. NOK 1.5 billion on trips to disabled people, so this is an area where a lot of money is spent. What the previous government did in 2003 was just to look at how to make sure you got the best offer for those who needed the most. That's the background of these regulations. What I've said is not that I don't want to evaluate this unless there's a call from the Tool Selection Board, but this has to be seen as a whole, because it's a resource framework where you have to distribute the funds in the best possible way to those who need it the most. With regard to this specific matter, I hope the representative understands that it does not allow me to go into any further detail.
ParlaMint-NO_2010-04-21.ana.ud1911e1111	Yes, I understand that the Council of State does not have the opportunity to go into specific individual matters. But what I think one should bring with it in this case is that doctors and all the actors with the exception of Nav believe that this is a person who should definitely be in the target to get this type of car. That's why I think it's a little sad that the Council of State was a little repulsive instead. Now she says she'll come back if the sample comes with recommendations, and I think that's very good. We know that there are many things, and we get a lot of requests about this particular problem. This is about the quality of life to be given to people who are ill. Having a car to get to and from things, and being able to participate organisationally in both voluntary work and other things, means a lot to individuals. Therefore, I hope that the Council of State will nevertheless look into this, and see if you can give the Nav case handlers an opportunity to exercise discretion.
ParlaMint-NO_2010-04-21.ana.ud1911e1118	So, as I said at the outset, there are clear rules for what falls under one or the other and not the discretion of the individual case handler. But it is clear that it will always be an assessment, and it will, as I said, also for some people might seem so that it feels unreasonably. As I said, I cannot go into this matter. I assume that Nav evaluates this properly. And then I repeat what I said: when we get the selection setting, you have to look at the whole of this.
ParlaMint-NO_2010-04-21.ana.ud1911e1128	«On TV 2 6 April d.a. it appeared that vessels which are actually recreational craft are registered in the Register of Marks for Fishing Vessels and that the owner is entitled to undue deduction of VAT. The register contains 1 150 boats with low or no income from fishing. Many of the boats are typical recreational boats, where there is no room for either fishing equipment or storage of catch. 30 years of sponsorship may have brought on the state up to 500 million. kr in the loss of VAT and other charges. What will the Council of State do to end this unculture?’
ParlaMint-NO_2010-04-21.ana.ud1911e1135	I would like to point out at the outset that the Merchant Register for fishing vessels is and will be the central register of the administration of active fishing vessels. The register shall assist both the fisheries authorities and other administrative bodies, including: the tax and tax authorities. Of course, as the top responsible for the fisheries authorities, I am concerned that the register is kept as correctly as possible at all times. It is essential for well-functioning management. The Director of Fisheries therefore undertakes annual clearances in the register to ensure that vessels are erased if they have not recorded sufficient catches. The TV 2 report claimed that more than 1000 pleasure boats could be misregistered in the brand register. I'm not familiar with how to get to that number. The Directorate-General for Fisheries has informed the Department that they assume that approx. 100 boats of the type mentioned in the case are listed in the trademark register, but only a few of them are registered without sufficient catch. These will be routinely deleted on the next roll. The Directorate of Fisheries has stated that they will also carry out an additional review of the trade mark register to see if there are vessels that should be examined in greater detail. At the end of 2009 there were 6,510 vessels in the trade mark register. Entry into the trade mark register has tax and tax implications and it is therefore important that the registration is correct. All vessels used for acquiring fishing, including in combination with other activities such as: recreational activities shall be recorded in the trade mark register. However, in the case of value added tax, it is important to be aware that entry into the trade mark register itself is not sufficient to obtain an exemption. It is related to the fact that the exemption is subject to the exclusive use of the vessel for acquisition fishing purposes. The VAT code lays down strict conditions to benefit from the exemption. Firstly, the vessel must only be used for fishing and must also be fit for both construction and equipment. In the case of smaller fishing vessels, the exemption is also subject to confirmation from the tax office that the buyer is registered in the VAT register and has, within the last 12 months, been placed on the market for fish exceeding the amount limit for registration. Furthermore, there shall be a declaration by the purchaser that the vessel is exclusively for use in professional fishing. Registration in the trade mark register is also a condition for exemption from the tax on marine engines and mineral oil and, for tax purposes, registration of fishing boats may raise specific questions regarding the justification of any depreciation deductions and other operating deductions relating to the boat. I am committed to ensuring that the fishing authorities and the tax and tax authorities have good cooperation to ensure that the registration provisions and the tax and tax laws are not circumvented. I have already agreed with the Minister of Finance that we will establish a procedure whereby the Directorate of Taxation and the Directorate of Customs and Fees will be informed by the Directorate of Fisheries when vessels are deleted from the register. I am also prepared to make changes to the legislation to make it more difficult to drive pure recreational craft into the brand register. The Directorate for Fisheries has for some time worked on a regulatory proposal such as: will link entry in the trademark register to maritime authority safety requirements for fishing vessels. The Directorate of Taxation and the Directorate of Customs and Fees will be given the opportunity to make recordings before the proposal is sent to the hearing. The Fisheries Directorate informs that they intend to submit the proposal to the hearing with the first. I am confident that the measures outlined will help further strengthen the management’s control of the non-circumvention of the legislation in question.
ParlaMint-NO_2010-04-21.ana.ud1911e1161	I thank you for the answer from the Council of State. It is positive that stricter requirements are imposed and that the Council of State takes this seriously. It was one of the directorate’s inspectors who pointed out the unculture that was, and the Director of Fisheries also confirmed that there were recreational boats registered in the brand register. There may be disagreements about the number — how many hundreds of them can be; the Council of State mentioned hundreds of them. That's not what I think is the most serious thing. What's serious is that you can find loopholes to register your recreational boats as fishing boats. The council says she'll look at this, and I think that's positive. It is important that the directorate knows the difference between a recreational boat and a fishing boat. Whether there are hundreds or thousands of boats, it doesn't matter to me. But how could it have happened that these have managed to get through?
ParlaMint-NO_2010-04-21.ana.ud1911e1172	It could have happened in several ways. First of all, I don't ignore the fact that someone is trying to cheat. It's going to hit it hard anyway. That's why you have that review of the trademark register every year. It is relatively easy to see differences between pure recreational craft and clean fishing vessels. I travel a lot on the coast, and I see that there are actually boats that you can call a combined vessel – i.e. vessels that are used for fishing, but that are also quite OK to go with. It's not forbidden. The fact that the fishermen have boats in which it is okay to live – here is the talk of living on board the boats – and that the boats are arranged in such a way that it is possible to live there, I have no problems with. What I'm having problems with is what's purely a violation of the law. Now we're doing everything we can to seal the loopholes to get in and not least to clean up what's going on.
ParlaMint-NO_2010-04-21.ana.ud1911e1179	I fully agree with the Council of State: a combined vessel must be possible. It must be possible to use the fishing boat during leisure time. But what's obvious is that some boats don't have room for fishing equipment. They have a pool and a little bit of each other, and there is no room for catching because there are so many cabins under the deck. They're the ones that exploit the system. I think it's important to point out that this doesn't work, because this is going to sponsor, to use the state's money to sponsor pleasure boats.
