ParlaMint-NL_2016-03-30-tweedekamer-5.u1	I would like to welcome the spokesmen and, of course, the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u159	It is indeed busy at the Legislative Office. It is very nice that at least an attempt is made to have it on time. That applies both to you and to Mr Van Weyenberg and to other groups. It's not an obligation, I say again. However, it is always nice to hear the advice of the Secretary of State during the debate.
ParlaMint-NL_2016-03-30-tweedekamer-5.u160	Certainly, Mr. Chairman. We can see that ourselves. Thanks also to the Legislative Office, which is working hard. The diesel surcharge in the bpm is designed to discourage the purchase of a polluting diesel. This measure has also worked well. That is why I do not fully understand the Secretary of State's ratio to reduce this supplement by 12%. The diesels subject to a surcharge benefit from the generic bpm reduction. Then why, according to the Secretary of State, is there still a need to reduce the diesel surcharge on top of that? I am also considering an amendment on this point. That's already in preparation. The Secretary of State expects a lot from the European source policy. This source policy, combined with the Dutch CO-dependent tax car policy, has in recent years led car manufacturers to sell relatively economical cars in the Netherlands, but also to sell less economical cars in other countries.
ParlaMint-NL_2016-03-30-tweedekamer-5.u161	I understand that these are two amendments. Do I also understand that one amendment covers the other? Is that how I'm supposed to see it?
ParlaMint-NL_2016-03-30-tweedekamer-5.u162	That is indeed the intention, but we are still calculating whether it is all going around. That's why there's still a little delay. I'm sorry, I can't do much about it. We're really doing the best we can. It is indeed the intention to put these two together, as it were, although I would like to table them as two separate amendments. I was at the source policy. With tax incentives for electric cars, this undesirable situation continues to exist in part, so what is saved in the Netherlands from CO below 130 grams per kilometre can, so to speak, still go into the air in Germany. We regret that. We also think that this is bad for all the money that is put in it. This could be overcome by looking at whether agreements can be made on a country-by-country basis in order to achieve this source policy. In the written reply, the Secretary of State states that this cannot be done at European level, but can he not attempt to pursue a more fair policy there? Otherwise, all our objectives do not make much sense. I would also like to ask whether the cabinet would like to work towards a more ambitious source policy. Steps are already being taken to achieve the CO2 reduction. As far as we are concerned, this could be more ambitious, because that is really effective, I repeat to the Secretary of State. I come to the last point: the 'from well to wheel' sustainability. Then you not only look at the driving but also at how everything is cheerful for that. If we are to bet everything on full electric driving in the coming years, then we must also ensure that this change actually leads to sustainability. This means that we need to make battery production processes more sustainable and that electricity for the charging stations must be produced in a sustainable way. I believe that Mr Van Vliet made a comment on this and rightly so, because if this electricity is not produced sustainably, it is not very sustainable. Then we will make a real contribution to reducing CO emissions. Is the Secretary of State willing to include this in the green deal for electric transport 2016-2020?
ParlaMint-NL_2016-03-30-tweedekamer-5.u163	I fully agree with the thrust of much of this argument, but certainly of the last piece, but is she aware that all public charging stations in the Netherlands supply green electricity?
ParlaMint-NL_2016-03-30-tweedekamer-5.u164	I'm not aware of that. Mrs Van Tongeren knows a lot more about this than I do, but I can imagine that if we are going to get a lot more electric cars, a lot of people are going to charge their cars at home. And yes, I do have green electricity, but I can't guarantee that all of the Netherlands has green electricity. In fact, I'm sure it isn't. Then that point just stays.
ParlaMint-NL_2016-03-30-tweedekamer-5.u165	No, unfortunately around 18%, 20% of the Dutch electricity is clean, but this has been specifically taken into account at the loading posts, because the reproach is often: there you have the plug car; it runs on a coal power plant. Fortunately, this is not the case, but we share the ambition that there will soon be a lot more clean electricity in the Netherlands so that, if more cars come, they can also run on clean electricity in the Netherlands. Eventually, it should all be clean by 2050.
ParlaMint-NL_2016-03-30-tweedekamer-5.u166	Yes. And I really relied on the loading poles, but let me put it this way: wherever that number is extended, it must also remain green electricity, as Mrs Van Tongeren also states.
ParlaMint-NL_2016-03-30-tweedekamer-5.u167	We too have green electricity at home despite the redness of my party. If I listen carefully to Mrs Schouten, she has a few comments here and there but is generally very positive about the legislative proposal as it stands.
ParlaMint-NL_2016-03-30-tweedekamer-5.u168	"Very positive" is a very positive qualification. I understand some of the cabinet's choices, although we had made some greener choices. I have also seen Mr Bashir's amendment in which he proposes to spread the 23% addition to other categories of bpm or mrb for private individuals. I think that's an interesting thought. I will assess the proposals made by my fellow Members on the question of whether we can make some improvements to the cabinet's plans on these points.
ParlaMint-NL_2016-03-30-tweedekamer-5.u169	That is good to hear, because in the end it is not just about greening but also about a fairer burden-sharing. I would be grateful if Mrs Schouten would also give that message to the cabinet.
ParlaMint-NL_2016-03-30-tweedekamer-5.u170	I have read Mr Bashir's amendment, which has been tabled. The only point is the way things are being rerouted, but I will ask him about that in the second term. That is, in fact, very general. If it is generally to the bpm, then it can also hit the Porsche Cayennes that are sold privately. Mr Bashir may need to clarify how he sees it. In any case, he must inform the Secretary of State of his intentions. That is what we will be basing our choice on.
ParlaMint-NL_2016-03-30-tweedekamer-5.u171	Mr. Chairman. The PVV would prefer to lower taxes for all car owners. The Dutch motorist is the largest milk cow in Europe, perhaps in the world. In the Netherlands, we pay 1.4 billion for the purchase of new cars via the bpm, 8 billion in fuel taxes, 3.4 billion in vehicle taxes, 1.5 billion in provincial revenues, and I am not even talking about the addition to income tax. Maybe the Secretary of State can tell us how much money this is about. So it's already about 15 billion that we're taking away from 8 million car drivers. That's $1,700 per car owner. Add to that the maintenance and depreciation of the car and the Netherlands is the most expensive country in Europe. A car driver loses twice as much with €600 to €800 per month as a motorist in Germany. How is that possible? The PVV doesn't believe in tax making. That is what the old system tried to do, but the new system has not yet sufficiently distanced itself from it as far as we are concerned. People aren't thiefs of their own wallet. After all, a person who opts for an economical, small car pays less fuel, less excise duty, less VAT, and he feels that every time in the wallet. He saves money. The same goes for a lease driver. When I used to have a job where I could pick out a lease car, I also looked at a cheap lease car, because I wanted a low catalogue price. A low catalogue price means a low addition in absolute terms. People aren't crazy. Creativity incentives are unnecessary and, as proven, inefficient. The CO reduction has been paid expensively so far. The General Court charged us that the treasury has missed 5 billion since 2007 because of this greening madness. The cabinet paid more than 2 billion in CO reduction in 2013. In other words, the General Court calculated €3,000 per avoided tonne of CO, while the same tonne on the regular trading system may cost a tenner. So the cabinet bought a good feeling and paid 300 times too much. The system must be on the shovel; so much is clear. With the new system, this Secretary of State tries to steer more efficiently towards climate gains and achieve more robust tax revenues and simplification. Is this really achieved with this new Car Letter? I must point out to the Secretary of State that the addition is indeed becoming more robust and simpler, but the bpm remains a CO Christmas tree with even a separate table for plug-in hybrids. That's too bad. The OECD recommends reducing the differentiation of progressive CO reduction. Why didn't this happen? The fixed rate has indeed doubled, but the underlying CO rates are maintained and even tightened. The Secretary of State wants us to believe that the bpm is going down by 12%, but I don't see that. In particular, I do not see this because the Secretary of State assumes that CO emissions are reduced by 3.7% a year. How realistic is that? What's that based on? And does that apply to all categories of cars? Indeed, as I pointed out in the case of interruption, a slurper is easier to save than a very economical small car. It is not for nothing that the RAI and the BOVAG fear that especially the small, economical cars will only become more expensive with this system, because further CO2 reductions prove impossible to achieve. That will have a counterproductive effect in the future. Smaller cars become more expensive and large containers become cheaper. Is that what the Secretary of State calls "sending climate gains more efficiently"? Finally, I have to think about the PvdA-myth to let the whole of the Netherlands drive electric in 2025. The PvdA, like this Secretary of State, talks about zero-emission driving, but forget that electricity must also be generated. Even if you generate energy sustainably, this will be at the expense of other households that also need renewable energy. This sustainability only matters when the whole of the Netherlands uses 100% renewable energy, solar panels and windmills, and on top of that a car will be recharged sustainably. I can charge my car sustainably, but in order to recharge my washing machine sustainably, 30 additional power plants are needed in the Netherlands, so I am pre-calculated, which run on fossil fuel. That's why there's hardly any effect. Or, so I ask the PvdA straight to the man, is the PvdA in favour of nuclear power? Because then we can make a profit.
ParlaMint-NL_2016-03-30-tweedekamer-5.u172	I'm not from the PvdA, but from the SP. So I cannot answer that question, but I do have a question for Mr Van Dijck of the PVV Group. As I understand it, he is concerned about the fact that many coal power stations need to be added to support the greening of the car park. However, I also understand that the PVV is not in favour of winning mills. Mr Van Dijck is concerned about coal power plants, but he is also against windmills. Why is the PVV against windmills? They will of course contribute to the greening, as well as the solar panels and so on.
ParlaMint-NL_2016-03-30-tweedekamer-5.u173	It's very simple. We are opposed to subsidies and windmills operate on subsidies. If there was a windmill that could be put on the roof at my expense and not subsidised and if I had a free choice to put it on my roof, that would be my choice and not a problem. It turns out again that we have paid €3,000 per avoided tonne of CO emissions here for years, while it may cost a tenner. We hate the idea of making things work that we can send anything with subsidies. The same applies to electric cars. Of course, it's no problem if there's an electric car that's cheaper than a diesel or gasoline car and I choose to buy that car myself, but not with a freestyle link here, or 4% add-on there. We don't like that. It is up to the consumer to choose for himself.
ParlaMint-NL_2016-03-30-tweedekamer-5.u174	I object that the PVV is against everything, never comes up with alternatives and tears everything down. In this case, plans of the PvdA are, quite rightly, broken down, but you are not dealing with anything yourself. For example, you do not propose to build or subsidise solar panels, or at least to support people in purchasing them. You're gonna squash everything, everything, but you're not gonna come up with anything. My question to the PVV spokesperson is: what is your proposal, what is your contribution to this debate, except for everything?
ParlaMint-NL_2016-03-30-tweedekamer-5.u175	I told you, we don't like subsidies. So you will never get a proposal from us to place solar panels with subsidies on any roof. In fact, we believe that subsidies prevent innovation. If there is a subsidy on solar panels, windmills or whatever, then the manufacturers will no longer have an incentive to encourage you to purchase solar panels, because you are already stimulated by that subsidy. If there is no subsidy, the manufacturer is much more stimulated to compete at a normal energy rate, just like a coal power plant. That's when you get innovation. Then you get the real greening.
ParlaMint-NL_2016-03-30-tweedekamer-5.u176	I hear Mr Van Dijck talking about being completely out of touch with tax subsidies and about the feasibility of society. I understand. Mr Van Dijck has critical comments on the letter and on the legislative proposal that is now before us, but he does say: 'Hey, are those steps forward?' That's what I'd like to hear.
ParlaMint-NL_2016-03-30-tweedekamer-5.u177	Again, I've studied it well. I think it's a missed chance that there's still some of that makeability, especially in the bpm. With the mrb on weight I can already imagine a bit more... that is a bit more robust... than with the bpm. I talked about that counter-effect if that 3.7% CO reduction were not achieved. I await the answer of the Secretary of State. As far as I'm concerned, it can't be that someone with a small, economical car is going to pay more bpm than someone with a big slurper. I'd say that's a counterproductive effect. It is a step in the right direction, but do not pin me on whether we will vote for it or against it. I shall leave it to the group to deal with it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u178	I felt a little challenged by the words of Mr Van Dijck. There is no doubt that a helping hand from the government is needed to stimulate new technologies, to break them and to allow them to be scaled. That's what you see in a lot of countries. This is also a very good thing for, for example, the competitiveness of the Netherlands. As far as energy generation is concerned, I note that windmills have become very large in the meantime. The yield increases quadratically with the wheel length, so if you build large mills, then the cost price goes down very quickly. Those mills can already set very competitive tariffs. So we also go to windmills that run without subsidies. I have another question for Mr Van Dijck. If he is totally opposed to subsidies, is he also opposed, for example, to tax facilities such as innovation boxes and investment and incentive schemes? Can we all get through that as far as Mr Van Dijck is concerned?
ParlaMint-NL_2016-03-30-tweedekamer-5.u179	As far as the windmills are concerned, all I know is that there is an SDE+ scheme. If a windmill were really competitive with a coal power plant, the SDE+ storage I pay every month would not be necessary. It raises 20 billion. I only know windmills as subsidies. Mr Groot may be talking about a little support in the back, but a little support in the back is something other than raising billions for greening and putting those things at sea. I don't believe in that. And indeed, I do not believe in innovation subsidies either. I believe in tax cuts. I want a low rate in the Vpb for every company in the Netherlands. Every company in the Netherlands understands that, if it is to survive in the long term, it has to innovate. Every product and every company has a life cycle. When companies, and especially the large companies that use all these innovation subsidies, have a nice product, they ask at the last stage if they can't score a subsidy on it. I don't believe in that. We need to move towards a low rate and an incentive for entrepreneurs to innovate themselves and be sustainable themselves. You're doing a durable job, and you feel it right in your wallet. There the helping hand of the government, that long arm of the PvdA, does not need to be used.
ParlaMint-NL_2016-03-30-tweedekamer-5.u180	Mr. Chairman. The Car Letter II is a step in the right direction as far as the CDA is concerned. The mrb is reduced, the bpm is reduced, the CO dependency of the car tax is reduced and for highly polluting diesel cars a roettaks has to be paid. We have discussed this letter in detail in committee, so I will not repeat all the points I have raised in it. However, I am very curious, especially after the last speech of all kinds of political parties, from the PVV to D66, by which majority this coalition wants to pass the Autoletter through the Upper Chamber. I remember the Tax Plan. Then Mr Van Weyenberg also changed at once as a leaf on the tree and perhaps we will have a similar situation. I'm very curious to know what negotiations are going on somewhere in a room. I accidentally look at the PVV or D66, or the SP, or the absent SGP, the Christian Union or the elderly parties. I don't know any of it. I want to make four more points. The first is about the reduction of CO. Billions of public money have been spent on stimulating economical cars. However, at European level, this has not actually brought environmental benefits. This plan also had a 4% addition for fully electric cars. This means that a car of €35,000 will cost a lease driver net €50 per month with 4% addition. Why do I call that amount? Tesla Model 3 goes into sale this week: €35,000. You can drive 300 kilometers, from 0 to 100 in three seconds and you're faster than any bolide. For the same reason, you can't drive a third-hand Volkswagen Lupo. According to the Nibud you pay $300 if you want to drive the smallest car there is and you have to pay for the gasoline and the like yourself. That's an incredibly big difference. I thought we learned from Volkswagen, Volvo and Mitsubishi Outlander. We have had a report from the General Court, which shows that it has cost hundreds of millions. But no. I predict that, in a year or six months' time, we will have an article in De Volkskrant stating how much these cars will be subsidised if this plan continues. After that, we will all be outraged by the General Court to ask how this could have happened. Indeed, a ton of CO costs €10 on the market and then we have again... how much was it, Chairman? You know a lot about that too!
ParlaMint-NL_2016-03-30-tweedekamer-5.u181	I'm just gonna change my hat. I ask Mrs Van Tongeren: €5 I think.
ParlaMint-NL_2016-03-30-tweedekamer-5.u182	€5. That's right. There are also some problems with that market, because market forces there are not yet optimal. There, some large industries are also given a great legacy. Anyway, if you want to get something out of that market, there are far more efficient ways to do that. At the Mitsubishi Outlander, the environment didn't yield anything either, because everyone kept on driving gasoline. That's gonna be different at the Tesla. I think it is a breakthrough technology, but should you subsidise it with thousands and thousands of euros per car in the mrb, in the bpm and especially in the addition? The CDA already had questions about this with the Autobrief I, by the way, together with the VVD and the member Van Vliet, at the time of the PVV. If only that amendment of ours had been adopted in its original form. That would have saved hundreds of millions. Is the Secretary of State prepared to encourage electric cars, but to take a real addition rate of, say, one percent or ten? Is he prepared to put an emergency stop procedure in the law, allowing him to immediately increase the count by AMvB and not to file a legislative proposal first? For example, a stock of many tens of thousands of cars cannot be placed on the market at a near zero rate. One of the recommendations of the General Court of Auditors, which has written several times on this subject, was: "Put together an annual overview of the budgetary impact of the policy on fuel-efficient cars and send it to the House of Representatives. Connect this overview to the results of the policy as much as possible. This is important for clarity." At the last survey this was still work in progress. Can the government promise that every year, for example, in the debate on accountability and the May letter, we will simply get an overview of what each new incentive measure costs, not a lot in the new letter, and about what the environmental impact and the effective environmental impact are? Then we can keep a finger on the wrist. We've talked a lot about one car brand here. Last time...
ParlaMint-NL_2016-03-30-tweedekamer-5.u183	Of course, there was a small amount of entrapment in that. I thought at first, "I'm just listening," but I can't help myself. Does the CDA agree that other types of measures may require similar action, for example the 1.25 billion which small and medium-sized enterprises receive discounts on the two main taxes on cars? Should we ask for a sudden emergency stop when it runs out of claws and it needs to be monitored? Or do we only monitor things that are necessary for the energy transition and say only to the importers of clean cars: that measure is still there, but we do not know whether it will be there in two or three months' time? This creates great uncertainty for only one particular group of car manufacturers and car suppliers.
ParlaMint-NL_2016-03-30-tweedekamer-5.u184	This recommendation of the General Court was very specific about environmental taxes. If Mrs Van Tongeren also wants to report on one or two other exemptions annually, I am fine with that. I would suggest that Mrs Van Tongeren should tell us what they are, so that the Secretary of State for Finance can respond calmly and tell us whether it is wise to do so every year in May. By the way, I thought it was brilliant that someone thought that Teslatáks is going to pay the normal rate that the rest of the Netherlands will pay from €50,000. It is the Teslakórting, or the Nissan LEAF-kórting or the Renault Kangookórting. It's a discount. They never pay an extra tax; they pay up to the regular rate paid by the rest of the Netherlands. I have to say, it was okay.
ParlaMint-NL_2016-03-30-tweedekamer-5.u185	I rarely get compliments from the CDA, so I put this in my pocket. The 1.25 billion consists of 500 million bpm exemption and 750 million reduced rate of vehicle tax for the entrepreneur, so call the white vans. We would like more green vans, so we would like to monitor these different exemptions, to see at what rate the white vans are more sustainable. So apparently together with the CDA we ask the Secretary of State if that can be monitored.
ParlaMint-NL_2016-03-30-tweedekamer-5.u186	Fine. I await the Secretary of State's answer. I hope, however, that we can limit this somewhat, so that we do not have an annual monitor on everything, but indeed only on the four or five most expensive measures. This measure is part of this; that is very clear. But I don't have to get a LPG monitor every year. I haven't forgotten the last lobby. He even delivered a personal ad, page-sized, to the undersigned MP in a national newspaper, a fiercely lobbying prince and all sorts of other things. The result was therefore the exemption of the Mitsubishi Outlander. I am very curious about this and I ask the Secretary of State to state very precisely what car brands have been in contact with the Ministry of Finance, the Ministry of EZ and the Ministry of I and M over the last three years, in order to argue for a particular car system. I want to know how many times and how. Then I am very curious about the result, including the amendments that are before us. So I'd like an overview of that. If there is any additional taxation, the CDA would prefer to reduce excise duties, not so much because we believe that excise duties cannot be high in themselves, but because we have not forgotten the problems in the border region. We ask the government to look into that. The second point is a point of a category which is in no way pathetic or which calls for pity on me. It's just a bottleneck that I suspect is going to perform. The more dirty cars currently covered by the 25% rate will be covered by the 22% rate from 1 January 2017. This means that for the new version of the car there is less addition than for the old version of that car. Based on that, you can construct all kinds of things. You can drive a new car. You can try to let the car in again, because then the moment of first admission applies. Is it not wise to bring those cars below the 22% rate for the purpose of implementation and fairness at that time if all other cars also pay a maximum of 22%? Or are we going to come up with systems again, so that they come under 22% via a U-turn or by taking over each other's license plates or whatever? Again, I am not saying this because I have sympathy for those cars, but because I have sympathy for the performance. The third point is that in the new Autobrief, fortunately, there is more taxing on the basis of the catalogue value and less on the basis of the environmental performance than in the old Autobrief. The selling price of a car is very easy to measure. It is not by accident that the Secretary of State for Finance bases almost all of his taxes on the transaction price. The VAT, the payroll tax, where the wage is the transaction price, the excise duty, then you still have to measure the quantity a little, but that usually also works as well as the tap water tax; it's all about the quantities or the transaction price. You can establish them fairly objectively and buyer and seller both have the opposite interest in fixing the price. One wants the price lower and the other wants the price higher. When taxing on an environmental basis, you have to measure the environmental performance properly and independently, otherwise you have a problem. Whatever you do, from the left hand side with the dirty diesels or from the right hand side, I wonder when we will finally get that decent measuring tool where the environmental performance will be more accurately assessed, we will find that measuring the environmental performance of cars is still just a mess and that the part of the load that is determined on an environmental basis is inherently unstable. Question 1: Last time we asked for a decent test; when will that decent test come? Question 2: At the time of that decent test, all cars in the Netherlands are placed in a different category, because it will show that there is another CO plate attached to it. Is everyone going to pay a different tax at the time? This question is somewhat in line with that of the VVD Group, because its feasibility could be difficult for the Tax Administration, let me add. The second environmental point concerns the motion of the VVD and the SP, which we have also supported, on the removal of environmental zones. Here it is proposed to introduce a roettaks. Those rocktacks are quite considerable for cars and is indeed not prohibitive for vans. €5 per month will not move people to buy another car, but also does not give them an action perspective to exchange that car. Other countries said at the time: we will also give you a premium to take that van to demolition and take a van with much better environmental performance. In fact, even cars with a subsidised exhaust system fall into that category. So it doesn't make any sense. Now we have two parallel systems. One was conceived by the Ministry of Infrastructure and the Environment in conjunction with the municipalities. The other was created by the Treasury Department, by the Tax Administration. Of these two ministries, completely different cars are allowed to drive anywhere. Soon we'll get a catalogue where the taxpayer can drive what car. I don't think that's very desirable. Can the Ministers and State Secretarys of I and M and Finance talk to each other and make a joint plan for the cars they don't want? If they are very old, polluting diesel vans, they can impose additional taxes on them. They can also give a premium if they are exchanged, so that the zzp'ers who often don't make so much money and who have been driving in those vans for fifteen years have an action perspective so that they can buy a new van. You're doing something like that for the inner cities. With the current policy, thezzp'er who lives in Alphen aan den Rijn will not be allowed to enter Utrecht, but in Delft, again not in Rotterdam and in Gouda. Guys, it really isn't. Some degree of harmonisation is even more desirable for vans than for mopeds and scooters, because that generally does not mean driving from one side of the country to the other. These are the kind of vans that do happen. We can, of course, again table motions and parliamentary questions, but we can also simply consult on them. Finally. We've been talking for years about the problem of involving everyone in the car tax when you lift it. One of the problems we constantly see is that people with foreign license plates are not properly dragged under the mrb. You can drive a foreign license plate for a long time. You will be signed up when you register, but if you come from another country and keep driving your mother-in-law's car, you will know with reasonable certainty that you will escape the charge. Is the Secretary of State prepared to use the 2 billion photographs taken through the PNR system of cars to see which cars have a foreign registration number for more than a few months to identify them and to ensure that they are subject to taxation? At the same time, can he make taxation easier for foreigners driving with a foreign registration number? If you work here temporarily for a few months, you should be able to register and unsubscribe your car from abroad with an online form, if necessary in your own language. That's not gonna get messed up. It must be easy to comply with Dutch law. We simply have to pay the car tax. I would like to hear the willingness to make a serious plan for this at last.
ParlaMint-NL_2016-03-30-tweedekamer-5.u187	The Secretary of State has requested a suspension of about 15 minutes in preparation for the reply.
ParlaMint-NL_2016-03-30-tweedekamer-5.u188	Before we begin the answer by the Secretary of State, I would like to propose to the spokesmen the following. In view of the time and in view of the intensive discussion that this proposal requires, I propose that only the reply of the Secretary of State be completed in the first term. There will be room on the plenary agenda next week to keep the second term, so that the bill can still be in the First Chamber on time. A second reason why I would like to introduce this to you, in addition to the late hour, because, of course, we all like to work long and hard here, is that there are ICT problems at the Ministry. That is why the amendments are a little later. I understand it's all soluble, but it helps us all to have the Secretary of State's advice before we keep the second term.
ParlaMint-NL_2016-03-30-tweedekamer-5.u189	Forgive the smile when I hear ICT problem and this Secretary of State. But we understand. I hope it's not in the report.
ParlaMint-NL_2016-03-30-tweedekamer-5.u190	No.
ParlaMint-NL_2016-03-30-tweedekamer-5.u191	Then we'll be reassured. That's what we're gonna talk about tomorrow. I think this is a good proposal and I will see if we can vote on Thursday, if the Secretary of State needs it for timely consideration in the Upper House.
ParlaMint-NL_2016-03-30-tweedekamer-5.u192	I'll give that suggestion to the planning.
ParlaMint-NL_2016-03-30-tweedekamer-5.u193	Good plan, but can I assume the second term is Tuesday?
ParlaMint-NL_2016-03-30-tweedekamer-5.u194	We're gonna find out. I'll let you know tomorrow. The draft weekly schedule will publish the preliminary planning of the second term.
ParlaMint-NL_2016-03-30-tweedekamer-5.u195	Agreed.
ParlaMint-NL_2016-03-30-tweedekamer-5.u196	I agree, too. I almost asked for a letter about the ICT problems, but I don't.
ParlaMint-NL_2016-03-30-tweedekamer-5.u197	Since we have the assurance that the problems will be resolved next week, I think they will be resolved sooner than the letter would have been there.
ParlaMint-NL_2016-03-30-tweedekamer-5.u198	Fine.
ParlaMint-NL_2016-03-30-tweedekamer-5.u199	Support for the proposal.
ParlaMint-NL_2016-03-30-tweedekamer-5.u200	I support the proposal. Unlike Mr Bashir, I do not need a letter. Moreover, I fear that it had become a handwritten letter.
ParlaMint-NL_2016-03-30-tweedekamer-5.u201	It's okay, too.
ParlaMint-NL_2016-03-30-tweedekamer-5.u202	Thank you for your support. I would now like to give the floor to the Secretary of State for his first-term reply.
ParlaMint-NL_2016-03-30-tweedekamer-5.u203	Mr. Chairman. During my first budget treatment as alderman in Amsterdam, I was responsible for ICT. It fell out on the night of the budget debate. Then we served all of Amsterdam with handwritten motions. What a beautiful subject this is. Everyone is interested in it and that makes it so good. There is a law on car taxes, and that, if I may judge it myself, is not a cautious development of what was there. That happens sometimes in taxation, but not now. I really see this as a necessary intervention in a system that had a lot of disadvantages over the benefits that were intended. I also see that if we were to go through with this, we would feel even more the disadvantages of this car policy. There are, of course, people and groups who have enjoyed this. In fact, many hybrid buyers come at me smiling and smiling and shoulder-beating and seem to have some kind of gloat about the advantage they have enjoyed themselves. But anyone who has not enjoyed the policies of recent years is, I am sure, the taxpayer, but also the regular motorist and certainly the private motorist. They weren't happy. The climate wasn't happy either. Let me first deal with the climate, which has played a major role in this debate. Here it is: the VVDer who believes that we really need to do something about the climate issue. If you don't want to leave a sovereign debt to your children, you shouldn't leave an ecological problem with your children. But then I think we should use the taxpayers' money as efficiently as possible. Then we have to be at least sure with what is called tax benefits, or subsidies, that we have the most climate gains for our money. Let me say even less ambitiously: at least what we do has to work. The least you can expect is that it does something for the climate. And it didn't. Since 2008, we have lost and sacrificed 6 billion in tax revenues with a climate effect of zero. In the AO I have done a small exercise in which I have argued that as a result of this subsidy we have emitted more CO2 in an absolute sense. That's a lot of good intentions, but the climate looks at us surly and has nothing to do with good intentions. I'm not making that up myself, that's what Policy Research Corporation and TNO say: there was no significant climate effect. The General Court calls our car policy'very inefficient'. The OECD concludes that the climate effect of our policies is "small or nonexistent." The Council of State is calling us to stop this. If we continue with this, increasing amounts of taxpayers' money will go to larger and larger cars. The new plug-in models are already ready and rarely have more than 300 horsepower and weigh more than 2,000 kilos. That doesn't have much to do with green anymore. What we have to face is the complexity of our car taxes and the ways to avoid them. It's not just about the feasibility that's bad. The other day I introduced the top twenty of difficult to implement tax regulations. The bpm is definitely in there. In recent years, there has been an entire industry in the Netherlands around bpm avoidance, which we cannot do anything about. There are bpm-taxators, there are bpm-importers, there are bpm-transporters, there are bpm-dumpers, there are bpm-dumpers, there are bpm-wheels-dumpers, there are bpm-wheels-dumpers, there are bpm-specialists. We now import 150,000 of our relatively new cars from neighbouring countries. That's what we do.
ParlaMint-NL_2016-03-30-tweedekamer-5.u204	Mrs Van Tongeren wants to place an interruption, perhaps a bpm interruption.
ParlaMint-NL_2016-03-30-tweedekamer-5.u205	When you hear the Secretary of State like that, you'd rather think he's a member of the opposition. If this is the government's analysis of its own policy, I would say do something about it! This is the government, which has proposed this policy. If the policy does not work, either for the climate or because it is too complicated, come in the Autobrief Act with policies that are much better for the climate. I don't like that policy. Or is it just said: we tried, it failed, now someone else has to figure it out? We have had a policy of poverty for 2000 years, and poverty has still not been resolved. But that is not why we say: we do not do poverty policy anymore, we tried it once, but we cannot. So what are the improved proposals in this bill? I haven't been able to find them. We tried once. I couldn't. You learn from that and then you come up with better policies. Where's that better policy?
ParlaMint-NL_2016-03-30-tweedekamer-5.u206	That is what Mrs Van Tongeren asked earlier and I am about to answer. Let me just take the part about the complexity. On this point Mrs Schouten asked whether the story about the bpm is not something of ideology. In all honesty: no, I didn't necessarily have anything against the bpm before I came here, but I've seen what the bpm does and what we can't handle anymore. I have a list of as many as twelve ways I will certainly not reveal it here to avoid the bpm. It is no longer ideology to do anything about it. It just doesn't fit in a country with basically a good tax administration, where we do everything we can. It's not supposed to be like this. We are not a country that keeps an entire industry going to avoid bpm. I see it as my duty to do this.
ParlaMint-NL_2016-03-30-tweedekamer-5.u207	We can't get that list out in the open. I'd like that. How many of these 12 ways of avoiding bpm will be made impossible if the present bill enters into force on 1 January 2017?
ParlaMint-NL_2016-03-30-tweedekamer-5.u208	I said that, as long as there is a bpm, there will be some degree of bpm avoidance. That's why I put this in place as a first step. It is not possible and certainly not wise to reduce the bpm to zero in one blow. Then the value of the entire fleet drops. Then we bring leasing companies and fleet owners to the begging staff. We can't do that. That is a very irresponsible policy and it does not fit a government. This is a first step, where it is noted that the lower the bpm, the incentive and the incentive to avoid it is also more limited. The avoidance will not disappear, it is an explicit first step. If Mr Omtzigt asks me to call on any successors to do something about it, I will certainly do so with enthusiasm.
ParlaMint-NL_2016-03-30-tweedekamer-5.u209	The Secretary of State says that there are more than 100,000 cars that, through parallel imports, do away with a large part of the bpm, with an entire industry behind it. Can the Secretary of State indicate annually how this is developing? I have talked about the gap of the mrb, well known, but I would have liked to have monitored the bpm hole to see if we can narrow it down. Otherwise the rest of the Netherlands can bring the weather happy, either within the car tax or somewhere else. Is the Secretary of State prepared to do so?
ParlaMint-NL_2016-03-30-tweedekamer-5.u210	That's what stings me. Others bring it up, of course, that's obvious. But if I knew exactly what the hole was and if I could quantify it, we could catch everyone. It's not like that. We know that there has been a huge growth in imports of young used cars. We also know that there are a lot of ways to lower the bpm. Some are smart and legal, others are smart and not legal. There are a lot of methods. In recent years, we have fought against the legal beers to try to make up all kinds of tricks. This has not been enough so far. So I can't quantify the hole. We can look at the growth of parallel imports. That's an indication, but no more than that.
ParlaMint-NL_2016-03-30-tweedekamer-5.u211	I would like to ask whether we can see this parallel import of all cars between zero and three years imported.................................................................................................................................................................................................................................................... Then we have an idea whether this gap is getting smaller or bigger and whether the policy is effective or not. Is the government prepared to do so?
