ParlaMint-NL_2016-05-18-tweedekamer-7.u1	I would like to welcome the Prime Minister and the Foreign Minister. I call Mr Voordewind.
ParlaMint-NL_2016-05-18-tweedekamer-7.u80	This also happened some time ago from Minister Asscher. At that time, it was about integration issues. We are extremely alert in all these matters. That's not just because it affects our core values, although that's the first reason we do it. This is where we stand as the Netherlands and this is unnegotiable. We are also alert to this because it is an important side aspect, but certainly extremely relevant, which can lead to exactly what Ten Broeke said in his first term: tensions within the community, sectarian tensions. That's the last thing you want in this country. We will do everything we can to prevent that. Finally, the question of the blacklist. We have no information that such a list would exist for Dutch travellers. Nor do we get any signals from the Dutch that they would be on such a list. However, we know that the Turkish authorities are keeping a so-called no-entry list to prevent the transit of people who want to join terrorist organisations such as ISIS. Finally, questions have been asked about how this is linked to the agreements on the flow of refugees. I continue to find it very interesting that a number of parties here say that we should suspend these agreements. I hear the CDA say that, I hear the Christian Union say it. I would point out, however, that only a few weeks ago large groups of people made the dangerous crossing from Turkey to Greece. The spiritual caretaker in Izmir sometimes had the hands literally full of funerals, ceremonies, to provide the families and relatives of people who had died during those passages with spiritual assistance and to manage the funerals. I think it's good news that that stopped, that those crossings have fallen by over 90% and that there are even days when no one crosses. This is also important because we have always found that the large numbers of people who come to Europe also lead to tensions in a society like the Netherlands, simply because people feel that this will change the Netherlands too quickly, that our values, our principles could change if we are not very clear to the people who come here. At the same time, we have also said that we will always be open to people who are on the run, but not in these numbers. We cannot act in this way as a society. Both from the immediate humanitarian point of view that the crossings have now virtually stopped, and from the knowledge that this can reduce tensions in Dutch society as regards the uncontrolled influx of very large groups of refugees into Dutch society, I find it really bizarre, may I use that word, Mr President? We agree that we do not have the same values in all respects, we do not like that and therefore we do not make agreements. That can't be true, can it? Then you can make agreements with very few countries in the world. Then that stream of refugees would get back on track. I have also heard Mr Sjoerdsma about this. Well, then I'd say, where's Pechtold's plan? He would come up with a big plan for dealing with the refugee crisis in the world. We never heard from him again. I assume that's his plan B then. But as long as there is no such thing, I hope these parties will understand that this cabinet and this coalition will continue to pursue this policy: humanitarian, reception in the region and proper reception there. That is why we are prepared to put money into that. It is about combating these life-threatening crossings, about the willingness, if the pressure on the communities becomes too great, to bring people from these countries to Europe, but in smaller numbers than they have come to us unregulated, at the same time in Dutch society, ensuring that people know that their neighbourhood, their society and the Netherlands as such are not suddenly experiencing major changes, which I do not want to see, which no one wants to experience, while maintaining our humanitarian principles. I would strongly recommend this in the attention of those groups. Against this background, I find the plea for the termination of these agreements incomprehensible.
ParlaMint-NL_2016-05-18-tweedekamer-7.u81	The comments of the Christian Union were made in the context of insecurity and human rights violations in Turkey. The Prime Minister can isolate that completely and talk about the boats, but we are all opposed to that. We are now receiving reports stating that Syrian refugees are being returned to the hands of Al-Nusra, an Al-Qaeda organisation. They're getting shot at the border. Those are elements that you have to consider...
ParlaMint-NL_2016-05-18-tweedekamer-7.u82	Sure!
ParlaMint-NL_2016-05-18-tweedekamer-7.u83	...the moment you do business with a country? We cannot ignore this, because we happen to need a country that stops the refugees, at least in the vision of this cabinet.
ParlaMint-NL_2016-05-18-tweedekamer-7.u84	Well, if that's the point, of course we agree. But I didn't get that impression from your contribution in the first term. Again, if that's your point, we agree. Of course, you have these kinds of signals to take extremely seriously. We discussed this in the previous debate when we discussed the outcome of the March Council. I refer to the role of the UNHCR, the role of the Commission, the importance which the Netherlands attaches to monitoring all such signals and, if necessary, taking action. We are in complete agreement on that. But that cannot be a reason not to make agreements with Turkey.
ParlaMint-NL_2016-05-18-tweedekamer-7.u85	But the Prime Minister is actually isolating any incident with Turkey. While, when we are talking about visa-free travel, I refer to the progress report by this cabinet and the Commission, which states that Turkey has still not signed the Refugee Convention. Then it is also about protecting refugees according to international agreements. Turkey still does not comply with that. This also has to do with visa-free travel and the acceleration that is now in it.
ParlaMint-NL_2016-05-18-tweedekamer-7.u86	That's a completely different discussion. Then you talk about visa liberalisation; Koenders will go into that more closely. A letter was sent yesterday, and we await the Commission's assessment of benchmark 65. We have heard Erdogan's statements about this. This will have to continue in the coming weeks. We see whether it is possible to take a further step there or not. We will have to wait and see for that in the coming weeks. It is agreed that this will happen on 1 July, if it already happens. That does not mean that you have to say now: then I will stop the refugee agreements and let go of those boats, with all the dangers of that: the enormous uncontrolled influx towards Berlin and Amsterdam that is getting back on track. I think that's very unwise. I would like to bring that to the attention of the House, because otherwise we are going to have a little too much fact-free politics here.
ParlaMint-NL_2016-05-18-tweedekamer-7.u87	I call the Foreign Minister.
ParlaMint-NL_2016-05-18-tweedekamer-7.u88	Mr. Chairman. I thank the Chamber for the questions I have been asked. I would like to thank the vast majority of the Chamber, which has once again underlined the importance of diplomacy in international relations, especially when we are dealing with something that has been of concern to us all, namely the arrest of a columnist, on the basis of a case which so directly affects freedom of expression, of press and of statements, everything we stand for in the Netherlands. By the way, silent diplomacy and open diplomacy are not necessarily opposites to each other. I think that quiet diplomacy is extremely important because our embassies know the lines of influence, the culture and the positions of power and have the contacts to be able to work to the maximum for Dutch people in the foreign world. That's really essential. That is silent diplomacy, and that is what it remains, no matter how annoying that sometimes is in the accountability to the Chamber. That does not mean, however, that the Prime Minister has also underlined that you do not then pronounce yourself publicly. I would also like to repeat what the Prime Minister just said. The fact that we are negotiating with Turkey on a number of issues relating to refugees, with asylum seekers, and I shall come back to this later, does not mean that we are not talking about freedom of the press. We have said publicly, here, publicly, in Question Time, but also in the press statements from the very first moment that this matter is of great concern to us. I will also say something about how we generally feel about freedom of the press, about the statements we have made on the subject and how we are trying to put forward those views, in a trend that is indeed negative in relation to the freedom of the press in Turkey. I believe that we are living in a time when it is particularly necessary to protect them, which means that a combination of open and silent diplomacy can be the most effective way of helping Dutch people in need. The Prime Minister has already addressed the specific issue. I would just like to say that we do not have a 'patch on the mouth' because we are also talking to Turkey about all kinds of other matters that concern the country. We cannot change that Turkey is where it is, with its geographical position between the Middle East and Europe. This brings me to a number of specific problems raised by a number of Members of Parliament with regard to freedom of the press. I share those concerns about the freedom of the press in Turkey. We have also talked about this on a number of occasions and, fortunately, we are not alone in our criticism, because it is widely shared. This is demonstrated, for example, by the Commission's progress report last autumn and by the European Parliament's report by Mrs Piri. Unfortunately, these negative trends are not new either. There have been different trends in Turkey over the past period from reform and openness to re-closure and restriction of freedom of the press. We have actually discussed this very extensively with our Turkish counterparts on a weekly basis. I'm meeting the Turkish Foreign Minister tomorrow, and I saw him yesterday. That case is constantly on the agenda. So we are not too afraid to appeal to Turkey because of our broad interests. I want to say again that that is simply not true. We didn't fall back when Mrs. Geerdink got into trouble last year. We also addressed the Turkish ambassador when last year a large Turkish media group was silenced and I believe we were one of the few countries where the Turkish ambassador was also called upon to do so. Thanks to the Dutch lobby, much of the IPA budget has gone to the core of Turkish homework, to strengthen the rule of law and better protection of human rights. We also tried, as your Chamber knows, at the European Council of Foreign Ministers, even when we were isolated, to push IPA funds in the direction of press, freedom of the press and freedom of expression. We have also expressed our opinion on what happened to Mrs Umar. I too am really glad and relieved that she is back, even though we know that this matter has not yet been concluded, but it is important that we have done so because she has been under such pressure, including from many Turkish fellow citizens, and we are all concerned about that. That is why we have really taken those positions on the basis of conviction. In this case, too, we have said that freedom of the press and freedom of expression are fundamental and that we are not going to negotiate with them. I think the Prime Minister has already said what is necessary. In the direction of the SGP Group, I would add that consular protection applies to everyone. This case of course became public because it was also a public figure, a columnist, so directly linked to the freedom of expression we represent in the Netherlands. At the same time, let there be no misunderstanding about that. We are not suddenly going to come up with different rules for someone who is familiar. Consular protection applies to everyone, without distinction. This also means that the Dutch Government is involved in its consular work at any time, including in the case of foreign journalists who may be less well-known. Of course, we are defending the Dutch journalists first, but we are also defending the freedom of the press in general and I have already mentioned a number of points on which we are active. In this connection, Mr Sjoerdsma asked about legal assistance. We are not going to separate a profession, all Dutch people are entitled to consular assistance. Nevertheless, I would like to say that the Netherlands is pro-actively defending journalists who are arrested abroad by obstruction of the freedom of the press. Indeed, there is a downward trend worldwide, even in Turkey, with regard to freedom of expression and the role of journalists. This has also been discussed on several occasions in recent weeks, regardless of this case, on the occasion of the Day of Freedom of the Press. The Netherlands itself has also taken a number of initiatives, for example with regard to the Russian-speaking media. We raise individual issues at EU level and in bilateral talks. We also attend journalists' trials. That is also what we are doing in Turkey. The Dutch government has been criticised for this by Turkey. Nevertheless, we are present. We also provide financial support to organisations promoting freedom of the press and journalists in need, including through the Human Rights Fund. Such assistance to journalists may include the provision or financing of legal assistance. An example is the Digital Defenders Partnership that supports the Netherlands and enables online journalists who are in trouble to receive legal assistance. We offer journalists of Dutch nationality who go to prison abroad in addition to the usual consular assistance also other forms of assistance. This applies in particular to rules relating to the death penalty. In other cases, prisoners may therefore be subject to conditions of detention, persons already in prison may be eligible for legal advice supported by the Netherlands by an independent organisation. We've talked about the PrisonLAW Foundation before. With this set of measures and facilities, there is no need for additional financial support for legal assistance to journalists.
ParlaMint-NL_2016-05-18-tweedekamer-7.u89	Not only journalists can get into trouble in Turkey when it comes to picking up for an expression of opinion. It can happen to other Dutch. Many Dutch people have been critical of Erdogan in the social media, and rightly so. They can be picked up in Turkey in the experience. Can the Minister guarantee their security in Turkey?
ParlaMint-NL_2016-05-18-tweedekamer-7.u90	First of all, I very much agree with you. That is why I said: let us not take out a separate group. It applies to everyone, to all Dutch. I have previously indicated, including in the media, that I cannot guarantee this. We've seen that, too. Otherwise, the whole Ebru Umar case would not have occurred at all. That became front-page news in Turkey, because people are very concerned that people are not travelling to Turkey because a Dutch minister cannot give guarantees. I cannot give it because insulting the President in Turkey is a criminal offence, as we know. If the insult is done publicly, that punishment can even be increased by a sixth. In that sense, I am not referring to the course of justice in Turkey. However, according to the Dutch interpretation of international law, legislation that makes it possible to prosecute a foreigner for an insult committed abroad is, for example, about twitters in the Netherlands; that is entirely of the crazy crazy crap is not lawful. Under international law, it is also not allowed to enforce this legislation through prosecution and arrest. If you ask me if I can give you a guarantee, the answer is no.
ParlaMint-NL_2016-05-18-tweedekamer-7.u91	If no guarantees can be given, is the Minister prepared to give a negative travel advice to Turkey?
ParlaMint-NL_2016-05-18-tweedekamer-7.u92	I don't think that's out of the question. Not a negative travel advice in general, because I believe that people should still be able to travel to Turkey for their magical reasons. It is true, however, that this case gives specific cause for people to assess the risks they are taking at this point. I can't guarantee that this won't happen. We are trying to avoid problems through Chapter 23 on freedom of the press and so on, but I cannot give guarantees. I'm gonna leave the action list out of time. The Netherlands is taking a large number of initiatives on freedom of the press. This is being seriously addressed, including through the reduction of IPA aid to Turkey. It is one of the lowest of the accession countries at the moment. I have also referred to a number of important elements relating to Mrs Piri's report on the subject. I come to a number of other issues relating to human rights. It has rightly been mentioned about the worrying case of Cumhuriyet journalists following an article on arms smuggling by the Turkish secret service to jihadist groups in Syria. At the moment, that case is on appeal. In that sense, of course, I cannot say much about that. It concerns a number of points relating to the publication of secret state documents for which prison sentences have been pronounced. There is no judgment yet on the membership of a terrorist organisation. Of course, we'll keep a close eye on that. We were also present at those trials. I just said something about that. With regard to benchmark 65 on visa liberalisation, I would like to say once again that Turkey will have to meet all the conditions. The Secretary of State said the same thing this morning. I also said it in the RAZ. That means that they also have to meet benchmark number 65. We are therefore waiting for the committee to reach its verdict in mid-June. Then we will inform the Chamber about the Dutch position on the matter. I come to the situation in south-east Turkey. Like other allies, the Netherlands has expressed its concerns about the situation. The Turkish Government, as well as the relevant Kurdish groups, must now lay down arms and resume the Kurdish peace process. That's not gonna happen at all. That's a bad thing. The risk of this is also that Syria's conflict could slowly expand towards Turkey. The European Union also has repeated talks with Turkey on this issue. In itself, the Turkish Government has the right to take action against terrorist threats, against ISIS, against the PKK. Of course, there is always the following element: proportionality, respect for people and international humanitarian law. Here too, the citizens are the most important again. They are now getting between two fires far too quickly: on the one hand the PKK, on the other hand the Turkish troops. That also shows how complicated that country, Turkey, is. Complicatedness does not mean that there is a lack of positioning or a lack of clear statements about what we think of those countries. I have discussed this with Mr Knops before. However, it is at the border with Syria. There is a huge problem of terror and terrorism. From there, yesterday, when it came to the international Support Group for Syria, the Netherlands spoke with Turkey precisely on this point. I fully understand that the Chamber wants me to support the call for access to independent research, as Zeid Ra'ad al-Hussein, the UN Commissioner for Human Rights, has also requested. We have already asked for an independent investigation. We have also brought this to the attention of the Turkish authorities. It is good if a country gives access to independent researchers. We will continue to argue for that. I would also like to mention the role of the PKK itself and its youth branch, the YDG-H. We shouldn't forget that either. It's not as black and white as it may be sometimes brought forward. With the rise of that YDG, the struggle has moved from the countryside to the city. That's very risky. Trenches were made on a larger scale and explosives were placed. There are attacks on security personnel. That brings me back to the earlier story. The fate of the citizens must be at our heart. This means that these points, including the curfews which the Chamber has referred to and the questions raised by Mr Ten Broeke, which I have previously answered, are directly applicable to them. A request was made for the waiver of parliamentary immunity. I believe that is what Mr Van Bommel asked for. I can only say at the moment that I am aware that the committee has agreed to a draft amendment to the Constitution. There has not yet been a plenary vote in Parliament. I cannot speculate on this at the moment and I cannot interfere with it either, but I can see that what has happened so far places an extra mortgage on the already tense and terrible situation in the south-east. I would point out, however, that this is, of course, also a responsibility of Parliament in Turkey. I assume that Mr Van Bommel is also talking about this with his fellow party members.
ParlaMint-NL_2016-05-18-tweedekamer-7.u93	We certainly do. Those concerns don't fall out of the sky. In the past, it has already been shown that the Turkish Government has to say that the Turkish authorities are using all kinds of existing laws to get parliamentarians convicted of political decisions. This concerns in particular HDP MEPs, then BDP MEPs, such as Leyla Zana. This new law abolishing immunity would make it much easier for this to happen. In the past, however, the Dutch Government has expressed its concern about this as a result of parliamentary questions on my part. I therefore do not understand the current reluctance of the Foreign Minister. The government then condemned the condemnation of parliamentarians on the basis of political statements. Can't the government just repeat that?
ParlaMint-NL_2016-05-18-tweedekamer-7.u94	I do not see why Mr Van Bommel says that I am not expressing my concerns about this at the moment, because I have just said that this places a huge mortgage on the relationship within Turkey and, above all, with South-East Turkey and a number of Kurdish regions. I would just like to point out that there is no parliamentary decision yet. I can't anticipate the facts. That's why I'm saying this the way I'm saying it now. That has little to do with restraint. I come to the questions about visa liberalisation, even though not many new questions have been asked. I can only repeat what has been discussed in previous debates today. As I have just said, there is no question of negotiating with the rules or not raising certain issues because of a particular deal. This is also illustrated by the way in which we dealt with the Ebru case and, more generally, by the strong negotiations with other countries. That's the reality of today. Turkey is Turkey. We have been asked how you could raise that even more sharply. As is well known, the Netherlands also believes that the very chapters of the rule of law should be discussed. However, you should not go in a different direction with criteria and elements of agreements because of agreements we have with a country where it is located, where there is refugee problems and with which we are negotiating, where good progress is being made at the moment. I also discussed the matter of Doctors Without Borders and Human Rights Watch in general this morning. Of course we take these messages seriously. We have therefore asked the UNHCR, which has been given a greater role in Turkey, to ask about this. I believe that I have answered the questions of the Chamber.
ParlaMint-NL_2016-05-18-tweedekamer-7.u95	We have indeed had the progress report on visa liberalisation. I happened to be in another room in a debate with Secretary of State Dijkhoff. So I couldn't be at that debate. I do have a question about the conclusions that the Commission is now drawing in the third progress report, namely that Turkey meets all 28 benchmarks in the area of migration and border management. However, we know that the rights of non-Syrians are not yet guaranteed in Turkey. How is that consistent?
ParlaMint-NL_2016-05-18-tweedekamer-7.u96	Firstly, we need to distinguish between the benchmarks of visa liberalisation and the benchmarks directly related to the refugee deal. By the way, both have to comply with the standards we have put together. Let there be no difference of opinion on that. The visa liberalisation was specifically about benchmark number 65. That is the most sensitive one, and it has also been raised by the Chamber today. This benchmark also covers freedom of press and expression in the context of the fight against terrorism. There must therefore be a change, or at least an amendment, of the legislation in Turkey. That has not yet been done and we shall therefore look very closely at it. That is certainly important in view of what I have heard here today. This is specifically about legislation that concerns whether you could abuse what we have just talked about: freedom of the press in the light of the fight against terrorism. That's point one. The second concerns the agreements between Greece and Turkey on refugees. There is also, in part, another aspect to this, namely that it must work according to the agreements made in the international legal frameworks. This is not a completely different matter, but it is another element of the negotiations between Europe and Turkey on the refugee issue. I think it is also important on that point to underline that we are making enormous progress on human rights. For example, the number of deaths at sea is reduced and Turkey is caring for 2.6 million refugees. Here we can suck a little bit more, just to put it this way. As regards the issues related to the protection of Syrians and non-Syrians, I note that the number of people returned is still relatively limited precisely because everyone has to comply with all those rules. This should enable you to apply for individual asylum in Greece. Progress has also been made on the non-Syrians. I am very hopeful that that element of the deal will also work.
ParlaMint-NL_2016-05-18-tweedekamer-7.u97	That is precisely where the difference lies with the European Commission. The European Commission is actually saying that Turkey meets the 28 benchmarks on migration and border management. If I call them off now, I can even see in the comments of this cabinet's progress report that Turkey does not yet meet the benchmarks, because it is not yet settled for non-Syrian refugees. It is a key element of the Refugee Convention that not only the Syrians are being picked out of it now, but also the Iraqis, Somalis and Afghans are entitled to care, health care, education, etc.
ParlaMint-NL_2016-05-18-tweedekamer-7.u98	But the most important thing is that nothing happens there that is not in line with the international right of asylum. That's the point. Of course, we want the case even better. Mr Voordewind is aware of the debate in Turkey: when it comes to non-Syrians, it is not about direct protection or supervision of them, but about the risk for Turkey that this will have an attractive effect. This is now being monitored by the UNHCR. We are pleased with that.
ParlaMint-NL_2016-05-18-tweedekamer-7.u99	If I am correct, the Foreign Minister has not yet answered my question about the possibility of abandoning dual nationality. I see this somewhat in the light of the discussion I had with the Prime Minister about the fact that a number of Turkish Dutch people feel hindered by their dual nationality and that that long arm that is so often spoken of affects them. My question was whether it is possible to urge the Turks to make it easier for those who want to renounce Turkish nationality.
ParlaMint-NL_2016-05-18-tweedekamer-7.u100	That question has indeed to do with the procedures for giving up your nationality. This is basically something of the Turkish Government and of the Turkish legislation in this area. It's not impossible to do that. I do not believe that people would not want to do this because of the severity of the procedures. I haven't heard that element so far. As far as we can facilitate it or make it easier, we are happy to do so, but the core is that people have to make that choice themselves. Then the Turkish Government takes a whole series of decisions twice a year, if I am not mistaken.
ParlaMint-NL_2016-05-18-tweedekamer-7.u101	That is absolutely true: it is an individual choice. The point is that people who are currently prevented from saying what they think because the Turkish President then says that as long as they have that nationality, he has something to say about it, he can renounce Turkish nationality. Those people are running into trouble right now. In this context, I would like to mention, for example, the right of inheritance and Turkish military service for Turkish men. Those are some of those elements that make it more difficult to really complete that choice. Do I understand correctly that the Foreign Minister says: I am going to look at what I can do to make this easier and to make it possible to discuss it with the Turkish authorities?
ParlaMint-NL_2016-05-18-tweedekamer-7.u102	It's not so much "making discussion." Turkey is about its own nationality legislation. I really can't help it, whether we like Turkey or not. Turkey is about its own nationality legislation. Any Turkish with a dual nationality can, as you know, apply to renounce Turkish nationality. As Mr Knops is well aware, there are two complex elements: there must be no criminal proceedings and the person concerned must not be on duty. The Turkish Council of Ministers then decides every few months on the applications submitted. I can't change those procedures; I'm not about that. I can make anything talkable. I'd also like to help and facilitate those people if they want, but I can't do more than that. I can't say you have to change the law. It really is Turkish nationality law. Nor would we accept that in the Netherlands.
ParlaMint-NL_2016-05-18-tweedekamer-7.u103	The reason I'm asking you this is the following. It has an impact on the problem in the Netherlands itself, as we have just discussed: people feel hindered, do not feel free. Double nationality may be the cause of this in a number of cases. In that sense, there is also a Dutch interest in making this negotiable, in order to bring it before the Turkish authorities. Then we can see if they at least do not create formal obstacles, i.e. whether they make it easier to do so. That was my question. Of course, it is Turkish responsibility - we are not talking about it - but is the Minister prepared to put this point down to his colleague?
ParlaMint-NL_2016-05-18-tweedekamer-7.u104	I think that has happened in the past. I'm very willing to do that again. However, I say in all honesty that I do not expect that to change very much, because Turkey will say: this is our national legislation. I am prepared to do anything, particularly in the light of what the Prime Minister and the Minister for Social Affairs have said: we do not want people to feel constrained in some way. Our country is a country of active tolerance. In part, it has nothing to do with double nationality, but to a large extent it has nothing to do with double nationality. As far as this is concerned, I will comply with what Mr Knops is asking. However, I cannot change Turkish legislation on this point.
ParlaMint-NL_2016-05-18-tweedekamer-7.u105	Please continue.
ParlaMint-NL_2016-05-18-tweedekamer-7.u106	I thought that would have answered the questions of the Chamber.
ParlaMint-NL_2016-05-18-tweedekamer-7.u107	That's what I thought. Thank you. I'm looking at the MPs to see if there's a need for a second term. That's the case. Speaking time is 1 minute and 20 seconds.
ParlaMint-NL_2016-05-18-tweedekamer-7.u108	Mr. Chairman. I would like to thank both directors for their reply. I must say that the feeling of threat remains: threat from Turkey to Dutch Turks, or Dutch people of Turkish origin, but also to Dutch media, who suddenly receive letters. I therefore ask the cabinet to be on top of it and to continue to appeal to Turkey that it should not make such threats to the Dutch. The Prime Minister also mentioned isolation. I'm having trouble with that anyway. I see an accumulation of problems and of insults by Dutch people. I wonder how much further it has to go. What should Turkey do if we want to re-establish relations with Turkey? Let me give you an example. UNHCR has been asked to monitor. I thank the Cabinet for that, by the way. If it shows that people are being sent back to Syria after all, is that a show-stopper? I'm sorry to use this word; I don't think there's another word for the continuation of the Turkey deal? I ask for a serious answer from the cabinet. I am tabling two motions because I was not entirely convinced by the answers of the cabinet. One is about delivering Mrs. Umar. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a criminal case in Turkey against a Dutch columnist;]] [[whereas the Netherlands has an extradition treaty with Turkey;]] [[calls on the government not to cooperate in the possible extradition of a Dutch columnist to Turkey,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-V-62]]
ParlaMint-NL_2016-05-18-tweedekamer-7.u109	Because there were still uncertainties, including in the progress report, about the acceleration...
ParlaMint-NL_2016-05-18-tweedekamer-7.u110	Just read it out, because you are way past your speaking time.
ParlaMint-NL_2016-05-18-tweedekamer-7.u111	...on visa liberalisation, I come to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission has already submitted a legislative proposal on visa liberalisation for Turkey;]] [[calls on the Government not to agree to the entry into force of visa liberalisation Turkey before it meets all 72 benchmarks, including compliance with all obligations laid down in the UN Refugee Convention,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-V-63]]
ParlaMint-NL_2016-05-18-tweedekamer-7.u112	Mr. Chairman. Thank you to both members of the cabinet for the answers. Like the previous speaker, I am left with an uncomfortable feeling, where I feel that Erdogan has too much influence in the Netherlands and the European Union and is given too much space to take away people's freedom through intimidation. I heard the sum of Mr Ten Broeke's sum and I actually found it to be cutting wood. Then I looked at the Prime Minister and I did not actually hear very clearly that an investigation would take place. I think it would be good, also in view of the events in other European countries, not only in the Netherlands, to include this with fellow prime ministers in other European countries. How do we deal with Erdogan's long arm? Unfortunately, the freedom of the press is getting worse. At the same time, the Minister is not prepared to set up an emergency fund for journalists in distress. There are cases where that has been necessary. The NVJ and Free Press Unlimited think it's important. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas freedom of the press is a major asset;]] [[whereas Dutch journalists are regularly prosecuted for their work abroad;]] [[Whereas journalists are often entangled in legal procedures where due to a lack of financial resources they lack good legal assistance;]] [[calls on the Government to set up a support fund for journalists in need of financial assistance for legal procedures abroad,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Sjoerdsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-V-64]]
ParlaMint-NL_2016-05-18-tweedekamer-7.u113	Mr. Chairman. For Ebru Umar things have turned out well, but of course it is a dime on its side and that dime has not yet fallen in the right direction. Moreover, the Prime Minister has explained to us that there are not so many legal opportunities to extradite her from the Netherlands, but if Mrs Umar is staying in a third country where those legal restrictions that we apparently have do not apply, she could be extradited from there. So she's not safe yet. More importantly, what has the Prime Minister actually learned from this affair? 'Cause tomorrow could just happen again. And the day after tomorrow and the day after and so on. I am referring to such things as demanding billions of dollars, demanding visa freedom, demanding accelerated entry into the European Union, threatening to open the locks for lucky seekers if you do not get what you want and calling for an atmosphere of threat to anyone who would like to make a critical note about Turkey and Erdogan and his party. I'm not gonna use the "a" word today, but that's all monkey stuff, isn't it? What did the Prime Minister learn from that Islamofacist in Ankara?
ParlaMint-NL_2016-05-18-tweedekamer-7.u114	Mr. Chairman. I thank the government for the answer. It has become clear that in foreign policy there is still quiet diplomacy and that it is very badly tolerated with an excess of stark testimonial politics and screaming. Whether it is a left-handed finger or the middle finger of the PVV, in both cases they go back in the ears when abroad talks and then it becomes quite difficult. Mr Sjoerdsma just said that he likes the investigation. That's interesting. Last year, on 2 July, a motion was tabled by Mr Karabulut and my colleague, Mr Sjoerd Potters, in which the government was instructed to carry out a follow-up study on Turkish organisations and currents in the Netherlands, with particular reference to the management of the financial flows of these organisations and the danger of the emergence of a parallel society. In fact, we are talking about that long arm that we have talked about today. We are still waiting for the results of that follow-up investigation. The government didn't care about the investigation. That is why I am asking, partly on behalf of Mrs Karabulut, where is this investigation going? I think that this debate has shown one thing. If we do not see the incidents as stand-alone, we would like to know what the Dutch Government has found. I might add that at that time the research was requested by the Christian Union, the SGP, the SP, the VVD and the PVV. Unfortunately not because of the CDA, D66, GroenLinks and the PvdA, but perhaps these parties think differently after this debate. That criticism, ridicule and even insults within freedom of expression can be contradicted, refuted or resisted is, in my opinion, the crux of an open and resilient society. Freedom of expression cannot tolerate intimidation, anonymity and culture. Tolerance itself is the first victim if we abandon those for intolerance.
ParlaMint-NL_2016-05-18-tweedekamer-7.u115	Thank you, Mr President-in-Office of the Council. You know that very well.
ParlaMint-NL_2016-05-18-tweedekamer-7.u116	Yes, but when it comes to freedom of speech, it can...
ParlaMint-NL_2016-05-18-tweedekamer-7.u117	No, you do it all the time. I give the floor to Mr Van Bommel.
ParlaMint-NL_2016-05-18-tweedekamer-7.u118	Mr. Chairman. I have three points. In the first term, I congratulated the Prime Minister and the Foreign Minister. That has also been noticed outside this room. "Unrecognized" it was called. We must also have the courage to look at it from the other side. The image should not now arise that you get preferential treatment if you are a well-known Dutchman. That's what needs to be said. Otherwise, I will be getting calls from a lot of people from abroad asking me when they will be called by the Prime Minister. I'm gonna have to disappoint those people, I'm afraid. This was an exceptional situation. I think it is necessary for us to warn Dutch people who travel to Turkey about this development. It has been a development for the last year and a half. The number of 2,000 is from the last year and a half under President Erdogan. That law always existed, but now charges are being filed. I am surprised that the travel advice for Turkey on the Foreign Affairs website does mention an increased risk from pickpocketing in Istanbul and that the warning is given that the jeweler should not be put under pressure to buy anything. I think that this is a much greater danger for Dutch people, because certainly the Dutch of Turkish origin may well have a view on the President or the policy pursued by Turkey. My appeal to the Foreign Minister is therefore to put a few sentences on the website on this too. As far as I am concerned, the travel advice is very extensive.
ParlaMint-NL_2016-05-18-tweedekamer-7.u119	Thank you very much, Mr Van Bommel. I call Mr Bontes.
ParlaMint-NL_2016-05-18-tweedekamer-7.u120	Mr. Chairman. I'll file the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that Ebru Umar is not extradited to Turkey,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the cabinet cannot guarantee that Dutch people who have spoken critically about the Turkish president, for example on social media, will not be arrested and prosecuted if they go on holiday to Turkey, for example;]] [[calls on the government to put in place a negative travel advice for the whole of Turkey,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-V-65]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-V-66]]
ParlaMint-NL_2016-05-18-tweedekamer-7.u121	Mr Bontes, Mr Van der Staaij has another question.
ParlaMint-NL_2016-05-18-tweedekamer-7.u122	This is a more practical question. We already had a Voordewind motion about not handing it over. What is the added value of this new motion on this issue?
ParlaMint-NL_2016-05-18-tweedekamer-7.u123	I ask for guarantees in my motion. Mr Voordewind is asking not to cooperate. Guarantees really go a little further than not cooperating. So the motion goes one step further. That's why I filed this motion. I thank Mr Van der Staaij for this question.
