ParlaMint-NL_2016-03-24-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-24-tweedekamer-4.u86	After these thirteen weeks, the article which states that the efficiency requirements also apply to the decision to withdraw indications for a complete package at home or a modular package at home.
ParlaMint-NL_2016-03-24-tweedekamer-4.u87	Where do you read that?
ParlaMint-NL_2016-03-24-tweedekamer-4.u88	In the law. In practice, you get the situation that it won't be as much a conversation as the Secretary of State means: "Is it wise?" And "Shouldn't we want something else?" In practice, you get the situation that is said: "This concern is no longer effective. You have to go to an institution. The thirteen weeks are over. We have an institution for you 40 kilometers away." I think this analysis is correct, and we all don't want it. That's what we all say here: we don't want anyone going to a place he doesn't want to go. What are the penalties for getting a healthcare office to buy a place that does meet the reasonable requirements of distance?
ParlaMint-NL_2016-03-24-tweedekamer-4.u89	That is precisely why it is wise to use some time to maintain the pressure on duty of care. That is not to allow the client to suffer after the thirteen-week period, because if there is no place, the increased bridge care will have to continue because otherwise it will not work. Then, however, the need to find a place will become even stronger. I really think that we should continue to ensure that the healthcare offices continue to do their best to ensure that the period is as short as possible, but the client should not suffer from this. I have also pointed out that the situation is often the other way round: as it takes longer, the question of care becomes so difficult that sometimes it stops at home and you come to the conclusion that someone has to go to a place that is unfortunately not the preferred one but where he gets the care that is needed.
ParlaMint-NL_2016-03-24-tweedekamer-4.u90	Finally.
ParlaMint-NL_2016-03-24-tweedekamer-4.u91	But then in your congregation, or at a reasonable distance, there's an institution where a room is empty. That's where you call and you say, "I want to be in this room because I can't do it anymore." And then the healthcare institution says: I understand, but the healthcare office didn't buy enough places from us. What's that?
ParlaMint-NL_2016-03-24-tweedekamer-4.u92	In such acute situations, a solution is always found. That's one. Secondly, that is exactly why we are talking about how to further enhance customer follow-up in the system. That goes in two ways. Firstly, the current system already examines whether health care firms already take account of customer preferences they know in advance, for example on the basis of the waiting list. Secondly, we want to introduce to the future the next person's funding, which automatically allows us to follow the client's preference.
ParlaMint-NL_2016-03-24-tweedekamer-4.u93	Mr President, one final question.
ParlaMint-NL_2016-03-24-tweedekamer-4.u94	No, um...
ParlaMint-NL_2016-03-24-tweedekamer-4.u95	Where is this in this...
ParlaMint-NL_2016-03-24-tweedekamer-4.u96	Mrs. Keijzer, um...
ParlaMint-NL_2016-03-24-tweedekamer-4.u97	Mr President, this is fundamental.
ParlaMint-NL_2016-03-24-tweedekamer-4.u98	Everything is fundamental, but when we make agreements with each other, I also want them to be respected.
ParlaMint-NL_2016-03-24-tweedekamer-4.u99	I have one more question, Mr President. Where does the Secretary of State say in this bill now? Then we are done; then we have legally regulated what we all want with each other.
ParlaMint-NL_2016-03-24-tweedekamer-4.u100	Mrs Keijzer, I would ask you to stick to the agreements we make with each other. The Secretary of State.
ParlaMint-NL_2016-03-24-tweedekamer-4.u101	I do not know whether this answer satisfies Mrs Keijzer, but this is at the heart of the duty of care. The core of the care obligation of the care office in an indication for the Wlz is: if there is a need for a place in an institution, the care office should ensure that this place is found. This means that a deadline has been set within which that must be done. In this legislative proposal we arrange for there to be bridging care which is a little heavier than usual, if it is necessary in those thirteen weeks. Well, then you can. If it is not settled after thirteen weeks, that period can of course be extended, but there is pressure on the healthcare office to do so. There is also the supervision of the Healthcare Authority at the healthcare offices. With these thirteen weeks, we have an instrument in our hands to check whether the healthcare office is doing its best.
ParlaMint-NL_2016-03-24-tweedekamer-4.u102	I am surprised at this debate, because I think we are finished. However, I understand Mrs Keijzer's question as to where it is arranged. The thirteen-week limit is now quite hard in the law. I think it was also the reason why Mrs Keijzer had the need to table an amendment. Mrs Bergkamp has also tabled an amendment. Of course, we prefer a solution within thirteen weeks, so a place in the setting of preference and otherwise the bridging care. But if it's not settled within 13 weeks, it shouldn't stop. In that case, the increased efficiency requirements should not apply. That's what I hear the Secretary of State himself say. So to get it all done, I ask the Secretary of State: how do we get what we want?
ParlaMint-NL_2016-03-24-tweedekamer-4.u103	Mr Van Dijk has read in the legislative proposal that the efficiency requirements do not apply in those cases where bridging care needs to be regulated. We'll take care of that in this bill. There's no record that they're due to expire after the 13 weeks. Those thirteen weeks concern the operation of the instrument to the healthcare office. That means there will be an extension after those 13 weeks. Only I said: pay attention, the situation will often be so that it is not that problem, but simply the simple fact that it is no longer at home. This means that the pressure on the care office to complete the duty of care in such a way that someone finds a place can be linked to those thirteen weeks. Then everyone can see to what extent the health offices manage to do so. Is there a sufficiently active policy on this?
ParlaMint-NL_2016-03-24-tweedekamer-4.u104	I therefore understand that there is no hard limit at the end of the thirteen-week period and that this time limit can therefore be extended. This is in line with the amendments tabled by the House.
ParlaMint-NL_2016-03-24-tweedekamer-4.u105	It is not arranged for the increased bridging care to stop after those thirteen weeks. This bill deals precisely with the fact that this increased bridging care is there. The deadline of 13 weeks has an effect on the care office and not so much on the client.
ParlaMint-NL_2016-03-24-tweedekamer-4.u106	I'm getting a little abdominal pain from this discussion. We have seen in the past how painful an indication could be. Then the terminal indication was only issued for 13 weeks and if someone hadn't died, the end story was. We said that we should not do that. Aren't we in such a situation now? We do this for the health offices, but isn't it the result that it just gets in the hands of the people?
ParlaMint-NL_2016-03-24-tweedekamer-4.u107	No, I don't think so, just because of the guarantees we're creating right now. On the one hand, there is a time limit within which the care offices are supposed to complete the duty of care. On the other hand, there is a bridging arrangement which allows the client in such a situation not to have to meet the requirements normally laid down in the law. Moreover, there is supervision by the Dutch Healthcare Authority and that makes it possible to check whether healthcare agencies are doing their best. Then there is an ultimatum remedium: the law also provides for the possibility of setting out conditions for the ministerial arrangement to be applied by the healthcare office. That way we can keep an eye on whether this is necessary.
ParlaMint-NL_2016-03-24-tweedekamer-4.u108	Finally.
ParlaMint-NL_2016-03-24-tweedekamer-4.u109	Of course, you can also get the situation that the healthcare office is just waiting until the crisis is so big that someone is forced to go where they don't want to be. That's kind of the annoying thing about the Secretary of State's explanation. People like to wear out their last years as close as possible and as well as possible. That is what policy must be aimed at. Time limits, incentives, pressure and efficiency ensure that discussions are about other things. If your care costs are just €1 more expensive if you stay at home for a while, you have to go to an institution that has been selected for you. That can't be the way the law works, can it?
ParlaMint-NL_2016-03-24-tweedekamer-4.u110	Allow me to say that we are dealing precisely with the fact that this is not the case. We arrange for the requirements contained in the law to be simply put aside in the situation where bridging care is needed. I also said that we do not arrange for it to stop, but that we believe that the healthcare office should continue to do its best to arrange it as soon as possible. This can be monitored. Moreover, we have a ministerial arrangement which can lay down detailed rules if necessary. I think that we can keep an eye on whether things are going well with sufficient guarantees.
ParlaMint-NL_2016-03-24-tweedekamer-4.u111	Does the ministerial regulation stipulate that, if a room is available in the nursing home of choice but the care office has not sufficiently purchased, the care office is obliged to buy a place in it? Well, then we're done.
ParlaMint-NL_2016-03-24-tweedekamer-4.u112	No, because you can never do that at individual room level at settings. The aim of the care purchase is to purchase sufficient care from institutions throughout the country and also from healthcare offices in the region. This leads you to decide in advance: at so many institutions we buy in so many places. The healthcare office often does not complete this, as it may need to be able to respond to changing healthcare questions by mid-year. For this there must be some flexibility in the system. We are going to a system in which personal succession is regulated in its generality. Of course, you cannot require a care office under ministerial regulation to buy a room from an institution. I don't think Mrs Keijzer would want that either, would she?
ParlaMint-NL_2016-03-24-tweedekamer-4.u113	Why not? We are discussing this with each other. In my opinion, after the thirteen-week deadline, people can end up in the situation of having to go to an institution they do not want to go to, because care is no longer effective. That is the ground for refusal in the Wlz and the ground on which you can withdraw an indication. It's possible. If you come to the conclusion at some point that it is no longer effective to be at home with a full or modular package and you have to go to an institution, that is exactly one of the grounds for refusal. I understand the idea that we want to take care of this, but I am asking how we can prevent someone from going to an institution after thirteen weeks. So I am looking for sanctions; that is what I said in my speech. One of the possibilities for ministerial regulation in these situations is to say no more than 9 000 people: a room is available here, someone can enter it and we are going to make sure that it is bought in. The Secretary of State says two opposite things. First, he says that it is regulated for the whole year and then he says that flexibility should remain possible. I am looking for a flexible arrangement that prevents someone from being admitted 50 km away against his will.
ParlaMint-NL_2016-03-24-tweedekamer-4.u114	That is precisely why we say: make sure that a place is sought which is preferred and arrange in this bill that if that place is not there, bridging care can be created which, if necessary, can go beyond the rights under the law. I have said that we have arranged that this bridge care does not end after 13 weeks. However, we do want the care office to be under sufficient pressure to find that place. Then you can't say: if there's a room somewhere empty, must the care office buy it? Maybe someone else is eligible for that room. Of course, in acute situations, we must always be able to act. In practice, someone is looking for an institution and he or she decides whether or not to wait. Sometimes the care office is asked to intercede. In acute situations, efforts should be made to find a solution to this problem. Then you do not have some sort of purchasing arrangement with ministerial arrangement for a problem that has to be solved if that scheme still needs to be made. That's not how it works.
ParlaMint-NL_2016-03-24-tweedekamer-4.u115	I would like to give the Secretary of State the opportunity to go further on this. He's been at it for half an hour now, and he's had four minutes to speak. As a result, he has barely reached the questions asked. Is that all right with you, Mrs. Leijten?
ParlaMint-NL_2016-03-24-tweedekamer-4.u116	When the Secretary of State brings up the practice, I always have a practical example.
ParlaMint-NL_2016-03-24-tweedekamer-4.u117	I'm sure of it.
ParlaMint-NL_2016-03-24-tweedekamer-4.u118	These are poignant examples of people being ripped out of their environment, because it is not possible to go to the care or nursing home nearby. In the past, the Secretary of State never said that he was sorry that people who had to leave the nursing home because it was closed had to move to another village eleven kilometres away. Then why would he stand for that now?
ParlaMint-NL_2016-03-24-tweedekamer-4.u119	I suggest that the Secretary of State should take this comment with him in his follow-up statement. Mrs Leijten always has the opportunity to go into that again.
ParlaMint-NL_2016-03-24-tweedekamer-4.u120	All measures, including in this context, aim to take into account the client's wishes as much as possible. We put pressure on the process to find a good place. From my letter Wonderful life with care it can be inferred that we also place the position of the client and the residents more at the centre in a more general sense by assuming patient succession and not so much from regional budgets in the buying-in and financing of care. I think I've answered most of the questions about bridging care. Some questions have been asked about the five-day funding. This is mainly an administrative arrangement. The transition from care based on Wmo and the Health Insurance Act to an indication based on the Long-Term Care Act may take some time before the administration is complete. Those who provide the care can then pay for another five days so that they can be properly taken over. There is no other policy behind that. This is intended to make it administratively easier. The Wlz indication starts from the first moment and parties have made this agreement to arrange this administratively well. It seems to me only sensible that they have agreed to this in such a way as to allow this to land well in the administration.
ParlaMint-NL_2016-03-24-tweedekamer-4.u121	This complicates the assessment of the financial impact of the various health care laws. That's why there's five days each time someone's in one system but they're paid out of the other. We all know that indicative processes do not run from today to tomorrow. Why not just, knowing that there's an indication coming, say: on this day we start paying out?
ParlaMint-NL_2016-03-24-tweedekamer-4.u122	Because it's useful to take some time to settle that. That's it. It is not the case that this has a huge shift in budgets as an effect. As far as that would happen, parties are man enough to ring the bell, I know from experience. In that sense, I don't think it's gonna cause any problems. I shall come back to Mr Van Dijk's specific proposal when I comment on his contribution. A number of specific questions have been asked about bridging care. I'm not sure I understood Mrs Leijten correctly when she asked about rehabilitation care. Rehabilitation care as such is included in the Health Insurance Act and not in the Long-Term Care Act. In rehabilitation, it is important that older people with a temporary additional care question whether they need to be monitored for a short period of time can go to an appropriate institution. It could be that Mrs Leijten is talking about the first-line residence. This can take place in the home situation but also in rehabilitation care. We have made a number of agreements with each other on how to streamline and shape it better. We have also made some extra money available for this. Perhaps Mrs Leijten can clarify it in the second term if I have misunderstood her question. Mrs Keijzer and Mrs Leijten discussed the question of the obligation to contract. If a contract obligation were to be introduced again, there would not be so much financial consequences as there would be the risk that care would be bought from healthcare providers where we had doubts about quality. If healthcare agencies are obliged to buy care from all institutions, we are very much lost from the discussion we are having with each other, such as the discussion about quality and how to do it in a different way, following on from person. We have talked about this before, and I would not be in favour of it. Finally, on this point, I would like to address the question of why the transition from the ggz is not included in this legislative proposal. We made the agreement that the health care institute will come up with an opinion on this. I expect the cabinet response in May. On that basis and on the basis of the choices made, I will discuss with the Chamber whether that would require amendment of the various laws. It might be good to go into the house adjustments now, because a number of comments have been made on this...
ParlaMint-NL_2016-03-24-tweedekamer-4.u123	Before you continue, an interruption on the previous point, Mrs Leijten?
ParlaMint-NL_2016-03-24-tweedekamer-4.u124	Yes. I think it's good to ask when you need to go to a care facility and who decides for you to deal with the distance and time criteria as well. What is a reasonable distance according to the Secretary of State? And can health care agencies act like health insurance companies, saying, "You're only gonna go for a new hip"?
ParlaMint-NL_2016-03-24-tweedekamer-4.u125	A reasonable distance will always be very individual. That has to do with someone's individual situation, but also with the type of care. There may be forms of care that are only provided in a few places in the Netherlands. That is a completely different criterion than when you are wondering what is reasonably feasible. I think it is really good if we give care firms and clients the opportunity to look at what is reasonable and what is acceptable and unacceptable in the individual situation. I have no illusion that we in this Chamber can standardize or regulate that for everyone. We need some room in the system so that we can discuss it with each other. However, we must, of course, ensure that care obligations are properly complied with, that they are monitored and that, if we have any doubts, we consider what further measures we could take. It is necessary to look at how this is done and to make agreements on an individual level. That's really very essential.
ParlaMint-NL_2016-03-24-tweedekamer-4.u126	If there is only one institution that provides certain care, then you must travel far. However, if several care institutions provide certain care and you would like that care to be close, then at this moment a care office can say: sorry, you cannot go there, because I have not bought any care there and I find it reasonably possible that you go from Haarlem to Zandvoort, or from Didam to Zeddam, or from Murderrecht to Gouda, or from Gilze to Breda. This while it's very far-reaching decisions. I want to know from the Secretary of State what he thinks is reasonable. I think that's a reasonable question.
ParlaMint-NL_2016-03-24-tweedekamer-4.u127	I think this is an unreasonable question. Which institution you go to, whether the distance to it is reasonable and whether that is acceptable to you or not, is a very individual matter. Mrs Leijten will also agree with this in all the examples she knows. Whatever we make up with each other, it's not like there are all kinds of institutions in the Netherlands where places are empty and they're waiting for someone to show up. Sometimes it may be that in your own village or city there is an institution where you can go or where you want to go and you are willing to wait for a spot to be released. Sometimes, however, the situation at home is so serious that you have to go to another place because it provides responsible care. So that depends on the seriousness of the care and on how long you can wait, where your acquaintances are and how your family feels about it. We cannot and should not want to do that in The Hague. This should be agreed between the parties in reasonable terms. I assume that everyone wants to do the same with that intention. If that does not go well, we also have procedures for it.
ParlaMint-NL_2016-03-24-tweedekamer-4.u128	There's always a need for consultation. If there is a crisis, you must be able to get somewhere quickly. However, it is specifically mentioned here as something that can be applied by the healthcare office. And then the alarm bells start ringing with me. In that case, care offices can set the conditions and they can say: Mrs Arib, we think it is very reasonable that you should live 25 km away. And where are you? What legal basis do you have? So you have to get that out of the law. Then you just have to say: there must always be good consultation and all parties must agree. Then you shouldn't include in it that a care office determines what a reasonable distance is. That just has to come out.
ParlaMint-NL_2016-03-24-tweedekamer-4.u129	I think it is only reasonable that you should arrange for someone to have the right to a place in an institution and that as long as there is not yet, there is a need for bridging care and that you can arrange for more care than is normally provided for in the law. So you come to the conclusion that in someone's situation, it's reasonable. I do not just mean reasonable in financial terms, because we have some rules for that in the law. In the vast majority of cases, the main question will be what is still justified in terms of substance. In a lot of cases I come across, we all have personal experiences, and it's not about that question, but more about how long people will last at home, choosing to stay at home as long as possible and only at last saying: if you have to, do it, because it won't last at home. Then I come to the question of house adjustments. When I observe the questions raised by the various Members on this point, the following points are made. It was arranged in a certain way. We all thought it would be better, under the Long-Term Care Act, to create a one-stop shop, in the sense that home adjustments and tools could be arranged from a single window. In all conversations about that transfer, however, we ran into a lot of questions. How do parties feel about that? It is going well now and what exactly is the added value of this transfer? Those are all questions we're looking at right now. I understand the Chamber very well. I do not think I fully agree with the conclusion that postponement should be postponed, but I understand the question of the Chamber to me to look at the variant of set-aside. I'm willing to do that. My criterion for this is: what is the best in the client's interest? The idea was to do it from a one-stop shop because this would be the most useful thing. However, if its benefits do not outweigh its disadvantages, such as the transfer and the regulation whereby each party has to change all kinds of procedures, then I am prepared to look at that variant as well. Give me the opportunity to discuss this with the parties again. Then I come to a number of specific questions. Mrs Leijten asked whether the indicative guidelines could be sent to the House of Representatives. I will. I would like to point out that last year the Wlz 2015 Policy Guidelines were sent to the Chamber. That's what a VSO was about. In the AO Act of 3 March, I undertook to send a letter in response to Mrs Leijten's case. I will also send the CIZ Policy Guidelines Wlz 2016 to the Chamber.
ParlaMint-NL_2016-03-24-tweedekamer-4.u130	The bridging care can be carried out with retroactive effect. That's what this law's gonna do. However, does the Secretary of State recognise that if you no longer qualify for the Wlz because the directives have been tightened up so that you have to be completely out of control and need very, very intensive care, it is actually paper that we are dealing with here and not reality?
ParlaMint-NL_2016-03-24-tweedekamer-4.u131	Mrs Leijten is assuming that the CIZ indication rules have been tightened up in such a way that this leads to all kinds of other issues. I invite her to use the policy guidelines that I will send to give an indication that she already has in 2015 and she will be given the one about 2016 to review her own premise.
ParlaMint-NL_2016-03-24-tweedekamer-4.u132	Finally, Mrs Leijten.
ParlaMint-NL_2016-03-24-tweedekamer-4.u133	I have seen from someone who needs a lot of care, a rejection of the indication because he can direct himself, call for help and wait for that help. Those are three criteria that mean you don't belong in the Wlz if you can hit a bell. If these are the criteria for an indication in the Wlz, then the bridging care will apply to a very, very limited group.
ParlaMint-NL_2016-03-24-tweedekamer-4.u134	Mrs Van Leijten assumes two assumptions. The first is that the criterion would be "push the button." Quod nun. The second assumption is that you don't get care if you don't qualify according to the criteria of the Wlz. Quod nun. In these cases, there are provisions, both in the Wmo and the Health Insurance Act, which, of course, must provide the appropriate care needed for the person concerned. It is not that there is only good care if you are eligible according to the Wlz. That would be the reverse world. If there are claims under the Health Insurance Act or if appropriate provisions are required under the Wmo, I assume they will be met. Once again, I invite Mrs Leijten to test her assumptions on the basis of the documents she receives. Then the question as to why small-scale accommodation facilities are excluded from the WTZi requirement. Budget holders can freely choose their healthcare provider. So that doesn't have to be a WTZi setting. During the introduction of the Long-Term Care Act, we made an exception for the accommodation. The obligation to buy that care from a WTZi institution was only applicable for the accommodation. Today's bill doesn't really create an exception, but it undos an exception. So after the adoption of this bill, the WTZi requirement expires for all purchases of budget holders. Mrs Leijten does, by the way, touch on another point. That has to do with the renewal agenda A decent life with care that I have sent to the Chamber. If care in kind is possible, while unnecessary care is bought in and could only be done through a pgb, I would find both undesirable. I would then like to promote that it is also easier for small-scale funded pgb institutions to buy that care. In fact, a number of health offices are also working on it at that time. I agree with Mrs Leijten on this point. We should not go to a personalised budget for small-scale care, but also to small-scale care agencies where this is indicated. I would also like to come back to that when I discuss the letter 'Werkelijk leven' with concern, which I hope I will be able to discuss with the Chamber soon.
ParlaMint-NL_2016-03-24-tweedekamer-4.u135	In this repair legislation, the WTZi requirement is deleted.
ParlaMint-NL_2016-03-24-tweedekamer-4.u136	For sleepover.
ParlaMint-NL_2016-03-24-tweedekamer-4.u137	Yeah, for sleepover. But that's an exception to the rest. That is why I ask the Secretary of State, if the exception for pgb-funded sleepover care expires, why does he not look at the obstacles in the WTZi to buy in kind care from other small-scale care institutions? That's the question I asked.
ParlaMint-NL_2016-03-24-tweedekamer-4.u138	So we undo an exception; that's one. Two: should it no longer be possible to buy in care in kind, even when it comes to small-scale institutions so that they do not have to opt for pgb financing? I agree with Mrs Leijten. The practice is that it can be done. I would like to go into more detail with the Chamber in the debate on how we can further promote this. You can see that care agencies are already doing this and are already thinking about this. They used to be financed out of pgbs, but maybe they don't have to. You notice it's possible in practice. Mrs Leijten asked whether the approval of budget holders by the Social Insurance Bank would also apply to the pgb in the Youth Act and whether that would be possible. She also asked if this is a new problem. Yeah, that's gonna work for both the Wmo and the Youth Act. This adaptation will improve the organisation of tasks already assigned. The Sociale Verzekeringsbank is also currently responsible for the labour law test on the care contract, but now has to refuse payments afterwards. With this ability to pre-check, the process is easier and more efficient. This is also in the interest of budget holders and providers.
ParlaMint-NL_2016-03-24-tweedekamer-4.u139	I have a brief question about the previous point. In my view, Mrs Leijten's question was 'I have that question too'. That is sensible, but does it still exist for care in kind in the same small institutions? That wouldn't make any sense. You would say that it expires for small-scale accommodation, whether it is funded out of care in kind or from a pgb. You're gonna get that right.
ParlaMint-NL_2016-03-24-tweedekamer-4.u140	At the time, it was not for nothing that we said to each other, including from the point of view of governance, that it is wise to make a number of demands to institutions in which there is long-term residence, whether they are small-scale or large-scale. One of them is the WTZi requirement. Sleeping quarters are very temporary. Do you really need to talk about a residence? That may be a very strict requirement. That is why the exception that has been made has been undone. The follow-up question is whether the WTZi requirement is an obstacle to the procurement of small-scale institutions. That is actually the essence of the question. I don't think so, but I'm willing to look into that. In practice, there are many small-scale institutions that can increasingly be contracted by health offices. In advance, I do not see that there are the biggest bottlenecks. However, if Mr Van Dijk asks me to look carefully at this in the context of the debate on decent living, the answer is yes.
ParlaMint-NL_2016-03-24-tweedekamer-4.u141	I'm very glad the Secretary of State wants to look at the latter. In my opinion, it should not matter whether a small overnight shelter is financed by pgb or is financed by care in kind. In both cases, of course, the authorisation requirements "WTZi requirement' must be the same. I'm glad the Secretary of State will look into that.
ParlaMint-NL_2016-03-24-tweedekamer-4.u142	Mr. Chairman. I come to the questions of the D66 Group which I have not yet answered in the context of bridging care. I'll start with the removal permit. The consultation of the grant decision is indeed a factor in the direction of the municipalities. Mr Van Weyenberg also pointed out this. Both municipalities and certified institutions, the Children's Protection Board, the Public Prosecutor and the Judicial Council, have asked about their experience of how this has so far been dealt with in the new system. We have promised before that I will inform the Chamber about this in more detail in the coming summer. Mr Van Weyenberg asked me to do so. I certainly want to do that. Then the speed. The Civil Code states that there is no urgent need to wait for a decision by the College to grant it. The article allows to apply for an authorisation to move out without submitting a grant decision if the young person's interest so requires. In such cases, more speed can indeed be achieved. I've been asked if I share the concerns about the conditional authorization. The conditional authorisation instrument is included in the Youth Act to allow a young person who is actually eligible for admission to a closed accommodation to receive youth assistance under specific conditions outside that accommodation. I can't do that without the judge's intervention. This will only happen if the person concerned agrees to the conditions. The judge then assesses in advance whether a young person may be placed in a closed position and under what conditions that might be averted. These conditions must be in the youth's plan. Thereafter, there should be a factual assessment of the youth aid provider concerned whether the conditions laid down by the children's court can be complied with and whether, if they have been violated and the young person is severely hampered in development, it cannot be excluded from the closed accommodation. If the young person does not agree with that factual judgment, he can refer it back to the children's court. So it's complicated, but there's always a judge's judgment. If the person concerned does not agree, the case may also be referred to the children's court. This seems to me to be sufficient to ensure that it does not take place in any other way than is intended by the legislator.
ParlaMint-NL_2016-03-24-tweedekamer-4.u143	The judge may decide on this afterwards, but do I understand the Secretary of State that there is always, in the possibilities he mentions, a judge's opinion in advance? Did I get it right?
ParlaMint-NL_2016-03-24-tweedekamer-4.u144	The judge shall assess in advance whether a young person may be placed in a closed position and under what conditions. I come to Mrs Keijzer's questions. We've already exchanged all the necessary information about the care purchase. I also replied to the question on the authorisation of removal. Those were Mr Van Weyenberg's questions. The funding of the various domains was requested. I have already addressed this in the general answer. The orthocommunicative treatment was requested. The problem is that the orthocommunicative treatment of autism involves unproven effective care laid down in a report by the Healthcare Institute. At the end of September 2015, the Healthcare Institute indicated that this care is not eligible for conditional admission to the Health Insurance Act. According to the Healthcare Institute, there is no reason to believe that the regular ggz, the Youth Act and the adult ggz, are not sufficient. Kentalis, the provider of this care, has decided to stop this care after a period of careful phasing out. Care is offered so far in the Eindhoven region. Kentalis now works constructively with municipalities, other partners in the ggz and appropriate education in the Eindhoven region on the transfer of clients, on the communication of a client with autism and employees with experience in that target group. That consultation in the Eindhoven region is going well, I get reported. It seems to me that we have ensured in this way that care for these clients can continue in a responsible manner.
ParlaMint-NL_2016-03-24-tweedekamer-4.u145	I understand that the answer to my question whether the Secretary of State would like to talk to the VNG to make this part of the procurement through the framework agreement of top-regional care is no.
ParlaMint-NL_2016-03-24-tweedekamer-4.u146	It would be a little strange if we had an opinion from the Healthcare Institute saying that this is not proven to be effective care, to require that care to be purchased nationally.
ParlaMint-NL_2016-03-24-tweedekamer-4.u147	Hasn't that been a consideration under the basic Health Insurance Act package? So it is not a question of whether it is proven effective in the context of medical care, but of whether it can be part of guidance for young people with autism. Or does the Secretary of State say that what we've been doing there all these years has been unnecessary, because it didn't make any sense and didn't add anything?
ParlaMint-NL_2016-03-24-tweedekamer-4.u148	The process of conditional admission is that you do it for a while and then look at what the results and effects are, so that you can also see whether it is effective or not. It now comes out that it is unproven effective care. It would be a step too far for me to say now: thank you for this conclusion, we are going to oblige the municipalities to purchase it nationally. This would not be sufficient to take account of the opinions delivered on this issue.
ParlaMint-NL_2016-03-24-tweedekamer-4.u149	Does that also apply to the inpatient treatment of these children? If so, why include a subsidy scheme in the Long-Term Care Act?
ParlaMint-NL_2016-03-24-tweedekamer-4.u150	This grant scheme is set out in the Long-Term Care Act to allow for a financial basis to ensure that the project has been financed during the conditional authorisation period. It is a subsidy scheme which is intended only to be able to pay legally the activities carried out under that conditional authorisation and to achieve a responsible phasing-out.
ParlaMint-NL_2016-03-24-tweedekamer-4.u151	So, what, you're gonna stop the grant scheme?
ParlaMint-NL_2016-03-24-tweedekamer-4.u152	Yes.
ParlaMint-NL_2016-03-24-tweedekamer-4.u153	As of 1 January 2016.
ParlaMint-NL_2016-03-24-tweedekamer-4.u154	As of 31 December 2016.
ParlaMint-NL_2016-03-24-tweedekamer-4.u155	So the only reason why this is included in the law is to provide a legal basis for the grants granted?
ParlaMint-NL_2016-03-24-tweedekamer-4.u156	Exactly. Mrs Keijzer also had a question about labour law in relation to the debate on drawing rights. The employment test has already been invested in the Social Insurance Bank. The improvement plan ensures that the Social Insurance Bank can also operationalise that task. We have to wait and see whether these alternatives will also lead to a change of opinion on the review of labour law. We will be able to look at that in due course. Mrs Keijzer asked a question about the distribution of profits. At the Eerste Kamer, a change in the WTZi is in progress which, after acceptance, means that in-house facilities, which are also included in small-scale housing facilities, may not make a profit, and extramural facilities, which include small-scale accommodation facilities, may make a profit. Moreover, this situation has existed for many years. I think this distinction makes sense, because we distinguish between extramural and intramural, which we have been doing for some years. I have already made a number of comments on the withdrawal of the WTZi.
ParlaMint-NL_2016-03-24-tweedekamer-4.u157	The Secretary of State says he thinks it makes sense that accommodation facilities are not included, but why?
ParlaMint-NL_2016-03-24-tweedekamer-4.u158	Because accommodation facilities do not involve in-house care in the sense that there can be a long-term stay in these institutions, which was the reason for that distinction at the time. So I think it is logical that a lodging facility should be seen as a care other than an in-house accommodation facility.
ParlaMint-NL_2016-03-24-tweedekamer-4.u159	That is correct, but it is a question of whether we want to allow a profit distribution. The bill, which is in the First Chamber, states that a profit distribution is not allowed for care with residence, inpatient care, because we do not want profits to be paid over care financed by Wlz premiums. But why wouldn't that also apply to sleepover facilities? After all, we know that there are health care institutions that are getting bigger and bigger as a result of mergers.
ParlaMint-NL_2016-03-24-tweedekamer-4.u160	The scale is another issue. The distinction made in the bill, which lies in the First Chamber, is the distinction between intramural and extramural. I indicated to you that accommodation facilities are considered to be extramural institutions, because there is no permanent residence. That is the distinction that has been made in the question of profit distribution.
ParlaMint-NL_2016-03-24-tweedekamer-4.u161	Mrs Keijzer, do not raise a new issue and really stick to the subject.
ParlaMint-NL_2016-03-24-tweedekamer-4.u162	But why? I can't help but wonder why it wasn't chosen in one case and the other. Wouldn't the Secretary of State care to put a few sentences to that?
ParlaMint-NL_2016-03-24-tweedekamer-4.u163	When can profits be distributed or not? The balance in the legislative proposal has to do with how it is long-term financed and with what resources it is financed. So the question is exactly what you want a profit distribution to apply to. That is why it has been said about inpatient facilities, which have been long-termly financed by contributions, that they are not there. In the case of short-term facilities in the home situation that are extramural, we know many institutions that provide care from their own company. The municipality must then be able to consider whether or not it wants to buy care there. There are a lot of private institutions where that happens and we do not want to hinder the distribution of profits in these cases.
ParlaMint-NL_2016-03-24-tweedekamer-4.u164	Secretary of State, before you go any further, I'd like to hear from you how much time you think you need for your first term.
ParlaMint-NL_2016-03-24-tweedekamer-4.u165	Mr President, I hope to be able to conclude in 15 minutes.
ParlaMint-NL_2016-03-24-tweedekamer-4.u166	I regret to have to disappoint you, because I really want you to complete the answer to the questions quickly. If you can't do that, I'm gonna have to interrupt you somewhere around 1:15 p.m. It would be nice if we could finish the first term for that time.
ParlaMint-NL_2016-03-24-tweedekamer-4.u167	I understand your appeal to the members of the Chamber, President.
ParlaMint-NL_2016-03-24-tweedekamer-4.u168	And to you, too!
