ParlaMint-NO_2003-03-19.ana.ud31e28	The representative of Geir-Ketil Hansen will make a private proposal.
ParlaMint-NO_2003-03-19.ana.ud31e1092	At the time to which the representative refers, it is correct that one of the arms organizations, the Arms Association, has the position to which this is referred. Most Norwegian organisations dealing with weapons have accepted the legislation, but on the basis that we show confidence in those who are willing to take responsibility. That's what shooting teams do, these organizations do. We've just been given these additional provisions in order to intervene in cases where people think they have a self-appointed right not to respect the ‘spirit of the law’, to say it that way. That's why the police got the homes. They were contentious, but I am convinced that they were necessary and that it is important that they are enforced and used. But the basic thing is that we are able to keep up with the enormous strength that lies in the civil society in Norway, where most serious organisations and people who have knowledge and insight, come along with and, if necessary, also address the issue with the police.
ParlaMint-NO_2003-03-19.ana.ud31e1102	I have the following questions for the Minister of Health: «The health authorities of the Member States have identified the possibility of receiving day-to-day medical care in Norwegian municipalities, which resulted in fewer than half of the municipalities offering day-to-day medical care. This creates major problems for patients. Is this satisfactory to the Council of State, and what will the Council of State do about it?’
ParlaMint-NO_2003-03-19.ana.ud31e1111	Norwegian Gallup has carried out a day-to-day monitoring of the availability of municipal medical services on behalf of the State Health Authority. The survey was based on the telephone number on page two of the telephone directory under the heading ‘If the help can wait a bit’, i.e. in situations where it is not necessary to contact the emergency medical number 113. The examination was a test of how easy it was to get in touch with a doctor in the municipality with a guard on that day. Access to a day-care centre may include: be applicable to travellers and residents who do not have access to permanent staff in the municipality and in cases where the establishment is not available for different reasons. The specified telephone number for each municipality was attempted to call up to three times for up to one minute. The study was conducted during the weeks 47–49 and took place during the period from 7 p.m. 0900-1100 and at 0900 1200-1500. As a result, monitoring is limited and results must be interpreted accordingly. The representative Alvheim concludes that less than half of the municipalities offer medical services during the day. I do not think that is the basis for drawing such a conclusion. Inhabitants in need of medical care during the day will normally contact their regular staff. The decision-making body shall discharge its responsibilities in this context in accordance with the rules laid down in the Norwegian Medical Association Agreement with the Central Association of the Municipalities. However, I am not satisfied that the results of the screening showed problems in getting in touch with doctors on duty in over half of the country's municipalities. That's why I wrote letters to the municipalities of the country. In the letter I have asked the municipalities to review their system and make the necessary improvements so that the residents can get through on the telephone to a doctor's office that has been guarded. Furthermore, the State Health Inspectorate has submitted the report on the monitoring to the county doctors and asked them to carry out the necessary follow-up of the municipalities in their counties. I would like to stress the responsibility of the municipalities to ensure that residents who live or stay temporarily in the municipality have access to the necessary healthcare services. The municipality has obligations to organise immediate assistance services both within and outside the office of the medical office. Work is in progress on developing a common regulation on the acute medical chain. In this context, I would like to consider clarifying the requirements for access to municipal medical care during the day. But first of all, this is a matter of ensuring good practice in information and availability. It's essentially not a resource question or a rule question.
ParlaMint-NO_2003-03-19.ana.ud31e1124	I thank the Council of State for the answer and for having addressed this report and the consequences it seems to point out. The fixed medical system was introduced in 2001 and was to ensure that all of us are a fixed doctor, continuity in the medical/patient relationship and better medical care when we needed it. Unfortunately, this has not been the case, at least not in most of the country's municipalities. This has caused problems for many patients, and there is evidence that individual patients in acute stages have resigned at death because they were throwing balls in a system that does not take responsibility. The Health Authority’s survey shows that it totaled 31 p.m. by the municipalities was not possible for the patient to get in touch with a doctor. My follow-up question to the Minister of Health will then be: Why were the municipalities not subject to a medical watch regime in the daytime when the fixed medical system was in place?
ParlaMint-NO_2003-03-19.ana.ud31e1133	The municipalities have had and have a responsibility for medical care in the daytime. What we're talking about here is the way the municipalities follow up this responsibility. I readily agree with the representative Alvheim that what this study indicates is that the availability of such assistance at daytime is too poor. I believe that there is something the municipalities have to put in place on the basis of the agreements and obligations they have. I ignore those municipalities where there are problems with toy coverage. Fortunately, however, far fewer municipalities have such problems since the introduction of the fixed medical system. It's in itself an expression that you've got a better availability. The conclusions reached by the representative Alvheim on developments following the implementation of the fixed medical scheme are at least no basis for this report.
ParlaMint-NO_2003-03-19.ana.ud31e1140	Once again, I thank the Council of State for the answer. I understand that it may be difficult and nearly impossible for a regular to travel on a medical visit from a full-scale patient office in the daytime. However, I have no understanding that the municipalities and KS have taken advantage of this situation with regard to the fixed medical system, and therefore have failed to establish emergency services during the day in the municipality. We can't have a system where it can be deadly to get sick in the firm's office. I am aware that new regulations are now to be developed in the field of emergency medical services outside hospitals. Will the Minister of Health then ensure that municipalities are required to set up a day-to-day medical watch system, so that patients can be sure for the future that emergency care will be provided in the municipalities when the need arises? It is a poor solution that the AMK centres should be charged with regular medical care.
ParlaMint-NO_2003-03-19.ana.ud31e1149	Let me repeat that it is the responsibility of the municipalities that there is an accessible medical service in the daytime. In the context of the joint regulation on emergency medical services to which the representative Alvheim now refers, I would like to assess whether there is a need to clarify the requirements for this. This survey is therefore about the availability of this offer on the telephone, and not whether the municipalities have failed to fulfil their obligation to have such a medical service. There is no evidence in this study, nor is there any basis for this. I believe that by simple means the municipalities can provide good information and availability to the doctors who actually have this responsibility during the day. That is also my main message in the letter I sent to all the rapporteurs.
ParlaMint-NO_2003-03-19.ana.ud31e1159	I have the following questions for the Minister of Health: ‘More authorities are planning to reduce the number of medical submarines and replace them by far fewer high-speed ambulances. This seems to be a good idea for people who do not see the differences between land transport and maritime transport. Unfortunately, the reality is that you often do not need a boat with extreme speed, but a solid and robust boat that can withstand bad weather and rough seas. How does the Council of State view this problem, and what will be done to ensure the coast a good transport offer for doctors and patients?’
ParlaMint-NO_2003-03-19.ana.ud31e1168	In the 2003 governance document for regional health companies, I have asked for a review of the emergency medical chain to be carried out. Ambulance boat service is in many places a very important part of emergency medical services outside hospitals, and it is in line with my management message that several regions are now reviewing the quality and structure of this service as well. Many aspects have to be taken into account when assessing the structure of the ambulance service. The ambulance service must be professionally sound as a medical service capable of making a first-time diagnosis, stabilising and, where appropriate, providing treatment to the patient, and bringing it to the appropriate level of medical care rapidly. It requires both quality and speed of service. At the same time, several locations along the coast are not the basis for running a clean ambulance service, but the service is operated by combined boats, so-called community boats, which take several types of missions, including showers by doctors and patients. These are, to a large extent, boats that are not specially adapted neither for the transport of patients nor for medical purposes, including: have many passenger seats and are not suitable for ambulance missions. When an ambulance is necessary, rapid transport can be essential for the patient’s life and health. Therefore, smaller, high-speed craft with high operational safety may be better suited for the transport of patients and shelled by health professionals. It must of course be a clear premise that the boats are stable and navigable and can withstand bad weather and rough seas. A project is now under way to develop a new type of ambulance boat that will provide more cost-effective operation and better service quality. The aim is to get boats that are more tailor-made to carry out ambulance missions at sea, among others. in order to be able to provide advanced emergency medical assistance on board, while at the same time complying with the seaworthiness requirements to be met in the ambulance and medical services on the Norwegian coast. The feedback I have received on the ongoing work of regional health companies shows that local adaptations are being found by switching to more reindeer-cultivated ambulances, while elsewhere assessing the establishment of the model for a community boat. Feedback also gives me confidence that both local medical competence and maritime competence will be included when the service is planned. I want to follow up on the development of the emergency medical service in the health regions, including the ambulance service.
ParlaMint-NO_2003-03-19.ana.ud31e1179	I thank you for your answer. It's true, as the Council of State says, that we have a combination of services, of which the ambulance service becomes part in some districts. But it's a long run from what we have today, where we have ambulance boats in every district and every little place. It's a long run to a high-speed boat that goes in 50 knots of speed from place to place, and that's going to be a clean ambulance, and what we're in danger of getting, namely combined boats – let's call it community boats. But what's on the table is that the boat should go from place to place. This is contrary to what we have today, as we have ambulance boats, and people are guaranteed the best possible connection to hospitals from where they live.
ParlaMint-NO_2003-03-19.ana.ud31e1186	The representative Bastisen has a comment rather than a question in what he now said. I believe that we have community boats that are combined boats and clean ambulances, and I also believe in the future that we need such a combination. In many places there will be no basis for clean ambulances, no matter how fast they had to go and how robust they would be. There will then be a question of balancing local conditions with cost-effectiveness requirements and not least with regard to quality, also taking into account medical developments which increasingly make it possible to provide medical assistance in this prehospital phase.
ParlaMint-NO_2003-03-19.ana.ud31e1193	What we have today, we know it works. Those boats go to a large extent in 25 knots. They have room for doctors, they have room for the sick, and they can go from place to place at zero comma nothing. What is being added up to today is a completely different type of boat that is going to go from place to place and in that way pick up, and then go to the hospital. What will the Council of State do to keep the structure we have today? Will the Council of State go in for a whole new type of boat to go from place to place at extreme speed? Has the council ever tried to break a foot or an arm and got help in such a boat?
ParlaMint-NO_2003-03-19.ana.ud31e1200	I don't think this is the place to expand my personal experience in emergency medical situations, I could do that in a different context. What is my main point, and which is important for me to make it clear here, is that having a project to develop a new type of ambulance boat that meets the requirements for efficiency and quality in a better way does not mean that you are changing the overall structure of ambulance boats in Norway. We are still going to have a mixture of clean ambulances and combined boats, community boats, as the representative Bastisen has described it. What's happening now is we're doing a review of the structure. I think that's absolutely necessary. We cannot maintain a structure as an objective in itself at all times, but we must look at how it can be developed and improved. That's what companies do, and I want them to do it with sufficient medical and maritime competence in that process.
ParlaMint-NO_2003-03-19.ana.ud31e1220	This question has been withdrawn.
ParlaMint-NO_2003-03-19.ana.ud31e1234	This question has been postponed to the next Question Time. Question 13 will be answered at the end of the Questionnaire, i.e. after question 29.
ParlaMint-NO_2003-03-19.ana.ud31e1243	‘In VG on 27 February of this year we can read about a doctoral thesis by the research researcher Amy Holtan, who proves that only 15 out of 100 children for whom child protection is taken care of are placed in foster homes with their own relatives. According to this dissertation, there seems from the point of view of child protection to be a deliberate strategy not to place foster home children in families for their own relatives. Is the Council of State satisfied with a practice that leads to such a result, and what will it possibly do with it?’
ParlaMint-NO_2003-03-19.ana.ud31e1250	In the public study on child protection, NOU 2000:12, the committee proposed to legislate or prescribe that child protection should first be sought for possible foster homes in the family or the network around the child. The proposal is discussed in a section of the Report. No 40 for 2001-2002, on the protection of children and young people. The Ministry writes that child protection should be assessed to a greater extent than now as an alternative to foster homes outside the family. At the same time, when choosing a foster home, one must make a concrete assessment of what is best for the individual child. When child protection does not choose a biological family as a foster home, it may have several reasonable reasons. For example, a person does not always find members of the family or the network who meet the minimum requirements that child protection must impose on foster parents. Neither will everyone deal with the double roles and the potential conflict of loyalty that lies in being both relatives and foster homes. The criteria for selecting foster parents are professionally complex. The general form of laws and regulations is not appropriate to this issue. In the Communication, I therefore conclude that it is most appropriate that the issue of the use of biological family and networks be addressed in guidelines. This is how it is possible to give good control signals and at the same time mention this issue thoroughly enough. During the examination of this biggest communication this year, the majority of the Committee concluded the Government's conclusions and justifications on the positioning of relatives in foster homes. The majority of the Committee considered that the desire for more family positions should not go beyond the main objective of ensuring the best interests of the child. The Ministry writes in that paper that there is no research-based knowledge of whether or not such placements should occur more frequently. I don't want to draw any final conclusions about how we should interpret the findings of Amy Holtan's doctoral thesis. I still believe it is uncertain whether a much higher proportion of the foster children should live with their own relatives, but the thesis indicates that such placements have worked well until now. I would like to point out that these foster homes are selected by Norwegian child protection services. Among other things, the Befring Committee and researcher Amy Holtan state that Norwegian child protection services are more sceptical about relative positions than child protection services in several other countries. There may be good reason to claim that scepticism in this country has been too great. On the other hand, the critical assessments for the recruitment of foster homes may have helped to make the selected foster homes particularly suited to the needs of the foster children. My main point is that we cannot automatically transfer positive findings from current practice to a thoughtful situation where much more foster children are placed with their own relatives. I do not find a basis for answering unequivocally yes or no to the question of whether I am satisfied with the current practice. I see the need to focus on the resources available to the family. We are now looking at clear indications that relative positions should have been used more often, and I want to convey this to child protection. At the same time, the choice of foster home must always be based on individual assessments. The specific circumstances that speak for and oppose the location of relatives or networks may be complicated, and these must be weighed against each other. Like the majority of the Storting, I believe that the governance signal from state authorities on this issue should come in the form of guidelines, and they will come.
ParlaMint-NO_2003-03-19.ana.ud31e1263	I thank the Council of State for your answer. I'm saying that point one must be to secure the child's best and quality there. But this is still a kind of thing that we're reading about and about and getting in touch with, that's a lot of feeling, with broken ties to our own biological family, and where there's hurt feelings. There are quite uplifting situations, and foster home affairs are one of the most profound and difficult things to do. Therefore, it is important to show great consideration here. But there's still something striking when Norway clearly stands out internationally because such a small part is located with its own family. I'm worried that there might be a professional direction and an educational direction that gives this competence staff a signal that they're going to be in this path. I would like to ask the Council of State to answer whether she wants to go into this with a view to also checking whether this is a special educational/disciplinary direction, and also to ask whether these guidelines – which I agree with should come – can come.
ParlaMint-NO_2003-03-19.ana.ud31e1272	Now, when we go into and assess the guidelines in view of the fact that we are going to change them, and this also needs to be disseminated to the entire child protection service in a good way, it would be natural to look at all aspects of the practices that have so far developed in Norway. In my reply to the representative, I also stated that it may be a little strange that we here in Norway have so much lower proportion of relatives' places than the other country has. It is also natural to see if we can find the reasons for this, and whether there are special conditions that warrant it. The guidelines are coming. At least I expect to have the new guidelines ready during the spring.
ParlaMint-NO_2003-03-19.ana.ud31e1281	Once again, I thank the Council of State for its answer. I'm glad that she wants to look at both curricula, education and guidelines, so that one then might be able to correct the obvious bias in these issues of distribution.
ParlaMint-NO_2003-03-19.ana.ud31e1288	Yeah, we're going to come back. However, I would like to make it clear that in each case the foster home must be the most important one, taking into account the individual child's situation and needs. And I also want to make it clear that there are no formal barriers in the law or the law to using biological families as foster parents today. It is also important that we know, so the debate that the representative raises about this is very important.
ParlaMint-NO_2003-03-19.ana.ud31e1297	I have the following questions for the Minister for Children and Family: ‘It has been revealed that some private kindergartens do not have an orderly employment relationship for employees. Will the Council of State now, when the public support is to be extended, ensure that all beneficiaries have orderly pay and employment conditions?’
ParlaMint-NO_2003-03-19.ana.ud31e1306	The Working Environment Act gives all employees the right to orderly pay and work, i.e. the right to a written contract of employment and working conditions in line with the requirements of the Working Environment Act. Other issues relating to pay and employment are left to the social partners. In his question, the representative Giske points out that it is ‘discovered’ that some private kindergartens do not have an orderly pay and employment situation. I guess he's here aiming for an investigation that the Ministry of Children and Family has been made about costs in the kindergarten sector. The consultancy company Fürst and Höverstad has, among other things: the fact that private kindergartens have lower staffing and lower costs of pay and social expenditure than municipal kindergartens. Only one third of private kindergartens have pension agreements for their employees. This could be explained by the fact that private kindergartens have lower incomes than municipalities and have had to adapt to a lower cost level. However, conditions vary widely in the kindergarten sector. Some municipalities grant grants to private kindergartens. These municipalities provide, inter alia: conditions attached to the grant which contribute to ensuring good pay and working conditions for employees of private kindergartens. As Minister for Children and Family Affairs with special responsibility for gender equality, I am not satisfied that so many women are falling poorly compared to, for example, women. pension. The kindergarten sector is highly women-dominated, and it is also unfortunate that many private kindergartens do not provide their employees with pension schemes. Wages and working conditions may also affect the quality of childcare services. Stability, competence and experience cost, but I believe it is true to bet on this. It is both an equality policy and a educational goal that men are also a visible part of the childhood life. We need men who give children time, care and a male role model. Good pay and working conditions can also be an instrument to make more men want to work in kindergartens. However, the situation in private kindergartens represents economic challenges. A requirement that employees in private kindergartens have equivalent pay and working conditions to those in municipal kindergartens would incur significant costs. However, the adopted increases in the operating grant to kindergartens from 1 August this year are the beginning of a process of giving private kindergartens greater economic space for action. I can assure the representative Giske that I am closely following developments in the nursery sector. I can also assure you that I have the objective of equal treatment for private and municipal kindergartens with me in the follow-up to the nursery contract.
ParlaMint-NO_2003-03-19.ana.ud31e1325	I thank the Council of State for the answer. Governments themselves have a background from work in an employee organisation and have worked for rights both in terms of collective agreements, wages and pensions. Now we have a situation where the private kindergartens receive the same financial support as the public, and then it should also be reasonable to make the same demands on pay, employment and pension conditions in these kindergartens. We see that some municipalities now require collective agreements in the kindergartens they provide support. My question is whether the Council of State will be so specific as to say that she will also be involved in demanding collective agreements in the kindergartens to be supported by the State. I am also interested to hear whether she will accept that the lack of pensions and other inferior professional rights are used as a competitive advantage for private kindergartens in relation to the public, or whether she will use the important means of making State aid available to employees in private kindergartens.
ParlaMint-NO_2003-03-19.ana.ud31e1336	I think the representative Giske and I really agree that it is a wish that everyone working in kindergartens should have the same good pay and working conditions. In some female-dominated professions, one does not get this today, and especially in this sector we see it in the case of private kindergartens. The proposal, which will shortly be about changes to the Kindergarten Act, proposes a rule on non-economic treatment of private and municipal kindergartens. The proposition will be submitted together with the big message, and we aim to mention this in the message. Whether you are going to – we are going to say – a claim, or whether you are going to put the private kindergartens here in the same situation, and that they can then do as usual, namely to enter into collective agreements, becomes part of the discussion in the notification. That's why we want to get back to this discussion. I can't say here and now that we're going to require 100 pst. that these requirements will be clarified, also in view of the fact that we have not yet completed this issue in the Government relating to kindergartens and collective agreements.
ParlaMint-NO_2003-03-19.ana.ud31e1343	I can vividly imagine that there may be different views within the government that we have today, in relation to professional rights, but I feel quite certain that the Council of State, with its background, understands the situation of the Education Association, when you do not get a collective agreement with private kindergartens. We have seen, for example: that the employees of Portvejen Barnehage in Grimstad have striked because they simply do not get a collective agreement, and then the question of whether the Council of State and the State will be an ally with the employees in getting a collective agreement, so that you can arrange pay and working conditions. It is an effective tool if we say that State aid disappears if we do not ensure that the collective agreements that employees actually require are concluded. And I would encourage the Council of State as strongly as I can, to fight that fight within the Government. She will at least get full support from the Workers' Party, of course, for such a policy, and I wish she could also be a little more specific here and say that she will work for it.
ParlaMint-NO_2003-03-19.ana.ud31e1348	It's true that I understand this problem very well. For me, it's actually that when we now facilitate the economic non-discrimination of private and public kindergartens, at least that bend is gone when it comes to going to the step of establishing a good tariff agreement for employees. I can at least confirm here and now that we are going to do that, and then in the message we will come back with a discussion of this and possibly look at how to handle this in a good way. But I understand the problem very well, and I agree that basically everyone should have good pay and pension agreements and also collective agreements. That is also my position.
ParlaMint-NO_2003-03-19.ana.ud31e1356	I have the following questions: ‘Two 15-year-old children were recently imprisoned in Oslo because they robbed peers. Prison does not help children who have started a criminal racetrack to end up in crime. Police can now summon parents to children at risk of conversation and strengthen cooperation with child protection. However, several report a lack of child protection services. The consequence of this is insecurity among the population, especially in major cities. What will the Council of State do to improve the provision of child protection treatment to criminal children and their siblings?’
ParlaMint-NO_2003-03-19.ana.ud31e1365	Everyone has the right to feel safe that they will not be subjected to violence and crime in the public space. The development we are now witnessing is therefore a serious problem, both for those who are being abused and for those who are carrying out the criminal acts. The representative of Holstad points out that prison does not help stop a criminal racetrack. I agree with this. Child protection is central to the work. Child protection today has the opportunity to put in place different measures against people under the age of 18 who commit crime. The measures may be addressed to the child, to the parents or given in a combination. These measures range from advice and guidance and other relief measures such as: Multisystemic therapy, MST, and voluntary out-of-home forced accommodation in an institution — possibly in combination with care. It is important for me to stress that the purpose of measures under today’s child protection law is not to punish the child or to protect society but to change the child’s behaviour. For children under the criminal detainee, parents or other guardians are primarily responsible for responding. When they are unable to follow up, the child protection system is connected and given further responsibility for the follow-up. These measures shall initially focus on voluntary relief measures. In this context, it may be appropriate to strengthen the competence of child protection and further develop cooperation with other bodies. It could be school, leisure and community. It is also important to motivate different bodies to cooperate to find the best integrated solutions. If voluntary relief measures are not sufficient, children who commit repeated crime may be placed in an institution for follow-up or treatment. This location may be a proper response if a customised offer is made with training and treatment options. I would like to mention that the Ministry of Children and Family recently developed a knowledge status on the conditions that must be in place for institution placement to be successful. These criteria will be applied when the country assumes responsibility for the institutions from 1 January 2004. However, I would like to stress that it is the home-based measures that show the best results in relation to children and young people with serious behavioural problems. In particular, this applies to the experience with MST. There is reason to believe that this method has a high potential and that more than those offered today can benefit from it. Among other things, the method has captured children and young people with migrant backgrounds to a small extent. Many families with a migrant background have the potential that is primarily required: a network in which treatment can be anchored. In some cases it may be appropriate to use older siblings or other relatives. We'll evaluate whether it's time to train therapists with a migrant background in this method. In parallel, we're betting on another method, PMT, Parent Management Training, for younger children who show signs of developing behavioral problems. Finally, I would like to point out that we do not know enough about this group of children who are driving other children. We will therefore take the initiative to identify who these children are and what background they have. Only by increasing our knowledge of who the children are and what background they have can we put in place effective measures that can prevent a criminal racetrack and get these children back on track.
ParlaMint-NO_2003-03-19.ana.ud31e1380	I thank you for your answer. Some time ago, a police patrol was called to a primary school in Oslo. There was a nine-year-old boy who had turned himself all wrong, and the school didn't rule with him. The parents wouldn't take responsibility for him, and it ended up the police patrol beaming Oslo after relief measures for this boy all day. It ended with these officials sitting with the boy trapped alternately – first one and then the other – until the change was over. Parents should be helped to limit them. Children suffering from lack of supervision and control often develop criminal behaviour. Barners, who have recently run Oslo, show how important it is to take action at an early stage. It would be interesting to know if the Council of State has special measures, let alone advice, for Oslo.
ParlaMint-NO_2003-03-19.ana.ud31e1389	I initially fully agree that parents need help setting limits. The MST treatment, which we so far had to deal with, is just such a measure. In Oslo, we've had quite a lot of problems lately, and there we've actually taken a grip. The police, in cooperation with the Municipality of Oslo, have taken the initiative for their own children's project. The project will start with a mapping. Letters have recently been issued in the Oslo Police District to provide such an overview of these persons under 18 years of age, with particular emphasis on them under 15 years of age. There will be close cooperation between the police and the Child Welfare Service in Oslo. The Ministry of Children and Family Affairs, the Ministry of Justice, the Municipality of Oslo, the Oslo Police Department and the Children's Protection Service in Oslo have just had a meeting. It's close to thinking that some of the methods I've referred to here could be used. We also have other methods that can be applied to these children. It is important to work together and to start this work. In the future, the departments concerned will be in close contact with both the police and the municipality of Oslo to simply assess whether the work should be allocated new resources, and in that case we will be willing to do so. This is important. These children need help.
ParlaMint-NO_2003-03-19.ana.ud31e1398	Unfortunately, this problem is not only in Oslo, but it is also located and registered in the surrounding neighbouring municipalities. Six months ago, I got access to a security log from a neighboring municipality in Oslo, where a mother despaired of calling the local waitress and asking for assistance. Her 14-year-old son had gone berserk, because he did not get 200 kroner from his mother. He had found a ballwood and was driving his destructive exercises on the inventory. This increased, and they tried to get in touch with child protection without child protection resources in this case. The boy ended up having to spend the night in the prison, 14 years old. The question will be whether the Council of State would like to strengthen the local economy in terms of preventive work of the nature we have just talked about.
ParlaMint-NO_2003-03-19.ana.ud31e1405	I should be very happy to do that. In this connection, I would like to refer, inter alia, to: the recent issue of the child protection message in Stortinget. Many of the measures proposed there will focus on and give far greater priority to the early entry of child protection issues and vulnerable children and young people. It is also essential that we strengthen the competence of child protection and that we cooperate with the various professional groups in the first-line service in relation to the most difficult children in our society. In addition, we have a children’s and young people’s message that is now being treated in the United Kingdom, which takes into account and proposes a large number of – to say – local initiatives, suggestions on how to create a better breeding environment for children and young people. If we can't reverse the trend, if we don't manage to get into the prevention level to a greater extent, get local politicians to contribute in different ways and to take responsibility, I'm afraid this issue will only increase. We're going to do our thing, and I'm going to do mine to put this in focus in a good way.
ParlaMint-NO_2003-03-19.ana.ud31e1417	I have the following questions for the Minister for Children and Family: ‘I would like to ask, in the light of a number of issues that I have been made aware of, about legal certainty and access to justice in social matters. When the respondent avoids taking a decision on the substance of the matter to assess the adequacy of care, the case is dismissed in the appeal on the grounds that the case is of a discretionary nature. How does the Council of State feel that legal certainty can be ensured in order to obtain effective judicial remedies in the event of appeals by the county councillors?’
ParlaMint-NO_2003-03-19.ana.ud31e1426	I assume that the representative Woldseth's questions have a background on a specific matter that has been discussed in the media lately. This is a matter of disagreement between child protection services and the biological family on the choice of foster home for a sibling couple. Childcare did not follow up the family’s desire to use close families as foster parents. The decision to take care is currently being taken by the county council. If there is disagreement between the Child Welfare Service and biological parents about the choice of foster home, the county may also address this issue. In many cases, however, the county council leaves to the child protection service in the municipality to decide on the choice of foster home. This is because the child protection service in the municipalities is in contact with the foster parents concerned and conducts the necessary studies of their suitability. Similarly, it will be difficult for courts to answer as detailed a question as the choice of foster home for a child. Therefore, the courts decide whether to take care of a child, while the discretionary question of choosing a specific place of foster or institution is left to the care of the child in the municipality. The choice of foster home under the Child Protection Act shall be specifically assessed on a case-by-case basis, taking into account the situation and needs of the individual child. Of course, there is nothing wrong with using biological families as foster parents. In many cases, on the contrary, this could be the best solution for children who, for various reasons, cannot live with their parents. However, in some cases there may be factors that speak against such a solution, such as: that there are no persons in the family who meet the minimum requirements that should be imposed on foster parents, or who are at risk of being involved in a double role or in a conflict of loyalty that could affect the child. It is possible that child protection services should consider biological relatives to a greater extent than is currently the case when children are to be placed in foster homes. The Ministry of Children and Family will therefore ensure that this is clarified in revised guidelines on foster homes. The majority of the Committee on Family, Cultural and Administrative Affairs agreed to mention this in guidelines for the examination of the notification of St. No 40 for 2001-2002 in February this year. In general, I think it is important that the biological parents are heard prior to the choice of foster home. Most children who are placed in foster homes must have association and other contact with their parents. It is therefore important to facilitate optimum cooperation between biological parents and foster parents. The choice of foster parents that the biological parents clearly oppose should therefore be avoided where possible. I will further clarify this in the context of the forthcoming revision of the foster home circular.
ParlaMint-NO_2003-03-19.ana.ud31e1437	I thank the Council of State for the answer. I don't know if I was very reassured about legal certainty, which I would like to see strengthened. As the Council of State is probably familiar with, I have notified Asker Municipality of a lack of service and insensibility in the light of the fact that in the specific case referred to by the Council of State, it was a family-approved foster home. However, Ashker’s municipality chose to place the children with a gay couple. The regulations on foster home placement state that gay foster homes are not to be used where adoption is likely to occur. In the past, the same regulation stated that children should not be placed in gay foster homes unless their parents agreed. My question to the Council of State is: how to avoid children being placed in the long-term with gay foster parents as a circumvention of the adoption paragraph? And: Can the Council of State imagine reintroducing the regulation that parents should consent to children being placed with gay couples?
ParlaMint-NO_2003-03-19.ana.ud31e1446	First, I would like to say that the legislation as it stands today does not distinguish between short-term and long-term accommodation in foster homes. There is essentially the same requirement for foster parents regardless of the duration of placement, because it is not always possible to predict how long the foster home position will be. The circular indicates that in cases where adoption is applicable on a permanent basis and is known to be so, gay and lesbian families should not be used as foster homes. This is because gay and lesbian pers. There is no opportunity to adopt today. So to the second question. The regulation was actually amended by the previous government in 2000, and the sentence that if children were to be placed in gay or lesbian families, the position of biological parents was to be given weight at any such location was removed. In connection with the guidelines that I am now going to make, I will consider taking this back in. In general, I believe that parents should have some influence on the choice of foster home, because in all cases the parental responsibility has not been lost.
ParlaMint-NO_2003-03-19.ana.ud31e1455	I thank the Council of State for the answer. I want to mention another matter that has also appeared in the media lately, and that the Council of State is probably familiar with, the Kvænangen case. There, child protection was upheld in the custody court. I will not go into the specific matter, but the opinion of the Child Protection Service after the case has been decided in the courts is quite alarming. As the Council of State has already mentioned in several contexts here, the Stortinget decided in February that the biological family should be considered as an appropriate foster home. Despite this, the municipality said in this case that they would not even consider the grandparents as foster parents in this specific case. The argument is that there is closeness to biological parents, or that biological family may disagree slightly with child protection, and that there will therefore be cooperation problems. Is it true, then, that it's going to be child protection that ultimately determines a child's destiny all the time? And I want to ask, what will the Council of State do to ensure that child protection follows the decisions of the Storting?
ParlaMint-NO_2003-03-19.ana.ud31e1462	Nor can I go into individual matters, nor do I have a wish from this speaker to comment on what child protection, lawyers, mother or others have said in this matter. That won't be right by me. It is serious when I say that I want to change the guidelines that apply to this by looking for foster homes in the immediate family. But that doesn't mean that the child is going to be placed there in any context. There may be situations where the immediate family may not want to be suitable, or there may be different reasons for this. More than that, I can unfortunately not come to give an answer today. Of course, with regard to the last part of the question, I will ensure that once we have changed the guidelines, these will be made known to child protection – also through training, if necessary.
