ParlaMint-NO_2003-01-29.ana.ud1382e28	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e1031	I will ask the Minister of Justice the following questions: ‘According to NRK Telemark on 16 January d.o.k.a. the Rjukan fire service has been asked to make a call-out to check for a possible intrusion. The reason is that the police have to reorganize and save money. The police at Rjukan no longer pull out of the fire reports at night. Does the State Council believe it is right that the Telemark police can ask the fire department to carry out regular police work to carry out reorganisations and savings in the police?’
ParlaMint-NO_2003-01-29.ana.ud1382e1040	Information on this incident has been obtained from the Directorate of Police. The Telemark Police District Operational Centre was given on 23 December 2002 at 9.30 a.m. 23.43 message that a light came on to be turned off again after approx. two minutes at Rjukan primary school. There were no people on site. It was then asked questions to the fire service if they had a car in the area and had an opportunity to investigate the relationship. The fireman reported that they had no one in the area and therefore could not check the place. After talking with the Rjukan backup service, the police decided that it was not necessary to make their own phone calls. There was, as it appears, no report of burglary, and no person was observed on the spot. It has also not been found in retrospect that there has been an intrusion into the school. In view of the fact that the school is municipal property, the police found it possible to contact a municipal security guard to conduct such a survey instead of notifying the principal or other employees of the school in the municipality at this time of the day. Thus, the enquiry has no connection with the economy of the police district or with the general reorganisation of the police. The Operational Centre controls the operational service in the police district and will in most cases pass on a message to the police on-site. The local police are best aware of the situation in their own district and will assess, on a case-by-case basis, whether the patrol is going to the site or whether to call out. The police will in most cases move out on notification of a fire, but also for this type of incident, the police will make an assessment based on the nature of the notification. The fire department and the police in Telemark have very good cooperation as a need-to-know. I perceive the police's enquiry to the fire department as a request to investigate the situation if the fire department had operational personnel out there, not to make a call-out instead of the police. In my view, this must be accepted in the specific situation.
ParlaMint-NO_2003-01-29.ana.ud1382e1051	I would like to thank the Council of State for the answer. Whatever the specific background of this incident, it is that in Rjukan you have received a significantly worse police service than you had. There is one police officer who has been at home at night, and it is this policeman who has to assess whether a call is important enough to ensure that it is economically and budgetaryly sound to move out. The population is concerned about this, and it creates increased insecurity in the community. Representatives of police officers are also concerned that reorganisations and savings reduce the police’s ability to be a visible and integrated part of the community and an important player in the prevention work of the community, not least among children and young people. The question is then: does the Council of State share this concern, and what will the Council of State do to prevent any reorganisation of the police force from providing a worse police service around the country?
ParlaMint-NO_2003-01-29.ana.ud1382e1058	This was a two-part comment. First of all, it went on the specific event. It I found reason to go into, and as I said, it had nothing to do with the economy of the police district or the general reorganisation of the police. So you had the choice of talking to someone who could be present, who was at work, and notifying the principal or other employees of the school. In general, which was the second part of the question/comment, police reform is under way. It is under evaluation in 2003, and will finally be evaluated in 2004. It's too early to draw conclusions from it. The intention of the big business has been to get more operational police out of the reform, and it is clear that the police district is following this. I do, too, as the Council of State, and so has the Storting made through all the assumptions attached to the 2003 budget. Here we share the view that the reform will end with a final result that gives good value to the money, and it's my job to take care of it. I mean it myself, and Stortinget has given me a clear assignment in that regard.
ParlaMint-NO_2003-01-29.ana.ud1382e1065	I thank you again for the answer, and I am pleased that the Council of State will keep up with developments. Now it is the case that an evaluation should be carried out. It's already going on, I understand, and it's going to end in 2004, as the Council of State said. I then consider it seaworthy that both the police and police officers' organisations are included in this evaluation. But at least equally important is, as I see it, that municipalities, communities, organisations working with children and young people, and the general population are given the opportunity to express their experiences of the reorganisation that is now taking place. Will the Council of State ensure that users, in order to use such an expression, of police services are given a broad place in this evaluation?
ParlaMint-NO_2003-01-29.ana.ud1382e1070	As far as police reform is concerned, there has always been close and good cooperation between the police and those who have their work in the police, so I think that will continue with this reform. It is one of the keys to the reform that those involved should feel that they are involved, and that through the reform, which is not only about reorganising but also increasing their competence, they should feel that they are getting currency for it. With regard to the practical way in which the evaluation is carried out, I have not yet been in it, but I shall clearly take with me the views expressed by the representative in his comments.
ParlaMint-NO_2003-01-29.ana.ud1382e1081	I would like to ask the Minister of Justice the following questions: «In the newspaper Hamar Arbeiderblad of 23 January this year we can read that the Hamar police wanted to take care of someone for up to one week, but had to release them because the nearest available prison cell was 231 miles from Hamar. Is the Council of State satisfied with this situation, and what does the Council of State want to do if that is not the case?’
ParlaMint-NO_2003-01-29.ana.ud1382e1090	I am aware of the situation and work intensively on both immediate and longer-term measures. It is an objective that custody officers are transferred to prison on the same day the sentence is dismissed. First priority is given to the custody of prisons, then long judges and violent and violent judges. However, the need for parking places varies from week to week. Over the last year, demand for custody places has increased, while prisons have had very high capacity utilisation. This has sometimes led to detention in prisons remaining in police detention beyond 24 hours, and, as the Hamar example shows, detention centres are released because there is a lack of detention places. However, in the current year’s budget, the government has put forward a strategy for the expansion of prison sites until 2007, to which the Stortinget has joined. Already during the year, new Kingswings prison will reach a capacity of 110 places, including some duplication and the department of old Kingswings prison. Trondheim prison has been expanded by 11 places, the ski prison has increased its capacity by 6 places, and during the year Ålesund prison will reopen 3 places. Furthermore, during the year, Ullersmo will increase its capacity by 10 places. In addition, 40 places in Oslo prison, which has been outlawed by the police, will be returned to Oslo prison. This will help improve the situation. In addition, the current range of measures that can contribute to increased prison capacity is assessed.
ParlaMint-NO_2003-01-29.ana.ud1382e1101	I thank you for your answer. I hear that the Council of State will continue to consider different measures that can contribute to increasing prison capacity. It's interesting to hear more about this. There may be both short-term and long-term measures. Is e.g. the purchase of places from a private operator interesting to the Council of State? Could it be interesting with modules for shorter or longer storage times – or something else? I assume that we all agree that transporting people 231 miles one way is the wrong use of both time and resources.
ParlaMint-NO_2003-01-29.ana.ud1382e1108	Now, all the spaces we have at our disposal and plan to have at our disposal in 2003 are within the budgetary framework adopted by the Stortinge, and within the framework of these, the aim is to significantly increase capacity during this year, as I have explained. But because we've got the development in custody places that the representative has taken up, and that I've been aware of for some time, I can give as an example that we were assigned to six prison cells earlier than we had planned to get in the ski prison just before Christmas. I am now reviewing the practical situation in other institutions. And, of course, I have to have a case-by-case approach on this, which Stortinget will, of course, be properly briefed when we get that far. Among the questions I'm considering is whether duplications within the framework we have for health, environment and safety can be increased. Finally, I would just like to comment that the prison cell that was available 231 miles from Hamar was actually used, because that was all sorts of reason why it was to be used, even if it was a long journey out of it.
ParlaMint-NO_2003-01-29.ana.ud1382e1117	I thank you for the answers I have received, and I thank you for the increased number of places. But I don't know if that helps enough. I don't think that helps enough, because only in the North-East region there are 500 people in the queue. There are 2 500 people in the pay queue in Norway, after the numbers I have, and last year the payroll grew by more than 50 pst. compared with 2001. It helps relatively little with a few places here and a few places where when the queue grows enormously. I guess that's the big problem, that people are waiting to get in.
ParlaMint-NO_2003-01-29.ana.ud1382e1122	The compensation queue at the last public census, the third quarter of last year, is approx. 2 500, as the representative said. There's a lot of short judges here. It is then important to be aware of different measures that can prevent the growth of the housing queue. Firstly, there is the active use of community punishment, which has been discussed several times in the Storting. Secondly, it is to make available new spaces, both closed cells and open spaces. What was the starting point for the representative's questions is custody, and custody is closed cells. When we then run as high capacity as we do, and we get a development in custody that is a consequence of the legislation, it is my duty to go into it and find practical solutions. As I have pointed out in previous answers, we will, among other things: look at duplications within the system we have, and we want to promote action. One of the measures I want to look at is whether it is possible in time to speed up the release of the 40 cells that have been lent in Oslo prison to Oslo Police District. It could mean a lot, not least here in the East – as the representative addressed his question and his comments to me.
ParlaMint-NO_2003-01-29.ana.ud1382e1133	I have the following questions for the Minister of Health: ‘The teeth health is deteriorating in pre-school children. Nevertheless, several county councils require the public dental service to give priority to adult paying patients who can pay for themselves, rather than children, because of this. the economy. Now that children are down-prioritised for the benefit of adults who can pay for themselves, this will lead to poorer dental health for the next adult generation. What will the Council of State do to remedy the situation?’
ParlaMint-NO_2003-01-29.ana.ud1382e1142	The representative Hedstrøm claims that county councils depriorize the offer to children for the benefit of adults who can pay for it and that it affects the dental health of children. It is true, as the representative Hedstrom points out, that the dental health of young children has deteriorated in the last two to three years. There is no explanation as to what might be the causes of this change. It is not necessarily such that the performance requirements of the county council are directly related to the deterioration of the dental health of young children. Children and young people up to the age of 18 are entitled to the necessary dental care under the Law on Dental Services. Each year the counties report figures for their offers. Per. Today we have statistics that are valid until 2001. It shows, among other things: the number of children and young people who received a regular offer increased from 970,000 in 2000 to 990,000 in 2001. Around Easter hours there will be figures for 2002. The county council shall provide children with adequate dental care. What is contained in a concept of necessity and safety is first and foremost up to the definition of dental care in county municipalities. Over the course of several years, the improvement in children’s and young people’s dental health has led to a reduction in the use of resources by county municipalities for these groups. The example here is that many children and young people are called in less frequently than each calendar year for examination and control. As a result, resources have been released in such a way that older people, long-term ill people and disabled people have received a better offer. It is up to the supervisory authorities locally to assess whether county re-priorities result in an offer which is not within the scope of the legal requirements and which then addresses this with the county council. Where appropriate, the need for additional supervision of the dental services of counties will be addressed by the Ministry of Health with the State Health Inspectorate when more recent data are available. The causes of the deterioration in the dental health of young children may be related to conditions outside the dental care. This may include, inter alia: relate to dietary habits, the consumption of sugary drinks, the hygiene and toothpaste routines of parents with fluorantan cream, etc. The special thing is that this deterioration is not recorded in our neighboring country. The Ministry of Health has therefore asked the Social and Health Directorate to continue its work in this field. I have also proposed a number of measures in the recently submitted St.meld. No 16 on public health. My main concern is related to those parts of the public dentistry where there is significant dental leave. I have therefore set up a working group that has been tasked with discussing and proposing different instruments to achieve a more appropriate distribution of dentists and dentists in both the public and private sectors. A more appropriate division of tasks between dentists and dentists and appropriate cooperation between the public and private sectors is also part of the mandate of this working group. Proposals for instruments may be both of a legal and non-judicial nature. The working party shall have its term of office until 1 June of this year. After a consultation round, I will consider the proposals and the comments of the hearing bodies and promote the necessary proposals for the Storting.
ParlaMint-NO_2003-01-29.ana.ud1382e1159	I thank the Council of State for the answer. As he informs us, of course, there may be several reasons why dental health gets worse, especially in pre-school children. But I've got the impression, by contacting dentists and the Dental Association, that it's right that adult treatment is now given priority, and that it gives reduced resources to the free clientele. This is very worrying, because it's an old-fashioned way of doing dental treatment. Prevention is important in this area, as in other areas of health. The 2003 state budget comments state that the dental care of 5-year-olds has had a negative development. And not enough: the health authorities are concerned and will do something about it, and they refer to the Health Inspectorate of the State in 1999 in their comments. This is the guide called ‘Tenner for life’. We have also received a new big message, no. 16, Recipe for a healthier Norway. It's the Social and Health Directorate that's going to follow up on this. In view of the situation we are now experiencing, and the fact that children get poorer dental health, it is important that the Health Department now concentrate on doing something about this and follow this up.
ParlaMint-NO_2003-01-29.ana.ud1382e1168	As the representative Hedstrøm referred to, several of the documents I have submitted to the Stortinget recently refer to some of the measures we are taking in relation to this work. I also mentioned the working group to look at the actual coverage of professionals. On the basis of the figures we get for 2002 in the spring, I would like to discuss with the State Health Authority whether there is a basis for specific supervision to see whether it is actually like some claims, including the representative Hedstrom here today, that there has been a down-priorityisation of the offer to children, to the detriment of children's dental health. In this case, it is a down-priority that is not in line with good principles of public health and prevention, as this government stands for.
ParlaMint-NO_2003-01-29.ana.ud1382e1173	I thank the Council of State for the additional response. In the work he will now follow up, it is important to look at the counties and municipalities where you really succeed. I refer to the municipality of Øksne in Northern Ireland, where there was an accumulation of treatment needs, but where priority was given to this area, to health centres involved and to dental care on the agenda. Now you've come up to date. Dental resources have been released to the free clientele. So you start on the right side with prevention and get up to date, and then you can do something about the adult clientele. This becomes the right prophylactic and economical for each county. So this is probably something I'm counting on the Council of State thinks is a dangerous way to look at the work to be done.
ParlaMint-NO_2003-01-29.ana.ud1382e1180	Let me briefly confirm that I believe that preventive action should be taken. It is also important that the weak groups in society receive the dental care they require. The example that the representative Hedstrom here mentions, I want to study in more detail. It sounds like an example of follow-up. In that case, we shall ensure the dissemination of the good experience.
ParlaMint-NO_2003-01-29.ana.ud1382e1189	I have a question for the Minister of Health: ‘It has to do with it. recent accidents have focused on the lack of lift in many of today’s ambulance helicopters. This means that it is not possible to use these satisfactorily in addition to the rescue helicopters in the event of an accident. The costs of installing and training in the use of a lift are not high. Will the Council of State require all ambulance and medical helicopters to have a lift, in order to enable them to complement the emergency services in the event of an accident?’
ParlaMint-NO_2003-01-29.ana.ud1382e1198	The primary target of the air ambulance shall be seriously ill or damaged patients requiring emergency medical treatment. The air ambulance service has as a secondary task to assist the Main Rescue Centre in facilitating search and rescue operations. Due to shorter response times than for the rescue service, the air ambulance helicopter may initiate the search while awaiting assistance from the rescue service. Ambulance helicopters are currently using fixed ropes for operations related to surface rescue in non-residential terrain and in sea and water. However, more advanced rescue requires special equipment or competence and should continue to be provided by the rescue services. In connection with the follow-up of St.meld. No 44 for 2000-2001 Emergency helicopter service in the future, the Ministry of Justice is now working on the introduction of an attendance watch for rescue helicopter staff. The introduction of the bystander means that the response time requirement for the rescue helicopters is reduced from 60 to 15 minutes and that the rescue service will be in the air much faster than today. Air ambulance services are currently operating with 11 helicopters and two backup helicopters. Several of today’s ambulance helicopters are not dimensioned or arranged for the installation of a lift, so that the costs of the introduction of a lift into the air ambulance service will be significant. Today we have three helicopters that can be upgraded by lift, and the investment costs amount to approx. One million. kr per. helicopter. If necessary, the remaining helicopters must be replaced or upgraded significantly. The introduction of a lift will also entail additional costs by extending the crew concept from three to four persons. Today, the air ambulance helicopters have a crew of three – pilot, rescuer and doctor. Air traffic legislation requires a certified system operator to be able to handle lift operations. On this basis, I do not intend to apply for a lift on ambulance helicopters at this time.
ParlaMint-NO_2003-01-29.ana.ud1382e1209	I have a follow-up question. We just had a loss outside of Brønnøysund. The reason why the crime didn't get a worse outcome than what it got, that one man lost his life, was that they quickly got help. Most of the crew would have lost their lives if they had had to wait for rescue helicopters from Bodø or south. The reason they saved their lives was that there was a helicopter from the Norne field with a lift that could fly directly out to the boat and thus rock people. Is it so to understand that there is a price to be paid for what a human life will cost, when one has simple means and the Council of State can demand that ambulance helicopters have a lift and can contribute to the rescue helicopter?
ParlaMint-NO_2003-01-29.ana.ud1382e1216	In my first answer, I explained the relatively comprehensive approach that needs to be taken if the air ambulance helicopters are to be given an extended task in relation to the task they have today. I also showed that Stortinget has decided in Innst. S. No 156 for 2001-2002 the introduction of an bystander for personnel in the rescue helicopter service who will perform rescue helicopters, arranged for this type of service, in order to have a response time of up to 15 minutes. I believe that the grip just responds to the need that the representative Bastesen has pointed out, which will respond to it in a better and more appropriate way than giving the air ambulance an extended task.
ParlaMint-NO_2003-01-29.ana.ud1382e1223	I do not accept the answer at all. It's a long county I represent, and I live in, and it takes about. an hour by helicopter from Bodø to Brønnøysund – and the same southwards. The smallest government council could do was to deploy ambulance helicopters with a lift in locations located between the rescue helicopters bases. It must not be that it is the price to decide whether to save life or not. We know very well that the Storting has ordered the reaction time for the rescue helicopters to be reduced. But flight time is essential, and the time from an accident to recovery can take place is essential. An ambulance helicopter with a lift stationed between the rescue helicopters bases would address the problem.
ParlaMint-NO_2003-01-29.ana.ud1382e1232	In any case, you have to have fixed bases for the air ambulance helicopters, as you have it for the rescue helicopters. The base structure we now have for the air ambulance, the Stortinget has recently taken a decision on the emergency message, and that's what I'm thinking. It will always be about an interaction between these services, and as I explained, air ambulance helicopters have a secondary task of assisting in facilitating search and rescue operations. They're still going to have to have that. The improvement in relation to the priority rescue service, which is now being worked on, is on hand for personnel in the rescue helicopter service, which will lead to a significant improvement in relation to the current situation. I cannot therefore agree that these rescue tasks are not prioritised by the Government and the majority of the population.
ParlaMint-NO_2003-01-29.ana.ud1382e1242	I allow myself to ask the Minister for Health the following questions: ‘There are several important elements that support the stationing of ambulance helicopters in the Mjøs area with 250000 inhabitants, but the main argument is flight time. You know that it's the first 10 to 20 minutes that are critical. With today's offer, you have to collect helicopters from Dombås or Lørenskog. Had the helicopter been in the Mjøs area, you would have had a flight time of no more than 15 minutes, which is half the time of the day. Will the Council of State establish a base in the Mjøs area to save lives?’
ParlaMint-NO_2003-01-29.ana.ud1382e1251	Norway has one of the world’s most advanced and medically-skilled air ambulance services. The primary target group of the air ambulance service shall be seriously ill and injured patients requiring emergency medical treatment, in accordance with agreed priority guidelines. With our country's geography and housing patterns, the service is also an effective contribution to balancing differences in the availability of specialised services in hospitals. In the context of the hospital reform, the air ambulance service was reorganised and is now part of regional health businesses. The service has become an integral part of the overall ambulance and other healthcare services. It was also one of the objectives when Stortinget dealt with the emergency message. In the governance document of regional health companies, I have asked regional enterprises to carry out a review of the organisation of the entire emergency medical chain. The review shall take place in the light of planned structural measures and changes in the division of tasks in the region and focus on ensuring the adequate provision of emergency medical services to the population. Health East made a significant change in its corporate structure at the turn of the year. In extending this change, the new inland health undertaking shall submit a plan for the allocation of functions and tasks by the end of March. Future requirements and dimensioning and organisation of the emergency medical treatment chain are part of this work. Air ambulance services are an important emergency medical resource in Norway. Ambulance helicopters shall have a maximum response time of 15 minutes throughout the day. In practice, helicopters may move out within 5 to 10 minutes of the daytime alarm and after approximately 5 to 10 minutes. 15 minutes a night. A 1998 activity report shows that for emergency missions, the call-out time, i.e. the time interval from the alarm received to the patient, on average 27 minutes for the normal medical helicopters and 63 minutes for the rescue helicopters. The Mjøs area, which this is about, is an area of relatively high population density. The car ambulance service is the primary emergency medical resource in this area, and the majority of the population will actually be reached by car within a period of 15-20 minutes. This is within the target set in the emergency message. However, there has been an increasing pressure on air ambulance resources, including in the eastern region, and there is now an assessment in the Social and Health Directorate in the context of a pilot project in 2002 with an additional helicopter at the base of Lørenskog. The Directorate will submit its assessment to the Ministry for the Summer. It should also be mentioned that in the Air Ambulance Committee’s setting up proposals were made for changes in base structure, including: it was proposed to move the ambulance helicopter base from Dombås to Lillehammer. However, the proposal to move the base was not continued in the emergency message, and the Storting agreed to continue the bases as the pattern was already. As I have explained, investigations are in progress in several areas relating to the dimensioning and organisation of the emergency medical chain, and I do not want to go on the basis that is now available for the creation of new ambulance helicopter bases in Norway, nor in the area of concern asked by the representative Nistad.
ParlaMint-NO_2003-01-29.ana.ud1382e1268	I thank the Council of State for the answer. I was very pleased that a review of the structure was being carried out, and that it was to be submitted before the end of March. I have to say that is done quickly and well, and I am very pleased with it. So the government takes up that there's a very good car ambulance service here. Now it is the car ambulance that has put this on the agenda, plus Gjøvik Hospital. They say it's not satisfactory as it is, because the flight time from Dombås is 45 minutes and a half hour from Lørenskog. At Lørenskog, a helicopter has been in use for six months. 2 in operation as a test scheme. Could the Council of State imagine that the helicopter, which is likely to stay on Lørenskog according to the plans that are today, is instead being placed in the Mjøs area, so that we get a solid base there?
ParlaMint-NO_2003-01-29.ana.ud1382e1275	I think it's important to be clear that the air ambulance service is a precious service. Any decisions on the establishment of bases must be based on a wide range of considerations. It is important to have both a resource perspective and an assessment of the benefits of that service in relation to alternative services in order to be able to offer the best possible range of services to the population as a whole. Having said that, I have already notified in my first answer that with the background of the experiment with an additional helicopter at the base of Lørenskog an evaluation will be carried out. I would like to await the Social and Health Directorate's recommendation on this matter before going further with the matter. But I want to remind you that establishing a new base is a much bigger question than acquiring a new helicopter, because there's a lot to do with a base. And I have no basis for going into a different base structure than the one that was then clarified after the treatment Stortinget has recently had of the emergency message.
ParlaMint-NO_2003-01-29.ana.ud1382e1282	I thank you for your answer. Now I am also aware that it is expensive to build a new base, but after all, several of the hospitals in the Mjøs area already have a helicopter landing site. They also have people in hospitals, and they have a good car ambulance service that wants to be relieved. But I think what the Council of State says is a little bit suspicious and will ask if he wants to set a smaller amount of money, which it might cost to set up such a base, to save some lives. I think it was a little bit daring, to say it. Frankly, did the Council of State mean it that way?
ParlaMint-NO_2003-01-29.ana.ud1382e1289	No, it didn't mean the council. It was the representative Nistad who put it that way. And he can go back in Stortingstidende and investigate what I really said. I absolutely believe that we must have a very good and optimal air ambulance service and ambulance service in Norway. And we're going to have a good emergency medical service to save lives in the important minutes where it's actually possible to save most lives. However, it does not exempt us from considering the resource priorities we always face in healthcare. There's nothing that only applies in this area. In all areas of health care, we face the type of choice and dilemmas in a priority context.
ParlaMint-NO_2003-01-29.ana.ud1382e1296	Question 15 will be answered later. Question 16 has already been answered.
ParlaMint-NO_2003-01-29.ana.ud1382e1304	‘We have received many enquiries from people who are rehabilitating and medical rehabilitation. They have come from the new year into a desperate economic situation and have to go a hard way to the social office. Some give up their plans and seek permanent disability. As early as April 2002, a unanimous increase called for a review of the arrangements to ensure that no one was in an unsustainable situation. How far has the evaluation come, and when can these despondent people expect proposals that can help them?’
ParlaMint-NO_2003-01-29.ana.ud1382e1311	With effect from 1 January 2002, a comprehensive conversion of the calculation rules for rehabilitation and back-up payments was carried out. The proposal for conversion was presented under the Stoltenberg government. In the past, these benefits were calculated as pensions. In view of the fact that there are short-term benefits provided for a period prior to returning to work, the new rules were designed to bring about greater similarities with the other short-term benefits of popular interest. The main features are that the benefit is measured on the basis of pensionable income the year before it was reduced, or the average of the last three years if this results in a higher amount. Good information has been given to the recipients. All current cases were informed on the introduction of the reform of the new legislation and transitional rules. Persons who were still in the rehabilitation scheme before the turn of the year 2002/2003 and were to continue to receive the benefit under the derogation were provided with personal information from the Rikstrøgdeverket, so that individuals could plan their economy in the future. The new rules have now been in place for a year for new cases since 1 January 2002. The other cases have been subject to the transitional rules and will apply to reintroduction recipients out of the reintroduction period. For the elderly, the new rules have been in place for four weeks and most cases are expected to end during the year. In spring 2002, the Ministry of Labour and Administration reviewed the new calculation rules for benefits under vocational rehabilitation in accordance with the Storting decision. The evaluation is summarised in St. prp. No 1 for 2002–03, and shows that most of them were positive. A transitional period was granted and work is in progress on the evaluation of the child supplements. The transitional period implies that it is possible to have some work without the re-routing money being graduated and also to continue to receive household support out of the re-routing period. In Ot.prp. No 102 for 2001-2002 it is also proposed to increase the minimum amount to 1.8 G. When the 2003 state budget was dealt with just before Christmas, the majority of the population asked for a new evaluation of the recovery rules. This will be followed up by the Government.
ParlaMint-NO_2003-01-29.ana.ud1382e1322	I thank you for your answer. It is true that there was a majority in favour of the conversion of these rules, and that this was promoted by the government of Stoltenberg. However, what was revealed when these rules were to be implemented was that they had a number of unforeseen consequences. It is in view of the fact that we asked for a review and a further review of the budget. It turns out that when the rules come into force, we again receive the same types of enquiries and that there are several applicants who are asking for disability instead of following a plan for rehabilitation and rehabilitation. Based on our policies in terms of an inclusive working life, this is almost a failure statement. And the question is, how quickly will the Minister of Social Affairs get a think about the inclusive working life in place so that you don't feel that people who want to have a rehab plan are actually forced to go on disability?
ParlaMint-NO_2003-01-29.ana.ud1382e1333	As I said in my main response, we have already had one evaluation. It came in St. prp. point 1. It was also pointed out that we should have a job in which to assess, among other things, the child supplements. Now the budget has only worked for four weeks. Of course, we will follow up on what was adopted during the budgetary procedure before Christmas. It's too soon to be fixed when the evaluation comes, but we'll come back to Stortinget as soon as it's available. I understand the representative's concern over schemes that work towards first priority, to facilitate inclusion in the labour market – where I fully share the representative's thinking. I have also noted the views of the representative, because it would be natural for us to include them in the evaluation that we come back to.
ParlaMint-NO_2003-01-29.ana.ud1382e1340	I understand that one plans to come back with such an evaluation ‘as soon as it is available’. I want to stress the importance of this happening very quickly. These are people who experience a very difficult situation every day, and one cannot have too much patience on their behalf. The impatience of these who are in a difficult situation, feeling, I hope that the Council of State takes seriously, and that one therefore very quickly returns to the Stortinget.
ParlaMint-NO_2003-01-29.ana.ud1382e1345	The government will return to the Storting as soon as the evaluation is available. I would remind you that the budget has worked for four weeks. We'll do the work as soon as possible.
ParlaMint-NO_2003-01-29.ana.ud1382e1353	This question, from the representative John I. Alvheim to the Minister for Social Affairs, will be answered by the Minister for Health who directs him.
ParlaMint-NO_2003-01-29.ana.ud1382e1356	I ask the Minister for Health the following questions: ‘The narcotics undergoing medical rehabilitation with methadone, Subutex or other medications experience a regulatory approach to follow-up, such as square and often impracticable. There are wide variations in the responses given in relation to the individual abuser in the absence of follow-up of control measures. Is there a standardised regulatory framework for control procedures for drug-assisted treatment of drug addicts, and if not, can the Council of State envisage developing a single regulatory framework?’
ParlaMint-NO_2003-01-29.ana.ud1382e1365	There are legislation on medically assisted rehabilitation in Norway in its own circular from the Ministry. For the treatment of Inst. S. No 325 for 2000–2001 joined the new guidelines as presented in the revised national budget. Recruitment and supply of medicinal products for use in medically assisted rehabilitation are governed by Regulation No 27 April 1998. 455 on the requisition and supply of medicinal products from pharmacy § 2-1 cf. Section 8-4, second paragraph. Medicinal products can only be obtained from individual patients as part of medically assisted rehabilitation when they are involved in approved measures. The treatment structure, organisation and responsibilities are regulated in the Ministry’s own circulars, references I-35/2000 and I-33/2001. As regards the question of the control of those involved in the LAR measures, I can refer to circular I-35/2000, where it is mentioned in section I. 8 Print criteria, is written: ‘Where illegal drugs and/or addictive drugs are being traded or suspected, and where violence and/or threats of violence are being used, the client shall be printed, unless this would appear to be a disproportionate response. Sustained alcohol and/or drug abuse in addition to treatment, cheating on urine samples or drug consumption, lack of access to agreements/request of medicinal products and refusal of cooperation in relation to agreements, legislation and/or action plan may result in insufficient treatment effect. Such conditions may therefore provide a basis for printing.’;» In other words, the printing criteria open up to a certain degree of discretion, and the practice of response to the follow-up to control measures may therefore vary between the approved measures, the regional centres, and the different patients. Medically assisted rehabilitation is an area the department follows closely. This includes the need for regulatory adaptation in the light of experience gained in medically assisted rehabilitation, both nationally and internationally. As notified in St. Prp. No 1, for the current fiscal year, I will undertake an independent evaluation of medically assisted rehabilitation. Such an evaluation could provide important information as a basis for any adaptations and changes to the legislation we have in this area today.
ParlaMint-NO_2003-01-29.ana.ud1382e1385	I thank the Minister of Health for the answer. I receive relatively often feedback from drug addicts during medically assisted rehabilitation that complains about heavy-duty control routines, which many have problems following up. In particular, the delivery of urine samples, which are to be carried out in special locations, is often very far from the drug addict’s place of residence. Another problem is the different practice of responders against infringements of control measures. Some get one warning, some get two alerts, some get three alerts and some do not get any warning at all before they are thrown out of the treatment line. There is also a large difference between the length of time that is assumed to be out of treatment before being reinstated for treatment. My question to the Minister of Health is: Should not the medically assisted rehabilitation now be transferred to the patient's permanent staff, who normally takes responsibility for their patient also in this treatment context?
ParlaMint-NO_2003-01-29.ana.ud1382e1396	I am of the general opinion that healthcare, both at a specialised level and at a primary level, should take greater and clearer responsibility for health care for drug users. With regard to the arrangements for medically assisted rehabilitation, it has been built up through the regional centres in a relatively short time. There has been a relatively rapid build-up, and I have seen a clear need to now evaluate the way this works, and I want it to be an external evaluation. In this regard, I would like to take with me the feedback that I have also received, on different practices, on how the exercise of judgement works in relation to drug addicts when it comes to issues of printing, which the representative of Alvheim here is involved. But I cannot draw the conclusion to that evaluation right now.
ParlaMint-NO_2003-01-29.ana.ud1382e1403	I thank the Minister of Health again for the answer. I am aware that some of this problem will come back when the Stortinget receives a drug report 2, the practical follow-up to the drug reform. However, until then, as far as possible, control measures should be organised that can be observed by the drug addicts, so that these patients are not subjected to additional stress in addition to the load they already have as human and patient, with, for example, too long transport to deliver urine samples. And if they're thrown out of the scheme, the motivation to go back can be seriously weakened by such a random practice of the scheme. I would once again recommend to the Minister of Health that, as far as practicable, these arrangements apply in relation to the individual patient, in relation to the treatment he is receiving, and the follow-up to the treatment, in order to be met in a somewhat more humane way in the treatment unit, including from the point of view of these patients.
ParlaMint-NO_2003-01-29.ana.ud1382e1412	I must remind you that the purpose of the control procedures established is to ensure that the patient, in this case the drug addict, has the greatest possible effect and benefit of the rehabilitation facility. To the extent that it emerges from solutions that are one-sidedly perceived as stones to the burden on those involved, it is clear that it should be looked at more closely. What I am particularly concerned about is that to the extent that it can be shown that there is a different handling of this legislation, it should be corrected, and we will have a special focus on that in the evaluation.
