ParlaMint-NO_2009-01-21.ana.ud580e22	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2009-01-21.ana.ud580e818	Let me stress that the Government is against all forms of death penalty. We work towards it and address it both on a principle basis to the countries that practice it, and in individual matters. With regard to this matter, and all the issues we have along the way, it is because we have a high focus on it, we will always go through the cases and evaluate the way we practice this.
ParlaMint-NO_2009-01-21.ana.ud580e828	My question goes to the Minister of Defence – as Minister of Defence: ‘The size of the defence has determined in the long-term plan that Bardufoss air station shall be developed as the main base for the helicopter in the defence and that 334, 337 and 339 quadrants shall be organised under the joint management of Bardufoss air station. I am also aware that the reception of the new unit helicopter NH90 starts in the autumn of 2010. What is done to plan and prepare the development of Bardufoss air station as the main base for the future helicopter structure of the defence?’»
ParlaMint-NO_2009-01-21.ana.ud580e837	The stork has decided that the 334, 337 and 339 Quadrons will be organized under a joint command at Bardufoss Air Station. The organisation of the helicopter structure facilitates synergies, both on the operational side and in terms of logistics. It also contributes to the rational operation of the future helicopter fleet. The operational centre of gravity of these helicopters will be in North Norway, and Bardufoss has proximity to priority areas of operation. The main base for helicopters on Bardufoss shall be fully operational for all elements by 1 January 2013 at the latest. Substantial funds have been allocated to the establishment of this base. Defence construction will start the planning of necessary dwellings, warehouses and maintenance facilities, administrative buildings and other infrastructure in the autumn of 2009, starting from the construction of the first summer/harvest 2010 projects. This is in addition to the exploitation of existing property, construction and facilities at Bardufoss air station. There are several parallel activities that will affect how Bardufoss airstation becomes visible and the progress of development. The transfer of Army management to Bardufoss triggers the need to examine the possibilities of co-location in order to maximise the rational use of property, construction and facilities in the area. For the whole, the planning of the main base must also take into account the exposure to support the frigate weapon and the Coast Guard in South Norway, as well as the feasibility study on the establishment of a national helicopter competence centre. The Chief of Defence has been assigned to establish the main helicopter base at Bardufoss as soon as possible, and no later than 1 January 2013. The necessary measures in the field of property, construction and installations at the air station will be taken when the necessary clarifications have been made and as mentioned are already in progress. It is added to the construction start of the summer/harvest 2010. As I have explained, the preparations are on track to comply with the Storting decision on the long-term plan.
ParlaMint-NO_2009-01-21.ana.ud580e852	I thank the Council of State for a clear and good answer. I have received many enquiries from defence-related people in the north, who have felt some uncertainty and who are still asking what progress is in this area according to the agreed plan. Now I understand that the establishment of Bardufoss as the main base for the helicopter will start as early as this year. Is this correct? In this context, I would also like to ask when we can expect the new NH90 helicopters to be operational and operational.
ParlaMint-NO_2009-01-21.ana.ud580e861	Yes, as I said, the project preparation is already underway. Until the autumn, Defence Building will start the concrete planning of the construction projects. It is planned to start construction in summer/harvest 2010. In the case of the NH90 helicopters and when they are operational, there has been a project of continuous deferrals. The current plan is that the NH90 helicopters for the Coast Guard will arrive in 2010. These will then replace the 337-square-dron Lynx helicopters, located in and operated by Bardufoss. We have in St. prp. No 1 for the financial year 2009 mentioned that there is a certain risk of additional delays. The planning of the reception of the NH90 will be dealt with continuously by the Air Force and the Defence Logistics Organisation.
ParlaMint-NO_2009-01-21.ana.ud580e870	I thank you again for the answer. I assume that this is so clarifying that you can now plan up north not only within this area, but also in other areas, so that you can support all the good bets that are now being made within the Defence of the North.
ParlaMint-NO_2009-01-21.ana.ud580e881	I would like to ask the Minister of Defence the following questions: ‘Norway has a number of war memories and not least war history to take care of. Today there's a lot of positive attention around the Defense and its history, a lot because of the film 'Max Manus', which now goes too full-scale. How will the Council of State contribute to precisely our war memories, such as that? The events on 9 April 1940 in Elverum where King Haakon said his famous no to the Germans, and later in Nybergsund on 11 April where the government said its no to Quisling as prime minister, both in Hedmark, is well preserved for the later?»
ParlaMint-NO_2009-01-21.ana.ud580e890	Throughout the country, a number of monuments have been erected about people and events associated with the war. In connection with the important events in Hedmark on which the representative is based, Bautas have been traveled in Elverum and Nybergsund. We all have a responsibility to continue memories of the days of war. This is an important part of Norway's history. The vast majority of monuments have been built on local initiative. Persons or organisations behind them will be responsible for their oversight and maintenance. A liability will also lie on the landowner, who has given up a memorial. In many cases, the municipality is the landowner. In most municipalities, these memorials are kept in claim and taken care of. The defense has also built monuments, both inside and outside military territory. These are maintained and maintained by the Defence. Where military departments made a special effort during the war, there are several sites dedicated to the monuments. As an example, I will mention H.M. the King's Garden, which each year participates with its personnel at Mid Forest and at Lundehögda. The interest in a memorial may diminish over time. This can happen because the original initiators fall away or because the organisations that took the initiative to travel a memorial are being dropped. Then the municipalities have to take a special responsibility. Even where a memorial has been built on a private basis, the municipality concerned should take respectful responsibility for this type of cultural object. The defence today takes a clear responsibility for our common cultural heritage, including: through the national fastening works, at the museums, and also through support and participation in markings of important historical events. Finally, let me stress that the defence has often contributed financially to the establishment of various memorials from the war. We continue to receive requests for this, and seek as far as possible to support various events and memorials associated with World War II.
ParlaMint-NO_2009-01-21.ana.ud580e903	I thank the Council of State for the answer, but I am not quite satisfied. I understand the Council of State so that it is the municipality or private that has to take the greatest responsibility for the observance of these monuments. I totally disagree with that. These are memorials of people who were willing to sacrifice the greatest sacrifice, i.e. life, for Norway to remain an independent country. Then it must be Norway that has to take responsibility for the observance of these monuments, not a municipality, individual, association or whatever it may be, which often has a very bad economy. The country of Norway must then afford to take care of all of these. Don't the Council of State agree?
ParlaMint-NO_2009-01-21.ana.ud580e910	I fully agree that we should take good care of these monuments and keep them in claim in a responsible and respectful way. Equally full, there are many monuments, and they are scattered around the country, and we depend on those who have been able to travel a memorial to participate in the maintenance. This is a work that must be done in a common effort. In some cases, it is most practical that the municipality takes care of this, just as they take care of a number of other monuments. Sometimes it's clear that the state is doing this.
ParlaMint-NO_2009-01-21.ana.ud580e915	I thank the Council of State once again for the answer, which I am still not satisfied with. I believe that peace is not something that comes of itself, it must be worked for. In this case, it's the story of World War II, and we also have stories backwards about other wars, and if we can't take care of these memorials properly, how is peace going? It's not without reason that the film that I mention in my question goes too full a house. It's not without reason that elsewhere in the world you don't have the peace that we have. And then the country of Norway had to preserve its memories of those who were willing to sacrifice everything, including their lives, in order for Norway to be an independent country. It can't work. It cannot be up to the individual municipality, which can often have a shaky economy, a good association or whatever it is. We have to afford this. Don't the Council of State agree? I'll ask you again.
ParlaMint-NO_2009-01-21.ana.ud580e924	As I said, a number of memorials have been raised. They stand many places across the whole country. I fully agree that the state of Norway, Norway as a country and we shall all respect these monuments. But sometimes it is appropriate that this be done in the municipalities, where these memorials are. Working for peace is one of the most important things we do. And it's a very important lesson after World War II that we still have to work for the peace that we have very easily to take for granted.
ParlaMint-NO_2009-01-21.ana.ud580e934	I will be allowed to ask the Minister for Health the following questions: ‘The Minister of Health highlighted the need for improved prevention in health services during the Steering Dialogue Conference in Steinkjer. The diabetes problem was used as an example. Can the Council of State provide a justification why the Government has not followed up the national diabetes strategy by the necessary means in 2009, precisely to increase prevention efforts, in order to prevent late complications and unnecessary suffering for people suffering from diabetes?’
ParlaMint-NO_2009-01-21.ana.ud580e943	The 2006–2010 National Diabetes Strategy contains many important instruments and measures. It is followed up, among others. with the development of treatment guidelines, with a dedicated information campaign and support for, inter alia: counterpart work. We know that lifestyle is of great importance for the development of type 2 diabetes. Many of the measures in the diabetes strategy will therefore be general lifestyle measures involving more patient groups and requiring a broader approach than donating earmarked funds to the diabetes strategy. Focusing on disease prevention is very important if we are to have a sustainable health service in the future. In the new interaction reform that the Government will present in April, prevention will be an important topic. For diseases such as type 2 diabetes, individual patients will need services from different parts of the healthcare system, where a solid community health service and good interaction will be important to respond to patients’ needs. The establishment of the interaction reform facilitates the achievement of the objectives of the national strategy for the field of diabetes. The government follows up the Soria Moria declaration and has, among other things, low-threshold measures adapted to local challenges, assumptions and needs, with a focus on more targeted response to risk groups. This is done in partnership with municipalities. I believe that the measures already in place, and the interaction reform announced, will mean a great deal to the diabetics of the country and other people with chronic diseases.
ParlaMint-NO_2009-01-21.ana.ud580e954	I thank the Council of State for the answer. I have not said in my question that the government does nothing. I have shown in the question that it is not enough to capture what is the content of the Government's own national strategy, for it was former Minister of Health Sylvia Brustad who presented it, even though it was the previous government that, on the initiative of the Progress Party, started working on a national strategy. Maybe the biggest problem we have in the area of diabetes today is that they're undiagnosed. And then it's just important what kind of strategies we put into trying to meet this group, because the sooner we can get into this group, the more likely we are to get fewer late complications and fewer serious consequences. My question to the Council of State in this regard is: Do you now have a plan to manage all the undiagnosed people?
ParlaMint-NO_2009-01-21.ana.ud580e965	I very much agree with the representative Nesvik that it is very important to be concerned about those who are in an early phase of the disease or are developing the disease. The estimates say that there are 250,000 people in Norway who have type 2 diabetes or are at risk of getting it, and approximately. half of these do not know that they are in a risk situation. Therefore, it is very important to try to provide information to people who have a lifestyle that puts you in such a risk situation. This is precisely why the Health Directorate is now completing the planning of a large-scale information campaign targeting precisely these people. So we want to bring out information to people who have a lifestyle that makes them at risk of developing type 2 diabetes.
ParlaMint-NO_2009-01-21.ana.ud580e972	Now I just have to say that in all such campaigns, I'm afraid there are some groups that we actually don't when -- maybe groups that we're out to hit. In the case of diabetes, there are several groups on which special attention may be given. One includes our new countrymen, those who have come here. We know that a very large group there is in danger, and we also know that it's hard to get to with ordinary information campaigns. In this context, I hope that the Council of State can take along the need to do a specific work related to this group, to meet them in an arena where you can get it. Furthermore, I hope that a dialogue with the Medical Association will also be possible through the agreement which will at least be in place for the summer, in the case of new negotiations to look at possible tariffs for extended blood tests, so that, when he has patients inside, he can do an extra job for those he sees in danger.
ParlaMint-NO_2009-01-21.ana.ud580e981	I agree with the representative Nesvik that there are groups within the immigrant population that are more vulnerable than others. For this reason, we have also set up a separate dialogue project on the immigrant environment in Norway in the context of the cooperation reform process. So we're drawing a lot from the competence that, after all, exists among people who've been working towards these groups for many years. We have to bring that with us. Otherwise I also very much agree that the key position here is set. For this reason, a large part of the interaction reform work is about defining a new role for the decision-making body — a role in which the decision-making body becomes a much more active participant in helping to prevent disease development, rather than spreading disease to specialist health services.
ParlaMint-NO_2009-01-21.ana.ud580e991	‘The health insurance regulations for hospital stays are so complicated that both health care residents, relatives and municipal case handlers have problems understanding today’s regulations. State Secretary Aasrud said to Aftenposten that this matter worked with the department, and a clarification was promised already in the autumn of 2007. This is to simplify the legislation. Nothing else has happened. When will the Council of State ensure that it is cleaned up in this regulation, as promised for several years?’
ParlaMint-NO_2009-01-21.ana.ud580e998	Local authorities' access to care services is currently regulated by two different legislations: one for home services and the other for institutional services. It is true that the representative Hoksrud is concerned that the institutional remuneration legislation has been criticised for being difficult to deal with. The reason for this is, among other things, that the consideration is calculated on the basis of the income of the user. As the Government has explained in St.meld. No 25 for 2005–2006, the 2004 Government obtained assessments from interested parties on how to achieve equal payment in municipal health and care services. A majority of municipalities and state agencies wanted changes to the current system, but were concerned that it would lead to more administrative tasks for municipalities. At the same time, employee and user organisations opposed making changes. The government, following an overall assessment, did not find a basis for a comprehensive reform. Since then, the Ministry has started work to simplify today's remuneration regulations. There are at least two considerations that need to be taken into account: one is to ensure a social payment system that the user sees as fair. The second is to ensure that municipalities do not lose income. In this context, I would like to point out that the compensation payment in 2007 amounted to NOK 4.2 billion in income for municipalities. The amount is an important part of the funding base for the operation of municipal care services. Within these frameworks, it is a challenge to find solutions that effectively simplify legislation and that defend the conversion of current systems and practices. The Ministry is now in close dialogue with Nav to provide evidence of the economic impact of the changes on users and municipalities. As soon as this is clear, I will send a proposal to the hearing.
ParlaMint-NO_2009-01-21.ana.ud580e1011	I would like to thank you for your answer. It is clear that the Council of State and the Secretary of State are not talking very well together, for both in 2007 and 2008, Secretary of State Aasrud promised that this matter should now be sent out and that it should be cleared up. I find it sad that nothing has yet happened in 2009 and that the Council of State has still not decided what is going to happen. But what it's all about is that more relatives get demand up to 16–18 months after they lose a family member in an institution. Governments must agree that this type of after-dependence should be abandoned. The usual practice is that after six months, all demands of a dwelling disappear, while the public can delay this and send demands so long afterwards. I wonder what the Council of State will do with that problem, which is an important part of this.
ParlaMint-NO_2009-01-21.ana.ud580e1018	Yes, the question of how to settle a dwelling, an inheritance settlement, I think the representative Hoksrud has to address others than this council. – At least it would have been an answer with a lot of vision. Otherwise, I just have to take note of the impatience that the Progress Party has in getting cleaned up in this regulation. It might have been interesting to have got some suggestions from the Progress Party on possible simplifications, because we think it's pretty complicated. So we have decided not to carry out a major and comprehensive reform that would be about a level playing field – for which many are in favour. We're working on simplification, and to do that, we need a good factual basis. And we must therefore make proposals to be consulted as soon as possible.
ParlaMint-NO_2009-01-21.ana.ud580e1025	It is at least nice that the Government is now asking the Advance Party to make good proposals. We will ensure that the Council of State gets in this area. But what's important here is that a lot of people experience it as a little bit difficult for the public to come with demand for a long time after they've lost their relatives and settled down. In addition, legislation is almost impossible to understand. I have even now been in and looked at this with regard to the Municipality of Oslo, where it is both an explanation and a number of other things, and it is almost a hopeless code to understand. I really hope that there is now progress here, so that you get new proposals. I can promise the Council of State that he will get good suggestions from the Progress Party on how to solve this. I also hope that there will be a quick solution in view of all those who feel frustrated that it is not possible to find out for themselves how to meet the requirements that come, and also that the requirements will come after such a long time as they should have done, after they have been done publicly, i.e. after the housing has been settled.
ParlaMint-NO_2009-01-21.ana.ud580e1032	Without considering this at all because, as I said, I cannot do anything about it, I initially agree with the representative Hoksrud that it sounds strange that it should be possible to get this type of claim for a living that has been completed. So let me at least take a look at it, but I haven't prepared to answer this, because it's not constitutional to me. So I honestly think it's interesting to come up with some suggestions. But I want to remind you that I made two premises – right? One is that the basis for payment should not be weakened, because this is an important source of income. Unlike the Progress Party, I only have a certain bag of money that I have to get, so the income base has to be maintained. The second is that the payment system must have a clear social impact. Within the two frames I am very interested in good suggestions.
ParlaMint-NO_2009-01-21.ana.ud580e1042	I would like to ask another question to the Minister of Health and Health about something that can be resolved within a specially given sum of money from the same bag. I have the following questions: «The undersigned indicates that a 50 pst exists today. organ donation-related coordinator function. Like the Foundation Organ Donation, I'm of the opinion that this should be converted into a 100 pst. position, held by a single person. Will the Council of State make sure that a 100 pst is put in place? position as national organ donation coordinator, in line with the wish of the Foundation Organ donation, and, where appropriate, when can we expect this to be in place?’»
ParlaMint-NO_2009-01-21.ana.ud580e1051	Organ donation is a priority area of the Government. We've set the goal of reaching 30 donations per. million inhabitants in a few years. At the same time, the proportion of live donors of kidney from family shall be maintained at 40 pst. of the total number of kidney transplantations. In 2005, a national coordinating body was established in the Health Directorate to strengthen the work on organ donation in its 28 approved donor hospitals. In the same year, a report on measures to increase organ donation was published by the Health Directorate, among others. to set up posts as a donor physician. The 2008 Regional Health Companies Mission Document provided guidance that donor doctors at university hospitals were to be given free time to carry out the task. This has continued in 2009. At the same time, regional health businesses shall put pressure on measures to increase the number of available bodies. The Norwegian organ donation resource group — also often abbreviated to NOROD — has been given the means to strengthen the training of health professionals on organ donation issues, and a particularly important topic is communication with those affected by the crisis. The Foundation Organ Donation receives grants for information work in the population. From 2009 onwards, the subsidy was increased by 1 million. kr. In 2007, the Ministry set up a working group to recommend measures to increase the number of organ donations. The Foundation Organ Donation was represented in the working group. The report came in May 2008. The Group concluded that there was a need for a national organ donation coordinator function to advise the Ministry, follow up the work of regional health establishments on organ donation and establish systems for developing competences. Responsibility for the coordinator function was to be added to the Health Directorate. The Directorate shall now set up a group to carry out the function of national coordinator. The group shall have a contact person under the direction of the department director and in close cooperation with the division director. In total, the function comprises two entire posts allocated to several persons. In this way, the function is less vulnerable and vulnerable based on the assessments made by the Health Directorate. The request for a visible strong professional shall be provided by the head of the new National Board for Organ Donation and Transplantation to be established in a short time. Overall, in my view, these measures will strengthen the national coordinating role and the field of organ donation. The organisation shall be evaluated after three years.
ParlaMint-NO_2009-01-21.ana.ud580e1064	I thank the Council of State for the answer. In fact, at the outset, I would like to pay tribute to the Government for the work done on organ donation in Norway. I also believe that the government has received input from many parties in that context – good input. Unfortunately, I'm a little concerned that the model that you set up to, rather than tailoring a scheme to increase capacity, interaction and coordination, could be a split of the role. If we, for example, sees the country in Europe, and perhaps in the world that has been most affected by the number of organ donations, namely Spain, there is just the clear, strong central role – a coordination function that has proved to be very useful. My question to the Council of State is this: By spreading this responsibility among more people, even though the intention is good, does the Council of State not see the danger of losing some of the focus that you have intended to have within the field?
ParlaMint-NO_2009-01-21.ana.ud580e1075	I'm very clear that we're going to do a better job of coordinating organ donation efforts. It's about working against the ministry, it's not least about working against regional health companies, and it's also about working against maybe university hospitals in particular. Then it's about both pressing for an organist to have time to do his job and for health professionals to receive training, that as well as everything we have to know, follow up. The Health Directorate has been given a very clear responsibility to implement it. Whether it is organised by a department or a group by using two, three or four persons or whether they implement it by using one person, they decide for themselves. I don't know how Nesvik might have intended to control Health-Norway if he were to come into my chair, but at that level at least I don't intend to start ruling.
ParlaMint-NO_2009-01-21.ana.ud580e1080	We're not going to interfere with who's going to rule after given dates. It's up to the voters in this country to decide. What is important, and I'm just asking the Council of State to be aware of, is to follow the model you eventually choose. The reason why I'm more concerned about spreading it across multiples, a group, is that in periods, there can be other things the same group and the same people also have to work with, and then this piece, organ donation, comes back slightly because you prioritise in different sectors. That's why I hope you can look at this again, and have one special person for this. Perhaps the most important part is that donor-responsible doctors in hospitals – not just in university clinics, but in all the 25 donor hospitals – get time to work on this, and get training in communication. I hope that the Council of State through its mission document can also give clear signals to these hospitals.
ParlaMint-NO_2009-01-21.ana.ud580e1089	I fully agree with the latter. I do not know, but it is clear that I see, of course, that if you have more people inside who are responsible for carrying out a task, they may have other tasks that can override. The disadvantage of having one person is that everyone can break his foot, and then you can be away from work for three months. No one is left and is responsible! I think we have now given this mandate very clearly to the Health Directorate. Then we have to trust that the Health Director and Health Directorate are able to solve this problem with one, two, or three people.
ParlaMint-NO_2009-01-21.ana.ud580e1101	I would like to ask the Minister of Health: ‘In 2008 the Nordic Hospital HF mission document calls for safe treatment for patients with CFS/ME. Nothing has happened. The 2009 mission document does not mention this patient group. According to the ME Association, there is at least 500 ME disease in Northern Ireland. These receive no assistance from the Nordic specialist health services. Will the Council of State ensure that the Nordlands Hospital establishes an offer for ME patients and that outpatient teams are set up in all regions of the sickest who are unable to move?’
ParlaMint-NO_2009-01-21.ana.ud580e1110	The representative Bavøy has shown great commitment to this patient group through both interpellation and several written questions. I hope that through our answers to them we have shown that we are also concerned with a good health offer for patients with CFS/ME, and that it should be part of Health-Norway's offer. For the period 2007-2009, EUR 15 million has been allocated. kr from the State budget to establish a national competence network for CFS/ME based on existing professional environments. The funds, managed by the Health Directorate, have been used to provide financial support for various professional development projects and information aimed at healthcare, patients and relatives. The initiative has contributed to significantly better knowledge of diagnosis in both primary and specialist health services. In addition, significant work is being done by patient organisations and professional communities to increase their competence in this disease. The representative of Davøy suggests that the patient group is not mentioned in the 2009 mission paper. It must be a misunderstanding. In the 2009 mission document to Health Nord, which I sent out on 5 January, I asked the regional health company to ensure a good specialist health service service for everyone affected by CFS/ME. I have further argued that Health Nord is using the national treatment offer for the most ill patients, who are under construction in Health South-East RHF. This is a repetition of the requirements from previous years. The offer of the very sickest is expected to be completed during the first half of 2009, according to information provided by Health South-East. It takes time to build up good professional offers. In the autumn of 2008, an offer was made to patients with CFS/ME at the University Hospital Nord-Norway in Tromsø. Health Nord RHF plans to build up an offer in Bodø in 2010 in a cooperation between UNN and the Nordlands Hospital. Through such cooperation, patients in the region will receive a coordinated and well specialised healthcare service. Oslo University Hospital HF has established an outpatient clinic and an outpatient team for patients affected by CFS/ME. I would also like to make sure that Health Nord RHF benefits from the experience gained in Oslo by further building up offers for this patient group in the region.
ParlaMint-NO_2009-01-21.ana.ud580e1123	I want to thank the Council of State for the answer. It's absolutely right that the government has done a lot, and I'm very pleased with what has been done in recent years in terms of ME patients. My point was that the mission document for the Nordlands Hospital did not go further from the region and said that they should have an offer to ME patients. It is actually the case today that when ME patients contact the Nordlands Hospital, they are referred to elsewhere, for example. to UN. The Nordic patient representative has also said that it is too bad what is said from the Nordlands Hospital today to the patients, namely that they have to contact UNN. These are patients who are very poor, who can't go far – many of them can't actually get out of bed. So I am not familiar with the fact that the Nordlands Hospital has got this specified in its mission documents.
ParlaMint-NO_2009-01-21.ana.ud580e1132	In fact, I have no other option than to repeat that in the Health Nord mission document there is a very clear requirement for it, and that is not the way it disappears. If it should have been left out in the document from Health Nord to the individual health companies, the requirement is equally real from us and will be followed up. There are actually many things I can be critical of in Health North, but right in this area, I actually think they're doing a good job in the sense that they've built up an offer at UNN. Then you can say that it's not good enough, because too many people are hit. Therefore, in 2010 they are planning to build up an offer in Bodø in cooperation between the UNN and the Nordlands Hospital.
ParlaMint-NO_2009-01-21.ana.ud580e1139	I am aware that UNN has received project funding from the Health Directorate, where something is to be built up for six municipalities in the Nordic region. In connection with the application for this project, it has been said that for the remaining municipalities and patients who live there, the Nordlands Hospital itself should take responsibility for these. I hope that an offer in Bodø, which the Council of State is talking about, will apply to all patients in Northern Ireland. I would like a confirmation of that, or at least if the Council of State can find out if it's right. I am very pleased that the Council of State says that he will follow up on this. Finally, could the Council of State perhaps say some words related to this with an outpatient team, which I believe we should be up in all our regions in a reasonably short time? That, I think, is absolutely crucial for the very sickest who we actually know are unable to move out of their homes.
ParlaMint-NO_2009-01-21.ana.ud580e1148	On the first part of the follow-up question, I think I will answer that I will have more research on the offer to be built up in Bodø and pass it on to the representative Davøy about it. So it's nice that we finally find each other, because I also think that experience related to the construction of an outpatient team at the new Oslo University Hospital is very important. I'm no expert at ME, but as I experience the situation, it's just that being able to provide professionally good services just at home to many, who are needed. That's why it's so important that what might be the spearhead in Health-Norway, Oslo University Hospital, has some experience with the outpatient team, and so that me and the health regions provide ‘learning by doing’, i.e. that you really manage to gain experience from it, and then build up similar offers elsewhere.
ParlaMint-NO_2009-01-21.ana.ud580e1158	I have this question to the Minister of Justice: ‘In the Sunday revision of 11 January 2009, we could hear the head of the Swedish Rikskriminal Police, Arne Andersson, say that he was concerned that Norway is not well equipped to contribute to the fight against international drug networks operating in the Nordic region. Andersson pointed out that Kripos lacks resources, especially on the testing page. What will the Council of State actually do to ensure that Kripos has in the near future sufficient resources to combat organised criminal networks?’
ParlaMint-NO_2009-01-21.ana.ud580e1167	First of all, I would like to say that there are some considerations about the fact that another country's police are assessing the resource situation in a neighbouring country. But I think I should leave it. In fact, what is interesting about that debate and the media issue is that it is the result of the fact that Norwegian and Swedish police have been able to reveal one of the largest drug networks. So -- I was saying -- negative it's going to be cool. However, the question goes into a number of other issues in the area of organised crime, drugs and international cooperation, which I have answered many times both orally and in writing. As former Minister of Justice, the representative of Dørum Kripos and Nye Kripos know his history and the various changes and reorganisations up to the national unit for combating organised and other serious crime very well. Based on the question of Kripos's exploration resources, there is reason to stress that Kripos does not have its own testing resources but that they can attract resources from Oslo police districts if necessary. This is considered to be a satisfactory and resource-efficient system. I think the previous government perceived it this way, and we've chosen to carry it on. Norway has a relatively small policy population, and it is important that the total resources are optimally used. Therefore, it has not been considered appropriate to allocate Kripos’s own resources for testing. One of the challenges facing operational police work is, among other things: the strict requirements imposed by the Working Environment Act for working-free periods. I do not go into any detail about it, but there has been a lot of work on the part of the police. We also have challenges in the Police and Lena's seat in relation to recruitment because, among other things, we do. has trained too few policemen. The representative is aware that for this reason the Government has chosen to increase the recording at the Police College. The previous government increased the admission to 360 students – we are further increasing it to 552 students this year. That's very good. It is agreed by all parties in the Stortinget. But it's actually a very good answer to the challenges we're facing, even when it's about getting more people to run a checkout, because we actually need more policemen. The representative of Dørum is also well aware of the strengthening of the budgets that have been. So in the current year, it's a nominal increase of 800 million. kr, which together with the DNA register and the investment made in material, will contribute something. However, I would like to point out that one of the major challenges in terms of the opportunities we have to create more testing resources now quickly is to get more civilians into the police. There is something in the current year's budget, and that is also one of the reasons why, just before Christmas, we chose to strengthen the police budgets, so that at least the Left Party and the government parties agree fairly on the overall level of the police budget. I believe that by bringing in more civilians we will be able to free up more police resources, among other things. for testing. But I also know that the representative is very busy with the general order service out there, and that will also be a priority. I would like to tell the representative now that it is working in the ministry in relation to future budgetary processes to employ more civilians than is shown in the current budget.
ParlaMint-NO_2009-01-21.ana.ud580e1188	I thank you for a full answer. Of course, I am aware that there is an unusually good case behind it. That was what – fortunately, in this context – came first in the media, in fact in the Sunday revision. I think this is an outstanding example of working together to get something done. When I at all cared and was concerned about this – I have a certain experience relationship with Swedish police officers, to say it like that – it was because this man got three questions. First he gets the question, is there anything? He says, yes, something is missing. What does'something' mean? It's a poll. And then he says, we have to take them in Sweden and not Norway. I'm very aware that Kripos does not formally have its own resources, but needs to borrow from others. In the light of the full answer given by the Council of State, I will put the question precisely: is the cooperation so good that Kripos gets the people who are formally employed in the Oslo police district, at their disposal when they need them? Is the Council of State certain that this is the case today?
ParlaMint-NO_2009-01-21.ana.ud580e1199	As far as staffing is concerned, it's obvious that there are two special organs that we're very concerned about. It's Kripos and Ekokrim. There is no secret that when we are now working with an opportunity study – to formulate me in that way – to bring in more civilians, it is important in this context to strengthen Kripos and Ekokrim. A small reinforcement of Kripos is being made in the current year to build up what the Sletner Committee – the good left-wing representative, Mrs Sletner – has helped us with, namely a separate group to deal with rape cases. I hope that if we don't have that long, we will have the opportunity here in Stortingen to discuss the further question of strengthening it to bring in more civilians. This applies not least to ecocrims, not least to Kripos and, of course, to general police Norway.
ParlaMint-NO_2009-01-21.ana.ud580e1206	I am very pleased with the answer about the civilians. The reason why I ask the question is, just as the council says, I know very well how this is organized. As early as 2005, I had some concerns as to whether Kripos would get the people they needed when, in worst cases, they could risk competing with the needs of the Oslo police district. I'm familiar with the fact that they're employed there, for good reason. But already at the time, I was worried that Kripos, when it came to the problem, wouldn't get them, either because they might have been used to something else, even if it wasn't supposed to be like that, or that you got in the situation we've seen now, with actions that make you possibly have smaller people. I asked the question because I know that the Council of State is also deeply committed to achieving good international cooperation against organised crime. And I put it again – after the Council of State has given excellent answers on the recruitment of civilians: Is the Council of State absolutely sure that the resources that Kripos will have in Oslo police district are available when Kripos needs them?
ParlaMint-NO_2009-01-21.ana.ud580e1215	Within the current budgets and resources you have at all times, I have the absolute impression that you have the personnel you need. But at the same time, there is reason to stress that there is always crime that you want to discover, which at least justifies an increase in the supply of resources to both Oslo and Kripos. That's one of the reasons why, after we got into the government offices, we chose to strengthen Ekokrim in relation to money laundering and bring in more people. We chose to strengthen Kripos because we saw it necessary, not only against rape, as I mentioned instead, but also to strengthen Kripos in relation to Internet-related crime. We've got more people in there to do that job. But we're not on target. That is why I very carefully stress that we believe that we now also have a strategy for what we are going to meet alongside international work – and especially the Prüm agreement, which I hope we can sign soon.
ParlaMint-NO_2009-01-21.ana.ud580e1230	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2009-01-21.ana.ud580e1236	«The Middle East conflict also presents several challenges for many in our own country. From the Mosaic Religion, it is now reported that many Jewish children experience increased insecurity, including in school. In the violent demonstrations that have taken place, statements – from school youths – have also come to characterize Jewish hatred. How will the Council of State use the school to reduce the level of conflict and ensure that children can feel the school as a place of security and not the opposite?’
